VI	NP	VI
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
says	VVZ	say
he	PP	he
'	''	'
s	NNS	s
going	VVG	go
to	TO	to
stop	VV	stop
the	DT	the
supply	NN	supply
of	IN	of
weapons	NNS	weapon
to	TO	to
Israel	NP	Israel
if	IN	if
it	PP	it
launches	VVZ	launch
an	DT	an
allout	JJ	allout
attack	NN	attack
on	IN	on
Rafa	NP	Rafa
now	RB	now
for	IN	for
weeks	NNS	week
Washington	NP	Washington
has	VHZ	have
been	VBN	be
pressuring	VVG	pressure
Israel	NP	Israel
'	POS	'
s	JJ	s
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
not	RB	not
to	TO	to
send	VV	send
forces	NNS	force
into	IN	into
the	DT	the
city	NN	city
Heidi	NP	Heidi
Joe	NP	Joe
Castro	NP	Castro
reports	NNS	report
from	IN	from
Washington	NP	Washington
DC	NP	DC
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
just	RB	just
wrong	JJ	wrong
the	DT	the
US	NP	US
president	NN	president
said	VVD	say
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
in	IN	in
an	DT	an
interview	NN	interview
with	IN	with
us	PP	us
media	NNS	medium
on	IN	on
Wednesday	NP	Wednesday
that	IN/that	that
US	NP	US
military	JJ	military
aid	NN	aid
to	TO	to
Israel	NP	Israel
will	MD	will
be	VB	be
conditioned	VVN	condition
on	IN	on
the	DT	the
Israeli	JJ	Israeli
military	NN	military
'	POS	'
s	NN	S
actions	NNS	action
and	CC	and
acknowledged	VVD	acknowledge
that	IN/that	that
us	PP	us
weapons	NNS	weapon
are	VBP	be
being	VBG	be
used	VVN	use
to	TO	to
kill	VV	kill
civilians	NNS	civilian
in	IN	in
Gaza	NP	Gaza
civilians	NNS	civilian
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
Gaza	NP	Gaza
as	IN	as
a	DT	a
consequence	NN	consequence
of	IN	of
those	DT	those
bombs	NNS	bomb
they	PP	they
go	VVP	go
into	IN	into
Rafa	NP	Rafa
I	NP	I
'	POS	'
m	NN	m
not	RB	not
supplying	VVG	supply
the	DT	the
weapons	NNS	weapon
that	WDT	that
have	VHP	have
been	VBN	be
used	VVN	use
historically	RB	historically
to	TO	to
deal	VV	deal
with	IN	with
Rafa	NP	Rafa
I	NP	I
'	POS	'
ve	NN	ve
made	VVD	make
it	PP	it
clear	JJ	clear
to	TO	to
BB	NP	BB
in	IN	in
the	DT	the
war	NN	war
cabinet	NN	cabinet
they	PP	they
'	POS	'
re	NN	re
not	RB	not
going	VVG	go
to	TO	to
get	VV	get
our	PP$	our
support	NN	support
if	IN	if
in	IN	in
fact	NN	fact
they	PP	they
go	VVP	go
on	IN	on
these	DT	these
population	NN	population
centers	VVZ	center
the	DT	the
major	JJ	major
shift	NN	shift
in	IN	in
position	NN	position
from	IN	from
Joe	NP	Joe
Biden	NP	Biden
who	WP	who
has	VHZ	have
previously	RB	previously
pledged	VVN	pledge
unconditional	JJ	unconditional
support	NN	support
for	IN	for
Israel	NP	Israel
was	VBD	be
foreshadowed	VVN	foreshadow
by	IN	by
a	DT	a
recent	JJ	recent
delay	NN	delay
in	IN	in
providing	VVG	provide
us	PP	us
bombs	VVZ	bomb
to	TO	to
Israel	NP	Israel
the	DT	the
US	NP	US
defense	NN	defense
secretary	NN	secretary
told	VVD	tell
a	DT	a
senate	NN	senate
panel	NN	panel
the	DT	the
delivery	NN	delivery
was	VBD	be
paused	VVN	pause
due	RB	due
to	TO	to
concerns	NNS	concern
about	IN	about
Israel	NP	Israel
'	POS	'
s	NN	S
plans	VVZ	plan
to	TO	to
invade	VV	invade
Rafa	NP	Rafa
Israel	NP	Israel
shouldn	NP	shouldn
'	POS	'
t	NN	t
launch	VV	launch
a	DT	a
a	DT	a
major	JJ	major
attack	NN	attack
in	IN	in
arfa	NN	arfa
without	IN	without
accounting	NN	accounting
for	IN	for
uh	UH	uh
and	CC	and
protecting	VVG	protect
the	DT	the
civilians	NNS	civilian
that	WDT	that
are	VBP	be
in	IN	in
that	DT	that
battle	NN	battle
space	VV	space
uh	UH	uh
and	CC	and
and	CC	and
again	RB	again
as	IN	as
we	PP	we
have	VHP	have
uh	UH	uh
assessed	VVD	assess
the	DT	the
situation	NN	situation
uh	UH	uh
we	PP	we
paused	VVD	pause
one	CD	one
shipment	NN	shipment
of	IN	of
high	JJ	high
high	JJ	high
uh	UH	uh
uh	UH	uh
payload	NN	payload
uh	UH	uh
Munitions	VVZ	munition
Biden	NP	Biden
has	VHZ	have
faced	VVN	face
increased	VVN	increase
ing	NN	ing
pressure	NN	pressure
from	IN	from
protesters	NNS	protester
who	WP	who
have	VHP	have
demonstrated	VVN	demonstrate
ins	NNS	in
solidarity	NN	solidarity
with	IN	with
Palestinians	NPS	Palestinians
across	IN	across
American	JJ	American
college	NN	college
campuses	NNS	campus
and	CC	and
in	IN	in
Chicago	NP	Chicago
where	WRB	where
he	PP	he
made	VVD	make
a	DT	a
campaign	NN	campaign
stop	NN	stop
on	IN	on
Wednesday	NP	Wednesday
Biden	NP	Biden
has	VHZ	have
also	RB	also
faced	VVN	face
calls	NNS	call
from	IN	from
Progressive	JJ	Progressive
members	NNS	member
of	IN	of
his	PP$	his
own	JJ	own
party	NN	party
to	TO	to
end	VV	end
Israel	NP	Israel
'	POS	'
s	JJ	s
unconditional	JJ	unconditional
military	JJ	military
aid	NN	aid
Congressional	JJ	congressional
leaders	NNS	leader
offered	VVD	offer
a	DT	a
muted	JJ	muted
response	NN	response
to	TO	to
the	DT	the
delayed	JJ	delayed
arm	NN	arm
shipment	NN	shipment
I	PP	I
uh	UH	uh
believe	VV	believe
that	IN/that	that
Israel	NP	Israel
and	CC	and
America	NP	America
have	VHP	have
an	DT	an
ironclad	JJ	ironclad
relationship	NN	relationship
and	CC	and
I	PP	I
uh	UH	uh
have	VH	have
faith	NN	faith
in	IN	in
what	WP	what
the	DT	the
Biden	NP	Biden
Administration	NP	Administration
is	VBZ	be
doing	VVG	do
I	PP	I
continue	VVP	continue
to	TO	to
express	VV	express
my	PP$	my
concern	NN	concern
to	TO	to
the	DT	the
administration	NN	administration
that	IN/that	that
the	DT	the
delay	NN	delay
of	IN	of
shipment	NN	shipment
of	IN	of
weapons	NNS	weapon
to	TO	to
Israel	NP	Israel
is	VBZ	be
just	RB	just
another	DT	another
way	NN	way
of	IN	of
trying	VVG	try
to	TO	to
tell	VV	tell
an	DT	an
ally	NN	ally
how	WRB	how
to	TO	to
conduct	VV	conduct
the	DT	the
war	NN	war
Biden	NP	Biden
says	VVZ	say
the	DT	the
US	NP	US
will	MD	will
still	RB	still
provide	VV	provide
Israel	NP	Israel
with	IN	with
defensive	JJ	defensive
weapons	NNS	weapon
and	CC	and
the	DT	the
US	NP	US
defense	NN	defense
secretary	NN	secretary
says	VVZ	say
the	DT	the
US	NP	US
Israeli	NP	Israeli
Alliance	NP	Alliance
remains	VVZ	remain
Ironclad	JJ	ironclad
but	CC	but
a	DT	a
major	JJ	major
ground	NN	ground
invasion	NN	invasion
of	IN	of
Rafa	NP	Rafa
would	MD	would
be	VB	be
seen	VVN	see
by	IN	by
the	DT	the
us	PP	us
as	IN	as
a	DT	a
red	JJ	red
line	NN	line
and	CC	and
Biden	NP	Biden
says	VVZ	say
Israel	NP	Israel
Crossing	VVG	cross
it	PP	it
would	MD	would
be	VB	be
quote	VV	quote
just	RB	just
wrong	JJ	wrong
Heidi	NP	Heidi
Joe	NP	Joe
Castro	NP	Castro
Al	NP	Al
jazer	NP	jazer
Washington	NP	Washington
well	RB	well
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
has	VHZ	have
shut	VVN	shut
down	RP	down
Al	NP	Al
jaz	NP	jaz
'	POS	'
s	JJ	s
operations	NNS	operation
so	IN	so
our	PP$	our
correspondents	NNS	correspondent
are	VBP	be
now	RB	now
reporting	VVG	report
from	IN	from
outside	JJ	outside
Israel	NP	Israel
muhamad	NN	muhamad
Jam	NN	jam
jum	NN	jum
is	VBZ	be
joining	VVG	join
us	PP	us
from	IN	from
the	DT	the
Jordanian	JJ	Jordanian
Capital	NP	Capital
Aman	NP	Aman
so	RB	so
but	CC	but
let	VV	let
'	''	'
s	NNS	s
talk	VVP	talk
first	JJ	first
of	IN	of
all	DT	all
uh	UH	uh
more	JJR	more
about	IN	about
this	DT	this
Threat	NP	Threat
by	IN	by
Joe	NP	Joe
Biden	NP	Biden
to	TO	to
block	VV	block
weapons	NNS	weapon
if	IN	if
there	EX	there
is	VBZ	be
any	DT	any
action	NN	action
in	IN	in
Rafa	NP	Rafa
what	WP	what
'	POS	'
s	NN	S
the	DT	the
Israeli	JJ	Israeli
response	NN	response
to	TO	to
that	WDT	that
so	RB	so
so	RB	so
far	RB	far
so	IN	so
Rob	NP	Rob
we	PP	we
'	POS	'
ve	NN	ve
not	RB	not
yet	RB	yet
heard	VVN	hear
anything	NN	anything
official	NN	official
from	IN	from
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
but	CC	but
we	PP	we
are	VBP	be
seeing	VVG	see
a	DT	a
lot	NN	lot
of	IN	of
quotes	NNS	quote
attributed	VVN	attribute
to	TO	to
Anonymous	JJ	anonymous
defense	NN	defense
officials	NNS	official
members	NNS	member
of	IN	of
the	DT	the
security	NN	security
establishment	NN	establishment
in	IN	in
Israel	NP	Israel
they	PP	they
are	VBP	be
appearing	VVG	appear
in	IN	in
Israeli	NP	Israeli
Publications	NPS	Publications
and	CC	and
media	NNS	medium
Outlets	NNS	outlet
the	DT	the
last	JJ	last
few	JJ	few
hours	NNS	hour
and	CC	and
these	DT	these
officials	NNS	official
are	VBP	be
expressing	VVG	express
a	DT	a
lot	NN	lot
of	IN	of
concern	NN	concern
about	IN	about
what	WP	what
this	DT	this
means	NNS	mean
going	VVG	go
forward	JJ	forward
they	PP	they
'	''	'
re	IN	re
concerned	JJ	concerned
about	RB	about
how	WRB	how
this	DT	this
might	MD	might
affect	VV	affect
Israel	NP	Israel
'	POS	'
s	NNS	s
preparedness	NN	preparedness
uh	UH	uh
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
as	RB	as
well	RB	well
as	IN	as
conflicts	NNS	conflict
on	IN	on
other	JJ	other
fronts	NNS	front
going	VVG	go
forward	RB	forward
also	RB	also
these	DT	these
defense	NN	defense
officials	NNS	official
are	VBP	be
telling	VVG	tell
these	DT	these
Israeli	JJ	Israeli
media	NN	media
Outlets	NNS	outlet
that	IN/that	that
they	PP	they
are	VBP	be
worried	VVN	worry
about	IN	about
what	WP	what
this	DT	this
means	NN	means
about	IN	about
the	DT	the
state	NN	state
of	IN	of
the	DT	the
relationship	NN	relationship
between	IN	between
Israel	NP	Israel
and	CC	and
the	DT	the
United	NP	United
States	NPS	States
uh	UH	uh
some	DT	some
of	IN	of
these	DT	these
officials	NNS	official
are	VBP	be
saying	VVG	say
that	IN/that	that
Israel	NP	Israel
'	POS	'
s	NN	S
adversaries	NNS	adversary
May	MD	may
perceive	VV	perceive
this	DT	this
particular	JJ	particular
crisis	NN	crisis
as	IN	as
an	DT	an
opportunity	NN	opportunity
to	TO	to
undermine	VV	undermine
Israel	NP	Israel
uh	UH	uh
then	RB	then
there	EX	there
are	VBP	be
other	JJ	other
defense	NN	defense
officials	NNS	official
that	WDT	that
are	VBP	be
saying	VVG	say
that	IN/that	that
um	VVG	um
some	DT	some
senior	JJ	senior
defense	NN	defense
officials	NNS	official
are	VBP	be
telling	VVG	tell
counterparts	NNS	counterpart
in	IN	in
the	DT	the
government	NN	government
that	IN/that	that
the	DT	the
government	NN	government
really	RB	really
needs	VVZ	need
to	TO	to
start	VV	start
heeding	VVG	heed
the	DT	the
warnings	NNS	warning
of	IN	of
the	DT	the
