Al	NP	Al
jazer	NP	jazer
has	VHZ	have
obtained	VVN	obtain
footage	NN	footage
showing	VVG	show
Israeli	JJ	Israeli
forces	NNS	force
in	IN	in
Gaza	NP	Gaza
shooting	VVG	shoot
two	CD	two
unarmed	JJ	unarmed
Palestinians	NNS	Palestinian
dead	JJ	dead
at	IN	at
close	JJ	close
range	NN	range
one	CD	one
of	IN	of
the	DT	the
men	NNS	man
repeatedly	RB	repeatedly
waves	VVZ	wave
what	WP	what
appears	VVZ	appear
to	TO	to
be	VB	be
a	DT	a
piece	NN	piece
of	IN	of
white	JJ	white
fabric	NN	fabric
to	TO	to
show	VV	show
they	PP	they
'	''	'
re	IN	re
not	RB	not
a	DT	a
threat	NN	threat
this	DT	this
is	VBZ	be
an	DT	an
international	JJ	international
symbol	NN	symbol
of	IN	of
surrender	NN	surrender
the	DT	the
bodies	NNS	body
of	IN	of
the	DT	the
two	CD	two
Palestinians	NPS	Palestinians
are	VBP	be
then	RB	then
buried	VVN	bury
by	IN	by
an	DT	an
Israeli	JJ	Israeli
bulldozer	NN	bulldozer
T	NN	T
Abu	NP	Abu
AUM	NP	AUM
has	VHZ	have
more	JJR	more
from	IN	from
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
completely	RB	completely
disturbing	JJ	disturbing
and	CC	and
distressing	JJ	distressing
images	NNS	image
that	IN/that	that
the	DT	the
video	NN	video
that	IN/that	that
the	DT	the
jazer	NN	jazer
has	VHZ	have
obtained	VVN	obtain
shows	NNS	show
how	WRB	how
two	CD	two
unarmed	JJ	unarmed
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
killed	VVN	kill
by	IN	by
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
they	PP	they
have	VHP	have
been	VBN	be
completely	RB	completely
disarmed	VVN	disarm
they	PP	they
did	VVD	do
not	RB	not
impose	VV	impose
any	DT	any
significant	JJ	significant
threat	NN	threat
on	IN	on
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
as	IN	as
they	PP	they
were	VBD	be
as	IN	as
they	PP	they
were	VBD	be
completely	RB	completely
aw	JJ	aw
with	IN	with
a	DT	a
distance	NN	distance
from	IN	from
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
who	WP	who
were	VBD	be
taking	VVG	take
a	DT	a
cover	NN	cover
behind	IN	behind
sand	NN	sand
piles	NNS	pile
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
absolutely	RB	absolutely
terrifying	JJ	terrifying
as	IN	as
those	DT	those
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
killed	VVN	kill
and	CC	and
we	PP	we
completely	RB	completely
see	VVP	see
how	WRB	how
Israeli	JJ	Israeli
armored	JJ	armored
bulldozers	NNS	bulldozer
have	VHP	have
been	VBN	be
buried	VVN	bury
them	PP	them
on	IN	on
the	DT	the
coastal	JJ	coastal
uh	UH	uh
line	NN	line
of	IN	of
the	DT	the
uh	UH	uh
besieged	VVN	besiege
enclave	NN	enclave
and	CC	and
from	IN	from
the	DT	the
video	NN	video
that	WDT	that
has	VHZ	have
been	VBN	be
obtained	VVN	obtain
it	PP	it
'	POS	'
s	NN	S
absolutely	RB	absolutely
clear	JJ	clear
that	IN/that	that
the	DT	the
location	NN	location
where	WRB	where
those	DT	those
two	CD	two
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
killed	VVN	kill
and	CC	and
shot	VVN	shoot
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
was	VBD	be
completely	RB	completely
uh	UH	uh
next	JJ	next
to	TO	to
the	DT	the
recent	JJ	recent
peer	NN	peer
that	WDT	that
had	VHD	have
been	VBN	be
established	VVN	establish
by	IN	by
the	DT	the
world	NN	world
Central	NP	Central
Kitchen	NP	Kitchen
in	IN	in
order	NN	order
to	TO	to
facilitate	VV	facilitate
eight	CD	eight
uh	UH	uh
process	VV	process
a	DT	a
delivering	VVG	deliver
process	NN	process
to	TO	to
the	DT	the
Gaza	NP	Gaza
trip	NN	trip
on	IN	on
the	DT	the
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
City	NP	City
and	CC	and
that	DT	that
incident	NN	incident
wasn	NN	wasn
'	POS	'
t	NN	t
absolutely	RB	absolutely
the	DT	the
first	JJ	first
from	IN	from
its	PP$	its
kind	NN	kind
within	IN	within
the	DT	the
past	JJ	past
few	JJ	few
weeks	NNS	week
we	PP	we
have	VHP	have
been	VBN	be
multiply	RB	multiply
seeing	VVG	see
how	WRB	how
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
have	VHP	have
been	VBN	be
carrying	VVG	carry
out	RP	out
field	NN	field
executions	NNS	execution
against	IN	against
number	NN	number
of	IN	of
Palestinians	NPS	Palestinians
in	IN	in
the	DT	the
Norther	JJR	north
part	NN	part
of	IN	of
Gaza	NP	Gaza
where	WRB	where
their	PP$	their
dead	JJ	dead
bodies	NNS	body
have	VHP	have
been	VBN	be
remained	VVN	remain
alone	RB	alone
and	CC	and
laying	VVG	lay
on	IN	on
the	DT	the
roads	NNS	road
and	CC	and
sometimes	RB	sometimes
being	VBG	be
biled	VVN	biled
up	RP	up
uh	UH	uh
uh	UH	uh
with	IN	with
different	JJ	different
kinds	NNS	kind
of	IN	of
garbage	NN	garbage
as	IN	as
what	WP	what
have	VHP	have
been	VBN	be
happening	VVG	happen
in	IN	in
another	DT	another
part	NN	part
of	IN	of
gazan	JJ	gazan
B	NP	B
lahia	NN	lahia
town	NN	town
where	WRB	where
the	DT	the
majority	NN	majority
of	IN	of
those	DT	those
dead	JJ	dead
bodies	NNS	body
have	VHP	have
been	VBN	be
decomposed	VVN	decompose
without	IN	without
being	VBG	be
rescued	VVN	rescue
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
absolutely	RB	absolutely
terrifying	VVG	terrify
it	PP	it
it	PP	it
'	POS	'
s	NN	S
completely	RB	completely
a	DT	a
new	JJ	new
preach	VVP	preach
of	IN	of
the	DT	the
humanitarian	JJ	humanitarian
of	IN	of
the	DT	the
international	JJ	international
humanitarian	JJ	humanitarian
LW	NN	LW
that	IN/that	that
those	DT	those
Palestinians	NPS	Palestinians
were	VBD	be
completely	RB	completely
unarmed	VVN	unarm
they	PP	they
did	VVD	do
not	RB	not
impose	VV	impose
any	DT	any
significant	JJ	significant
threat	NN	threat
let	NN	let
'	POS	'
s	NNS	s
bring	VVP	bring
in	IN	in
Richard	NP	Richard
fol	NN	fol
now	RB	now
professor	NN	professor
of	IN	of
international	JJ	international
law	NN	law
at	IN	at
Princeton	NP	Princeton
University	NP	University
and	CC	and
a	DT	a
former	JJ	former
un	NN	un
special	JJ	special
repur	NN	repur
on	IN	on
Palestinian	JJ	Palestinian
human	JJ	human
rights	NNS	right
he	PP	he
joins	VVZ	join
us	PP	us
live	VV	live
from	IN	from
Santa	NP	Santa
Barbara	NP	Barbara
California	NP	California
thank	VVP	thank
you	PP	you
for	IN	for
joining	VVG	join
us	PP	us
uh	UH	uh
what	WP	what
do	VVP	do
you	PP	you
make	VV	make
of	IN	of
this	DT	this
distressing	JJ	distressing
video	NN	video
well	RB	well
it	PP	it
is	VBZ	be
a	DT	a
vivid	JJ	vivid
confirmation	NN	confirmation
of	IN	of
continuing	VVG	continue
Israeli	JJ	Israeli
at	IN	at
atrocities	NNS	atrocity
directed	VVN	direct
at	IN	at
uh	UH	uh
innocent	JJ	innocent
and	CC	and
vulnerable	JJ	vulnerable
and	CC	and
unthreatening	VVG	unthreaten
uh	UH	uh
Palestinian	JJ	Palestinian
civilians	NNS	civilian
and	CC	and
it	PP	it
'	POS	'
s	NNS	s
shocking	JJ	shocking
because	IN	because
it	PP	it
'	POS	'
s	NN	S
made	VVD	make
available	JJ	available
in	IN	in
conv	NN	conv
vincing	NN	vincing
evidence	VV	evidence
uh	UH	uh
in	IN	in
real	JJ	real
time	NN	time
and	CC	and
that	IN/that	that
that	DT	that
'	''	'
s	RB	s
been	VBN	be
part	NN	part
of	IN	of
what	WP	what
has	VHZ	have
been	VBN	be
so	RB	so
shocking	JJ	shocking
throughout	IN	throughout
this	DT	this
entire	JJ	entire
Israeli	JJ	Israeli
Onslaught	NN	onslaught
on	IN	on
Gaza	NP	Gaza
that	IN/that	that
the	DT	the
eyes	NNS	eye
and	CC	and
ears	NNS	ear
of	IN	of
the	DT	the
world	NN	world
have	VHP	have
been	VBN	be
assaulted	VVN	assault
in	IN	in
real	JJ	real
time	VV	time
uh	UH	uh
by	IN	by
uh	UH	uh
this	DT	this
form	NN	form
of	IN	of
genocidal	JJ	genocidal
behavior	NN	behavior
and	CC	and
it	PP	it
is	VBZ	be
a	DT	a
shocking	JJ	shocking
reality	NN	reality
that	IN/that	that
there	EX	there
has	VHZ	have
been	VBN	be
no	DT	no
uh	UH	uh
adverse	JJ	adverse
reaction	NN	reaction
from	IN	from
the	DT	the
liberal	JJ	liberal
democracies	NNS	democracy
in	IN	in
the	DT	the
west	NN	west
it	PP	it
is	VBZ	be
a	DT	a
shameful	JJ	shameful
moment	NN	moment
in	IN	in
Western	JJ	Western
uh	UH	uh
International	NP	International
moral	JJ	moral
Behavior	NN	behavior
what	WP	what
do	VVP	do
you	PP	you
think	VVP	think
this	DT	this
says	VVZ	say
about	IN	about
the	DT	the
Israeli	JJ	Israeli
military	NN	military
'	POS	'
s	NN	S
approach	NN	approach
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
International	NP	International
standards	NNS	standard
and	CC	and
law	NN	law
well	RB	well
it	PP	it
'	POS	'
s	NN	S
completely	RB	completely
consistent	JJ	consistent
with	IN	with
Israeli	NP	Israeli
Defiance	NP	Defiance
of	IN	of
international	JJ	international
law	NN	law
unless	IN	unless
it	PP	it
happens	VVZ	happen
to	TO	to
coincide	VV	coincide
with	IN	with
their	PP$	their
strategic	JJ	strategic
interests	NNS	interest
which	WDT	which
it	PP	it
rarely	RB	rarely
does	VVZ	do
uh	UH	uh
during	IN	during
uh	UH	uh
this	DT	this
period	NN	period
of	IN	of
prolonged	JJ	prolonged
occupation	NN	occupation
Israel	NP	Israel
pursues	VVZ	pursue
its	PP$	its
own	JJ	own
objectives	NNS	objective
which	WDT	which
are	VBP	be
inconsistent	JJ	inconsistent
and	CC	and
contradict	VV	contradict
International	NP	International
humanitarian	JJ	humanitarian
law	NN	law
and	CC	and
the	DT	the
genocide	NN	genocide
convention	NN	convention
and	CC	and
uh	UH	uh
numerous	JJ	numerous
other	JJ	other
uh	UH	uh
sources	NNS	source
of	IN	of
legal	JJ	legal
Authority	NP	Authority
it	PP	it
ref	NN	ref
refuses	VVZ	refuse
to	TO	to
comply	VV	comply
with	IN	with
the	DT	the
interim	JJ	interim
order	NN	order
of	IN	of
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
it	PP	it
refuses	VVZ	refuse
to	TO	to
alter	VV	alter
Its	PP$	its
Behavior	NN	behavior
in	IN	in
response	NN	response
to	TO	to
the	DT	the
recent	JJ	recent
ceasefire	NN	ceasefire
uh	UH	uh
which	WDT	which
is	VBZ	be
a	DT	a
weak	JJ	weak
resolution	NN	resolution
of	IN	of
the	DT	the
security	NN	security
Council	NN	council
nevertheless	RB	nevertheless
it	PP	it
'	POS	'
s	NN	S
a	DT	a
legally	RB	legally
binding	VVG	bind
uh	UH	uh
document	VV	document
that	DT	that
uh	UH	uh
constitutes	VVZ	constitute
a	DT	a
decision	NN	decision
the	DT	the
violation	NN	violation
of	IN	of
which	WDT	which
is	VBZ	be
itself	PP	itself
a	DT	a
criminal	JJ	criminal
act	NN	act
how	WRB	how
important	JJ	important
do	VVP	do
you	PP	you
think	VVP	think
it	PP	it
is	VBZ	be
that	IN/that	that
incidents	NNS	incident
like	IN	like
this	DT	this
are	VBP	be
documented	VVN	document
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
any	DT	any
future	JJ	future
accountability	NN	accountability
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
very	RB	very
important	JJ	important
not	RB	not
only	RB	only
for	IN	for
the	DT	the
formal	JJ	formal
legal	JJ	legal
proceedings	NNS	proceeding
that	WDT	that
might	MD	might
occur	VV	occur
in	IN	in
the	DT	the
future	NN	future
but	CC	but
to	TO	to
[	SYM	[
Music	NN	music
]	SYM	]
uh	UH	uh
a	DT	a
conflict	NN	conflict
that	WDT	that
should	MD	should
be	VB	be
subject	JJ	subject
to	TO	to
un	VV	un
Authority	NP	Authority
remember	VV	remember
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
an	DT	an
occupying	JJ	occupying
power	NN	power
under	IN	under
special	JJ	special
restrictions	NNS	restriction
by	IN	by
the	DT	the
Geneva	NP	Geneva
Convention	NP	Convention
and	CC	and
as	RB	as
such	JJ	such
has	VHZ	have
a	DT	a
primary	JJ	primary
obligation	NN	obligation
to	TO	to
protect	VV	protect
the	DT	the
civilian	JJ	civilian
population	NN	population
that	WDT	that
is	VBZ	be
occupied	VVN	occupy
and	CC	and
from	IN	from
the	DT	the
beginning	NN	beginning
from	IN	from
19	CD	@card@
uh	UH	uh
67	CD	@card@
Israel	NP	Israel
has	VHZ	have
ignored	VVN	ignore
this	DT	this
fundamental	JJ	fundamental
source	NN	source
of	IN	of
legal	JJ	legal
constraint	NN	constraint
on	IN	on
its	PP$	its
activity	NN	activity
as	IN	as
the	DT	the
occupying	JJ	occupying
power	NN	power
okay	VV	okay
we	PP	we
'	POS	'
ll	NNS	ll
have	VHP	have
to	TO	to
leave	VV	leave
it	PP	it
there	RB	there
Richard	NP	Richard
for	IN	for
we	PP	we
