<video_id>hp9jNfKX-VM</video_id>	JJ	<video_id>hp9jNfKX-VM</video_id>
<video_title>Volunteers	NNS	<video_title>Volunteers
at	IN	at
Gaza's	NP	Gaza's
Al-Aqsa	NP	Al-Aqsa
Hospital	NP	Hospital
shoulder	NN	shoulder
responsibilities	NNS	responsibility
amid	IN	amid
evacuation	NN	evacuation
crisis</video_title>	NN	crisis</video_title>
<thumbnail_path>data/en_AJ\Volunteers	NNS	<thumbnail_path>data/en_AJ\Volunteers
at	IN	at
Gaza's	NP	Gaza's
Al-Aqsa	NP	Al-Aqsa
Hospital	NP	Hospital
shoulder	NN	shoulder
responsibilities	NNS	responsibility
amid	IN	amid
evacuation	NN	evacuation
crisis.jpg</thumbnail_path>	NN	crisis.jpg</thumbnail_path>
<publish_date>20240109</publish_date>	NN	<publish_date>20240109</publish_date>
<doc>	NN	<doc>
now	RB	now
the	DT	the
situation	NN	situation
at	IN	at
the	DT	the
al-	NP	al-
AA	NN	aa
Hospital	NN	hospital
in	IN	in
central	JJ	central
Gaza	NP	Gaza
is	VBZ	be
D	NP	D
after	IN	after
Israel's	NP	Israel's
evacuation	NN	evacuation
order	NN	order
forced	VVD	force
most	JJS	most
of	IN	of
the	DT	the
doctors	NNS	doctor
and	CC	and
medical	JJ	medical
workers	NNS	worker
to	TO	to
leave	VV	leave
hind	NNS	hind
went	VVD	go
to	TO	to
that	DT	that
hospital	NN	hospital
and	CC	and
sent	VVD	send
this	DT	this
report	NN	report
we	PP	we
are	VBP	be
in	IN	in
ALA	NN	ala
Hospital	NN	hospital
in	IN	in
where	WRB	where
most	JJS	most
of	IN	of
the	DT	the
medical	JJ	medical
team	NN	team
evacuated	VVN	evacuate
after	IN	after
the	DT	the
quadcopter	NN	quadcopter
fired	VVD	fire
live	JJ	live
ammunition	NN	ammunition
on	IN	on
the	DT	the
ICU	NP	ICU
unit	NN	unit
and	CC	and
the	DT	the
maternity	NN	maternity
unit	NN	unit
in	IN	in
the	DT	the
Gaza	NP	Gaza
STP	NP	STP
let's	NNS	let's
walk	VVP	walk
inside	RB	inside
as	IN	as
you	PP	you
the	DT	the
only	RB	only
medical	JJ	medical
personnels	NNS	personnel
left	VVN	leave
are	VBP	be
the	DT	the
nursing	NN	nursing
team	NN	team
where	WRB	where
most	JJS	most
of	IN	of
them	PP	them
are	VBP	be
volunteers	NNS	volunteer
and	CC	and
live	VV	live
in	IN	in
the	DT	the
middle	JJ	middle
area	NN	area
and	CC	and
do	VVP	do
not	RB	not
have	VH	have
any	DT	any
place	NN	place
to	TO	to
evacuate	VV	evacuate
we	PP	we
have	VHP	have
been	VBN	be
talking	VVG	talk
to	TO	to
the	DT	the
nursing	NN	nursing
team	NN	team
and	CC	and
they're	NN	they're
telling	VVG	tell
us	PP	us
that	IN/that	that
they	PP	they
were	VBD	be
go	NN	go
are	VBP	be
going	VVG	go
to	TO	to
stay	VV	stay
here	RB	here
because	IN	because
they	PP	they
feel	VVP	feel
that	IN/that	that
it	PP	it
is	VBZ	be
a	DT	a
huge	JJ	huge
responsibility	NN	responsibility
for	IN	for
them	PP	them
to	TO	to
leave	VV	leave
uh	UH	uh
the	DT	the
hospital	NN	hospital
they	PP	they
also	RB	also
told	VVD	tell
us	PP	us
that	IN/that	that
the	DT	the
main	JJ	main
doctors	NNS	doctor
are	VBP	be
evacuated	VVN	evacuate
with	IN	with
their	PP$	their
families	NNS	family
because	IN	because
their	PP$	their
families	NNS	family
were	VBD	be
inside	RB	inside
by	IN	by
this	DT	this
Hospital	NP	Hospital
also	RB	also
the	DT	the
administrative	JJ	administrative
team	NN	team
is	VBZ	be
completely	RB	completely
empty	JJ	empty
where	WRB	where
the	DT	the
doctors	NNS	doctor
are	VBP	be
doing	VVG	do
the	DT	the
doctors	NNS	doctor
left	VVN	leave
in	IN	in
the	DT	the
hospital	NN	hospital
are	VBP	be
doing	VVG	do
both	CC	both
the	DT	the
administrative	JJ	administrative
work	NN	work
and	CC	and
the	DT	the
uh	UH	uh
medical	JJ	medical
work	VVP	work
here	RB	here
there	EX	there
are	VBP	be
still	RB	still
also	RB	also
volunteers	NNS	volunteer
for	IN	for
the	DT	the
cleaning	NN	cleaning
for	IN	for
cleaning	VVG	clean
the	DT	the
hospital	NN	hospital
and	CC	and
uh	UH	uh
two	CD	two
days	NNS	day
ago	RB	ago
some	DT	some
journalists	NNS	journalist
who	WP	who
were	VBD	be
here	RB	here
in	IN	in
the	DT	the
hospital	NN	hospital
uh	UH	uh
helped	VVN	help
and	CC	and
made	VVN	make
an	DT	an
initiative	NN	initiative
helping	VVG	help
uh	UH	uh
the	DT	the
hospital	NN	hospital
to	TO	to
clean	VV	clean
its	PP$	its
floors	NNS	floor
and	CC	and
its	PP$	its
emergency	NN	emergency
department	NN	department
more	JJR	more
than	IN	than
90%	CD	@card@
of	IN	of
the	DT	the
medical	JJ	medical
uh	UH	uh
team	NN	team
in	IN	in
the	DT	the
aloa	NN	aloa
hospital	NN	hospital
evacuated	VVN	evacuate
after	IN	after
msf	NN	msf
also	RB	also
evacuated	VVN	evacuate
the	DT	the
hospitals	NNS	hospital
and	CC	and
it's	NNS	it's
not	RB	not
only	RB	only
doctors	VVZ	doctor
who	WP	who
evacuated	VVN	evacuate
but	CC	but
also	RB	also
journalists	NNS	journalist
where	WRB	where
we're	NN	we're
talking	VVG	talk
about	RB	about
more	RBR	more
than	IN	than
uh	UH	uh
10	CD	@card@
media	NN	media
organizations	NNS	organization
left	VVN	leave
and	CC	and
evacuated	VVN	evacuate
Southern	NP	Southern
Tunis	NP	Tunis
and	CC	and
RAF	NN	RAF
we're	NN	we're
also	RB	also
talking	VVG	talk
about	IN	about
people	NNS	people
who	WP	who
were	VBD	be
seeking	VVG	seek
refuge	NN	refuge
in	IN	in
the	DT	the
hospital	NN	hospital
for	IN	for
more	JJR	more
than	IN	than
three	CD	three
months	NNS	month
in	IN	in
the	DT	the
hospital	NN	hospital
is	VBZ	be
not	RB	not
witnessing	VVG	witness
a	DT	a
collapse	NN	collapse
but	CC	but
it	PP	it
has	VHZ	have
been	VBN	be
also	RB	also
witnessing	VVG	witness
a	DT	a
severe	JJ	severe
uh	UH	uh
shortage	NN	shortage
of	IN	of
medical	JJ	medical
use	NN	use
according	VVG	accord
to	TO	to
the	DT	the
medical	JJ	medical
team	NN	team
in	IN	in
this	DT	this
hospital	NN	hospital
this	DT	this
isind	NN	isind
for	IN	for
aler	NP	Aler
Gaza	NP	Gaza
Palestine	NP	Palestine
</doc>	NN	</doc>
