<video_id>i8jooXogX5M</video_id>	JJ	<video_id>i8jooXogX5M</video_id>
<video_title>War	NN	<video_title>War
on	IN	on
Gaza:	NP	Gaza:
Palestinians	NPS	Palestinians
scour	NN	scour
rubble	NN	rubble
for	IN	for
sources	NNS	source
of	IN	of
fuel</video_title>	JJ	fuel</video_title>
<thumbnail_path>data/en_AJ\War	NN	<thumbnail_path>data/en_AJ\War
on	IN	on
Gaza	NP	Gaza
Palestinians	NPS	Palestinians
scour	NN	scour
rubble	NN	rubble
for	IN	for
sources	NNS	source
of	IN	of
fuel.jpg</thumbnail_path>	JJ	fuel.jpg</thumbnail_path>
<publish_date>20240702</publish_date>	JJ	<publish_date>20240702</publish_date>
<doc>	NN	<doc>
since	IN	since
the	DT	the
very	JJ	very
beginning	NN	beginning
of	IN	of
this	DT	this
assault	NN	assault
against	IN	against
the	DT	the
Palestinians	NPS	Palestinians
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
prevent	VVP	prevent
the	DT	the
access	NN	access
of	IN	of
any	DT	any
cooking	JJ	cooking
gas	NN	gas
to	TO	to
the	DT	the
to	TO	to
the	DT	the
nothing	NN	nothing
gas	NN	gas
STP	NP	STP
I'm	NP	I'm
talking	VVG	talk
to	TO	to
you	PP	you
in	IN	in
front	NN	front
of	IN	of
a	DT	a
Gas	NP	Gas
Distribution	NN	distribution
Company	NN	company
as	IN	as
you	PP	you
can	MD	can
see	VV	see
in	IN	in
the	DT	the
picture	NN	picture
right	RB	right
now	RB	now
which	WDT	which
is	VBZ	be
totally	RB	totally
destroyed	VVN	destroy
by	IN	by
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
in	IN	in
the	DT	the
last	JJ	last
Invasion	NN	invasion
this	DT	this
destruction	NN	destruction
led	VVD	lead
the	DT	the
people	NNS	people
to	TO	to
look	VV	look
for	IN	for
other	JJ	other
Alternatives	NNS	alternative
like	IN	like
collecting	VVG	collect
the	DT	the
a	DT	a
treewood	NN	treewood
and	CC	and
Furniture	NP	Furniture
wood	NN	wood
from	IN	from
the	DT	the
destroyed	VVN	destroy
houses	NNS	house
death	NN	death
is	VBZ	be
around	IN	around
us	PP	us
everywhere	RB	everywhere
the	DT	the
price	NN	price
of	IN	of
this	DT	this
firewood	NN	firewood
will	MD	will
not	RB	not
exceed	VV	exceed
50	CD	@card@
shekels	NNS	shekel
an	DT	an
amount	NN	amount
of	IN	of
money	NN	money
that	WDT	that
will	MD	will
not	RB	not
benefit	VV	benefit
us	PP	us
because	IN	because
