<video_id>L-H0O_DU-7g</video_id>	JJ	<video_id>L-H0O_DU-7g</video_id>
<video_title>War	NN	<video_title>War
on	IN	on
Gaza:	NP	Gaza:
Reports	NPS	Reports
of	IN	of
gunshots	NNS	gunshot
inside	IN	inside
Al-Aqsa	NP	Al-Aqsa
Hospital</video_title>	NP	Hospital</video_title>
<thumbnail_path>data/en_AJ\War	NN	<thumbnail_path>data/en_AJ\War
on	IN	on
Gaza	NP	Gaza
Reports	NPS	Reports
of	IN	of
gunshots	NNS	gunshot
inside	IN	inside
Al-Aqsa	NP	Al-Aqsa
Hospital.jpg</thumbnail_path>	NP	Hospital.jpg</thumbnail_path>
<publish_date>20240709</publish_date>	NN	<publish_date>20240709</publish_date>
<doc>	NN	<doc>
and	CC	and
let	VV	let
me	PP	me
also	RB	also
remind	VV	remind
you	PP	you
Samy	NP	Samy
that	IN/that	that
people	NNS	people
um	RB	um
evacuate	VV	evacuate
and	CC	and
flee	VV	flee
their	PP$	their
houses	NNS	house
without	IN	without
taking	VVG	take
like	IN	like
even	RB	even
their	PP$	their
food	NN	food
so	IN	so
people	NNS	people
start	VVP	start
looking	VVG	look
from	IN	from
scratch	NN	scratch
for	IN	for
food	NN	food
for	IN	for
stock	NN	stock
of	IN	of
food	NN	food
and	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
it's	NNS	it's
very	RB	very
miserable	JJ	miserable
and	CC	and
also	RB	also
the	DT	the
situation	NN	situation
where	WRB	where
people	NNS	people
are	VBP	be
evacuating	VVG	evacuate
and	CC	and
garbage	NN	garbage
is	VBZ	be
everywhere	RB	everywhere
sewage	NN	sewage
is	VBZ	be
everywhere	RB	everywhere
and	CC	and
and	CC	and
and	CC	and
it's	NNS	it's
very	RB	very
hard	RB	hard
it	PP	it
I	PP	I
think	VVP	think
there's	RB	there's
something	NN	something
going	VVG	go
on	IN	on
um	JJ	um
there's	NNS	there's
toothing	VVG	tooth
around	IN	around
us	PP	us
H	NN	H
shall	MD	shall
we	PP	we
let	VV	let
you	PP	you
you	PP	you
take	VVP	take
cover	VV	cover
I	PP	I
think	VV	think
I	PP	I
think	VV	think
yes	UH	yes
yes	UH	yes
hind	NNS	hind
I	PP	I
think	VVP	think
we're	NN	we're
going	VVG	go
to	TO	to
let	VV	let
you	PP	you
take	VV	take
cover	VV	cover
and	CC	and
when	WRB	when
things	NNS	thing
settle	VV	settle
down	RB	down
and	CC	and
you're	RB	you're
safe	JJ	safe
we	PP	we
come	VVP	come
back	RB	back
to	TO	to
