thanks	NNS	thanks
for	IN	for
joining	VVG	join
us	PP	us
we	PP	we
start	VVP	start
in	IN	in
Gaza	NP	Gaza
where	WRB	where
Israeli	JJ	Israeli
strikes	NNS	strike
are	VBP	be
once	RB	once
again	RB	again
targeting	VVG	target
civilians	NNS	civilian
in	IN	in
every	DT	every
corner	NN	corner
of	IN	of
the	DT	the
strip	NN	strip
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
more	JJR	more
than	IN	than
S	NP	S
months	NNS	month
of	IN	of
unrelenting	JJ	unrelenting
bombardment	NN	bombardment
and	CC	and
just	RB	just
a	DT	a
short	JJ	short
while	IN	while
ago	RB	ago
the	DT	the
main	JJ	main
UN	NP	UN
Agency	NP	Agency
for	IN	for
Palestinian	JJ	Palestinian
refugees	NNS	refugee
unra	NN	unra
said	VVD	say
it	PP	it
was	VBD	be
suspending	VVG	suspend
food	NN	food
distribution	NN	distribution
because	IN	because
of	IN	of
security	NN	security
concerns	NNS	concern
unra	NN	unra
says	VVZ	say
it	PP	it
has	VHZ	have
also	RB	also
run	VVN	run
out	RP	out
of	IN	of
supplies	NNS	supply
to	TO	to
replenish	VV	replenish
its	PP$	its
warehouses	NNS	warehouse
because	IN	because
food	NN	food
hasn	NN	hasn
'	POS	'
t	NN	t
entered	VVD	enter
the	DT	the
strip	NN	strip
more	RBR	more
than	IN	than
half	NN	half
of	IN	of
the	DT	the
population	NN	population
of	IN	of
Gaza	NP	Gaza
depends	VVZ	depend
on	IN	on
food	NN	food
aid	NN	aid
from	IN	from
un	NNS	un
well	RB	well
let	VVP	let
'	POS	'
s	NNS	s
get	VVP	get
the	DT	the
very	RB	very
latest	JJS	late
with	IN	with
hind	JJ	hind
alri	NP	alri
who	WP	who
'	POS	'
s	NN	S
in	IN	in
De	NP	De
Bala	NP	Bala
in	IN	in
central	JJ	central
Gaza	NP	Gaza
and	CC	and
hind	JJ	hind
unra	NN	unra
as	IN	as
we	PP	we
mentioned	VVD	mention
there	RB	there
citing	VVG	cite
security	NN	security
concerns	NNS	concern
and	CC	and
a	DT	a
lack	NN	lack
of	IN	of
supplies	NNS	supply
for	IN	for
this	DT	this
decision	NN	decision
to	TO	to
cease	VV	cease
a	DT	a
to	TO	to
Rafa	NP	Rafa
but	CC	but
what	WP	what
does	VVZ	do
that	DT	that
mean	NN	mean
for	IN	for
the	DT	the
population	NN	population
there	RB	there
well	RB	well
it	PP	it
means	VVZ	mean
that	IN/that	that
the	DT	the
situation	NN	situation
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
more	RBR	more
catastrophic	JJ	catastrophic
we	PP	we
'	''	'
re	IN	re
talking	VVG	talk
about	RB	about
more	JJR	more
than	IN	than
half	PDT	half
the	DT	the
population	NN	population
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
that	WDT	that
completely	RB	completely
rely	VVP	rely
on	IN	on
uh	UH	uh
food	NN	food
distributions	NNS	distribution
from	IN	from
onwa	NP	onwa
onwa	NP	onwa
released	VVD	release
that	IN/that	that
they	PP	they
will	MD	will
suspend	VV	suspend
their	PP$	their
uh	UH	uh
food	NN	food
distribution	NN	distribution
uh	UH	uh
due	JJ	due
to	TO	to
the	DT	the
lack	NN	lack
of	IN	of
supplies	NNS	supply
and	CC	and
security	NN	security
but	CC	but
let	VV	let
'	''	'
s	NNS	s
let	VVP	let
me	PP	me
explain	VV	explain
this	DT	this
we	PP	we
'	POS	'
re	NN	re
talking	VVG	talk
about	RB	about
more	JJR	more
than	IN	than
1	CD	@card@
million	CD	million
Palestinians	NPS	Palestinians
who	WP	who
were	VBD	be
seeking	VVG	seek
refuge	NN	refuge
in	IN	in
uh	UH	uh
Rafa	NP	Rafa
now	RB	now
they	PP	they
have	VHP	have
been	VBN	be
displaced	VVN	displace
for	IN	for
more	JJR	more
than	IN	than
a	DT	a
couple	NN	couple
of	IN	of
times	NNS	time
they	PP	they
are	VBP	be
they	PP	they
moved	VVN	move
to	TO	to
kanun	NN	kanun
and	CC	and
to	TO	to
um	NN	um
the	DT	the
middle	JJ	middle
area	NN	area
and	CC	and
they	PP	they
do	VVP	do
not	RB	not
have	VH	have
any	DT	any
type	NN	type
of	IN	of
food	NN	food
assistance	NN	assistance
the	DT	the
prices	NNS	price
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
are	VBP	be
very	RB	very
high	JJ	high
where	WRB	where
people	NNS	people
have	VHP	have
not	RB	not
been	VBN	be
working	VVG	work
for	IN	for
more	JJR	more
than	IN	than
S	NP	S
months	NNS	month
right	RB	right
now	RB	now
they	PP	they
they	PP	they
spent	VVD	spend
all	PDT	all
their	PP$	their
savings	NNS	saving
and	CC	and
the	DT	the
only	JJ	only
way	NN	way
they	PP	they
'	POS	'
re	NN	re
relying	VVG	rely
on	IN	on
food	NN	food
and	CC	and
getting	VVG	get
food	NN	food
and	CC	and
feeding	VVG	feed
their	PP$	their
children	NNS	child
is	VBZ	be
Ona	NP	Ona
and	CC	and
other	JJ	other
a	DT	a
organizations	NNS	organization
but	CC	but
this	DT	this
was	VBD	be
expected	VVN	expect
especially	RB	especially
that	IN/that	that
for	IN	for
more	JJR	more
than	IN	than
2	CD	@card@
weeks	NNS	week
now	RB	now
nothing	NN	nothing
is	VBZ	be
being	VBG	be
entering	VVG	enter
from	IN	from
uh	UH	uh
K	NP	K
Abu	NP	Abu
Salim	NP	Salim
and	CC	and
the	DT	the
Rafa	NP	Rafa
Crossing	VVG	cross
where	WRB	where
all	DT	all
of	IN	of
the	DT	the
Commodities	NNS	commodity
the	DT	the
food	NN	food
commodities	NNS	commodity
and	CC	and
the	DT	the
fuel	NN	fuel
are	VBP	be
not	RB	not
entering	VVG	enter
and	CC	and
this	DT	this
is	VBZ	be
leading	VVG	lead
for	IN	for
a	DT	a
very	RB	very
dire	JJ	dire
situation	NN	situation
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
all	DT	all
right	JJ	right
hindel	NN	hindel
kudri	NNS	kudri
speaking	VVG	speak
to	TO	to
us	PP	us
from	IN	from
dear	JJ	dear
albala	NN	albala
thank	VV	thank
you	PP	you
Scott	NP	Scott
Anderson	NP	Anderson
is	VBZ	be
director	NN	director
of	IN	of
unra	NP	unra
Affairs	NPS	Affairs
in	IN	in
Gaza	NP	Gaza
and	CC	and
he	PP	he
joins	VVZ	join
us	PP	us
from	IN	from
Rafa	NP	Rafa
itself	PP	itself
uh	UH	uh
a	DT	a
very	RB	very
warm	JJ	warm
welcome	NN	welcome
to	TO	to
you	PP	you
so	RB	so
first	JJ	first
of	IN	of
all	DT	all
please	RB	please
can	MD	can
you	PP	you
explain	VV	explain
to	TO	to
us	PP	us
what	WP	what
underscores	VVZ	underscore
this	DT	this
decision	NN	decision
not	RB	not
to	TO	to
operate	VV	operate
in	IN	in
Rafa	NP	Rafa
given	VVN	give
how	WRB	how
dependent	JJ	dependent
so	IN	so
many	JJ	many
people	NNS	people
are	VBP	be
on	IN	on
your	PP$	your
help	NN	help
thank	VV	thank
you	PP	you
for	IN	for
having	VHG	have
me	PP	me
on	IN	on
this	DT	this
evening	NN	evening
and	CC	and
secondly	RB	secondly
our	PP$	our
health	NN	health
centers	NNS	center
in	IN	in
Rafa	NP	Rafa
Camp	NP	Camp
were	VBD	be
both	DT	both
imped	VVN	imp
by	IN	by
the	DT	the
operation	NN	operation
and	CC	and
the	DT	the
evacuation	NN	evacuation
orders	NNS	order
um	JJ	um
so	IN	so
we	PP	we
have	VHP	have
two	CD	two
Health	NP	Health
Centers	NPS	Centers
sh	NN	sh
Rafa	NP	Rafa
Rafa	NP	Rafa
Camp	NP	Camp
Health	NP	Health
Center	NP	Center
both	CC	both
those	DT	those
unfortunately	RB	unfortunately
were	VBD	be
in	IN	in
the	DT	the
evacuation	NN	evacuation
Zone	NP	Zone
um	NN	um
which	WDT	which
is	VBZ	be
a	DT	a
significant	JJ	significant
security	NN	security
risk	NN	risk
staff	NN	staff
but	CC	but
also	RB	also
anyone	NN	anyone
that	WDT	that
would	MD	would
be	VB	be
seeking	VVG	seek
Care	NP	Care
at	IN	at
those	DT	those
facilities	NNS	facility
and	CC	and
as	IN	as
a	DT	a
result	NN	result
we	PP	we
'	POS	'
ve	NN	ve
had	VHD	have
to	TO	to
suspend	VV	suspend
operations	NNS	operation
this	DT	this
is	VBZ	be
the	DT	the
combats	NNS	combat
exacerbated	VVD	exacerbate
by	IN	by
that	IN/that	that
we	PP	we
'	''	'
re	IN	re
having	VHG	have
significant	JJ	significant
supply	NN	supply
issues	NNS	issue
in	IN	in
terms	NNS	term
of	IN	of
getting	VVG	get
enough	JJ	enough
food	NN	food
medicine	NN	medicine
and	CC	and
other	JJ	other
things	NNS	thing
in	IN	in
to	TO	to
sustain	VV	sustain
the	DT	the
operation	NN	operation
what	WDT	what
conditions	NNS	condition
would	MD	would
need	VV	need
to	TO	to
be	VB	be
met	VVN	meet
for	IN	for
you	PP	you
to	TO	to
continue	VV	continue
operating	VVG	operate
again	RB	again
I	PP	I
mean	VVP	mean
I	PP	I
think	VVP	think
that	IN/that	that
we	PP	we
need	VVP	need
a	DT	a
cation	NN	cation
of	IN	of
combat	NN	combat
ideally	RB	ideally
I	PP	I
mean	VVP	mean
we	PP	we
need	VVP	need
to	TO	to
have	VH	have
a	DT	a
safe	JJ	safe
environment	NN	environment
so	IN	so
our	PP$	our
staff	NN	staff
can	MD	can
operate	VV	operate
same	JJ	same
people	NNS	people
the	DT	the
innocent	JJ	innocent
civilians	NNS	civilian
that	IN/that	that
we	PP	we
treat	VV	treat
uh	UH	uh
can	MD	can
seek	VV	seek
treatment	NN	treatment
um	NNS	um
safely	RB	safely
so	RB	so
what	WP	what
we	PP	we
need	VVP	need
is	VBZ	be
an	DT	an
end	NN	end
to	TO	to
the	DT	the
current	JJ	current
operation	NN	operation
we	PP	we
need	VVP	need
the	DT	the
supply	NN	supply
open	VVP	open
you	PP	you
know	VVP	know
ideally	RB	ideally
we	PP	we
would	MD	would
have	VH	have
350	CD	@card@
trucks	NNS	truck
a	DT	a
day	NN	day
at	IN	at
a	DT	a
minimum	NN	minimum
just	RB	just
the	DT	the
popul	NP	popul
Gaza	NP	Gaza
if	IN	if
they	PP	they
all	RB	all
had	VHD	have
the	DT	the
right	JJ	right
cargo	NN	cargo
at	IN	at
the	DT	the
right	JJ	right
time	NN	time
we	PP	we
'	POS	'
re	NN	re
near	IN	near
that	IN/that	that
now	RB	now
we	PP	we
'	''	'
re	IN	re
less	JJR	less
than	IN	than
200	CD	@card@
trucks	NNS	truck
a	DT	a
day	NN	day
coming	VVG	come
in	IN	in
for	IN	for
uh	UH	uh
bringing	VVG	bring
in	IN	in
the	DT	the
aid	NN	aid
that	IN/that	that
everyone	NN	everyone
so	RB	so
desperately	RB	desperately
needs	VVZ	need
there	EX	there
are	VBP	be
a	DT	a
few	JJ	few
glitches	NNS	glitch
on	IN	on
the	DT	the
line	NN	line
but	CC	but
we	PP	we
can	MD	can
mostly	RB	mostly
hear	VV	hear
you	PP	you
so	IN	so
we	PP	we
will	MD	will
persist	VV	persist
Mr	NP	Mr
Anderson	NP	Anderson
let	VVD	let
me	PP	me
ask	VVP	ask
you	PP	you
this	DT	this
because	IN	because
the	DT	the
unra	NN	unra
chief	JJ	chief
Philip	NP	Philip
lazarini	NP	Lazarini
recently	RB	recently
spoke	VVD	speak
about	IN	about
physical	JJ	physical
violence	NN	violence
faced	VVN	face
by	IN	by
unra	NN	unra
workers	NNS	worker
operating	VVG	operate
across	IN	across
the	DT	the
Palestinian	JJ	Palestinian
territories	NNS	territory
can	MD	can
you	PP	you
give	VV	give
us	PP	us
a	DT	a
sense	NN	sense
of	IN	of
what	WP	what
that	DT	that
looks	NNS	look
like	IN	like
I	PP	I
mean	VVP	mean
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
exactly	RB	exactly
that	IN/that	that
it	PP	it
'	POS	'
s	NN	S
just	RB	just
many	JJ	many
forms	NNS	form
there	RB	there
'	''	'
s	NN	S
violence	NN	violence
from	IN	from
people	NNS	people
that	WDT	that
are	VBP	be
seeking	VVG	seek
food	NN	food
there	RB	there
there	RB	there
'	''	'
s	NN	S
violence	NN	violence
that	IN/that	that
results	NNS	result
from	IN	from
the	DT	the
the	DT	the
current	JJ	current
conflict	NN	conflict
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
and	CC	and
it	PP	it
'	POS	'
s	NN	S
very	RB	very
much	RB	much
just	RB	just
people	NNS	people
being	VBG	be
trapped	VVN	trap
in	IN	in
a	DT	a
very	RB	very
small	JJ	small
space	NN	space
with	IN	with
nowhere	RB	nowhere
to	TO	to
go	VV	go
to	TO	to
seek	VV	seek
safety	NN	safety
um	NNS	um
and	CC	and
it	PP	it
'	POS	'
s	JJ	s
unfortunate	JJ	unfortunate
um	NNS	um
you	PP	you
know	VVP	know
many	JJ	many
of	IN	of
our	PP$	our
staff	NN	staff
have	VHP	have
died	VVN	die
during	IN	during
this	DT	this
conflict	NN	conflict
