while	IN	while
Israeli	JJ	Israeli
soldiers	NNS	soldier
have	VHP	have
also	RB	also
shot	VVN	shoot
and	CC	and
killed	VVN	kill
a	DT	a
Palestinian	JJ	Palestinian
Carpenter	NP	Carpenter
who	WP	who
'	POS	'
s	NNS	s
a	DT	a
father	NN	father
of	IN	of
six	CD	six
near	JJ	near
nablas	NNS	nablas
the	DT	the
39	CD	@card@
-	NN	-
year	NN	year
-	NN	-
old	JJ	old
was	VBD	be
initially	RB	initially
attacked	VVN	attack
by	IN	by
Israeli	JJ	Israeli
settlers	NNS	settler
in	IN	in
the	DT	the
town	NN	town
of	IN	of
karwat	NN	karwat
bani	NN	bani
Hassan	NP	Hassan
settlers	NNS	settler
then	RB	then
forced	VVD	force
him	PP	him
out	RP	out
of	IN	of
his	PP$	his
car	NN	car
and	CC	and
burned	VVD	burn
it	PP	it
before	IN	before
he	PP	he
was	VBD	be
shot	VVN	shoot
in	IN	in
the	DT	the
neck	NN	neck
by	IN	by
an	DT	an
Israeli	JJ	Israeli
soldier	NN	soldier
elsewhere	RB	elsewhere
in	IN	in
the	DT	the
West	JJ	West
Bank	NP	Bank
10	CD	@card@
masked	VVD	mask
Israeli	JJ	Israeli
settlers	NNS	settler
raided	VVD	raid
a	DT	a
Palestinian	JJ	Palestinian
owned	VVN	own
restaurant	NN	restaurant
in	IN	in
the	DT	the
village	NN	village
of	IN	of
Saia	NP	Saia
security	NN	security
camera	NN	camera
footage	NN	footage
captured	VVN	capture
at	IN	at
the	DT	the
moment	NN	moment
of	IN	of
the	DT	the
attack	NN	attack
you	PP	you
'	POS	'
re	NN	re
seeing	VVG	see
there	RB	there
which	WDT	which
clearly	RB	clearly
caused	VVD	cause
significant	JJ	significant
damage	NN	damage
to	TO	to
that	DT	that
building	NN	building
well	RB	well
let	VVD	let
'	''	'
s	NNS	s
now	RB	now
speak	VVP	speak
to	TO	to
our	PP$	our
correspondent	NN	correspondent
who	WP	who
'	POS	'
s	NN	S
on	IN	on
the	DT	the
ground	NN	ground
there	RB	there
for	IN	for
us	PP	us
Abid	NP	Abid
is	VBZ	be
in	IN	in
Hebron	NP	Hebron
H	NP	H
tell	VV	tell
us	PP	us
what	WP	what
you	PP	you
'	POS	'
ve	RB	ve
been	VBN	be
seeing	VVG	see
there	RB	there
where	WRB	where
you	PP	you
are	VBP	be
well	RB	well
there	RB	there
have	VH	have
been	VBN	be
several	JJ	several
uh	UH	uh
raids	NNS	raid
overnight	RB	overnight
here	RB	here
in	IN	in
Hebron	NP	Hebron
in	IN	in
total	JJ	total
eight	CD	eight
