<video_id>ZVgJkjFAZb8</video_id>	NP	<video_id>ZVgJkjFAZb8</video_id>
<video_title>Why	NP	<video_title>Why
did	VVD	do
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
intelligence	NN	intelligence
chief	NN	chief
resign	VV	resign
now?:	JJ	now?:
Israeli	JJ	Israeli
political	JJ	political
analyst</video_title>	NN	analyst</video_title>
<thumbnail_path>data/en_AJ\Why	NN	<thumbnail_path>data/en_AJ\Why
did	VVD	do
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
intelligence	NN	intelligence
chief	NN	chief
resign	VV	resign
now	RB	now
Israeli	JJ	Israeli
political	JJ	political
analyst.jpg</thumbnail_path>	NN	analyst.jpg</thumbnail_path>
<publish_date>20240422</publish_date>	NN	<publish_date>20240422</publish_date>
<doc>	NN	<doc>
Israel's	NP	Israel's
Military	NP	Military
Intelligence	NP	Intelligence
Chief	NP	Chief
has	VHZ	have
stood	VVN	stand
down	RP	down
after	IN	after
saying	VVG	say
he	PP	he
takes	VVZ	take
responsibility	NN	responsibility
for	IN	for
the	DT	the
lapse	NN	lapse
in	IN	in
Security	NP	Security
on	IN	on
October	NP	October
the	DT	the
7th	JJ	7th
Let's	NP	Let's
cross	VVP	cross
over	RP	over
to	TO	to
Bernard	NP	Bernard
Smith	NP	Smith
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
uh	UH	uh
this	DT	this
is	VBZ	be
news	NN	news
that's	NNS	that's
just	RB	just
emerging	VVG	emerge
Bernard	NP	Bernard
but	CC	but
quite	RB	quite
significant	JJ	significant
news	NN	news
indeed	RB	indeed
sahal	JJ	sahal
Major	NP	Major
General	NP	General
Aran	NP	Aran
aan	NN	aan
haliva	NN	haliva
is	VBZ	be
the	DT	the
most	RBS	most
senior	JJ	senior
member	NN	member
of	IN	of
the	DT	the
Israeli	JJ	Israeli
military	NN	military
to	TO	to
resign	VV	resign
as	IN	as
a	DT	a
consequence	NN	consequence
of	IN	of
the	DT	the
Hamas	JJ	Hamas
attack	NN	attack
on	IN	on
Israel	NP	Israel
on	IN	on
October	NP	October
the	DT	the
7	CD	@card@
he	PP	he
said	VVD	say
in	IN	in
his	PP$	his
actual	JJ	actual
in	IN	in
his	PP$	his
resignation	NN	resignation
or	CC	or
retirement	NN	retirement
statement	NN	statement
he	PP	he
said	VVD	say
the	DT	the
Intelligence	NP	Intelligence
Division	NP	Division
did	VVD	do
not	RB	not
live	VV	live
up	RP	up
to	TO	to
the	DT	the
task	NN	task
we	PP	we
were	VBD	be
entrusted	VVN	entrust
with	IN	with
we	PP	we
know	VVP	know
now	RB	now
that	IN/that	that
there	EX	there
was	VBD	be
a	DT	a
major	JJ	major
failure	NN	failure
of	IN	of
Israeli	JJ	Israeli
intelligence	NN	intelligence
that	WDT	that
led	VVD	lead
up	RP	up
to	TO	to
October	NP	October
the	DT	the
7th	JJ	7th
that	IN/that	that
allowed	VVN	allow
Hamas	NNS	Hamas
to	TO	to
get	VV	get
away	RP	away
with	IN	with
this	DT	this
large	JJ	large
scale	NN	scale
attack	NN	attack
on	IN	on
Israeli	JJ	Israeli
territory	NN	territory
we	PP	we
know	VVP	know
now	RB	now
that	IN/that	that
for	IN	for
up	RB	up
to	TO	to
a	DT	a
year	NN	year
before	IN	before
Israel	NP	Israel
intelligence	NN	intelligence
had	VHD	have
got	VVN	get
hands	NNS	hand
on	IN	on
a	DT	a
Hamas	JJ	Hamas
document	NN	document
that	WDT	that
laid	VVD	lay
out	RP	out
the	DT	the
plans	NNS	plan
for	IN	for
the	DT	the
October	NP	October
the	DT	the
7th	JJ	7th
attack	NN	attack
and	CC	and
that	IN/that	that
happened	VVN	happen
pretty	RB	pretty
much	RB	much
as	IN	as
as	IN	as
th	NN	th
as	IN	as
those	DT	those
plans	NNS	plan
had	VHD	have
been	VBN	be
laid	VVN	lay
out	IN	out
we	PP	we
know	VVP	know
that	IN/that	that
spotters	NNS	spotter
watching	VVG	watch
from	IN	from
the	DT	the
towers	NNS	tower
around	IN	around
Gaza	NP	Gaza
in	IN	in
the	DT	the
weeks	NNS	week
and	CC	and
months	NNS	month
leading	VVG	lead
up	RP	up
to	TO	to
October	NP	October
7th	JJ	7th
Israeli	JJ	Israeli
military	JJ	military
spotters	NNS	spotter
had	VHD	have
said	VVN	say
they'd	NNS	they'd
seen	VVN	see
a	DT	a
lot	NN	lot
of	IN	of
unusual	JJ	unusual
activity	NN	activity
they	PP	they
said	VVD	say
they'd	NNS	they'd
seen	VVN	see
Hamas	VVZ	Hamas
uh	UH	uh
battalions	NNS	battalion
preparing	VVG	prepare
for	IN	for
some	DT	some
sort	NN	sort
of	IN	of
assault	NN	assault
rehearsing	VVG	rehearse
something	NN	something
all	RB	all
of	IN	of
this	DT	this
was	VBD	be
ignored	VVN	ignore
at	IN	at
the	DT	the
very	RB	very
highest	JJS	high
level	NN	level
of	IN	of
the	DT	the
military	JJ	military
and	CC	and
the	DT	the
government	NN	government
because	IN	because
there	EX	there
was	VBD	be
this	DT	this
belief	NN	belief
that	IN/that	that
hamus	NNS	hamus
was	VBD	be
not	RB	not
interested	JJ	interested
in	IN	in
launching	VVG	launch
a	DT	a
military	JJ	military
assault	NN	assault
on	IN	on
Israel	NP	Israel
Hamas	NP	Hamas
was	VBD	be
more	RBR	more
interested	JJ	interested
in	IN	in
managing	VVG	manage
Gaza	NP	Gaza
they	PP	they
got	VVD	get
that	IN/that	that
spectacularly	RB	spectacularly
wrong	JJ	wrong
the	DT	the
head	NN	head
of	IN	of
military	JJ	military
intelligence	NN	intelligence
akan	NN	akan
Aliva	NP	Aliva
has	VHZ	have
accepted	VVN	accept
responsibility	NN	responsibility
for	IN	for
that	WDT	that
he	PP	he
he	PP	he
accepted	VVD	accept
responsibility	NN	responsibility
a	DT	a
couple	NN	couple
about	IN	about
a	DT	a
week	NN	week
after	IN	after
the	DT	the
attacks	NNS	attack
he's	NNS	he's
going	VVG	go
to	TO	to
stay	VV	stay
in	IN	in
post	NN	post
and	CC	and
until	IN	until
his	PP$	his
replacement	NN	replacement
is	VBZ	be
found	VVN	find
and	CC	and
he's	NNS	he's
also	RB	also
called	VVN	call
for	IN	for
the	DT	the
establishment	NN	establishment
of	IN	of
a	DT	a
state	NN	state
investigating	VVG	investigate
committee	NN	committee
to	TO	to
look	VV	look
into	IN	into
everything	NN	everything
led	VVN	lead
up	RP	up
to	TO	to
October	NP	October
the	DT	the
7th	JJ	7th
of	IN	of
course	NN	course
the	DT	the
government's	NNS	government's
not	RB	not
done	VVN	do
that	IN/that	that
yet	RB	yet
it	PP	it
says	VVZ	say
it	PP	it
wants	VVZ	want
to	TO	to
carry	VV	carry
on	IN	on
first	JJ	first
finished	VVD	finish
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
facing	VVG	face
criticism	NN	criticism
that	IN/that	that
he's	NNS	he's
prolonging	VVG	prolong
this	DT	this
war	NN	war
in	IN	in
Gaza	NP	Gaza
to	TO	to
avoid	VV	avoid
setting	VVG	set
up	RP	up
this	DT	this
committee	NN	committee
and	CC	and
the	DT	the
Reckoning	NN	reckoning
that	WDT	that
will	MD	will
come	VV	come
with	IN	with
it	PP	it
when	WRB	when
he	PP	he
is	VBZ	be
the	DT	the
prime	JJ	prime
minister	NN	minister
is	VBZ	be
uh	UH	uh
might	MD	might
have	VH	have
to	TO	to
take	VV	take
responsibility	NN	responsibility
himself	PP	himself
for	IN	for
October	NP	October
the	DT	the
7	CD	@card@
yeah	RB	yeah
B	NP	B
thanks	NNS	thanks
very	RB	very
much	RB	much
for	IN	for
that	DT	that
update	NN	update
bener	JJR	ben
Smith	NP	Smith
there	RB	there
for	IN	for
us	PP	us
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
Let's	NP	Let's
cross	VVP	cross
over	RP	over
to	TO	to
AKA	NN	aka
a	DT	a
political	JJ	political
analyst	NN	analyst
and	CC	and
contributor	NN	contributor
to	TO	to
heret	NN	heret
newspaper	NN	newspaper
in	IN	in
Israel	NP	Israel
and	CC	and
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
Tel	NP	Tel
Aviv	NP	Aviv
Mr	NP	Mr
Elder	NP	Elder
always	RB	always
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
you	PP	you
on	IN	on
