Reed	NP	Reed
Brody	NP	Brody
is	VBZ	be
a	DT	a
war	NN	war
crimes	NNS	crime
prosecutor	NN	prosecutor
and	CC	and
author	NN	author
of	IN	of
the	DT	the
book	NN	book
to	TO	to
catch	VV	catch
a	DT	a
dictator	NN	dictator
and	CC	and
he	PP	he
'	POS	'
s	NN	S
joining	VVG	join
us	PP	us
live	VVP	live
from	IN	from
New	NP	New
York	NP	York
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
your	PP$	your
time	NN	time
Mr	NP	Mr
Brody	NP	Brody
uh	UH	uh
your	PP$	your
reaction	NN	reaction
firstly	RB	firstly
to	TO	to
the	DT	the
Court	NP	Court
'	POS	'
s	NN	S
ruling	NN	ruling
and	CC	and
what	WP	what
you	PP	you
'	POS	'
ve	NN	ve
heard	VVD	hear
well	RB	well
I	PP	I
think	VVP	think
this	DT	this
this	NN	this
is	VBZ	be
just	RB	just
huge	JJ	huge
um	NN	um
the	DT	the
the	DT	the
the	DT	the
icj	NN	icj
has	VHZ	have
really	RB	really
stepped	VVN	step
up	RP	up
uh	UH	uh
to	TO	to
confront	VV	confront
the	DT	the
reality	NN	reality
of	IN	of
the	DT	the
escalation	NN	escalation
uh	UH	uh
in	IN	in
in	IN	in
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
I	PP	I
mean	VVP	mean
these	DT	these
are	VBP	be
very	RB	very
specific	JJ	specific
orders	NNS	order
um	NNS	um
you	PP	you
know	VVP	know
stop	VV	stop
the	DT	the
offensive	NN	offensive
in	IN	in
Rafa	NP	Rafa
open	VVP	open
the	DT	the
Rafa	NP	Rafa
border	NN	border
crossing	NN	crossing
allow	VVP	allow
in	IN	in
fact	NN	fact
finding	VVG	find
missions	NNS	mission
there	RB	there
'	''	'
s	NNS	s
not	RB	not
a	DT	a
lot	NN	lot
of	IN	of
wiggle	NN	wiggle
room	NN	room
here	RB	here
um	VVZ	um
I	PP	I
I	NP	I
'	POS	'
m	NN	m
really	RB	really
impressed	VVD	impress
well	RB	well
first	JJ	first
of	IN	of
all	DT	all
by	IN	by
South	NP	South
Africa	NP	Africa
'	POS	'
