domestic	JJ	domestic
pressure	NN	pressure
is	VBZ	be
increasing	VVG	increase
on	IN	on
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
to	TO	to
stop	VV	stop
weapons	NNS	weapon
being	VBG	be
sent	VVN	send
from	IN	from
the	DT	the
US	NP	US
to	TO	to
Israel	NP	Israel
key	JJ	key
Ally	NP	Ally
and	CC	and
former	JJ	former
house	NN	house
Speaker	NP	Speaker
ncy	NP	ncy
Pelosi	NP	Pelosi
is	VBZ	be
among	IN	among
those	DT	those
who	WP	who
have	VHP	have
signed	VVN	sign
a	DT	a
letter	NN	letter
from	IN	from
dozens	NNS	dozen
of	IN	of
congressional	JJ	congressional
Democrats	NNS	democrat
the	DT	the
letter	NN	letter
says	VVZ	say
this	DT	this
in	IN	in
light	NN	light
of	IN	of
the	DT	the
recent	JJ	recent
strike	NN	strike
against	IN	against
Aid	NN	aid
workers	NNS	worker
and	CC	and
the	DT	the
ever	RB	ever
worsening	VVG	worsen
humanitarian	JJ	humanitarian
crisis	NN	crisis
we	PP	we
believe	VVP	believe
it	PP	it
is	VBZ	be
unjustifiable	JJ	unjustifiable
to	TO	to
approve	VV	approve
these	DT	these
weapons	NNS	weapon
transfers	NNS	transfer
now	RB	now
it	PP	it
goes	VVZ	go
on	RP	on
to	TO	to
say	VV	say
if	IN	if
it	PP	it
is	VBZ	be
found	VVN	find
that	IN/that	that
the	DT	the
strike	NN	strike
violated	VVD	violate
us	PP	us
or	CC	or
international	JJ	international
law	NN	law
those	DT	those
responsible	JJ	responsible
must	MD	must
be	VB	be
held	VVN	hold
accountable	JJ	accountable
okay	NN	okay
for	IN	for
more	JJR	more
on	IN	on
this	DT	this
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
go	VV	go
now	RB	now
to	TO	to
shab	NN	shab
renzi	NN	renzi
who	WP	who
is	VBZ	be
in	IN	in
Washington	NP	Washington
DC	NP	DC
for	IN	for
us	PP	us
and	CC	and
as	IN	as
we	PP	we
know	VVP	know
for	IN	for
some	DT	some
time	NN	time
Biden	NP	Biden
has	VHZ	have
resisted	VVN	resist
these	DT	these
calls	NNS	call
to	TO	to
stop	VV	stop
weapons	NNS	weapon
uh	UH	uh
shipments	NNS	shipment
to	TO	to
Israel	NP	Israel
is	VBZ	be
there	RB	there
any	DT	any
sign	NN	sign
that	IN/that	that
this	DT	this
letter	NN	letter
is	VBZ	be
actually	RB	actually
going	VVG	go
to	TO	to
make	VV	make
any	DT	any
difference	NN	difference
at	IN	at
this	DT	this
point	NN	point
not	RB	not
yet	RB	yet
John	NP	John
Kirby	NP	Kirby
at	IN	at
the	DT	the
White	NP	White
House	NP	House
on	IN	on
Friday	NP	Friday
said	VVD	say
two	CD	two
things	NNS	thing
related	VVN	relate
to	TO	to
this	DT	this
letter	NN	letter
I	PP	I
suppose	VVP	suppose
is	VBZ	be
that	IN/that	that
one	PP	one
the	DT	the
letter	NN	letter
is	VBZ	be
calling	VVG	call
for	IN	for
a	DT	a
US	NP	US
investigator	NN	investigator
into	IN	into
what	WP	what
happened	VVD	happen
to	TO	to
those	DT	those
World	NP	World
Central	NP	Central
Kitchen	NP	Kitchen
a	DT	a
Aid	NP	Aid
workers	NNS	worker
Kirby	NP	Kirby
said	VVD	say
there	EX	there
'	''	'
s	NN	S
no	RB	no
plans	VVZ	plan
for	IN	for
any	DT	any
kind	NN	kind
of	IN	of
us	PP	us
investigation	NN	investigation
and	CC	and
there	EX	there
'	''	'
s	NN	S
no	RB	no
plans	VVZ	plan
for	IN	for
uh	UH	uh
any	DT	any
curtailment	NN	curtailment
of	IN	of
of	IN	of
weapons	NNS	weapon
uh	UH	uh
of	IN	of
weapons	NNS	weapon
transfers	NNS	transfer
at	IN	at
at	IN	at
the	DT	the
moment	NN	moment
so	RB	so
yeah	RB	yeah
I	PP	I
mean	VVP	mean
the	DT	the
problem	NN	problem
with	IN	with
this	DT	this
letter	NN	letter
is	VBZ	be
yeah	RB	yeah
this	DT	this
is	VBZ	be
all	DT	all
very	RB	very
well	RB	well
and	CC	and
it	PP	it
'	POS	'
s	NN	S
significant	JJ	significant
Nancy	NP	Nancy
