revolutionary	JJ	revolutionary
guard	NN	guard
has	VHZ	have
also	RB	also
released	VVN	release
a	DT	a
statement	NN	statement
saying	VVG	say
early	RB	early
this	DT	this
morning	NN	morning
that	RB	that
'	POS	'
s	JJ	s
Wednesday	NP	Wednesday
morning	NN	morning
Ismael	NP	Ismael
hania	NP	hania
'	POS	'
s	JJ	s
residence	NN	residence
in	IN	in
tran	NN	tran
was	VBD	be
struck	VVN	strike
resulting	VVG	result
in	IN	in
the	DT	the
marthom	NN	marthom
of	IN	of
him	PP	him
and	CC	and
one	CD	one
of	IN	of
his	PP$	his
bodyguards	NNS	bodyguard
it	PP	it
goes	VVZ	go
on	RP	on
to	TO	to
say	VV	say
the	DT	the
cause	NN	cause
is	VBZ	be
under	IN	under
investigation	NN	investigation
and	CC	and
will	MD	will
be	VB	be
announced	VVN	announce
soon	RB	soon
uh	UH	uh
let	VV	let
'	''	'
s	NNS	s
bring	VVP	bring
in	IN	in
abas	NNS	aba
asani	NNS	asani
he	PP	he
'	POS	'
s	NN	S
a	DT	a
senior	JJ	senior
research	NN	research
fellow	NN	fellow
at	IN	at
the	DT	the
center	NN	center
for	IN	for
Middle	NP	Middle
East	NP	East
strategic	JJ	strategic
studies	NNS	study
he	PP	he
joins	VVZ	join
us	PP	us
via	IN	via
Skype	NP	Skype
from	IN	from
the	DT	the
Iranian	JJ	Iranian
Capital	NP	Capital
um	NN	um
abas	NNS	aba
you	PP	you
'	''	'
re	IN	re
our	PP$	our
first	JJ	first
guest	NN	guest
from	IN	from
Iran	NP	Iran
so	IN	so
it	PP	it
'	POS	'
s	NN	S
really	RB	really
good	JJ	good
to	TO	to
get	VV	get
you	PP	you
now	RB	now
I	PP	I
mean	VVP	mean
how	WRB	how
significant	JJ	significant
from	IN	from
where	WRB	where
you	PP	you
'	POS	'
re	NN	re
sitting	NN	sitting
is	VBZ	be
this	DT	this
assassination	NN	assassination
of	IN	of
Ismail	NP	Ismail
hania	NP	hania
and	CC	and
and	CC	and
and	CC	and
how	WRB	how
is	VBZ	be
this	RB	this
being	VBG	be
viewed	VVN	view
in	IN	in
Iran	NP	Iran
where	WRB	where
you	PP	you
are	VBP	be
given	VVN	give
the	DT	the
political	JJ	political
changes	NNS	change
a	DT	a
new	JJ	new
president	NN	president
uh	UH	uh
well	UH	well
you	PP	you
know	VVP	know
the	DT	the
uh	UH	uh
significance	NN	significance
relates	VVZ	relate
to	TO	to
the	DT	the
official	NN	official
who	WP	who
has	VHZ	have
been	VBN	be
assassinated	VVN	assassinate
the	DT	the
quality	NN	quality
of	IN	of
the	DT	the
assassination	NN	assassination
and	CC	and
the	DT	the
I	PP	I
mean	VVP	mean
the	DT	the
place	NN	place
he	PP	he
was	VBD	be
assassinated	VVN	assassinate
in	IN	in
the	DT	the
capital	NN	capital
city	NN	city
and	CC	and
the	DT	the
context	NN	context
also	RB	also
is	VBZ	be
important	JJ	important
because	IN	because
he	PP	he
was	VBD	be
assassinated	VVN	assassinate
on	IN	on
the	DT	the
I	PP	I
mean	VVP	mean
just	RB	just
after	IN	after
the	DT	the
uh	UH	uh
inauguration	NN	inauguration
ceremony	NN	ceremony
of	IN	of
Iranian	JJ	Iranian
president	NN	president
and	CC	and
meeting	VVG	meet
senior	JJ	senior
Iranian	JJ	Iranian
officials	NNS	official
um	NNS	um
you	PP	you
know	VVP	know
this	DT	this
you	PP	you
at	IN	at
the	DT	the
moment	NN	moment
that	IN/that	that
we	PP	we
speak	VVP	speak
and	CC	and
escalation	NN	escalation
seems	VVZ	seem
inevitable	JJ	inevitable
uh	UH	uh
on	IN	on
the	DT	the
same	JJ	same
that	IN/that	that
new	JJ	new
Iranian	JJ	Iranian
president	NN	president
was	VBD	be
speaking	VVG	speak
of	IN	of
dialogue	NN	dialogue
and	CC	and
engagement	NN	engagement
with	IN	with
the	DT	the
West	NN	west
I	PP	I
think	VVP	think
this	DT	this
is	VBZ	be
happening	VVG	happen
and	CC	and
this	DT	this
could	MD	could
can	MD	can
somehow	RB	somehow
as	RB	as
somewhere	RB	somewhere
predicting	NN	predicting
could	MD	could
complicate	VV	complicate
the	DT	the
engagement	NN	engagement
process	NN	process
between	IN	between
Iran	NP	Iran
and	CC	and
the	DT	the
west	NN	west
and	CC	and
natano	NN	natano
doesn	NN	doesn
'	POS	'
t	NN	t
want	VVP	want
this	DT	this
to	TO	to
happen	VV	happen
uh	UH	uh
also	RB	also
you	PP	you
know	VVP	know
we	PP	we
might	MD	might
be	VB	be
saying	VVG	say
goodby	NN	goodby
for	IN	for
now	RB	now
to	TO	to
the	DT	the
ceasefire	NN	ceasefire
because	IN	because
you	PP	you
know	VVP	know
this	DT	this
can	MD	can
escalate	VV	escalate
into	IN	into
a	DT	a
regional	JJ	regional
war	NN	war
and	CC	and
uh	UH	uh
so	RB	so
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
is	VBZ	be
trying	VVG	try
to	TO	to
do	VV	do
everything	NN	everything
in	IN	in
order	NN	order
to	TO	to
uh	UH	uh
prolong	VV	prolong
his	PP$	his
political	JJ	political
life	NN	life
he	PP	he
wants	VVZ	want
to	TO	to
somehow	RB	somehow
continue	VV	continue
the	DT	the
war	NN	war
and	CC	and
I	PP	I
think	VVP	think
these	DT	these
are	VBP	be
not	RB	not
just	RB	just
only	RB	only
meant	VVN	mean
to	TO	to
impact	VV	impact
the	DT	the
processes	NNS	process
in	IN	in
Teran	NP	Teran
or	CC	or
in	IN	in
the	DT	the
region	NN	region
but	CC	but
also	RB	also
in	IN	in
Washington	NP	Washington
as	IN	as
well	RB	well
he	PP	he
wants	VVZ	want
to	TO	to
somehow	RB	somehow
impact	VV	impact
the	DT	the
political	JJ	political
campaign	NN	campaign
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
maybe	RB	maybe
uh	UH	uh
somehow	RB	somehow
undermining	VVG	undermine
the	DT	the
Democrats	NPS	Democrats
and	CC	and
giving	VVG	give
more	JJR	more
chance	NN	chance
to	TO	to
Donald	NP	Donald
Trump	NP	Trump
and	CC	and
and	CC	and
how	WRB	how
serious	JJ	serious
abas	NNS	aba
now	RB	now
is	VBZ	be
that	DT	that
threat	NN	threat
of	IN	of
escalation	NN	escalation
given	VVN	give
that	IN/that	that
as	IN	as
you	PP	you
say	VVP	say
um	NNS	um
you	PP	you
know	VVP	know
it	PP	it
happened	VVD	happen
on	IN	on
Iranian	JJ	Iranian
Soul	NN	soul
we	PP	we
know	VVP	know
Iran	NP	Iran
isn	NP	isn
'	POS	'
t	NN	t
afraid	JJ	afraid
to	TO	to
hit	VV	hit
back	RB	back
at	IN	at
Israel	NP	Israel
so	IN	so
how	WRB	how
is	VBZ	be
Iran	NP	Iran
likely	JJ	likely
to	TO	to
respond	VV	respond
then	RB	then
militarily	RB	militarily
uh	UH	uh
well	RB	well
it	PP	it
'	POS	'
s	NNS	s
a	DT	a
bit	NN	bit
early	RB	early
to	TO	to
uh	UH	uh
talk	VV	talk
about	IN	about
the	DT	the
quality	NN	quality
and	CC	and
the	DT	the
