<video_id>arFhJZPBV9U</video_id>	JJ	<video_id>arFhJZPBV9U</video_id>
<video_title>‘Gaza	NN	<video_title>‘Gaza
made	VVD	make
unlivable	JJ	unlivable
for	IN	for
military	JJ	military
reasons’:	JJ	reasons’:
Norwegian	JJ	Norwegian
Refugee	NN	refugee
Council</video_title>	NP	Council</video_title>
<thumbnail_path>data/en_AJ\‘Gaza	NP	<thumbnail_path>data/en_AJ\‘Gaza
made	VVD	make
unlivable	JJ	unlivable
for	IN	for
military	JJ	military
reasons’	JJ	reasons’
Norwegian	JJ	Norwegian
Refugee	NN	refugee
Council.jpg</thumbnail_path>	NP	Council.jpg</thumbnail_path>
<publish_date>20240114</publish_date>	NN	<publish_date>20240114</publish_date>
<doc>	NN	<doc>
now	RB	now
around	IN	around
85%	CD	@card@
of	IN	of
Palestinians	NNS	Palestinian
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
have	VHP	have
been	VBN	be
displaced	VVN	displace
since	IN	since
the	DT	the
War	NP	War
Began	NP	Began
ammed	VVD	ammed
bam	NP	bam
is	VBZ	be
spokesman	NN	spokesman
for	IN	for
the	DT	the
Norwegian	JJ	Norwegian
Refugee	NN	refugee
Council	NN	council
and	CC	and
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
Aman	NP	Aman
in	IN	in
Jordan	NP	Jordan
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
what	WP	what
has	VHZ	have
been	VBN	be
the	DT	the
impact	NN	impact
of	IN	of
100	CD	@card@
days	NNS	day
of	IN	of
War	NP	War
as	RB	as
far	RB	far
as	IN	as
you've	NN	you've
seen	VVN	see
it	PP	it
in	IN	in
Gaza	NP	Gaza
good	JJ	good
morning	NN	morning
um	NNS	um
the	DT	the
impact	NN	impact
is	VBZ	be
obviously	RB	obviously
out	RB	out
there	RB	there
for	IN	for
all	RB	all
to	TO	to
see	VV	see
the	DT	the
Norwegian	JJ	Norwegian
Refugee	NN	refugee
Council	NP	Council
and	CC	and
a	DT	a
Oran	NP	Oran
ation	NN	ation
that	WDT	that
operates	VVZ	operate
on	IN	on
the	DT	the
ground	NN	ground
that	WDT	that
has	VHZ	have
operated	VVN	operate
in	IN	in
Gaza	NP	Gaza
for	IN	for
over	IN	over
15	CD	@card@
years	NNS	year
16	CD	@card@
years	NNS	year
has	VHZ	have
of	IN	of
course	NN	course
seen	VVN	see
the	DT	the
impact	NN	impact
firsthand	RB	firsthand
through	IN	through
the	DT	the
over	IN	over
50	CD	@card@
people	NNS	people
50	CD	@card@
colleagues	NNS	colleague
that	IN/that	that
we	PP	we
have	VHP	have
on	IN	on
the	DT	the
ground	NN	ground
who	WP	who
have	VHP	have
experienced	VVN	experience
loss	NN	loss
grief	NN	grief
displacement	NN	displacement
and	CC	and
of	IN	of
course	NN	course
fear	NN	fear
um	NNS	um
their	PP$	their
children	NNS	child
who	WP	who
can't	VVD	can't
have	VH	have
a	DT	a
full	JJ	full
night	NN	night
of	IN	of
sleep	NN	sleep
or	CC	or
100	CD	@card@
days	NNS	day
now	RB	now
they	PP	they
can't	VVD	can't
have	VH	have
a	DT	a
full	JJ	full
meal	NN	meal
for	IN	for
100	CD	@card@
days	NNS	day
and	CC	and
they	PP	they
can't	VVD	can't
have	VH	have
a	DT	a
clean	JJ	clean
drink	NN	drink
of	IN	of
water	NN	water
for	IN	for
100	CD	@card@
days	NNS	day
uh	UH	uh
I	PP	I
think	VVP	think
what	WP	what
we	PP	we
have	VHP	have
seen	VVN	see
uh	UH	uh
over	IN	over
these	DT	these
you	PP	you
know	VVP	know
this	DT	this
um	JJ	um
very	JJ	very
uh	UH	uh
you	PP	you
