<video_id>4kkuS4j86Eo</video_id>	JJ	<video_id>4kkuS4j86Eo</video_id>
<video_title>‘Look	NN	<video_title>‘Look
likes	VVZ	like
everything	NN	everything
in	IN	in
place’	NN	place’
for	IN	for
release	NN	release
of	IN	of
more	JJR	more
Palestinian	JJ	Palestinian
prisoners,	NP	prisoners,
Gaza	NP	Gaza
captives</video_title>	NN	captives</video_title>
<thumbnail_path>data/en_AJ\‘Look	NN	<thumbnail_path>data/en_AJ\‘Look
likes	VVZ	like
everything	NN	everything
in	IN	in
place’	NN	place’
for	IN	for
release	NN	release
of	IN	of
more	JJR	more
Palestinian	JJ	Palestinian
prisoners,	NP	prisoners,
Gaza	NP	Gaza
captives.jpg</thumbnail_path>	JJ	captives.jpg</thumbnail_path>
<publish_date>20231128</publish_date>	NN	<publish_date>20231128</publish_date>
<doc>	NN	<doc>
well	RB	well
Majed	JJ	Majed
alans	NNS	alans
is	VBZ	be
the	DT	the
spokesperson	NN	spokesperson
for	IN	for
qatar's	NP	qatar's
Ministry	NP	Ministry
of	IN	of
Foreign	NP	Foreign
Affairs	NPS	Affairs
he	PP	he
told	VVD	tell
Al	NP	Al
jazer	NN	jazer
that	IN/that	that
Qatar	NP	Qatar
hopes	VVZ	hope
to	TO	to
see	VV	see
the	DT	the
ceasefire	NN	ceasefire
extended	VVD	extend
further	JJR	further
as	IN	as
the	DT	the
provision	NN	provision
in	IN	in
the	DT	the
original	JJ	original
agreement	NN	agreement
suggests	VVZ	suggest
10	CD	@card@
uh	UH	uh
hostages	NNS	hostage
will	MD	will
be	VB	be
released	VVN	release
every	DT	every
day	NN	day
and	CC	and
that	WDT	that
would	MD	would
translate	VV	translate
into	IN	into
an	DT	an
extra	JJ	extra
day	NN	day
of	IN	of
pass	NN	pass
so	IN	so
we	PP	we
have	VHP	have
from	IN	from
Hamas	JJ	Hamas
confirmation	NN	confirmation
now	RB	now
that	IN/that	that
20	CD	@card@
extra	JJ	extra
hostages	NNS	hostage
will	MD	will
be	VB	be
released	VVN	release
in	IN	in
the	DT	the
next	JJ	next
two	CD	two
days	NNS	day
and	CC	and
on	IN	on
the	DT	the
Palestinian	JJ	Palestinian
side	NN	side
that	WDT	that
would	MD	would
mean	VV	mean
that	DT	that
uh	UH	uh
from	IN	from
Israeli	JJ	Israeli
jails	NNS	jail
you'll	NN	you'll
have	VHP	have
threefold	RB	threefold
of	IN	of
that	DT	that
number	NN	number
so	IN	so
60	CD	@card@
Palestinians	NPS	Palestinians
will	MD	will
be	VB	be
released	VVN	release
from	IN	from
Israeli	JJ	Israeli
prisons	NNS	prison
and	CC	and
the	DT	the
same	JJ	same
parameters	NNS	parameter
of	IN	of
the	DT	the
agreement	NN	agreement
that	WDT	that
applied	VVD	apply
and	CC	and
these	DT	these
four	CD	four
days	NNS	day
will	MD	will
continue	VV	continue
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
humanitarian	JJ	humanitarian
Aid	NN	aid
and	CC	and
the	DT	the
PA	NN	pa
in	IN	in
uh	UH	uh
in	IN	in
the	DT	the
fighting	NN	fighting
it	PP	it
is	VBZ	be
a	DT	a
very	RB	very
hopeful	JJ	hopeful
moment	NN	moment
for	IN	for
us	PP	us
that	IN/that	that
we	PP	we
can	MD	can
build	VV	build
on	IN	on
that	DT	that
momentum	NN	momentum
to	TO	to
increase	VV	increase
the	DT	the
number	NN	number
of	IN	of
hostages	NNS	hostage
being	VBG	be
released	VVN	release
but	CC	but
also	RB	also
to	TO	to
uh	UH	uh
prepare	VV	prepare
the	DT	the
ground	NN	ground
for	IN	for
more	JJR	more
sustainable	JJ	sustainable
truth	NN	truth
through	IN	through
the	DT	the
negotiations	NNS	negotiation
that	WDT	that
are	VBP	be
taking	VVG	take
place	NN	place
as	IN	as
we	PP	we
have	VHP	have
seen	VVN	see
we	PP	we
began	VVD	begin
this	DT	this
mediation	NN	mediation
process	NN	process
here	RB	here
in	IN	in
uh	UH	uh
in	IN	in
Doha	NP	Doha
right	NN	right
after	IN	after
the	DT	the
7th	JJ	7th
of	IN	of
of	IN	of
October	NP	October
and	CC	and
we	PP	we
have	VHP	have
made	VVN	make
a	DT	a
lot	NN	lot
of	IN	of
accomplishments	NNS	accomplishment
starting	VVG	start
from	IN	from
then	RB	then
