<video_id>7xTBZj-nzY4</video_id>	NP	<video_id>7xTBZj-nzY4</video_id>
<video_title>‘No	NP	<video_title>‘No
water,	NP	water,
no	DT	no
toilets’	NN	toilets’
for	IN	for
evacuees	NNS	evacuee
in	IN	in
al-Mawasi</video_title>	NP	al-Mawasi</video_title>
<thumbnail_path>data/en_AJ\‘No	NP	<thumbnail_path>data/en_AJ\‘No
water,	NP	water,
no	DT	no
toilets’	NN	toilets’
for	IN	for
evacuees	NNS	evacuee
in	IN	in
al-Mawasi.jpg</thumbnail_path>	NP	al-Mawasi.jpg</thumbnail_path>
<publish_date>20231210</publish_date>	JJ	<publish_date>20231210</publish_date>
<doc>	NN	<doc>
well	NN	well
let's	NNS	let's
go	VVP	go
live	VV	live
now	RB	now
to	TO	to
Gaza	NP	Gaza
T	NN	T
Abu	NP	Abu
AUM	NP	AUM
is	VBZ	be
in	IN	in
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
Forest	NP	Forest
so	IN	so
T	NN	T
how	WRB	how
difficult	JJ	difficult
is	VBZ	be
it	PP	it
for	IN	for
Palestinians	NPS	Palestinians
to	TO	to
get	VV	get
to	TO	to
and	CC	and
survive	VV	survive
in	IN	in
these	DT	these
safe	NN	safe
zones	VVZ	zone
yes	UH	yes
uh	UH	uh
Al	NP	Al
maasi	NP	maasi
area	NN	area
which	WDT	which
has	VHZ	have
been	VBN	be
now	RB	now
designated	VVN	designate
by	IN	by
the	DT	the
occupation	NN	occupation
uh	UH	uh
forces	NNS	force
as	IN	as
a	DT	a
safe	JJ	safe
area	NN	area
considered	VVN	consider
to	TO	to
be	VB	be
very	JJ	very
uh	UH	uh
difficult	JJ	difficult
uh	UH	uh
for	IN	for
residents	NNS	resident
inside	IN	inside
of	IN	of
Gaza	NP	Gaza
to	TO	to
reside	VV	reside
and	CC	and
due	JJ	due
to	TO	to
the	DT	the
full	JJ	full
absence	NN	absence
of	IN	of
all	DT	all
civil	JJ	civil
infrastructure	NN	infrastructure
and	CC	and
all	DT	all
kinds	NNS	kind
of	IN	of
humanitarian	JJ	humanitarian
needs	NNS	need
that	WDT	that
will	MD	will
help	VV	help
any	DT	any
human	NN	human
being	VBG	be
to	TO	to
survive	VV	survive
or	CC	or
to	TO	to
C	NP	C
with	IN	with
the	DT	the
aftermaths	NNS	aftermath
of	IN	of
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
attacks	NNS	attack
across	IN	across
the	DT	the
territory	NN	territory
now	RB	now
this	DT	this
area	NN	area
had	VHD	have
uh	UH	uh
no	UH	no
kinds	NNS	kind
of	IN	of
toilets	NNS	toilet
no	DT	no
kinds	NNS	kind
of	IN	of
uh	UH	uh
of	IN	of
humanitarian	JJ	humanitarian
facilities	NNS	facility
that	WDT	that
would	MD	would
help	VV	help
Palestinians	NPS	Palestinians
to	TO	to
live	VV	live
their	PP$	their
am	VBP	be
more	RBR	more
growing	JJ	growing
concerns	NNS	concern
of	IN	of
the	DT	the
spread	NN	spread
of	IN	of
infectuous	JJ	infectuous
diseases	NNS	disease
among	IN	among
residents	NNS	resident
especially	RB	especially
with	IN	with
the	DT	the
clear	JJ	clear
absence	NN	absence
of	IN	of
the	DT	the
the	DT	the
hygiene	NN	hygiene
uh	UH	uh
conditions	NNS	condition
and	CC	and
the	DT	the
unaffordability	NN	unaffordability
of	IN	of
the	DT	the
uh	UH	uh
say	VV	say
the	DT	the
U	NP	U
standards	NNS	standard
of	IN	of
cleanness	NN	cleanness
and	CC	and
safety	NN	safety
in	IN	in
that	DT	that
region	NN	region
while	IN	while
the	DT	the
bombardment	NN	bombardment
also	RB	also
continue	VVP	continue
across	RP	across
uh	UH	uh
the	DT	the
territory	NN	territory
the	DT	the
people	NNS	people
who	WP	who
had	VHD	have
uh	UH	uh
delivered	VVN	deliver
and	CC	and
have	VHP	have
been	VBN	be
transported	VVN	transport
there	RB	there
in	IN	in
order	NN	order
to	TO	to
be	VB	be
safe	JJ	safe
uh	UH	uh
narrates	VVZ	narrate
very	RB	very
uh	UH	uh
catastrophic	JJ	catastrophic
conditions	NNS	condition
as	IN	as
they	PP	they
are	VBP	be
no	RB	no
longer	RBR	longer
able	JJ	able
to	TO	to
C	NP	C
with	IN	with
the	DT	the
situation	NN	situation
there	RB	there
and	CC	and
they	PP	they
are	VBP	be
only	RB	only
want	VVP	want
to	TO	to
move	VV	move
to	TO	to
more	RBR	more
further	VV	further
areas	NNS	area
in	IN	in
order	NN	order
to	TO	to
be	VB	be
protected	VVN	protect
and	CC	and
safe	JJ	safe
and	CC	and
an	DT	an
are	NN	are
that	WDT	that
would	MD	would
have	VH	have
more	JJR	more
kind	NN	kind
of	IN	of
facilities	NNS	facility
that	WDT	that
would	MD	would
help	VV	help
them	PP	them
to	TO	to
survive	VV	survive
away	RP	away
from	IN	from
the	DT	the
Israeli	JJ	Israeli
bombing	NN	bombing
so	IN	so
this	DT	this
area	NN	area
is	VBZ	be
considered	VVN	consider
to	TO	to
be	VB	be
safe	JJ	safe
from	IN	from
the	DT	the
Israeli	JJ	Israeli
perspective	NN	perspective
but	CC	but
literally	RB	literally
on	IN	on
the	DT	the
ground	NN	ground
as	IN	as
Palestinian	NP	Palestinian
have	VHP	have
a	DT	a
more	RBR	more
growing	JJ	growing
mistrust	NN	mistrust
in	IN	in
terms	NNS	term
of	IN	of
what	WP	what
Israel	NP	Israel
says	VVZ	say
they	PP	they
have	VH	have
no	DT	no
other	JJ	other
safe	JJ	safe
place	NN	place
across	IN	across
Gaza	NP	Gaza
where	WRB	where
all	PDT	all
the	DT	the
territory	NN	territory
have	VHP	have
been	VBN	be
under	IN	under
Relentless	JJ	relentless
bombing	NN	bombing
since	IN	since
the	DT	the
early	JJ	early
beginning	NN	beginning
of	IN	of
this	DT	this
round	NN	round
of	IN	of
fighting	VVG	fight
and	CC	and
T	NN	T
we	PP	we
we	PP	we
understand	VVP	understand
there	EX	there
have	VHP	have
been	VBN	be
attacks	NNS	attack
in	IN	in
the	DT	the
town	NN	town
of	IN	of
De	NP	De
Bal	NP	Bal
in	IN	in
central	JJ	central
what	WP	what
what	WP	what
are	VBP	be
you	PP	you
hearing	VVG	hear
about	RB	about
that	IN/that	that
yes	RB	yes
der	NP	der
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
areas	NNS	area
that	WDT	that
had	VHD	have
been	VBN	be
under	IN	under
intense	JJ	intense
Israeli	JJ	Israeli
bombing	NN	bombing
we're	NN	we're
talking	VVG	talk
about	RB	about
more	RBR	more
than	IN	than
uh	UH	uh
uh	UH	uh
15	CD	@card@
uh	UH	uh
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
separate	JJ	separate
air	NN	air
strikes	NNS	strike
in	IN	in
this	DT	this
uh	UH	uh
town	NN	town
uh	UH	uh
which	WDT	which
has	VHZ	have
been	VBN	be
under	IN	under
intense	JJ	intense
Shilling	NP	Shilling
from	IN	from
the	DT	the
Israeli	JJ	Israeli
artillery	NN	artillery
now	RB	now
the	DT	the
Israeli	JJ	Israeli
attacks	NNS	attack
on	IN	on
darel	NN	darel
balah	NN	balah
continues	VVZ	continue
alongside	IN	alongside
with	IN	with
separate	JJ	separate
areas	NNS	area
across	IN	across
the	DT	the
territory	NN	territory
where	WRB	where
the	DT	the
occupation	NN	occupation
and	CC	and
it's	NNS	it's
the	DT	the
new	JJ	new
phase	NN	phase
of	IN	of
war	NN	war
that	WDT	that
had	VHD	have
witnessed	VVN	witness
more	JJR	more
expansion	NN	expansion
of	IN	of
military	JJ	military
operations	NNS	operation
seeks	VVZ	seek
to	TO	to
split	VV	split
and	CC	and
divide	VV	divide
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
into	IN	into
three	CD	three
areas	NNS	area
uh	UH	uh
to	TO	to
help	VV	help
the	DT	the
Israeli	JJ	Israeli
troops	NNS	troop
to	TO	to
control	VV	control
all	DT	all
access	NN	access
of	IN	of
Gaza	NP	Gaza
and	CC	and
to	TO	to
uh	UH	uh
help	VV	help
the	DT	the
maneuvering	VVG	maneuver
troops	NNS	troop
to	TO	to
attack	VV	attack
uh	UH	uh
and	CC	and
to	TO	to
destroy	VV	destroy
more	JJR	more
targets	NNS	target
Affiliated	VVN	affiliate
to	TO	to
the	DT	the
Palestinian	JJ	Palestinian
Fighters	NNS	fighter
now	RB	now
uh	UH	uh
the	DT	the
the	DT	the
north	NN	north
of	IN	of
the	DT	the
territory	NN	territory
also	RB	also
had	VHD	have
been	VBN	be
under	IN	under
heavy	JJ	heavy
Relentless	JJ	relentless
bombing	NN	bombing
as	IN	as
according	VVG	accord
to	TO	to
the	DT	the
latest	JJS	late
updates	NNS	update
by	IN	by
the	DT	the
Palestinian	NP	Palestinian
Ministry	NP	Ministry
of	IN	of
Health	NP	Health
in	IN	in
Gaza	NP	Gaza
said	VVD	say
that	IN/that	that
that	WDT	that
the	DT	the
the	DT	the
attacks	NNS	attack
on	IN	on
the	DT	the
territory	NN	territory
by	IN	by
the	DT	the
occupation	NN	occupation
forces	NNS	force
during	IN	during
the	DT	the
last	JJ	last
24	CD	@card@
hours	NNS	hour
had	VHD	have
claimed	VVN	claim
the	DT	the
lives	NNS	life
of	IN	of
more	JJR	more
than	IN	than
200	CD	@card@
Palestinian	JJ	Palestinian
and	CC	and
uh	UH	uh
with	IN	with
uh	UH	uh
more	JJR	more
numbers	NNS	number
of	IN	of
victims	NNS	victim
who	WP	who
are	VBP	be
still	RB	still
trapped	VVN	trap
under	IN	under
the	DT	the
rles	NNS	rles
and	CC	and
they	PP	they
have	VHP	have
not	RB	not
yet	RB	yet
been	VBN	be
evacuated	VVN	evacuate
by	IN	by
the	DT	the
civil	JJ	civil
defense	NN	defense
team	NN	team
due	JJ	due
to	TO	to
the	DT	the
uh	UH	uh
absence	NN	absence
of	IN	of
essential	JJ	essential
equipment	NN	equipment
and	CC	and
due	JJ	due
to	TO	to
the	DT	the
uh	UH	uh
Furious	JJ	furious
uh	UH	uh
numbers	NNS	number
of	IN	of
