<video_id>ZbwEHoJPv7E</video_id>	JJ	<video_id>ZbwEHoJPv7E</video_id>
<video_title>‘Restrictions’	NN	<video_title>‘Restrictions’
being	VBG	be
dealt	VVN	deal
with	IN	with
on	IN	on
Gaza	NP	Gaza
aid:	JJ	aid:
UN	NP	UN
chief</video_title>	NN	chief</video_title>
<thumbnail_path>data/en_AJ\‘Restrictions’	NN	<thumbnail_path>data/en_AJ\‘Restrictions’
being	VBG	be
dealt	VVN	deal
with	IN	with
on	IN	on
Gaza	NP	Gaza
aid	NN	aid
UN	NP	UN
chief.jpg</thumbnail_path>	NN	chief.jpg</thumbnail_path>
<publish_date>20231020</publish_date>	NN	<publish_date>20231020</publish_date>
<doc>	NN	<doc>
we're	NN	we're
going	VVG	go
to	TO	to
go	VV	go
live	VV	live
now	RB	now
to	TO	to
Rafa	NP	Rafa
Crossing	VVG	cross
this	DT	this
is	VBZ	be
the	DT	the
crossing	NN	crossing
between	IN	between
Egypt	NP	Egypt
and	CC	and
Gaza	NP	Gaza
which	WDT	which
has	VHZ	have
been	VBN	be
blocked	VVN	block
uh	UH	uh
since	IN	since
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
the	DT	the
UN	NP	UN
Secretary	NP	Secretary
General	NP	General
Antonio	NP	Antonio
gues	NNS	gues
is	VBZ	be
speaking	VVG	speak
let's	NNS	let's
listen	VV	listen
in	IN	in
it	PP	it
is	VBZ	be
impossible	JJ	impossible
to	TO	to
be	VB	be
here	RB	here
and	CC	and
not	RB	not
to	TO	to
feel	VV	feel
a	DT	a
broken	VVN	break
heart	NN	heart
we	PP	we
are	VBP	be
witnessing	VVG	witness
a	DT	a
paradox	NN	paradox
Behind	IN	behind
These	DT	these
Walls	NP	Walls
we	PP	we
have	VHP	have
2	CD	@card@
million	CD	million
people	NNS	people
that	WDT	that
is	VBZ	be
suffering	VVG	suffer
enormously	RB	enormously
that	WDT	that
is	VBZ	be
no	DT	no
water	NN	water
no	DT	no
food	NN	food
no	DT	no
medicine	NN	medicine
no	DT	no
fool	NN	fool
that	WDT	that
is	VBZ	be
under	IN	under
Fire	NP	Fire
that	WDT	that
needs	VVZ	need
everything	NN	everything
to	TO	to
survive	VV	survive
on	IN	on
this	DT	this
side	NN	side
we	PP	we
have	VHP	have
seen	VVN	see
so	IN	so
many	JJ	many
trucks	NNS	truck
loaded	VVN	load
with	IN	with
water	NN	water
with	IN	with
fo	NP	fo
with	IN	with
medicines	NNS	medicine
with	IN	with
food	NN	food
exactly	RB	exactly
the	DT	the
same	JJ	same
thing	NN	thing
that	IN/that	that
I	PP	I
needed	VVD	need
on	IN	on
this	DT	this
side	NN	side
of	IN	of
the	DT	the
wall	NN	wall
so	IN	so
these	DT	these
trucks	NNS	truck
are	VBP	be
not	RB	not
just	RB	just
trucks	VVZ	truck
they	PP	they
are	VBP	be
a	DT	a
Lifeline	NN	lifeline
they	PP	they
are	VBP	be
the	DT	the
difference	NN	difference
between	IN	between
life	NN	life
and	CC	and
death	NN	death
for	IN	for
so	RB	so
many	JJ	many
people	NNS	people
in	IN	in
Gaza	NP	Gaza
and	CC	and
to	TO	to
see	VV	see
them	PP	them
stuck	VVD	stick
here	RB	here
here	RB	here
makes	VVZ	make
me	PP	me
be	VB	be
very	RB	very
clear	JJ	clear
what	WP	what
we	PP	we
need	VVP	need
is	VBZ	be
to	TO	to
make	VV	make
them	PP	them
move	VV	move
to	TO	to
make	VV	make
them	PP	them
move	VV	move
to	TO	to
the	DT	the
other	JJ	other
side	NN	side
of	IN	of
