<video_id>-fe3-DkQ9cI</video_id>	JJ	<video_id>-fe3-DkQ9cI</video_id>
<video_title>‘Since	NN	<video_title>‘Since
the	DT	the
ceasefire,	NP	ceasefire,
nothing	NN	nothing
is	VBZ	be
coming	VVG	come
to	TO	to
the	DT	the
hospital’:	JJ	hospital’:
Al-Shifa	NP	Al-Shifa
doctor</video_title>	NN	doctor</video_title>
<thumbnail_path>data/en_AJ\‘Since	NN	<thumbnail_path>data/en_AJ\‘Since
the	DT	the
ceasefire,	NP	ceasefire,
nothing	NN	nothing
is	VBZ	be
coming	VVG	come
to	TO	to
the	DT	the
hospital’	JJ	hospital’
Al-Shifa	NP	Al-Shifa
doctor.jpg</thumbnail_path>	NN	doctor.jpg</thumbnail_path>
<publish_date>20231129</publish_date>	NN	<publish_date>20231129</publish_date>
<doc>	NN	<doc>
well	RB	well
for	IN	for
more	JJR	more
than	IN	than
two	CD	two
weeks	NNS	week
services	NNS	service
at	IN	at
the	DT	the
AL	NP	al
shifa	NP	Shifa
Hospital	NP	Hospital
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
came	VVD	come
to	TO	to
a	DT	a
halt	NN	halt
as	IN	as
Israeli	JJ	Israeli
forces	NNS	force
laid	VVD	lay
Siege	NN	siege
to	TO	to
the	DT	the
strip's	JJ	strip's
biggest	JJS	big
health	NN	health
facility	NN	facility
many	JJ	many
patients	NNS	patient
have	VHP	have
since	RB	since
experienced	VVN	experience
severe	JJ	severe
complications	NNS	complication
and	CC	and
a	DT	a
number	NN	number
of	IN	of
them	PP	them
have	VHP	have
died	VVN	die
the	DT	the
hospital	NN	hospital
is	VBZ	be
trying	VVG	try
to	TO	to
restore	VV	restore
critical	JJ	critical
operations	NNS	operation
at	IN	at
least	JJS	least
for	IN	for
now	RB	now
we'll	JJ	we'll
speak	VVP	speak
to	TO	to
Dr	NP	Dr
Marwan	NP	Marwan
abusada	NN	abusada
who's	NNS	who's
the	DT	the
chief	JJ	chief
surgeon	NN	surgeon
at	IN	at
shifa	NN	shifa
hospital	NN	hospital
he's	NNS	he's
joining	VVG	join
us	PP	us
from	IN	from
Gaza	NP	Gaza
uh	UH	uh
joining	VVG	join
us	PP	us
on	IN	on
the	DT	the
telephone	NN	telephone
from	IN	from
the	DT	the
hospital	NN	hospital
itself	PP	itself
uh	UH	uh
Dr	NP	Dr
abusada	NP	Abusada
thanks	NNS	thanks
for	IN	for
your	PP$	your
time	NN	time
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
about	IN	about
the	DT	the
situation	NN	situation
at	IN	at
El	NP	El
shifa	NP	Shifa
hospital	NN	hospital
right	NN	right
now	IN	now
uh	UH	uh
at	IN	at
this	DT	this
moment	NN	moment
we	PP	we
are	VBP	be
preparing	VVG	prepare
the	DT	the
hospital	NN	hospital
to	TO	to
receive	VV	receive
a	DT	a
new	JJ	new
patients	NNS	patient
especially	RB	especially
to	TO	to
our	PP$	our
emergency	NN	emergency
department	NN	department
we	PP	we
are	VBP	be
cleaning	VVG	clean
the	DT	the
hospital	NN	hospital
from	IN	from
the	DT	the
old	JJ	old
dirties	VVZ	dirty
in	IN	in
it	PP	it
and	CC	and
we	PP	we
are	VBP	be
collecting	VVG	collect
our	PP$	our
team	NN	team
to	TO	to
come	VV	come
to	TO	to
shifa	NN	shifa
hospital	NN	hospital
and	CC	and
I	PP	I
think	VVP	think
in	IN	in
one	CD	one
or	CC	or
two	CD	two
days	NNS	day
we'll	RB	we'll
open	VVP	open
our	PP$	our
emergency	NN	emergency
department	NN	department
to	TO	to
receive	VV	receive
the	DT	the
patient	NN	patient
we	PP	we
yesterday	RB	yesterday
we	PP	we
succeeded	VVD	succeed
to	TO	to
manage	VV	manage
and	CC	and
to	TO	to
do	VV	do
a	DT	a
kidney	NN	kidney
dialysis	NN	dialysis
for	IN	for
the	DT	the
patient	NN	patient
with	IN	with
the	DT	the
stage	NN	stage
renal	JJ	renal
failure	NN	failure
for	IN	for
more	JJR	more
than	IN	than
30	CD	@card@
patients	NNS	patient
at	IN	at
our	PP$	our
center	NN	center
of	IN	of
the	DT	the
kidney	NN	kidney
dialysis	NN	dialysis
and	CC	and
we	PP	we
are	VBP	be
calling	VVG	call
all	DT	all
patients	NNS	patient
who	WP	who
are	VBP	be
in	IN	in
need	NN	need
for	IN	for
kidney	NN	kidney
do	VVP	do
to	TO	to
come	VV	come
to	TO	to
shifa	NN	shifa
hospital	NN	hospital
is	VBZ	be
ready	JJ	ready
now	RB	now
to	TO	to
acess	VV	acess
more	JJR	more
patients	NNS	patient
and	CC	and
on	IN	on
a	DT	a
still	RB	still
operating	VVG	operate
theater	NN	theater
is	VBZ	be
not	RB	not
and	CC	and
the	DT	the
old	JJ	old
Department	NN	department
not	RB	not
ready	JJ	ready
to	TO	to
admit	VV	admit
newcomers	NNS	newcomer
and	CC	and
so	RB	so
on	IN	on
but	CC	but
think	VV	think
we	PP	we
preparing	VVG	prepare
the	DT	the
ground	NN	ground
to	TO	to
receive	VV	receive
more	JJR	more
and	CC	and
more	JJR	more
patients	NNS	patient
in	IN	in
the	DT	the
M	NP	M
mix	NN	mix
tomorrow	NN	tomorrow
morning	NN	morning
tomorrow	NN	tomorrow
morning	NN	morning
we'll	NN	we'll
open	VV	open
