<video_id>GziOE_lAuD4</video_id>	JJ	<video_id>GziOE_lAuD4</video_id>
<video_title>‘The	JJ	<video_title>‘The
real	JJ	real
spirit	NN	spirit
of	IN	of
Christmas	NP	Christmas
does	VVZ	do
not	RB	not
exist’	JJ	exist’
this	DT	this
year:	JJ	year:
Bethlehem’s	NP	Bethlehem’s
Christians</video_title>	NP	Christians</video_title>
<thumbnail_path>data/en_AJ\‘The	VVZ	<thumbnail_path>data/en_AJ\‘The
real	JJ	real
spirit	NN	spirit
of	IN	of
Christmas	NP	Christmas
does	VVZ	do
not	RB	not
exist’	JJ	exist’
this	DT	this
year	NN	year
Bethlehem’s	NP	Bethlehem’s
Christians.jpg</thumbnail_path>	NP	Christians.jpg</thumbnail_path>
<publish_date>20231225</publish_date>	JJ	<publish_date>20231225</publish_date>
<doc>	NN	<doc>
Palestinians	NNS	Palestinian
have	VHP	have
gathered	VVN	gather
for	IN	for
Christmas	NP	Christmas
day	NN	day
mass	NN	mass
at	IN	at
the	DT	the
church	NN	church
of	IN	of
the	DT	the
Nativity	NN	nativity
in	IN	in
Bethlehem	NP	Bethlehem
in	IN	in
the	DT	the
occupied	JJ	occupied
West	JJ	West
[Music]	JJ	[Music]
Bank	NP	Bank
celebrations	NNS	celebration
have	VHP	have
been	VBN	be
muted	VVN	mute
this	DT	this
year	NN	year
because	IN	because
of	IN	of
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
Bethlehem	NP	Bethlehem
residents	NNS	resident
decided	VVD	decide
not	RB	not
to	TO	to
put	VV	put
up	RP	up
the	DT	the
traditional	JJ	traditional
Christmas	NP	Christmas
tree	NN	tree
out	RP	out
of	IN	of
respect	NN	respect
for	IN	for
the	DT	the
Palestinians	NPS	Palestinians
suffering	VVG	suffer
under	IN	under
Israeli	JJ	Israeli
bombardment	NN	bombardment
ibraim	NN	ibraim
is	VBZ	be
with	IN	with
a	DT	a
Christian	JJ	Christian
family	NN	family
in	IN	in
Bethlehem	NP	Bethlehem
joins	VVZ	join
us	PP	us
live	VV	live
from	IN	from
there	EX	there
so	RB	so
how's	JJ	how's
the	DT	the
Christmas	NP	Christmas
spirit	NN	spirit
prevailing	VVG	prevail
there	RB	there
I	PP	I
can	MD	can
tell	VV	tell
you	PP	you
Sammy	NP	Sammy
that	IN/that	that
since	IN	since
we've	NN	we've
started	VVD	start
covering	VVG	cover
the	DT	the
Christmas	NP	Christmas
season	NN	season
here	RB	here
in	IN	in
Bethlehem	NP	Bethlehem
I	PP	I
haven't	VVD	haven't
seen	VVN	see
a	DT	a
lot	NN	lot
of	IN	of
trees	NNS	tree
this	DT	this
is	VBZ	be
a	DT	a
Christmas	NP	Christmas
tree	NN	tree
here	RB	here
at	IN	at
the	DT	the
house	NN	house
of	IN	of
Charlie	NP	Charlie
zidan	NP	zidan
and	CC	and
Sabrina	NP	Sabrina
mker	NN	mker
we'll	NN	we'll
be	VB	be
speaking	VVG	speak
to	TO	to
them	PP	them
about	IN	about
their	PP$	their
feelings	NNS	feeling
in	IN	in
this	DT	this
Christmas	NP	Christmas
day	NN	day
being	VBG	be
a	DT	a
Christian	JJ	Christian
family	NN	family
from	IN	from
Bethlehem	NP	Bethlehem
thank	VVP	thank
you	PP	you
for	IN	for
allowing	VVG	allow
us	PP	us
into	IN	into
your	PP$	your
home	NN	home
Charlie	NP	Charlie
and	CC	and
um	RB	um
this	DT	this
is	VBZ	be
not	RB	not
usual	JJ	usual
that	IN/that	that
we	PP	we
see	VVP	see
Christmas	NP	Christmas
trees	NNS	tree
many	JJ	many
people	NNS	people
have	VHP	have
decided	VVN	decide
that	IN/that	that
they	PP	they
they're	RB	they're
not	RB	not
celebrating	VVG	celebrate
and	CC	and
Sabrina	NN	Sabrina
you're	NN	you're
a	DT	a
photographer	NN	photographer
usually	RB	usually
around	IN	around
this	DT	this
time	NN	time
you'll	NN	you'll
be	VB	be
filming	VVG	film
children	NNS	child
with	IN	with
their	PP$	their
families	NNS	family
during	IN	during
Christmas	NP	Christmas
how	WRB	how
is	VBZ	be
the	DT	the
Christmas	NP	Christmas
spirit	NN	spirit
this	DT	this
year	NN	year
and	CC	and
why	WRB	why
did	VVD	do
you	PP	you
put	VVD	put
up	RP	up
the	DT	the
tree	NN	tree
um	NN	um
well	RB	well
to	TO	to
be	VB	be
honest	JJ	honest
this	DT	this
year	NN	year
um	NN	um
is	VBZ	be
different	JJ	different
than	IN	than
any	DT	any
other	JJ	other
year	NN	year
um	NNS	um
but	CC	but
we've	NN	we've
decided	VVD	decide
to	TO	to
put	VV	put
up	RP	up
the	DT	the
tree	NN	tree
because	IN	because
the	DT	the
kids	NNS	kid
asked	VVD	ask
for	IN	for
it	PP	it
and	CC	and
to	TO	to
be	VB	be
honest	JJ	honest
um	NN	um
they've	NN	they've
been	VBN	be
crying	VVG	cry
a	DT	a
lot	NN	lot
lately	RB	lately
like	IN	like
um	NNS	um
asking	VVG	ask
why	WRB	why
we're	NN	we're
not	RB	not
celebrating	VVG	celebrate
just	RB	just
like	IN	like
any	DT	any
other	JJ	other
children	NNS	child
um	JJ	um
in	IN	in
any	DT	any
area	NN	area
in	IN	in
the	DT	the
world	NN	world
so	IN	so
um	NNS	um
I	PP	I
asked	VVD	ask
them	PP	them
if	IN	if
they	PP	they
wanted	VVD	want
a	DT	a
Christmas	NP	Christmas
tree	NN	tree
and	CC	and
they	PP	they
decided	VVD	decide
that	IN/that	that
they	PP	they
do	VVP	do
so	RB	so
we	PP	we
put	VVD	put
up	RP	up
the	DT	the
Christmas	NP	Christmas
tree	NN	tree
in	IN	in
the	DT	the
simplest	JJS	simple
way	NN	way
we	PP	we
can	MD	can
um	RB	um
just	RB	just
to	TO	to
create	VV	create
a	DT	a
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
spirit	NN	spirit
for	IN	for
the	DT	the
Christmas	NP	Christmas
celebrations	NNS	celebration
for	IN	for
the	DT	the
kids	NNS	kid
Is	VBZ	be
Zade	NP	Zade
happier	JJR	happy
now	RB	now
how	WRB	how
is	VBZ	be
he	PP	he
dealing	VVG	deal
with	IN	with
all	DT	all
of	IN	of
this	DT	this
you	PP	you
have	VHP	have
two	CD	two
children	NNS	child
and	CC	and
Zade	NP	Zade
is	VBZ	be
five	CD	five
yeah	RB	yeah
well	RB	well
actually	RB	actually
um	JJ	um
I	PP	I
can't	VVD	can't
say	VV	say
um	JJ	um
it's	NNS	it's
normal	JJ	normal
and	CC	and
I	PP	I
can't	VVD	can't
say	VV	say
it's	NNS	it's
regular	JJ	regular
just	RB	just
like	IN	like
any	DT	any
other	JJ	other
Christmas	NP	Christmas
they	PP	they
have	VHP	have
um	VVN	um
they	PP	they
feel	VVP	feel
the	DT	the
pain	NN	pain
they	PP	they
feel	VVP	feel
the	DT	the
the	DT	the
stress	NN	stress
they	PP	they
feel	VVP	feel
the	DT	the
war	NN	war
they	PP	they
feel	VVP	feel
us	PP	us
not	RB	not
feeling	VVG	feel
very	RB	very
well	RB	well
I	PP	I
mean	VVP	mean
emotionally	RB	emotionally
we	PP	we
haven't	VVD	haven't
been	VBN	be
very	RB	very
stable	JJ	stable
lately	RB	lately
and	CC	and
of	IN	of
course	NN	course
the	DT	the
kids	NNS	kid
can	MD	can
feel	VV	feel
that	IN/that	that
and	CC	and
they've	NN	they've
been	VBN	be
asking	VVG	ask
for	IN	for
the	DT	the
tree	NN	tree
lighting	NN	lighting
for	IN	for
the	DT	the
Christmas	NP	Christmas
celebrations	NNS	celebration
for	IN	for
the	DT	the
Christmas	NP	Christmas
Market	NP	Market
because	IN	because
every	DT	every
day	NN	day
we	PP	we
spend	VV	spend
uh	UH	uh
our	PP$	our
Christmas	NP	Christmas
very	JJ	very
festive	JJ	festive
um	NNS	um
with	IN	with
playing	VVG	play
Christmas	NP	Christmas
music	NN	music
um	NNS	um
taking	VVG	take
them	PP	them
for	IN	for
family	NN	family
visits	NNS	visit
and	CC	and
spending	VVG	spend
most	JJS	most
of	IN	of
