<video_id>_mBQRlFI--Y</video_id>	NN	<video_id>_mBQRlFI--Y</video_id>
<video_title>‘This	NNS	<video_title>‘This
is	VBZ	be
the	DT	the
result	NN	result
of	IN	of
75	CD	@card@
years	NNS	year
of	IN	of
ethnic	JJ	ethnic
cleansing’:	NN	cleansing’:
Palestinian	JJ	Palestinian
Analyst</video_title>	NP	Analyst</video_title>
<thumbnail_path>data/en_AJ\‘This	NN	<thumbnail_path>data/en_AJ\‘This
is	VBZ	be
the	DT	the
result	NN	result
of	IN	of
75	CD	@card@
years	NNS	year
of	IN	of
ethnic	JJ	ethnic
cleansing’	NN	cleansing’
Palestinian	JJ	Palestinian
Analyst.jpg</thumbnail_path>	NP	Analyst.jpg</thumbnail_path>
<publish_date>20231112</publish_date>	NN	<publish_date>20231112</publish_date>
<doc>	NN	<doc>
so	IN	so
this	DT	this
Netanyahu	NP	Netanyahu
post	NN	post
war	NN	war
plan	NN	plan
for	IN	for
Gaza	NP	Gaza
the	DT	the
Americans	NPS	Americans
have	VHP	have
already	RB	already
said	VVN	say
they	PP	they
think	VVP	think
it's	NNS	it's
a	DT	a
bad	JJ	bad
idea	NN	idea
for	IN	for
Israel	NP	Israel
to	TO	to
reoccupy	VV	reoccupy
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
and	NP	and
have	VHP	have
asked	VVN	ask
for	IN	for
clarification	NN	clarification
reportedly	RB	reportedly
does	VVZ	do
this	DT	this
plan	NN	plan
in	IN	in
your	PP$	your
view	NN	view
is	VBZ	be
it	PP	it
a	DT	a
clear	JJ	clear
plan	NN	plan
and	CC	and
and	CC	and
why	WRB	why
do	VVP	do
you	PP	you
think	VVP	think
is	VBZ	be
making	VVG	make
this	DT	this
statement	NN	statement
now	RB	now
I	PP	I
think	VVP	think
that	IN/that	that
he's	NNS	he's
making	VVG	make
this	DT	this
statement	NN	statement
because	IN	because
he	PP	he
knows	VVZ	know
that	IN/that	that
his	PP$	his
political	JJ	political
life	NN	life
is	VBZ	be
in	IN	in
Jeopardy	NN	jeopardy
but	CC	but
before	IN	before
uh	UH	uh
the	DT	the
bombing	NN	bombing
attack	NN	attack
on	IN	on
October	NP	October
the	DT	the
7th	JJ	7th
netanyahu's	NN	netanyahu's
holding	NN	holding
rates	NNS	rate
were	VBD	be
very	RB	very
very	RB	very
very	RB	very
low	JJ	low
with	IN	with
thousands	NNS	thousand
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
Israelis	NPS	Israelis
coming	VVG	come
out	RP	out
and	CC	and
protesting	VVG	protest
against	IN	against
him	PP	him
now	RB	now
we	PP	we
see	VVP	see
that	IN/that	that
these	DT	these
