arak	NN	arak
yashari	NNS	yashari
is	VBZ	be
a	DT	a
spokesperson	NN	spokesperson
at	IN	at
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
Geneva	NP	Geneva
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
first	JJ	first
of	IN	of
all	DT	all
let	NN	let
'	POS	'
s	JJ	s
start	NN	start
with	IN	with
these	DT	these
latest	JJS	late
strikes	NNS	strike
two	CD	two
strikes	NNS	strike
within	IN	within
24	CD	@card@
hours	NNS	hour
on	IN	on
a	DT	a
refugee	NN	refugee
camp	NN	camp
How	WRB	how
concerned	JJ	concerned
are	VBP	be
you	PP	you
about	IN	about
what	WP	what
this	DT	this
is	VBZ	be
doing	VVG	do
to	TO	to
the	DT	the
health	NN	health
conditions	NNS	condition
that	IN/that	that
civilians	NNS	civilian
are	VBP	be
facing	VVG	face
well	RB	well
it	PP	it
'	POS	'
s	NN	S
truly	RB	truly
horrible	JJ	horrible
what	WP	what
uh	UH	uh
what	WP	what
two	CD	two
million	CD	million
people	NNS	people
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
going	VVG	go
through	RP	through
right	RB	right
now	RB	now
Relentless	JJ	relentless
bombardment	NN	bombardment
and	CC	and
as	RB	as
we	PP	we
have	VHP	have
just	RB	just
heard	VVN	hear
hospitals	NNS	hospital
are	VBP	be
lacking	VVG	lack
medical	JJ	medical
supplies	NNS	supply
medicines	NNS	medicine
they	PP	they
'	''	'
re	IN	re
lacking	VVG	lack
fuel	NN	fuel
to	TO	to
operate	VV	operate
uh	UH	uh
and	CC	and
many	JJ	many
of	IN	of
hospitals	NNS	hospital
have	VHP	have
to	TO	to
either	DT	either
completely	RB	completely
shut	VVN	shut
down	RP	down
or	CC	or
to	TO	to
stop	VV	stop
certain	JJ	certain
Services	NPS	Services
because	IN	because
they	PP	they
'	POS	'
re	NN	re
either	RB	either
damaged	VVD	damage
uh	UH	uh
during	IN	during
bombardment	NN	bombardment
or	CC	or
they	PP	they
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
a	DT	a
fuel	NN	fuel
to	TO	to
operate	VV	operate
so	RB	so
what	WP	what
we	PP	we
need	VVP	need
is	VBZ	be
a	DT	a
uh	UH	uh
unhindered	JJ	unhindered
and	CC	and
safe	JJ	safe
access	NN	access
to	TO	to
bring	VV	bring
Medical	NP	Medical
Supply	NP	Supply
two	CD	two
thir	NN	thir
of	IN	of
Health	NP	Health
Centers	NPS	Centers
have	VHP	have
already	RB	already
shut	VVN	shut
down	RB	down
one	CD	one
thir	NN	thir
of	IN	of
hospitals	NNS	hospital
is	VBZ	be
