<video_id>cJQ_wjYQ2Hk</video_id>	NP	<video_id>cJQ_wjYQ2Hk</video_id>
<video_title>‘We	NP	<video_title>‘We
cannot	MD	can
lose	VV	lose
this	DT	this
chance’	NN	chance’
say	VVP	say
captives’	JJ	captives’
families	NNS	family
on	IN	on
Biden	NP	Biden
ceasefire	NN	ceasefire
proposal</video_title>	NN	proposal</video_title>
<thumbnail_path>data/en_AJ\‘We	NP	<thumbnail_path>data/en_AJ\‘We
cannot	MD	can
lose	VV	lose
this	DT	this
chance’	NN	chance’
say	VVP	say
captives’	JJ	captives’
families	NNS	family
on	IN	on
Biden	NP	Biden
ceasefire	NN	ceasefire
proposal.jpg</thumbnail_path>	NN	proposal.jpg</thumbnail_path>
<publish_date>20240601</publish_date>	NN	<publish_date>20240601</publish_date>
<doc>	NN	<doc>
being	VBG	be
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
the	DT	the
Israeli	JJ	Israeli
captives	NNS	captive
being	VBG	be
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
are	VBP	be
speaking	VVG	speak
to	TO	to
the	DT	the
media	NNS	medium
let's	NNS	let's
listen	VVP	listen
in	IN	in
security	NN	security
it's	NNS	it's
and	CC	and
hope	VVP	hope
for	IN	for
the	DT	the
citizens	NNS	citizen
to	TO	to
go	VV	go
back	RB	back
safe	JJ	safe
to	TO	to
the	DT	the
houses	NNS	house
in	IN	in
the	DT	the
North	NP	North
and	CC	and
the	DT	the
South	JJ	South
hope	NN	hope
for	IN	for
a	DT	a
better	JJR	good
future	NN	future
after	IN	after
all	PDT	all
the	DT	the
harms	NNS	harm
and	CC	and
disasters	NNS	disaster
we	PP	we
need	VVP	need
not	RB	not
to	TO	to
lose	VV	lose
this	DT	this
chance	NN	chance
we	PP	we
need	VVP	need
not	RB	not
to	TO	to
lose	VV	lose
it	PP	it
and	CC	and
I'm	NP	I'm
saying	VVG	say
to	TO	to
the	DT	the
citizens	NNS	citizen
before	IN	before
this	DT	this
campaign	NN	campaign
to	TO	to
abort	VV	abort
this	DT	this
deal	NN	deal
we	PP	we
would	MD	would
like	VV	like
to	TO	to
say	VV	say
President	NP	President
Biden	NP	Biden
is	VBZ	be
a	DT	a
real	JJ	real
friend	NN	friend
to	TO	to
Israel	NP	Israel
he	PP	he
is	VBZ	be
the	DT	the
best	JJS	good
friend	NN	friend
to	TO	to
Israel	NP	Israel
and	CC	and
he	PP	he
has	VHZ	have
been	VBN	be
supportive	JJ	supportive
to	TO	to
Israel	NP	Israel
after	IN	after
the	DT	the
uh	UH	uh
7th	JJ	7th
of	IN	of
October	NP	October
attack	NN	attack
and	CC	and
he	PP	he
is	VBZ	be
always	RB	always
supportive	JJ	supportive
we	PP	we
what	WP	what
what	WP	what
has	VHZ	have
been	VBN	be
said	VVN	say
by	IN	by
Biden	NP	Biden
yesterday	NN	yesterday
is	VBZ	be
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
Society	NP	Society
uh	UH	uh
we	PP	we
also	RB	also
say	VVP	say
the	DT	the
same	JJ	same
thing	NN	thing
we	PP	we
need	VVP	need
your	PP$	your
voices	NNS	voice
to	TO	to
be	VB	be
heard	VVN	hear
everywhere	RB	everywhere
that	IN/that	that
we	PP	we
are	VBP	be
supportive	JJ	supportive
to	TO	to
this	DT	this
deal	NN	deal
Israel	NP	Israel
supports	VVZ	support
this	DT	this
deal	NN	deal
the	DT	the
world	NN	world
must	MD	must
understand	VV	understand
that	IN/that	that
Israel	NP	Israel
supports	VVZ	support
this	DT	this
deal	NN	deal
deal	NN	deal
offered	VVN	offer
by	IN	by
President	NP	President
bidon	VVZ	bidon
all	PDT	all
the	DT	the
captives	NNS	captive
must	MD	must
return	VV	return
back	RB	back
home	RB	home
immediately	RB	immediately
we	PP	we
canot	VVP	canot
lose	VV	lose
this	DT	this
chance	NN	chance
okay	JJ	okay
if	IN	if
you're	NN	you're
just	RB	just
joining	VVG	join
us	PP	us
uh	UH	uh
uh	UH	uh
we've	NNS	we've
been	VBN	be
listening	VVG	listen
there	RB	there
to	TO	to
the	DT	the
uh	UH	uh
C	NP	C
uh	UH	uh
families	NNS	family
of	IN	of
some	DT	some
of	IN	of
the	DT	the
captives	NNS	captive
being	VBG	be
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
who've	NN	who've
been	VBN	be
addressing	VVG	address
uh	UH	uh
the	DT	the
media	NNS	medium
</doc>	NN	</doc>
