<video_id>nAnRVILpjLc</video_id>	JJ	<video_id>nAnRVILpjLc</video_id>
<video_title>‘What	NN	<video_title>‘What
American	JJ	American
war	NN	war
experience	NN	experience
are	VBP	be
you	PP	you
sharing	VVG	share
with	IN	with
Israel?’:	NP	Israel?’:
Hamas</video_title>	NP	Hamas</video_title>
<thumbnail_path>data/en_AJ\‘What	NP	<thumbnail_path>data/en_AJ\‘What
American	NP	American
war	NN	war
experience	NN	experience
are	VBP	be
you	PP	you
sharing	VVG	share
with	IN	with
Israel’	NP	Israel’
Hamas.jpg</thumbnail_path>	NP	Hamas.jpg</thumbnail_path>
<publish_date>20231218</publish_date>	NN	<publish_date>20231218</publish_date>
<doc>	NN	<doc>
to	TO	to
a	DT	a
press	NN	press
conference	NN	conference
by	IN	by
us	PP	us
hamdan	NN	hamdan
from	IN	from
Hamas	JJ	Hamas
he's	NNS	he's
a	DT	a
senior	JJ	senior
official	NN	official
speaking	NN	speaking
from	IN	from
Beirut	NP	Beirut
let's	NNS	let's
listen	VVP	listen
in	IN	in
heroic	JJ	heroic
and	CC	and
epic	NN	epic
battle	VVP	battle
our	PP$	our
people	NNS	people
in	IN	in
Gaza	NP	Gaza
present	JJ	present
present	NN	present
a	DT	a
picture	NN	picture
of	IN	of
Valor	NN	valor
and	CC	and
epic	NN	epic
fighting	VVG	fight
especially	RB	especially
the	DT	the
fighters	NNS	fighter
of	IN	of
alasam	NN	alasam
Brigade	NN	brigade
and	CC	and
other	JJ	other
resistance	NN	resistance
factions	NNS	faction
I	PP	I
pray	VVP	pray
to	TO	to
Allah	NP	Allah
that	DT	that
Almighty	JJ	almighty
the	DT	the
speedy	JJ	speedy
recovery	NN	recovery
of	IN	of
the	DT	the
injured	JJ	injured
whom	WP	whom
the	DT	the
occupation	NN	occupation
uh	UH	uh
started	VVD	start
killing	VVG	kill
in	IN	in
hospitals	NNS	hospital
deliberately	RB	deliberately
bulldozing	VVG	bulldoze
its	PP$	its
buildings	NNS	building
and	CC	and
burying	VVG	bury
the	DT	the
injured	VVN	injure
under	IN	under
its	PP$	its
Rubble	NN	rubble
no	DT	no
doubt	NN	doubt
that	IN/that	that
the	DT	the
steadfastness	NN	steadfastness
of	IN	of
our	PP$	our
people	NNS	people
in	IN	in
Gaza	NP	Gaza
this	DT	this
epic	NN	epic
stand	NN	stand
is	VBZ	be
worthy	JJ	worthy
of	IN	of
commendation	NN	commendation
because	IN	because
with	IN	with
such	JJ	such
steadfastness	NN	steadfastness
Vic	NP	Vic
iies	NNS	iies
are	VBP	be
made	VVN	make
these	DT	these
are	VBP	be
