<video_id>awEaOYh85Lg</video_id>	JJ	<video_id>awEaOYh85Lg</video_id>
<video_title>Cancer	NN	<video_title>Cancer
patients	NNS	patient
stopped	VVN	stop
from	IN	from
leaving	VVG	leave
Gaza	NP	Gaza
for	IN	for
treatment	NN	treatment
|	SYM	|
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\Cancer	NN	<thumbnail_path>data/en_BBCNews\Cancer
patients	NNS	patient
stopped	VVN	stop
from	IN	from
leaving	VVG	leave
Gaza	NP	Gaza
for	IN	for
treatment	NN	treatment
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240314</publish_date>	NN	<publish_date>20240314</publish_date>
<doc>	NN	<doc>
because	IN	because
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
remains	VVZ	remain
dire	JJ	dire
cancer	NN	cancer
patients	NNS	patient
say	VVP	say
they're	NN	they're
being	VBG	be
denied	VVN	deny
exit	NN	exit
for	IN	for
life-saving	JJ	life-saving
treatment	NN	treatment
through	IN	through
the	DT	the
Rafa	NP	Rafa
Crossing	VVG	cross
to	TO	to
Egypt	NP	Egypt
despite	IN	despite
their	PP$	their
names	NNS	name
appearing	VVG	appear
on	IN	on
authorized	JJ	authorized
evacuation	NN	evacuation
lists	NNS	list
in	IN	in
parallel	JJ	parallel
fees	NNS	fee
charged	VVN	charge
by	IN	by
an	DT	an
Egyptian	JJ	Egyptian
company	NN	company
arranging	VVG	arrange
evacuations	NNS	evacuation
from	IN	from
Gaza	NP	Gaza
have	VHP	have
rocketed	VVN	rocket
during	IN	during
the	DT	the
war	NN	war
becoming	VVG	become
unaffordable	JJ	unaffordable
for	IN	for
most	JJS	most
the	DT	the
BBC's	NP	BBC's
larara	NP	larara
El	NP	El
gabali	NP	gabali
worked	VVD	work
with	IN	with
producer	NN	producer
haa	NN	haa
albad	NNS	albad
on	IN	on
this	DT	this
report	NN	report
I'm	NN	I'm
on	IN	on
my	PP$	my
way	NN	way
to	TO	to
the	DT	the
border	NN	border
crossing	VVG	cross
hopefully	RB	hopefully
I	PP	I
will	MD	will
find	VV	find
my	PP$	my
name	NN	name
there	RB	there
and	CC	and
be	VB	be
able	JJ	able
to	TO	to
travel	VV	travel
God	NP	God
willing	VVG	will
this	DT	this
is	VBZ	be
s's	NN	s's
third	JJ	third
time	NN	time
at	IN	at
the	DT	the
Border	NP	Border
in	IN	in
as	IN	as
many	JJ	many
months	NNS	month
she	PP	she
was	VBD	be
being	VBG	be
treated	VVN	treat
for	IN	for
leukemia	NN	leukemia
when	WRB	when
the	DT	the
conflict	NN	conflict
began	VVD	begin
leaving	VVG	leave
her	PP	her
and	CC	and
almost	RB	almost
10,000	CD	@card@
other	JJ	other
cancer	NN	cancer
patients	NNS	patient
in	IN	in
Gaza	NP	Gaza
without	IN	without
treatment	NN	treatment
despite	IN	despite
her	PP$	her
name	NN	name
being	NN	being
on	IN	on
evacuation	NN	evacuation
lists	NNS	list
for	IN	for
the	DT	the
sick	JJ	sick
and	CC	and
the	DT	the
injured	VVD	injure
she	PP	she
was	VBD	be
turned	VVN	turn
away	RB	away
at	IN	at
the	DT	the
border	NN	border
I	PP	I
read	VVP	read
that	IN/that	that
my	PP$	my
name	NN	name
was	VBD	be
published	VVN	publish
on	IN	on
the	DT	the
RAF	NN	RAF
coordination	NN	coordination
groups	NNS	group
my	PP$	my
name	NN	name
was	VBD	be
on	IN	on
the	DT	the
departure	NN	departure
list	NN	list
twice	RB	twice
I	PP	I
have	VHP	have
been	VBN	be
