<video_id>kA5CFjEbbuI</video_id>	JJ	<video_id>kA5CFjEbbuI</video_id>
<video_title>Gaza	NN	<video_title>Gaza
aid	NN	aid
ship	NN	ship
expected	VVN	expect
to	TO	to
set	VV	set
sail	NN	sail
from	IN	from
Cyprus	NP	Cyprus
|	SYM	|
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\Gaza	NP	<thumbnail_path>data/en_BBCNews\Gaza
aid	NN	aid
ship	NN	ship
expected	VVN	expect
to	TO	to
set	VV	set
sail	NN	sail
from	IN	from
Cyprus	NP	Cyprus
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240309</publish_date>	JJ	<publish_date>20240309</publish_date>
<doc>	NN	<doc>
start	NN	start
with	IN	with
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
and	CC	and
a	DT	a
ship	NN	ship
carrying	VVG	carry
humanitarian	JJ	humanitarian
Aid	NN	aid
is	VBZ	be
expected	VVN	expect
to	TO	to
set	VV	set
sail	NN	sail
to	TO	to
the	DT	the
territory	NN	territory
from	IN	from
Cyprus	NP	Cyprus
this	DT	this
weekend	NN	weekend
it's	NN	it's
part	NN	part
of	IN	of
a	DT	a
planned	JJ	planned
Maritime	NP	Maritime
Aid	NP	Aid
Corridor	NP	Corridor
it's	NNS	it's
a	DT	a
joint	JJ	joint
operation	NN	operation
between	IN	between
the	DT	the
EU	NP	EU
us	PP	us
UK	NP	UK
and	CC	and
United	NP	United
Arab	NP	Arab
Emirates	NP	Emirates
aiming	VVG	aim
to	TO	to
bring	VV	bring
supplies	NNS	supply
from	IN	from
Cypress	NP	Cypress
to	TO	to
the	DT	the
coast	NN	coast
of	IN	of
Gaza	NP	Gaza
the	DT	the
UN	NP	UN
says	VVZ	say
a	DT	a
quarter	NN	quarter
of	IN	of
gaza's	NN	gaza's
population	NN	population
is	VBZ	be
on	IN	on
the	DT	the
brink	NN	brink
of	IN	of
famine	NN	famine
and	CC	and
children	NNS	child
there	RB	there
are	VBP	be
starving	VVG	starve
to	TO	to
death	NN	death
organizers	NNS	organizer
hope	VVP	hope
the	DT	the
plan	NN	plan
