gaza	NP	Gaza
'	POS	'
s	NN	S
Hamas	NNS	Hamas
run	VVP	run
Health	NP	Health
Ministry	NP	Ministry
says	VVZ	say
the	DT	the
number	NN	number
of	IN	of
people	NNS	people
killed	VVN	kill
in	IN	in
an	DT	an
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
near	IN	near
the	DT	the
southern	JJ	southern
city	NN	city
of	IN	of
KH	NP	KH
Unice	NP	Unice
has	VHZ	have
risen	VVN	rise
to	TO	to
at	IN	at
least	JJS	least
71	CD	@card@
nearly	RB	nearly
300	CD	@card@
more	JJR	more
are	VBP	be
said	VVN	say
to	TO	to
have	VH	have
been	VBN	be
injured	VVN	injure
the	DT	the
attack	NN	attack
happened	VVD	happen
in	IN	in
the	DT	the
masawi	NN	masawi
area	NN	area
of	IN	of
hunis	NNS	hunis
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
designated	VVN	designate
this	DT	this
area	NN	area
a	DT	a
safe	JJ	safe
Zone	NP	Zone
urging	VVG	urge
Palestinians	NNS	Palestinian
to	TO	to
seek	VV	seek
shelter	NN	shelter
there	RB	there
it	PP	it
says	VVZ	say
the	DT	the
strike	NN	strike
was	VBD	be
on	IN	on
a	DT	a
Hamas	NN	Hamas
a	DT	a
fenced	VVN	fence
Hamas	NN	Hamas
area	NN	area
and	CC	and
described	VVD	describe
most	JJS	most
people	NNS	people
there	RB	there
as	IN	as
militants	NNS	militant
these	DT	these
pictures	NNS	picture
are	VBP	be
of	IN	of
the	DT	the
moment	NN	moment
of	IN	of
the	DT	the
blast	NN	blast
an	DT	an
eyewitness	NN	eyewitness
has	VHZ	have
described	VVN	describe
the	DT	the
scene	NN	scene
to	TO	to
the	DT	the
BBC	NP	BBC
saying	VVG	say
it	PP	it
was	VBD	be
like	IN	like
an	DT	an
earthquake	NN	earthquake
doctors	NNS	doctor
at	IN	at
a	DT	a
nearby	JJ	nearby
Field	NP	Field
Hospital	NP	Hospital
are	VBP	be
reported	VVN	report
to	TO	to
be	VB	be
struggling	VVG	struggle
to	TO	to
cope	VV	cope
with	IN	with
the	DT	the
scores	NNS	score
of	IN	of
casualties	NNS	casualty
well	RB	well
here	RB	here
'	''	'
s	VVG	s
the	DT	the
BBC	NP	BBC
'	POS	'
s	JJ	s
Nick	NP	Nick
beak	NN	beak
with	IN	with
more	JJR	more
on	IN	on
the	DT	the
strike	NN	strike
this	DT	this
is	VBZ	be
an	DT	an
area	NN	area
where	WRB	where
Palestinians	NPS	Palestinians
had	VHD	have
been	VBN	be
told	VVN	tell
by	IN	by
the	DT	the
Israeli	JJ	Israeli
authorities	NNS	authority
that	IN/that	that
they	PP	they
would	MD	would
be	VB	be
safe	JJ	safe
it	PP	it
was	VBD	be
a	DT	a
designated	VVN	designate
so	IN	so
-	NN	-
called	VVD	call
safe	JJ	safe
Zone	NP	Zone
but	CC	but
clearly	RB	clearly
what	WP	what
'	POS	'
s	NN	S
happened	VVD	happen
is	VBZ	be
there	EX	there
'	''	'
s	RB	s
been	VBN	be
a	DT	a
huge	JJ	huge
air	NN	air
strike	NN	strike
here	RB	here
what	WP	what
'	POS	'
s	NN	S
clear	JJ	clear
is	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
and	CC	and
that	IN/that	that
figure	NN	figure
could	MD	could
rise	VV	rise
sharply	RB	sharply
it	PP	it
would	MD	would
seem	VV	seem
you	PP	you
talked	VVN	talk
about	IN	about
some	DT	some
of	IN	of
the	DT	the
video	NN	video
we	PP	we
saw	VVD	see
some	DT	some
of	IN	of
the	DT	the
video	NN	video
there	RB	there
and	CC	and
it	PP	it
really	RB	really
shows	VVZ	show
a	DT	a
very	RB	very
graphic	JJ	graphic
and	CC	and
distressing	JJ	distressing
scene	NN	scene
this	DT	this
huge	JJ	huge
plume	NN	plume
of	IN	of
smoke	NN	smoke
an	DT	an
indication	NN	indication
of	IN	of
just	RB	just
how	WRB	how
big	JJ	big
the	DT	the
blast	NN	blast
was	VBD	be
this	DT	this
air	NN	air
strike	NN	strike
was	VBD	be
the	DT	the
damage	NN	damage
it	PP	it
did	VVD	do
you	PP	you
'	''	'
ve	NNS	ve
got	VVD	get
families	NNS	family
digging	VVG	dig
a	DT	a
amid	IN	amid
the	DT	the
rubble	NN	rubble
you	PP	you
'	POS	'
ve	NN	ve
got	VVD	get
other	JJ	other
relatives	NNS	relative
being	VBG	be
consoled	VVN	console
blooded	JJ	blooded
casualties	NNS	casualty
being	VBG	be
loaded	VVN	load
onto	IN	onto
