<video_id>uilOtoa77Qg</video_id>	JJ	<video_id>uilOtoa77Qg</video_id>
<video_title>Hamas	NN	<video_title>Hamas
says	VVZ	say
its	PP$	its
deputy	JJ	deputy
leader	NN	leader
Saleh	NP	Saleh
al-Arouri	NP	al-Arouri
killed	VVD	kill
in	IN	in
blast	NN	blast
in	IN	in
Lebanon	NP	Lebanon
-	NP	-
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\Hamas	NN	<thumbnail_path>data/en_BBCNews\Hamas
says	VVZ	say
its	PP$	its
deputy	JJ	deputy
leader	NN	leader
Saleh	NP	Saleh
al-Arouri	NP	al-Arouri
killed	VVD	kill
in	IN	in
blast	NN	blast
in	IN	in
Lebanon	NP	Lebanon
-	NP	-
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240102</publish_date>	NN	<publish_date>20240102</publish_date>
<doc>	NN	<doc>
we	PP	we
start	VVP	start
with	IN	with
a	DT	a
developing	VVG	develop
story	NN	story
this	DT	this
hour	NN	hour
that	IN/that	that
Hamas	NP	Hamas
says	VVZ	say
its	PP$	its
Deputy	NP	Deputy
political	JJ	political
leader	NN	leader
Salah	NP	Salah
alarri	NP	alarri
has	VHZ	have
been	VBN	be
killed	VVN	kill
in	IN	in
a	DT	a
blast	NN	blast
in	IN	in
Beirut	NP	Beirut
the	DT	the
capital	NN	capital
of	IN	of
Lebanon	NP	Lebanon
local	JJ	local
media	NNS	medium
have	VHP	have
described	VVN	describe
the	DT	the
explosion	NN	explosion
as	IN	as
an	DT	an
Israeli	JJ	Israeli
drone	NN	drone
attack	NN	attack
on	IN	on
the	DT	the
Hamas	JJ	Hamas
office	NN	office
in	IN	in
the	DT	the
south	NN	south
of	IN	of
the	DT	the
city	NN	city
Reports	NNS	report
say	VVP	say
five	CD	five
other	JJ	other
people	NNS	people
were	VBD	be
killed	VVN	kill
in	IN	in
the	DT	the
blast	NN	blast
video	NN	video
footage	NN	footage
shows	VVZ	show
a	DT	a
car	NN	car
in	IN	in
flames	NNS	flame
and	CC	and
damaged	VVN	damage
to	TO	to
buildings	NNS	building
in	IN	in
a	DT	a
busy	JJ	busy
residential	JJ	residential
area	NN	area
which	WDT	which
is	VBZ	be
known	VVN	know
as	IN	as
a	DT	a
Hezbollah	NP	Hezbollah
stronghold	NN	stronghold
well	RB	well
within	IN	within
the	DT	the
last	JJ	last
hour	NN	hour
and	CC	and
advisor	NN	advisor
to	TO	to
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
has	VHZ	have
said	VVN	say
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
not	RB	not
taken	VVN	take
responsibility	NN	responsibility
for	IN	for
that	DT	that
attack	NN	attack
but	CC	but
they	PP	they
say	VVP	say
it	PP	it
was	VBD	be
not	RB	not
an	DT	an
attack	NN	attack
on	IN	on
the	DT	the
Lebanese	JJ	Lebanese
State	NN	state
saying	VVG	say
whoever	WP	whoever
did	VVD	do
this	DT	this
did	VVD	do
a	DT	a
surgical	JJ	surgical
strike	NN	strike
against	IN	against
the	DT	the
Hamas	JJ	Hamas
leadership	NN	leadership
well	RB	well
Hamas	NP	Hamas
has	VHZ	have
blamed	VVN	blame
Israel	NP	Israel
for	IN	for
the	DT	the
strike	NN	strike
earlier	RBR	earlier
I	PP	I
spoke	VVD	speak
to	TO	to
our	PP$	our
correspondent	NN	correspondent
in	IN	in
Jerusalem	NP	Jerusalem
about	IN	about
the	DT	the
reaction	NN	reaction
from	IN	from
Israeli	JJ	Israeli
authorities	NNS	authority
and	CC	and
we	PP	we
did	VVD	do
reach	VV	reach
out	RP	out
to	TO	to
them	PP	them
after	IN	after
local	JJ	local
media	NNS	medium
as	IN	as
you've	NN	you've
mentioned	VVN	mention
Ben	NP	Ben
um	NNS	um
attributed	VVD	attribute
this	DT	this
blast	NN	blast
to	TO	to
an	DT	an
Israeli	JJ	Israeli
drone	NN	drone
attack	NN	attack
we	PP	we
reached	VVD	reach
out	RP	out
to	TO	to
the	DT	the
IDF	NP	IDF
who	WP	who
came	VVD	come
back	RB	back
to	TO	to
the	DT	the
BBC	NP	BBC
and	CC	and
said	VVD	say
they	PP	they
would	MD	would
not	RB	not
comment	VV	comment
um	NNS	um
on	IN	on
reports	NNS	report
from	IN	from
foreign	JJ	foreign
media	NNS	medium
um	VVD	um
we	PP	we
did	VVD	do
get	VV	get
confirmation	NN	confirmation
that	IN/that	that
it's	NNS	it's
that	IN/that	that
Salah	NP	Salah
aluri	NNS	aluri
the	DT	the
uh	UH	uh
Deputy	NP	Deputy
head	NN	head
or	CC	or
the	DT	the
deputy	JJ	deputy
chairman	NN	chairman
of	IN	of
hamas's	NP	hamas's
Po	NP	Po
Bureau	NP	Bureau
um	NN	um
has	VHZ	have
been	VBN	be
killed	VVN	kill
in	IN	in
this	DT	this
blast	NN	blast
and	CC	and
we	PP	we
have	VHP	have
had	VHN	have
uh	UH	uh
we've	NN	we've
had	VHD	have
reaction	NN	reaction
from	IN	from
lebanon's	NN	lebanon's
caretaker	NN	caretaker
prime	JJ	prime
minister	NN	minister
naib	NN	naib
mikati	NN	mikati
he	PP	he
described	VVD	describe
the	DT	the
blast	NN	blast
um	NN	um
as	IN	as
a	DT	a
as	IN	as
a	DT	a
new	JJ	new
Israeli	JJ	Israeli
War	NN	war
crime	NN	crime
that	WDT	that
aims	VVZ	aim
to	TO	to
drag	VV	drag
Lebanon	NP	Lebanon
uh	UH	uh
into	IN	into
a	DT	a
new	JJ	new
phase	NN	phase
of	IN	of
the	DT	the
conflict	NN	conflict
according	VVG	accord
to	TO	to
what	WP	what
he	PP	he
said	VVD	say
we	PP	we
also	RB	also
um	RB	um
got	VVD	get
this	DT	this
line	NN	line
just	RB	just
now	RB	now
from	IN	from
Mark	NP	Mark
RV	NN	RV
an	DT	an
adviser	NN	adviser
to	TO	to
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
he	PP	he
was	VBD	be
speaking	VVG	speak
to	TO	to
the	DT	the
American	NP	American
Network	NP	Network
MSNBC	NP	MSNBC
and	CC	and
said	VVD	say
that	IN/that	that
Israel	NP	Israel
did	VVD	do
not	RB	not
take	VV	take
responsibility	NN	responsibility
for	IN	for
the	DT	the
