<video_id>_BMAkffp2CA</video_id>	NP	<video_id>_BMAkffp2CA</video_id>
<video_title>Israel	NP	<video_title>Israel
agrees	VVZ	agree
to	TO	to
daily	JJ	daily
four-hour	JJ	four-hour
military	JJ	military
pauses	NNS	pause
in	IN	in
northern	JJ	northern
Gaza,	NP	Gaza,
White	NP	White
House	NP	House
says	VVZ	say
-	NN	-
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\Israel	NP	<thumbnail_path>data/en_BBCNews\Israel
agrees	VVZ	agree
to	TO	to
daily	JJ	daily
four-hour	JJ	four-hour
military	JJ	military
pauses	NNS	pause
in	IN	in
northern	JJ	northern
Gaza,	NP	Gaza,
White	NP	White
House	NP	House
says	VVZ	say
-	NN	-
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231109</publish_date>	NN	<publish_date>20231109</publish_date>
<doc>	NN	<doc>
now	RB	now
we've	NNS	we've
been	VBN	be
reporting	VVG	report
in	IN	in
the	DT	the
last	JJ	last
half	NN	half
hour	NN	hour
those	DT	those
new	JJ	new
lines	NNS	line
coming	VVG	come
out	RP	out
from	IN	from
the	DT	the
White	NP	White
House	NP	House
Israel	NP	Israel
agreeing	VVG	agree
to	TO	to
4H	JJ	4H
hour	NN	hour
military	JJ	military
pauses	NNS	pause
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
also	RB	also
information	NN	information
about	IN	about
two	CD	two
humanitarian	JJ	humanitarian
corridors	NNS	corridor
to	TO	to
allow	VV	allow
people	NNS	people
to	TO	to
flee	VV	flee
the	DT	the
hostilities	NNS	hostility
so	IN	so
let's	JJ	let's
head	NN	head
to	TO	to
Washington	NP	Washington
let's	NNS	let's
talk	VVP	talk
to	TO	to
our	PP$	our
state	NN	state
department	NN	department
correspondent	NN	correspondent
Barbara	NP	Barbara
PL	NP	Pl
Usher	NP	Usher
and	CC	and
Barbara	NP	Barbara
tell	VVP	tell
us	PP	us
more	RBR	more
then	RB	then
in	IN	in
terms	NNS	term
of	IN	of
what	WP	what
the	DT	the
Americans	NPS	Americans
have	VHP	have
been	VBN	be
saying	VVG	say
in	IN	in
the	DT	the
last	JJ	last
little	JJ	little
while	IN	while
what	WP	what
they	PP	they
have	VHP	have
said	VVN	say
is	VBZ	be
that	IN/that	that
they've	NN	they've
reached	VVD	reach
agreement	NN	agreement
with	IN	with
the	DT	the
Israelis	NPS	Israelis
to	TO	to
have	VH	have
a	DT	a
4-Hour	JJ	4-Hour
pause	NN	pause
every	DT	every
day	NN	day
um	NN	um
in	IN	in
order	NN	order
to	TO	to
allow	VV	allow
Palestinians	NPS	Palestinians
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
which	WDT	which
is	VBZ	be
where	WRB	where
the	DT	the
main	JJ	main
military	JJ	military
operation	NN	operation
is	VBZ	be
to	TO	to
flee	VV	flee
safely	RB	safely
to	TO	to
the	DT	the
South	NP	South
and	CC	and
they	PP	they
Israel	NP	Israel
we	PP	we
have	VHP	have
been	VBN	be
told	VVN	tell
would	MD	would
give	VV	give
a	DT	a
three-hour	NN	three-hour
notice	VVP	notice
every	DT	every
day	NN	day
when	WRB	when
that	DT	that
pause	NN	pause
would	MD	would
be	VB	be
uh	UH	uh
and	CC	and
the	DT	the
Palestinians	NPS	Palestinians
if	IN	if
they	PP	they
wanted	VVD	want
to	TO	to
leave	VV	leave
would	MD	would
be	VB	be
taking	VVG	take
uh	UH	uh
safe	JJ	safe
passage	NN	passage
corridors	NNS	corridor
which	WDT	which
reportedly	RB	reportedly
have	VHP	have
actually	RB	actually
been	VBN	be
um	RB	um
operating	VVG	operate
for	IN	for
several	JJ	several
days	NNS	day
now	RB	now
but	CC	but
now	RB	now
they	PP	they
would	MD	would
have	VH	have
um	VVN	um
a	DT	a
cessation	NN	cessation
of	IN	of
military	JJ	military
operations	NNS	operation
um	JJ	um
for	IN	for
them	PP	them
to	TO	to
take	VV	take
those	DT	those
corridors	NNS	corridor
safely	RB	safely
to	TO	to
the	DT	the
South	NP	South
so	IN	so
that's	NNS	that's
the	DT	the
that's	NN	that's
the	DT	the
announcement	NN	announcement
um	NN	um
they	PP	they
uh	UH	uh
the	DT	the
White	NP	White
House	NP	House
is	VBZ	be
hoping	VVG	hope
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
use	VV	use
such	JJ	such
pauses	NNS	pause
to	TO	to
get	VV	get
more	JJR	more
Aid	NN	aid
into	IN	into
Gaza	NP	Gaza
um	JJ	um
they're	NN	they're
hoping	VVG	hope
to	TO	to
get	VV	get
up	RP	up
to	TO	to
150	CD	@card@
trucks	NNS	truck
daily	JJ	daily
of	IN	of
Aid	NP	Aid
that	IN/that	that
hasn't	NN	hasn't
happened	VVD	happen
yet	RB	yet
and	CC	and
also	RB	also
ultimately	RB	ultimately
um	JJ	um
