I	PP	I
want	VVP	want
to	TO	to
return	VV	return
to	TO	to
our	PP$	our
other	JJ	other
breaking	NN	breaking
news	NN	news
in	IN	in
the	DT	the
last	JJ	last
at	IN	at
Israel	NP	Israel
'	POS	'
s	NN	S
Supreme	NP	Supreme
Court	NP	Court
has	VHZ	have
ruled	VVN	rule
that	IN/that	that
there	EX	there
is	VBZ	be
no	DT	no
legal	JJ	legal
basis	NN	basis
for	IN	for
excluding	VVG	exclude
Ultra	JJ	ultra
Orthodox	JJ	Orthodox
men	NNS	man
from	IN	from
the	DT	the
military	JJ	military
draft	NN	draft
and	CC	and
that	IN/that	that
those	DT	those
who	WP	who
are	VBP	be
eligible	JJ	eligible
for	IN	for
service	NN	service
must	MD	must
be	VB	be
drafted	VVN	draft
well	RB	well
let	VV	let
'	''	'
s	NNS	s
go	VVP	go
live	VV	live
to	TO	to
our	PP$	our
Middle	NP	Middle
East	NP	East
correspondent	NN	correspondent
yolan	NP	yolan
Nell	NP	Nell
who	WP	who
is	VBZ	be
in	IN	in
Jerusalem	NP	Jerusalem
yolan	NP	yolan
just	RB	just
explain	VV	explain
what	WP	what
the	DT	the
uh	UH	uh
court	NN	court
has	VHZ	have
ruled	VVN	rule
this	DT	this
morning	NN	morning
well	RB	well
this	DT	this
is	VBZ	be
a	DT	a
decision	NN	decision
by	IN	by
the	DT	the
Israeli	NP	Israeli
Supreme	NP	Supreme
Court	NP	Court
basically	RB	basically
saying	VVG	say
that	IN/that	that
after	IN	after
a	DT	a
legal	JJ	legal
Arrangement	NN	arrangement
uh	UH	uh
expired	VVD	expire
that	DT	that
allowed	VVN	allow
Ultra	JJ	ultra
Orthodox	JJ	Orthodox
Jewish	JJ	Jewish
men	NNS	man
to	TO	to
avoid	VV	avoid
conscription	NN	conscription
in	IN	in
the	DT	the
military	JJ	military
um	NN	um
that	IN/that	that
really	RB	really
there	EX	there
is	VBZ	be
no	DT	no
reason	NN	reason
for	IN	for
them	PP	them
now	RB	now
not	RB	not
to	TO	to
be	VB	be
uh	UH	uh
conscripted	VVN	conscript
and	CC	and
this	DT	this
could	MD	could
affect	VV	affect
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
men	NNS	man
and	CC	and
also	RB	also
um	NNS	um
will	MD	will
affect	VV	affect
the	DT	the
the	DT	the
funding	NN	funding
the	DT	the
Public	NP	Public
Funding	NP	Funding
that	WDT	that
goes	VVZ	go
uh	UH	uh
to	TO	to
the	DT	the
Jewish	JJ	Jewish
seminaries	NNS	seminary
where	WRB	where
they	PP	they
'	POS	'
ve	RB	ve
been	VBN	be
studying	VVG	study
uh	UH	uh
if	IN	if
uh	UH	uh
they	PP	they
continue	VVP	continue
um	NNS	um
to	TO	to
have	VH	have
students	NNS	student
who	WP	who
are	VBP	be
avoid	VV	avoid
military	JJ	military
conscription	NN	conscription
so	IN	so
this	DT	this
really	RB	really
has	VHZ	have
wide	JJ	wide
ramifications	NNS	ramification
in	IN	in
Israeli	JJ	Israeli
Society	NP	Society
where	WRB	where
12	CD	@card@
%	NN	%
of	IN	of
the	DT	the
population	NN	population
now	RB	now
a	DT	a
growing	VVG	grow
percentage	NN	percentage
of	IN	of
the	DT	the
population	NN	population
are	VBP	be
Ultra	JJ	ultra
Orthodox	NP	Orthodox
Jews	NPS	Jews
and	CC	and
is	VBZ	be
something	NN	something
that	WDT	that
will	MD	will
have	VH	have
real	JJ	real
political	JJ	political
implications	NNS	implication
too	RB	too
with	IN	with
ultra	JJ	ultra
Orthodox	NP	Orthodox
Jewish	NP	Jewish
parties	VVZ	party
uh	UH	uh
playing	VVG	play
a	DT	a
key	JJ	key
role	NN	role
in	IN	in
the	DT	the
governing	VVG	govern
Coalition	NP	Coalition
for	IN	for
them	PP	them
this	DT	this
is	VBZ	be
really	RB	really
uh	UH	uh
the	DT	the
number	NN	number
one	CD	one
issue	NN	issue
to	TO	to
avoid	VV	avoid
uh	UH	uh
Ultra	JJ	ultra
Orthodox	JJ	Orthodox
Jewish	JJ	Jewish
men	NNS	man
from	IN	from
serving	VVG	serve
in	IN	in
the	DT	the
military	NN	military
to	TO	to
allow	VV	allow
them	PP	them
to	TO	to
dedicate	VV	dedicate
their	PP$	their
time	VV	time
uh	UH	uh
to	TO	to
religious	JJ	religious
study	NN	study
instead	RB	instead
um	JJ	um
and	CC	and
it	PP	it
is	VBZ	be
something	NN	something
it	PP	it
'	POS	'
s	NN	S
not	RB	not
totally	RB	totally
clear	JJ	clear
at	IN	at
the	DT	the
moment	NN	moment
uh	UH	uh
what	WP	what
the	DT	the
ramifications	NNS	ramification
of	IN	of
all	DT	all
that	WDT	that
will	MD	will
be	VB	be
but	CC	but
certainly	RB	certainly
it	PP	it
could	MD	could
lead	VV	lead
to	TO	to
large	JJ	large
numbers	NNS	number
of	IN	of
men	NNS	man
uh	UH	uh
being	VBG	be
called	VVN	call
up	RP	up
um	NNS	um
and	CC	and
it	PP	it
comes	VVZ	come
at	IN	at
a	DT	a
time	NN	time
such	JJ	such
a	DT	a
important	JJ	important
ruling	NN	ruling
which	WDT	which
is	VBZ	be
an	DT	an
issue	NN	issue
that	RB	that
'	POS	'
s	RB	s
been	VBN	be
going	VVG	go
on	RP	on
for	IN	for
for	IN	for
decades	NNS	decade
really	RB	really
causing	VVG	cause
divisions	NNS	division
um	NNS	um
in	IN	in
Israeli	JJ	Israeli
Society	NP	Society
um	NNS	um
but	CC	but
it	PP	it
'	POS	'
s	NNS	s
really	RB	really
come	VVP	come
to	TO	to
a	DT	a
head	NN	head
at	IN	at
the	DT	the
time	NN	time
of	IN	of
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
where	WRB	where
we	PP	we
'	POS	'
ve	NN	ve
got	VVD	get
Israeli	JJ	Israeli
military	JJ	military
leaders	NNS	leader
saying	VVG	say
that	IN/that	that
there	EX	there
is	VBZ	be
this	DT	this
huge	JJ	huge
strain	NN	strain
on	IN	on
the	DT	the
military	JJ	military
and	CC	and
they	PP	they
have	VHP	have
a	DT	a
shortage	NN	shortage
of	IN	of
Manpower	NP	Manpower
a	DT	a
shortage	NN	shortage
of	IN	of
combat	NN	combat
soldiers	VVZ	soldier
yes	UH	yes
you	PP	you
mention	VVP	mention
the	DT	the
ramifications	NNS	ramification
particularly	RB	particularly
for	IN	for
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
in	IN	in
the	DT	the
government	NN	government
at	IN	at
the	DT	the
moment	NN	moment
while	IN	while
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
continuing	VVG	continue
indeed	RB	indeed
and	CC	and
there	EX	there
had	VHD	have
been	VBN	be
sort	NN	sort
of	IN	of
attempts	NNS	attempt
in	IN	in
the	DT	the
past	NN	past
by	IN	by
the	DT	the
Supreme	NP	Supreme
Court	NP	Court
to	TO	to
put	VV	put
this	DT	this
issue	NN	issue
back	RB	back
to	TO	to
Parliament	NP	Parliament
to	TO	to
allow	VV	allow
Parliament	NP	Parliament
uh	UH	uh
to	TO	to
rule	VV	rule
on	RP	on
exactly	RB	exactly
uh	UH	uh
what	WP	what
should	MD	should
happen	VV	happen
for	IN	for
Ultra	JJ	ultra
or	CC	or
Orthodox	JJ	Orthodox
men	NNS	man
uh	UH	uh
whether	IN	whether
they	PP	they
should	MD	should
continue	VV	continue
to	TO	to
be	VB	be
allowed	VVN	allow
to	TO	to
be	VB	be
exempt	JJ	exempt
U	NN	U
from	IN	from
the	DT	the
military	JJ	military
uh	UH	uh
but	CC	but
there	EX	there
has	VHZ	have
been	VBN	be
a	DT	a
failure	NN	failure
for	IN	for
