while	IN	while
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
casting	VVG	cast
a	DT	a
shadow	NN	shadow
over	IN	over
the	DT	the
Eurovision	NP	Eurovision
song	NN	song
contest	NN	contest
which	WDT	which
is	VBZ	be
being	VBG	be
held	VVN	hold
in	IN	in
Sweden	NP	Sweden
this	DT	this
year	NN	year
Israel	NP	Israel
'	POS	'
s	NN	S
reached	VVD	reach
the	DT	the
final	JJ	final
with	IN	with
a	DT	a
song	NN	song
performed	VVN	perform
by	IN	by
Eden	NP	Eden
Golan	NP	Golan
she	PP	she
received	VVD	receive
claps	NNS	clap
cheers	NNS	cheer
and	CC	and
some	DT	some
booze	NN	booze
when	WRB	when
she	PP	she
took	VVD	take
to	TO	to
the	DT	the
stage	NN	stage
in	IN	in
Malmo	NP	Malmo
early	RB	early
a	DT	a
thousands	NNS	thousand
of	IN	of
people	NNS	people
protested	VVN	protest
in	IN	in
the	DT	the
city	NN	city
against	IN	against
Israel	NP	Israel
'	POS	'
s	JJ	s
involvement	NN	involvement
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
wished	VVD	wish
her	PP$	her
success	NN	success
saying	VVG	say
that	IN/that	that
she	PP	she
'	POS	'
d	NN	d
already	RB	already
succeeded	VVN	succeed
against	IN	against
what	WP	what
he	PP	he
described	VVD	describe
as	IN	as
an	DT	an
ugly	JJ	ugly
wave	NN	wave
of	IN	of
anti	JJ	anti
-	NN	-
semitism	NN	semitism
well	RB	well
I	NP	I
'	POS	'
ve	RB	ve
been	VBN	be
speaking	VVG	speak
to	TO	to
our	PP$	our
correspondent	NN	correspondent
Sarah	NP	Sarah
reinford	NP	reinford
about	IN	about
the	DT	the
security	NN	security
in	IN	in
Malmo	NP	Malmo
there	EX	there
are	VBP	be
a	DT	a
lot	NN	lot
of	IN	of
police	NNS	police
here	RB	here
and	CC	and
and	CC	and
certainly	RB	certainly
we	PP	we
'	POS	'
ve	NNS	ve
seen	VVN	see
Mounted	VVD	mount
Police	NP	Police
we	PP	we
'	POS	'
ve	JJ	ve
seen	VVN	see
drones	NNS	drone
in	IN	in
the	DT	the
Sky	NP	Sky
last	JJ	last
night	NN	night
there	RB	there
'	POS	'
s	NN	S
the	DT	the
occasional	JJ	occasional
helicopter	NN	helicopter
over	IN	over
overhead	NN	overhead
as	IN	as
well	RB	well
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
police	NNS	police
on	IN	on
the	DT	the
ground	NN	ground
but	CC	but
speaking	NN	speaking
to	TO	to
uh	UH	uh
police	NN	police
officers	NNS	officer
here	RB	here
the	DT	the
mood	NN	mood
is	VBZ	be
pretty	RB	pretty
relaxed	VVN	relax
in	IN	in
actual	JJ	actual
fact	NN	fact
you	PP	you
know	VVP	know
there	EX	there
are	VBP	be
a	DT	a
lot	NN	lot
of	IN	of
them	PP	them
they	PP	they
'	POS	'
re	NN	re
definitely	RB	definitely
being	VBG	be
vigilant	JJ	vigilant
uh	UH	uh
we	PP	we
know	VVP	know
that	IN/that	that
the	DT	the
terror	NN	terror
threat	NN	threat
in	IN	in
Sweden	NP	Sweden
as	IN	as
a	DT	a
whole	NN	whole
is	VBZ	be
