<video_id>swMxFlbD4ec</video_id>	NP	<video_id>swMxFlbD4ec</video_id>
<video_title>Israel	NP	<video_title>Israel
military	NN	military
fires	VVZ	fire
senior	JJ	senior
officers	NNS	officer
after	IN	after
aid	NN	aid
workers	NNS	worker
killed	VVN	kill
in	IN	in
Gaza	NP	Gaza
|	SYM	|
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\Israel	NP	<thumbnail_path>data/en_BBCNews\Israel
military	NN	military
fires	VVZ	fire
senior	JJ	senior
officers	NNS	officer
after	IN	after
aid	NN	aid
workers	NNS	worker
killed	VVN	kill
in	IN	in
Gaza	NP	Gaza
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240405</publish_date>	NN	<publish_date>20240405</publish_date>
<doc>	NN	<doc>
some	DT	some
breaking	VVG	break
news	NN	news
uh	UH	uh
to	TO	to
bring	VV	bring
you	PP	you
now	RB	now
we	PP	we
have	VHP	have
just	RB	just
had	VHN	have
this	DT	this
statement	NN	statement
from	IN	from
the	DT	the
IDF	NP	IDF
uh	UH	uh
about	RB	about
the	DT	the
investigation	NN	investigation
into	IN	into
the	DT	the
killing	NN	killing
of	IN	of
seven	CD	seven
Aid	NP	Aid
workers	NNS	worker
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
in	IN	in
an	DT	an
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
um	NN	um
the	DT	the
the	DT	the
uh	UH	uh
uh	UH	uh
statement	NN	statement
says	VVZ	say
that	IN/that	that
the	DT	the
investigation's	NNS	investigation's
findings	NNS	finding
indicate	VVP	indicate
that	IN/that	that
the	DT	the
incident	NN	incident
should	MD	should
not	RB	not
have	VH	have
occurred	VVN	occur
those	DT	those
who	WP	who
approved	VVD	approve
the	DT	the
strike	VV	strike
uh	UH	uh
this	DT	this
statement	NN	statement
says	VVZ	say
were	VBD	be
convinced	VVN	convince
that	IN/that	that
they	PP	they
were	VBD	be
targeting	VVG	target
armed	JJ	armed
Hamas	JJ	Hamas
operatives	NNS	operative
and	CC	and
not	RB	not
the	DT	the
employees	NNS	employee
of	IN	of
wck	NN	wck
which	WDT	which
is	VBZ	be
uh	UH	uh
World	NP	World
Central	NP	Central
Kitchen	NP	Kitchen
the	DT	the
aid	NN	aid
agency	NN	agency
they	PP	they
go	VVP	go
on	IN	on
to	TO	to
say	VV	say
that	IN/that	that
the	DT	the
strike	NN	strike
on	IN	on
the	DT	the
aid	NN	aid
Vehicles	NNS	vehicle
is	VBZ	be
a	DT	a
grave	JJ	grave
mistake	NN	mistake
stemming	VVG	stem
from	IN	from
a	DT	a
serious	JJ	serious
failure	NN	failure
due	JJ	due
to	TO	to
a	DT	a
mistaken	JJ	mistaken
identification	NN	identification
errors	NNS	error
in	IN	in
decision	NN	decision
making	VVG	make
and	CC	and
an	DT	an
attack	NN	attack
contrary	NN	contrary
to	TO	to
the	DT	the
standard	JJ	standard
operating	VVG	operate
procedures	NNS	procedure
they	PP	they
go	VVP	go
on	IN	on
to	TO	to
say	VV	say
that	DT	that
uh	UH	uh
after	IN	after
being	VBG	be
presented	VVN	present
with	IN	with
and	CC	and
considering	VVG	consider
the	DT	the
investigation's	NNS	investigation's
findings	NNS	finding
the	DT	the
uh	UH	uh
IDF	NP	IDF
chief	NN	chief
of	IN	of
general	JJ	general
staff	NN	staff
decided	VVD	decide
that	IN/that	that
the	DT	the
following	VVG	follow
command	NN	command
measures	NNS	measure
will	MD	will
be	VB	be
taken	VVN	take
um	RB	um
the	DT	the
Brigade	NN	brigade
fire	NN	fire
support	NN	support
Commander	NP	Commander
an	DT	an
officer	NN	officer
with	IN	with
the	DT	the
rank	NN	rank
of	IN	of
