hello	NN	hello
I	NP	I
'	POS	'
m	NN	m
Lee	NP	Lee
duet	NN	duet
in	IN	in
Jerusalem	NP	Jerusalem
it	PP	it
'	POS	'
s	NN	S
11	CD	@card@
:	:	:
00	CD	@card@
a	DT	a
.	SENT	.
m	NN	m
.	SENT	.
in	IN	in
the	DT	the
morning	NN	morning
in	IN	in
Israel	NP	Israel
and	CC	and
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
our	PP$	our
top	JJ	top
story	NN	story
this	DT	this
hour	NN	hour
the	DT	the
Israeli	JJ	Israeli
military	NN	military
says	VVZ	say
it	PP	it
has	VHZ	have
carried	VVN	carry
out	IN	out
what	WP	what
it	PP	it
described	VVD	describe
as	IN	as
a	DT	a
significant	JJ	significant
incursion	NN	incursion
into	IN	into
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
overnight	RB	overnight
to	TO	to
attack	VV	attack
the	DT	the
positions	NNS	position
of	IN	of
Hamas	NNS	Hamas
speaking	VVG	speak
a	DT	a
short	JJ	short
time	NN	time
ago	RB	ago
to	TO	to
the	DT	the
BBC	NP	BBC
an	DT	an
Israeli	JJ	Israeli
Defense	NP	Defense
Force	NP	Force
spokesperson	NN	spokesperson
said	VVD	say
soldiers	NNS	soldier
carried	VVD	carry
out	RP	out
the	DT	the
Tactical	JJ	tactical
raid	NN	raid
towards	IN	towards
Central	NP	Central
Gaza	NP	Gaza
to	TO	to
in	IN	in
his	PP$	his
words	NNS	word
prepare	VVP	prepare
the	DT	the
battlefield	NN	battlefield
for	IN	for
future	JJ	future
operations	NNS	operation
take	VVP	take
a	DT	a
listen	NN	listen
we	PP	we
did	VVD	do
a	DT	a
uh	UH	uh
tactical	JJ	tactical
raid	NN	raid
which	WDT	which
means	VVZ	mean
that	IN/that	that
the	DT	the
forces	NNS	force
went	VVD	go
in	IN	in
and	CC	and
then	RB	then
went	VVD	go
out	RP	out
uh	UH	uh
during	IN	during
the	DT	the
night	NN	night
in	IN	in
order	NN	order
to	TO	to
prepare	VV	prepare
the	DT	the
battlefield	NN	battlefield
and	CC	and
to	TO	to
prepare	VV	prepare
ourselves	PP	ourselves
for	IN	for
coming	VVG	come
operations	NNS	operation
our	PP$	our
forces	NNS	force
are	VBP	be
now	RB	now
back	RB	back
in	IN	in
Israel	NP	Israel
the	DT	the
activity	NN	activity
occur	VVP	occur
occurred	VVN	occur
during	IN	during
the	DT	the
night	NN	night
and	CC	and
uh	UH	uh
was	VBD	be
concluded	VVN	conclude
successfully	RB	successfully
without	IN	without
any	DT	any
significant	JJ	significant
events	NNS	event
it	PP	it
'	POS	'
s	NN	S
not	RB	not
the	DT	the
first	JJ	first
time	NN	time
the	DT	the
IDF	NP	IDF
has	VHZ	have
carried	VVN	carry
out	IN	out
what	WP	what
it	PP	it
describes	VVZ	describe
as	IN	as
limited	JJ	limited
ground	NN	ground
raids	NNS	raid
into	IN	into
Gaza	NP	Gaza
but	CC	but
this	DT	this
development	NN	development
comes	VVZ	come
as	IN	as
the	DT	the
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
insisted	VVD	insist
that	IN/that	that
a	DT	a
ground	NN	ground
invasion	NN	invasion
of	IN	of
Gaza	NP	Gaza
was	VBD	be
coming	VVG	come
following	VVG	follow
questions	NNS	question
here	RB	here
in	IN	in
Israel	NP	Israel
and	CC	and
abroad	RB	abroad
about	RB	about
why	WRB	why
it	PP	it
was	VBD	be
taking	VVG	take
so	RB	so
long	RB	long
the	DT	the
Prime	NP	Prime
