fore	IN	fore
Canada	NP	Canada
with	IN	with
Canada	NP	Canada
hand	NN	hand
[	SYM	[
Music	NP	Music
]	SYM	]
I	PP	I
was	VBD	be
very	RB	very
comfortable	JJ	comfortable
with	IN	with
my	PP$	my
life	NN	life
I	PP	I
had	VHD	have
a	DT	a
very	RB	very
beautiful	JJ	beautiful
house	NN	house
it	PP	it
was	VBD	be
a	DT	a
pent	VVD	pen
house	NN	house
on	IN	on
the	DT	the
beach	NN	beach
had	VHD	have
um	RB	um
very	RB	very
nice	JJ	nice
car	NN	car
uh	UH	uh
my	PP$	my
kids	NNS	kid
were	VBD	be
in	IN	in
a	DT	a
private	JJ	private
school	NN	school
they	PP	they
learn	VVP	learn
English	JJ	English
and	CC	and
French	JJ	French
it	PP	it
was	VBD	be
a	DT	a
very	RB	very
nice	JJ	nice
life	NN	life
and	CC	and
then	RB	then
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
came	VVD	come
it	PP	it
was	VBD	be
6	CD	@card@
:	:	:
00	CD	@card@
a	DT	a
.	SENT	.
m	NN	m
.	SENT	.
in	IN	in
the	DT	the
in	IN	in
the	DT	the
morning	NN	morning
I	PP	I
'	POS	'
m	NN	m
hearing	VVG	hear
a	DT	a
lot	NN	lot
of	IN	of
noise	NN	noise
hearing	VVG	hear
a	DT	a
lot	NN	lot
of	IN	of
rockets	NNS	rocket
flying	VVG	fly
to	TO	to
Israel	NP	Israel
in	IN	in
the	DT	the
first	JJ	first
six	CD	six
hours	NNS	hour
there	RB	there
were	VBD	be
only	RB	only
Rockets	NNS	rocket
from	IN	from
Hamas	NN	Hamas
but	CC	but
then	RB	then
after	IN	after
that	IN/that	that
the	DT	the
response	NN	response
started	VVD	start
and	CC	and
the	DT	the
rockets	NNS	rocket
started	VVD	start
flying	VVG	fly
from	IN	from
both	DT	both
sides	NNS	side
we	PP	we
took	VVD	take
the	DT	the
kids	NNS	kid
the	DT	the
Escape	NN	escape
bag	NN	bag
and	CC	and
we	PP	we
took	VVD	take
the	DT	the
decision	NN	decision
to	TO	to
move	VV	move
to	TO	to
my	PP$	my
father	NN	father
'	POS	'
s	NN	S
in	IN	in
-	NN	-
law	NN	law
house	NN	house
I	PP	I
got	VVD	get
to	TO	to
the	DT	the
house	NN	house
and	CC	and
I	PP	I
'	POS	'
m	NN	m
looking	VVG	look
around	RP	around
and	CC	and
it	PP	it
'	POS	'
s	NN	S
just	RB	just
just	RB	just
an	DT	an
empty	JJ	empty
house	NN	house
burnt	VVD	burn
destroyed	VVN	destroy
fully	RB	fully
no	DT	no
walls	NNS	wall
there	RB	there
'	''	'
s	NN	S
nothing	NN	nothing
in	IN	in
the	DT	the
house	NN	house
like	IN	like
full	JJ	full
