<video_id>UOl82at6wtY</video_id>	JJ	<video_id>UOl82at6wtY</video_id>
<video_title>Israeli	NN	<video_title>Israeli
strike	NN	strike
kills	VVZ	kill
five	CD	five
Palestinians	NPS	Palestinians
in	IN	in
West	NP	West
Bank	NP	Bank
|	SYM	|
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\Israeli	NP	<thumbnail_path>data/en_BBCNews\Israeli
strike	NN	strike
kills	VVZ	kill
five	CD	five
Palestinians	NPS	Palestinians
in	IN	in
West	NP	West
Bank	NP	Bank
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240911</publish_date>	NN	<publish_date>20240911</publish_date>
<doc>	NN	<doc>
Palestinian	JJ	Palestinian
paramedics	NNS	paramedic
say	VVP	say
that	IN/that	that
at	IN	at
least	JJS	least
five	CD	five
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
an	DT	an
Israeli	JJ	Israeli
military	JJ	military
operation	NN	operation
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
the	DT	the
Israeli	JJ	Israeli
military	NN	military
said	VVD	say
it	PP	it
was	VBD	be
carrying	VVG	carry
out	RP	out
a	DT	a
counterterrorism	NN	counterterrorism
operation	NN	operation
in	IN	in
the	DT	the
area	NN	area
and	CC	and
struck	VVD	strike
an	DT	an
armed	JJ	armed
terrorist	JJ	terrorist
cell	NN	cell
while	IN	while
the	DT	the
Palestinian	JJ	Palestinian
red	JJ	red
Cresent	NN	Cresent
said	VVD	say
that	IN/that	that
a	DT	a
drone	NN	drone
had	VHD	have
been	VBN	be
used	VVN	use
this	DT	this
is	VBZ	be
just	RB	just
days	NNS	day
after	IN	after
the	DT	the
largest	JJS	large
Israeli	JJ	Israeli
military	JJ	military
operation	NN	operation
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
since	IN	since
the	DT	the
Hamas	JJ	Hamas
attacks	NNS	attack
on	IN	on
October	NP	October
the	DT	the
7th	JJ	7th
our	PP$	our
correspondent	JJ	correspondent
Daniel	NP	Daniel
desimon	NN	desimon
is	VBZ	be
in	IN	in
Jerusalem	NP	Jerusalem
and	CC	and
he	PP	he
told	VVD	tell
us	PP	us
more	JJR	more
about	IN	about
this	DT	this
overnight	JJ	overnight
operation	NN	operation
well	RB	well
so	RB	so
as	IN	as
you	PP	you
say	VVP	say
this	DT	this
took	VVD	take
place	NN	place
overnight	RB	overnight
and	CC	and
the	DT	the
Palestinian	JJ	Palestinian
red	JJ	red
cresant	NN	cresant
say	VVP	say
that	IN/that	that
five	CD	five
people	NNS	people
were	VBD	be
killed	VVN	kill
uh	UH	uh
various	JJ	various
Palestinian	JJ	Palestinian
channels	NNS	channel
are	VBP	be
naming	VVG	name
naming	VVG	name
the	DT	the
the	DT	the
dead	JJ	dead
and	CC	and
saying	VVG	say
that	DT	that
they're	NN	they're
all	DT	all
uh	UH	uh
men	NNS	man
uh	UH	uh
the	DT	the
Palestinian	JJ	Palestinian
red	JJ	red
cresant	NN	cresant
said	VVD	say
it's	NNS	it's
recovered	VVD	recover
the	DT	the
bodies	NNS	body
and	CC	and
and	CC	and
their	PP$	their
bodies	NNS	body
and	CC	and
taking	VVG	take
them	PP	them
to	TO	to
hospital	NN	hospital
and	CC	and
it	PP	it
described	VVD	describe
them	PP	them
dying	VVG	die
in	IN	in
an	DT	an
Israeli	JJ	Israeli
drone	NN	drone
strike	NN	strike
now	RB	now
the	DT	the
Israeli	JJ	Israeli
Defense	NP	Defense
Forces	NP	Forces
has	VHZ	have
confirmed	VVN	confirm
it	PP	it
conducted	VVD	conduct
a	DT	a
military	JJ	military
operation	NN	operation
overnight	RB	overnight
it	PP	it
described	VVD	describe
it	PP	it
as	IN	as
a	DT	a
counter	JJ	counter
terrorist	JJ	terrorist
operation	NN	operation
and	CC	and
said	VVD	say
uh	UH	uh
an	DT	an
aircraft	NN	aircraft
had	VHD	have
struck	VVN	strike
