there	EX	there
are	VBP	be
mixed	JJ	mixed
signals	NNS	signal
toight	NN	toight
from	IN	from
the	DT	the
Israeli	JJ	Israeli
government	NN	government
about	RB	about
whether	IN	whether
they	PP	they
will	MD	will
agree	VV	agree
to	TO	to
us	PP	us
peace	NN	peace
plan	NN	plan
for	IN	for
Gaza	NP	Gaza
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benyamin	NP	Benyamin
netan	NN	netan
who	WP	who
says	VVZ	say
Israel	NP	Israel
could	MD	could
start	VV	start
adopting	VVG	adopt
parts	NNS	part
of	IN	of
the	DT	the
plan	NN	plan
but	CC	but
not	RB	not
unless	IN	unless
it	PP	it
leads	VVZ	lead
to	TO	to
the	DT	the
total	JJ	total
Destruction	NN	destruction
of	IN	of
Hamas	JJ	Hamas
tonight	NN	tonight
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
confirmed	VVN	confirm
that	IN/that	that
four	CD	four
hostages	NNS	hostage
are	VBP	be
dead	RB	dead
including	VVG	include
one	CD	one
British	JJ	British
Israeli	JJ	Israeli
man	NN	man
nadav	NP	Nadav
poppelwell	NP	poppelwell
last	JJ	last
week	NN	week
President	NP	President
Biden	NP	Biden
set	VVD	set
out	RP	out
a	DT	a
three	CD	three
-	NN	-
part	NN	part
peace	NN	peace
plan	NN	plan
starting	VVG	start
with	IN	with
an	DT	an
initial	JJ	initial
six	CD	six
we	PP	we
ceasefire	NN	ceasefire
leading	VVG	lead
to	TO	to
end	VV	end
in	IN	in
the	DT	the
fighting	VVG	fight
the	DT	the
freeing	NN	freeing
of	IN	of
all	PDT	all
the	DT	the
hostages	NNS	hostage
and	CC	and
the	DT	the
Reconstruction	NN	reconstruction
of	IN	of
Gaza	NP	Gaza
without	IN	without
Hamas	NP	Hamas
in	IN	in
power	NN	power
our	PP$	our
middleast	NN	middleast
correspondent	NN	correspondent
Lucy	NP	Lucy
Williamson	NP	Williamson
hears	VVZ	hear
from	IN	from
people	NNS	people
inside	IN	inside
Gaza	NP	Gaza
and	CC	and
in	IN	in
the	DT	the
town	NN	town
of	IN	of
zot	NN	zot
on	IN	on
the	DT	the
Israel	NP	Israel
Gaza	NP	Gaza
border	NN	border
to	TO	to
gauge	VV	gauge
reaction	NN	reaction
to	TO	to
the	DT	the
new	JJ	new
plan	NN	plan
the	DT	the
price	NN	price
of	IN	of
gaza	NP	Gaza
'	POS	'
s	NN	S
war	NN	war
is	VBZ	be
rising	VVG	rise
as	IN	as
its	PP$	its
cities	NNS	city
crumble	VV	crumble
the	DT	the
price	NN	price
of	IN	of
Peace	NN	peace
too	RB	too
high	JJ	high
for	IN	for
leaders	NNS	leader
on	IN	on
both	DT	both
sides	NNS	side
Israel	NP	Israel
'	POS	'
s	NN	S
said	VVD	say
it	PP	it
had	VHD	have
bombed	VVN	bomb
more	JJR	more
than	IN	than
50	CD	@card@
targets	NNS	target
since	IN	since
yesterday	NN	yesterday
but	CC	but
Hamas	NN	Hamas
is	VBZ	be
still	RB	still
fighting	VVG	fight
here	RB	here
and	CC	and
hopes	VVZ	hope
for	IN	for
the	DT	the
new	JJ	new
ceasefire	NN	ceasefire
deal	NN	deal
were	VBD	be
mixed	VVN	mix
hamash	NN	hamash
should	MD	should
raise	VV	raise
its	PP$	its
demands	NNS	demand
and	CC	and
seriously	RB	seriously
adhere	VV	adhere
to	TO	to
the	DT	the
conditions	NNS	condition
they	PP	they
set	VVD	set
which	WDT	which
are	VBP	be
the	DT	the
people	NNS	people
'	POS	'
s	NN	S
demands	VVZ	demand
Hamas	RB	Hamas
accept	VV	accept
the	DT	the
deal	NN	deal
it	PP	it
'	POS	'
s	NN	S
enough	RB	enough
enough	RB	enough
of	IN	of
what	WP	what
we	PP	we
lost	VVD	lose
we	PP	we
urge	VVP	urge
Hamas	NNS	Hamas
to	TO	to
stop	VV	stop
the	DT	the
war	NN	war
Israel	NP	Israel
'	POS	'
s	JJ	s
prime	JJ	prime
minister	NN	minister
is	VBZ	be
negotiating	VVG	negotiate
on	IN	on
two	CD	two
fronts	NNS	front
his	PP$	his
far	JJ	far
-	NN	-
right	NN	right
allies	NNS	ally
say	VVP	say
he	PP	he
must	MD	must
continue	VV	continue
the	DT	the
war	NN	war
until	IN	until
Hamas	NP	Hamas
is	VBZ	be
destroyed	VVN	destroy
or	CC	or
they	PP	they
'	POS	'
ll	NNS	ll
bring	VVP	bring
down	RP	down
the	DT	the
government	NN	government
he	PP	he
'	POS	'
s	NN	S
insisted	VVD	insist
that	IN/that	that
his	PP$	his
conditions	NNS	condition
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
haven	NN	haven
'	POS	'
t	NN	t
changed	VVD	change
we	PP	we
have	VHP	have
gone	VVN	go
a	DT	a
long	JJ	long
way	NN	way
to	TO	to
return	VV	return
the	DT	the
hostages	NNS	hostage
while	IN	while
keeping	VVG	keep
the	DT	the
war	NN	war
'	POS	'
s	NN	S
objectives	NNS	objective
in	IN	in
mind	NN	mind
primarily	RB	primarily
the	DT	the
elimination	NN	elimination
of	IN	of
Hamas	NN	Hamas
we	PP	we
insist	VVP	insist
that	IN/that	that
we	PP	we
will	MD	will
achieve	VV	achieve
both	CC	both
it	PP	it
'	POS	'
s	NNS	s
all	DT	all
part	NN	part
of	IN	of
the	DT	the
plan	NN	plan
not	RB	not
something	NN	something
I	PP	I
'	POS	'
ve	NN	ve
just	RB	just
added	VVD	add
but	CC	but
Hamas	NP	Hamas
has	VHZ	have
said	VVN	say
it	PP	it
won	VVD	win
'	''	'
t	NN	t
free	RB	free
more	JJR	more
hostages	NNS	hostage
without	IN	without
a	DT	a
guarantee	NN	guarantee
the	DT	the
war	NN	war
will	MD	will
end	VV	end
tonight	RB	tonight
Israel	NP	Israel
learned	VVD	learn
that	IN/that	that
four	CD	four
more	JJR	more
captives	NNS	captive
were	VBD	be
confirmed	VVN	confirm
to	TO	to
have	VH	have
died	VVN	die
Heim	NP	Heim
Perry	NP	Perry
yuram	NN	yuram
meta	NN	meta
amiram	NN	amiram
Cooper	NP	Cooper
and	CC	and
British	NP	British
Israeli	NP	Israeli
nadav	NP	Nadav
Powell	NP	Powell
after	IN	after
almost	RB	almost
8	CD	@card@
months	NNS	month
of	IN	of
War	NP	War
much	RB	much
of	IN	of
Northern	NP	Northern
Gaza	NP	Gaza
lies	VVZ	lie
in	IN	in
Ruins	NNS	ruin
but	CC	but
Israel	NP	Israel
'	POS	'
s	JJ	s
prime	JJ	prime
minister	NN	minister
is	VBZ	be
struggling	VVG	struggle
to	TO	to
end	VV	end
the	DT	the
war	NN	war
because	IN	because
he	PP	he
hasn	NN	hasn
'	POS	'
t	NN	t
achieved	VVD	achieve
his	PP$	his
War	NP	War
goal	NN	goal
he	PP	he
hasn	NP	hasn
'	POS	'
t	NN	t
brought	VVD	bring
back	RB	back
all	PDT	all
the	DT	the
hostages	NNS	hostage
he	PP	he
hasn	NP	hasn
'	POS	'
t	NN	t
destroyed	VVD	destroy
Hamas	NP	Hamas
the	DT	the
US	NP	US
President	NP	President
says	VVZ	say
Hamas	NN	Hamas
is	VBZ	be
no	RB	no
longer	RBR	longer
capable	JJ	capable
of	IN	of
carrying	VVG	carry
out	RP	out
the	DT	the
kind	NN	kind
of	IN	of
attack	NN	attack
it	PP	it
did	VVD	do
on	IN	on
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
but	CC	but
Israelis	NPS	Israelis
living	VVG	live
here	RB	here
by	IN	by
the	DT	the
Gaza	NP	Gaza
border	NN	border
say	VVP	say
they	PP	they
still	RB	still
don	VVP	don
'	POS	'
t	NN	t
feel	VVP	feel
safe	JJ	safe
this	DT	this
is	VBZ	be
the	DT	the
last	JJ	last
time	NN	time
yarn	NN	yarn
saw	VVD	see
her	PP$	her
neighborhood	NN	neighborhood
trapped	VVN	trap
in	IN	in
her	PP$	her
home	NN	home
in	IN	in
stot	VV	stot
by	IN	by
the	DT	the
Gaza	NP	Gaza
border	NN	border
as	IN	as
Hamas	JJ	Hamas
gunman	NN	gunman
ran	VVD	run
through	IN	through
the	DT	the
streets	NNS	street
you	PP	you
know	VVP	know
if	IN	if
my	PP$	my
middle	NN	middle
she	PP	she
and	CC	and
her	PP$	her
three	CD	three
children	NNS	child
fled	VVD	flee
to	TO	to
Jerusalem	NP	Jerusalem
the	DT	the
next	JJ	next
day	NN	day
as	RB	as
sees	VVZ	see
fire	NN	fire
now	RB	now
she	PP	she
says	VVZ	say
won	VVN	win
'	''	'
t	NN	t
be	VB	be
enough	JJ	enough
to	TO	to
send	VV	send
them	PP	them
home	NN	home
we	PP	we
will	MD	will
free	VV	free
the	DT	the
hostages	NNS	hostage
but	CC	but
few	JJ	few
few	JJ	few
years	NNS	year
from	IN	from
now	RB	now
your	PP$	your
life	NN	life
will	MD	will
be	VB	be
you	PP	you
will	MD	will
be	VB	be
the	DT	the
next	JJ	next
hostages	NNS	hostage
you	PP	you
will	MD	will
be	VB	be
the	DT	the
next	JJ	next
people	NNS	people
that	WDT	that
get	VVP	get
murdered	VVN	murder
that	IN/that	that
the	DT	the
women	NNS	woman
that	IN/that	that
wed	VVN	wed
the	DT	the
the	DT	the
all	PDT	all
this	DT	this
will	MD	will
be	VB	be
happen	VV	happen
again	RB	again
this	DT	this
is	VBZ	be
fire	NN	fire
will	MD	will
kill	VV	kill
us	PP	us
ending	VVG	end
this	DT	this
conflict	NN	conflict
rests	VVZ	rest
with	IN	with
the	DT	the
leaders	NNS	leader
of	IN	of
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
locked	VVD	lock
in	IN	in
a	DT	a
war	NN	war
for	IN	for
their	PP$	their
own	JJ	own
Survival	NN	survival
Lucy	NP	Lucy
Williamson	NP	Williamson
BBC	NP	BBC
News	NP	News
stot	VVP	stot
