<video_id>LQaxmm_3SqQ</video_id>	NP	<video_id>LQaxmm_3SqQ</video_id>
<video_title>Qatar	NP	<video_title>Qatar
PM	NP	PM
says	VVZ	say
‘very	JJ	‘very
minor’	NN	minor’
obstacles	NNS	obstacle
to	TO	to
hostage	NN	hostage
release	NN	release
deal	NN	deal
remain	VVP	remain
-	NN	-
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\Qatar	NP	<thumbnail_path>data/en_BBCNews\Qatar
PM	NP	PM
says	VVZ	say
‘very	JJ	‘very
minor’	NN	minor’
obstacles	NNS	obstacle
to	TO	to
hostage	NN	hostage
release	NN	release
deal	NN	deal
remain	VVP	remain
-	NN	-
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231119</publish_date>	NN	<publish_date>20231119</publish_date>
<doc>	NN	<doc>
well	RB	well
qatar's	JJ	qatar's
prime	JJ	prime
minister	NN	minister
has	VHZ	have
spoken	VVN	speak
to	TO	to
reporters	NNS	reporter
in	IN	in
Doha	NP	Doha
about	IN	about
the	DT	the
prospect	NN	prospect
of	IN	of
a	DT	a
deal	NN	deal
to	TO	to
release	VV	release
some	DT	some
hostages	NNS	hostage
it's	NNS	it's
not	RB	not
really	RB	really
about	IN	about
you	PP	you
know	VVP	know
a	DT	a
specific	JJ	specific
thing	NN	thing
that	IN/that	that
you	PP	you
know	VVP	know
I	PP	I
can	MD	can
comment	VV	comment
yes	RB	yes
or	CC	or
no	RB	no
about	IN	about
it	PP	it
but	CC	but
it's	JJ	it's
uh	UH	uh
the	DT	the
challenges	NNS	challenge
that	WDT	that
remains	VVZ	remain
in	IN	in
in	IN	in
the	DT	the
negotiations	NNS	negotiation
are	VBP	be
very	RB	very
minor	JJ	minor
compared	VVN	compare
to	TO	to
the	DT	the
bigger	JJR	big
CH	NP	CH
challenges	NNS	challenge
they	PP	they
are	VBP	be
more	RBR	more
logistical	JJ	logistical
they	PP	they
are	VBP	be
more	RBR	more
practical	JJ	practical
and	CC	and
I	PP	I
believe	VVP	believe
that	IN/that	that
uh	UH	uh
with	IN	with
the	DT	the
willingness	NN	willingness
of	IN	of
both	DT	both
parties	NNS	party
to	TO	to
engage	VV	engage
and	CC	and
to	TO	to
have	VH	have
this	DT	this
deal	VV	deal
uh	UH	uh
moving	VVG	move
we	PP	we
can	MD	can
we	PP	we
can	MD	can
reach	VV	reach
there	RB	there
we	PP	we
are	VBP	be
uh	UH	uh
we've	NNS	we've
been	VBN	be
focused	VVN	focus
in	IN	in
the	DT	the
past	JJ	past
four	CD	four
five	CD	five
weeks	NNS	week
now	RB	now
in	IN	in
in	IN	in
in	IN	in
these	DT	these
negotiations	NNS	negotiation
we've	NN	we've
been	VBN	be
we	PP	we
tried	VVD	try
every	DT	every
way	NN	way
all	DT	all
possible	JJ	possible
ways	NNS	way
in	IN	in
order	NN	order
to	TO	to
ensure	VV	ensure
uh	UH	uh
uh	UH	uh
that	WDT	that
civilians	NNS	civilian
uh	UH	uh
are	VBP	be
released	VVN	release
and	CC	and
we	PP	we
treat	VVP	treat
all	DT	all
human	JJ	human
beings	NNS	being
are	VBP	be
the	DT	the
same	JJ	same
civilians	NNS	civilian
are	VBP	be
civilians	NNS	civilian
whether	IN	whether
they	PP	they
are	VBP	be
from	IN	from
the	DT	the
Israeli	JJ	Israeli
side	NN	side
or	CC	or
the	DT	the
Palestinian	JJ	Palestinian
side	NN	side
as	IN	as
as	IN	as
we	PP	we
mentioned	VVD	mention
in	RP	in
in	IN	in
in	IN	in
several	JJ	several
occasions	VVZ	occasion
uh	UH	uh
our	PP$	our
focus	NN	focus
is	VBZ	be
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
there	RB	there
relas	NNS	relas
is	VBZ	be
happening	VVG	happen
safely	RB	safely
and	CC	and
there	EX	there
are	VBP	be
also	RB	also
the	DT	the
humanitarian	JJ	humanitarian
issues	NNS	issue
of	IN	of
the	DT	the
Gaza	NP	Gaza
STP	NP	STP
to	TO	to
be	VB	be
addressed	VVN	address
in	IN	in
in	IN	in
that	DT	that
that	WDT	that
was	VBD	be
qatar's	JJ	qatar's
prime	JJ	prime
minister	NN	minister
there	RB	there
well	RB	well
I'm	NP	I'm
joined	VVD	join
now	RB	now
in	IN	in
the	DT	the
studio	NN	studio
by	IN	by
our	PP$	our
Middle	NP	Middle
East	NP	East
Sebastian	NP	Sebastian
user	NN	user
Sebastian	NP	Sebastian
tell	VVP	tell
us	PP	us
more	JJR	more
about	IN	about
what's	NNS	what's
been	VBN	be
said	VVN	say
about	IN	about
a	DT	a
potential	JJ	potential
hostage	NN	hostage
deal	NN	deal
what	WP	what
we	PP	we
were	VBD	be
hearing	VVG	hear
there	RB	there
from	IN	from
a	DT	a
prime	JJ	prime
minister	NN	minister
who	WP	who
also	RB	also
serves	VVZ	serve
as	IN	as
their	PP$	their
foreign	JJ	foreign
minister	NN	minister
is	VBZ	be
more	RBR	more
upbeat	JJ	upbeat
than	IN	than
we've	NN	we've
heard	VVN	hear
for	IN	for
several	JJ	several
days	NNS	day
in	IN	in
public	JJ	public
at	IN	at
least	JJS	least
about	IN	about
what's	NNS	what's
going	VVG	go
on	IN	on
and	CC	and
he's	NNS	he's
saying	VVG	say
that	IN/that	that
the	DT	the
challenges	NNS	challenge
that	WDT	that
remain	VVP	remain
about	IN	about
trying	VVG	try
to	TO	to
get	VV	get
this	DT	this
deal	NN	deal
done	VVN	do
and	CC	and
this	DT	this
is	VBZ	be
only	RB	only
a	DT	a
partial	JJ	partial
deal	NN	deal
remember	VV	remember
this	DT	this
is	VBZ	be
not	RB	not
a	DT	a
deal	NN	deal
obviously	RB	obviously
for	IN	for
the	DT	the
full	JJ	full
number	NN	number
of	IN	of
hostages	NNS	hostage
to	TO	to
be	VB	be
released	VVN	release
but	CC	but
that	IN/that	that
they	PP	they
are	VBP	be
now	RB	now
they're	JJ	they're
logistical	JJ	logistical
they're	NN	they're
practical	JJ	practical
details	NNS	detail
they're	NN	they're
very	RB	very
minor	JJ	minor
I	PP	I
mean	VVP	mean
in	IN	in
such	PDT	such
a	DT	a
sensitive	JJ	sensitive
deal	NN	deal
as	IN	as
this	DT	this
even	RB	even
logistical	JJ	logistical
and	CC	and
practical	JJ	practical
details	NNS	detail
I	PP	I
would	MD	would
suggest	VV	suggest
could	MD	could
still	RB	still
be	VB	be
a	DT	a
major	JJ	major
BL	NP	BL
block	VV	block
what	WP	what
he's	NNS	he's
saying	VVG	say
I	PP	I
think	VVP	think
also	RB	also
the	DT	the
timing	NN	timing
of	IN	of
it	PP	it
is	VBZ	be
interesting	JJ	interesting
we	PP	we
had	VHD	have
a	DT	a
Washington	NP	Washington
Post	NP	Post
article	VV	article
uh	UH	uh
just	RB	just
uh	UH	uh
in	IN	in
the	DT	the
past	JJ	past
24	CD	@card@
hours	NNS	hour
suggesting	VVG	suggest
that	IN/that	that
a	DT	a
deal	NN	deal
is	VBZ	be
almost	RB	almost
done	VVN	do
uh	UH	uh
that	IN/that	that
essentially	RB	essentially
the	DT	the
um	NN	um
the	DT	the
way	NN	way
that	IN/that	that
it	PP	it
will	MD	will
be	VB	be
managed	VVN	manage
would	MD	would
be	VB	be
50	CD	@card@
hostages	NNS	hostage
for	IN	for
his	PP$	his
women	NNS	woman
and	CC	and
children	NNS	child
would	MD	would
be	VB	be
released	VVN	release
and	CC	and
in	IN	in
return	NN	return
Israel	NP	Israel
would	MD	would
uh	UH	uh
provide	VV	provide
a	DT	a
5day	JJ	5day
ceasefire	NN	ceasefire
now	RB	now
in	IN	in
previous	JJ	previous
um	JJ	um
leaks	NNS	leak
that	IN/that	that
we've	NN	we've
had	VHD	have
about	IN	about
what	WP	what
a	DT	a
deal	NN	deal
might	MD	might
be	VB	be
with	IN	with
the	DT	the
Qatari	JJ	Qatari
Med	NP	Med
iation	NN	iation
this	DT	this
is	VBZ	be
Hamas	NP	Hamas
Israel	NP	Israel
and	CC	and
the	DT	the
us	PP	us
all	RB	all
very	RB	very
much	RB	much
involved	VVN	involve
in	IN	in
this	DT	this
had	VHD	have
been	VBN	be
I	PP	I
think	VVP	think
for	IN	for
a	DT	a
lesser	JJR	lesser
amount	NN	amount
of	IN	of
time	NN	time
for	IN	for
the	DT	the
ceasefire	NN	ceasefire
3	CD	@card@
days	NNS	day
I	PP	I
think	VVP	think
was	VBD	be
a	DT	a
previous	JJ	previous
and	CC	and
also	RB	also
Hamas	NNS	Hamas
had	VHD	have
been	VBN	be
demanding	VVG	demand
that	IN/that	that
there	EX	there
would	MD	would
be	VB	be
an	DT	an
exchange	NN	exchange
of	IN	of
prisoners	NNS	prisoner
that	IN/that	that
Israel	NP	Israel
had	VHD	have
as	RB	as
well	RB	well
Palestinian	JJ	Palestinian
women	NNS	woman
and	CC	and
Palestinian	JJ	Palestinian
children	NNS	child
that	WDT	that
doesn't	NNS	doesn't
seem	VVP	seem
to	TO	to
be	VB	be
the	DT	the
case	NN	case
at	IN	at
the	DT	the
moment	NN	moment
so	IN	so
I	PP	I
mean	VVP	mean
he	PP	he
didn't	NN	didn't
say	VVP	say
that	IN/that	that
it's	NNS	it's
imminent	JJ	imminent
he	PP	he
didn't	VVD	didn't
say	VV	say
you	PP	you
know	VV	know
expect	VV	expect
news	NN	news
of	IN	of
this	DT	this
in	IN	in
the	DT	the
next	JJ	next
day	NN	day
or	CC	or
two	CD	two
but	CC	but
I	PP	I
think	VVP	think
you	PP	you
know	VVP	know
this	DT	this
all	RB	all
looks	VVZ	look
for	IN	for
choreography	NN	choreography
looks	VVZ	look
even	RB	even
after	IN	after
white	JJ	white
house	VV	house
uh	UH	uh
denial	NN	denial
essentially	RB	essentially
saying	VVG	say
that	IN/that	that
there's	RB	there's
no	DT	no
deal	NN	deal
that's	NNS	that's
actually	RB	actually
been	VBN	be
done	VVN	do
yet	RB	yet
but	CC	but
they're	RB	they're
working	VVG	work
towards	IN	towards
it	PP	it
and	CC	and
the	DT	the
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Netanyahu	NP	Netanyahu
also	RB	also
in	IN	in
a	DT	a
sense	NN	sense
talking	VVG	talk
it	PP	it
down	IN	down
I	PP	I
think	VVP	think
we	PP	we
are	VBP	be
inevitably	RB	inevitably
moving	VVG	move
towards	IN	towards
this	DT	this
I	PP	I
think	VVP	think
everything	NN	everything
kind	NN	kind
of	IN	of
is	VBZ	be
merging	VVG	merge
to	TO	to
make	VV	make
this	DT	this
seem	VVP	seem
the	DT	the
likeliest	JJS	likely
option	NN	option
within	IN	within
the	DT	the
next	JJ	next
days	NNS	day
next	JJ	next
weeks	NNS	week
okay	JJ	okay
Sebastian	NP	Sebastian
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
</doc>	NN	</doc>
