<video_id>YEQt6bjCfrE</video_id>	NP	<video_id>YEQt6bjCfrE</video_id>
<video_title>Russia	NP	<video_title>Russia
and	CC	and
China	NP	China
block	VV	block
US	PP	us
call	VV	call
for	IN	for
immediate	JJ	immediate
Gaza	NP	Gaza
ceasefire	NN	ceasefire
tied	VVN	tie
to	TO	to
hostage	NN	hostage
deal	NN	deal
at	IN	at
UN	NP	UN
|	SYM	|
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\Russia	NP	<thumbnail_path>data/en_BBCNews\Russia
and	CC	and
China	NP	China
block	VV	block
US	PP	us
call	VV	call
for	IN	for
immediate	JJ	immediate
Gaza	NP	Gaza
ceasefire	NN	ceasefire
tied	VVN	tie
to	TO	to
hostage	NN	hostage
deal	NN	deal
at	IN	at
UN	NP	UN
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240322</publish_date>	NN	<publish_date>20240322</publish_date>
<doc>	NN	<doc>
now	RB	now
let's	JJ	let's
start	NN	start
in	IN	in
New	NP	New
York	NP	York
where	WRB	where
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
has	VHZ	have
voted	VVN	vote
against	IN	against
a	DT	a
US	NP	US
draft	NN	draft
resolution	NN	resolution
calling	VVG	call
for	IN	for
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
linked	VVD	link
to	TO	to
the	DT	the
release	NN	release
of	IN	of
hostages	NNS	hostage
Russia	NP	Russia
and	CC	and
China	NP	China
were	VBD	be
amongst	IN	amongst
three	CD	three
countries	NNS	country
that	WDT	that
vetoed	VVD	veto
the	DT	the
US	NP	US
resolution	NN	resolution
it	PP	it
was	VBD	be
the	DT	the
first	JJ	first
time	NN	time
the	DT	the
US	NP	US
had	VHD	have
supported	VVN	support
calls	NNS	call
for	IN	for
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
in	IN	in
the	DT	the
region	NN	region
having	VHG	have
previously	RB	previously
used	VVN	use
its	PP$	its
own	JJ	own
veto	NN	veto
to	TO	to
block	VV	block
such	JJ	such
demands	NNS	demand
at	IN	at
the	DT	the
UN	NP	UN
well	RB	well
this	DT	this
is	VBZ	be
how	WRB	how
the	DT	the
US	NP	US
ambassador	NN	ambassador
to	TO	to
the	DT	the
UN	NP	UN
responded	VVD	respond
to	TO	to
China	NP	China
and	CC	and
Russia's	NP	Russia's
veto	NN	veto
Russian	NP	Russian
China	NP	China
still	RB	still
could	MD	could
not	RB	not
bring	VV	bring
itself	PP	itself
to	TO	to
condemn	VV	condemn
hamas's	JJ	hamas's
terrorist	JJ	terrorist
attacks	NNS	attack
on	IN	on
October	NP	October
7th	JJ	7th
can	MD	can
we	PP	we
just	RB	just
pause	VVP	pause
on	IN	on
that	DT	that
for	IN	for
a	DT	a
moment	NN	moment
Russia	NP	Russia
and	CC	and
China	NP	China
refuses	VVZ	refuse
to	TO	to
condemn	VV	condemn
Hamas	NNS	Hamas
for	IN	for
burning	NN	burning
people	NNS	people
alive	JJ	alive
for	IN	for
gunning	VVG	gun
down	RP	down
innocent	JJ	innocent
civilians	NNS	civilian
at	IN	at
a	DT	a
concert	NN	concert
for	IN	for
raping	VVG	rape
women	NNS	woman
and	CC	and
girls	NNS	girl
for	IN	for
taking	VVG	take
hundreds	NNS	hundred
of	IN	of
people	NNS	people
hostage	NN	hostage
this	DT	this
was	VBD	be
the	DT	the
deadliest	JJS	deadly
single	JJ	single
attack	NN	attack
on	IN	on
Jews	NNS	jew
