<video_id>PhcGamJhJek</video_id>	JJ	<video_id>PhcGamJhJek</video_id>
<video_title>UK	NN	<video_title>UK
considering	VVG	consider
recognising	VVG	recognise
Palestine	NP	Palestine
state,	NP	state,
Lord	NP	Lord
Cameron	NP	Cameron
says	VVZ	say
|	SYM	|
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\UK	NP	<thumbnail_path>data/en_BBCNews\UK
considering	VVG	consider
recognising	VVG	recognise
Palestine	NP	Palestine
state,	NP	state,
Lord	NP	Lord
Cameron	NP	Cameron
says	VVZ	say
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240130</publish_date>	NN	<publish_date>20240130</publish_date>
<doc>	NN	<doc>
the	DT	the
foreign	JJ	foreign
secretary	NN	secretary
Lord	NP	Lord
Cameron	NP	Cameron
has	VHZ	have
suggested	VVN	suggest
Britain	NP	Britain
is	VBZ	be
ready	JJ	ready
to	TO	to
bring	VV	bring
forward	RB	forward
the	DT	the
moment	NN	moment
when	WRB	when
it	PP	it
formally	RB	formally
recognizes	VVZ	recognize
a	DT	a
Palestinian	JJ	Palestinian
State	NN	state
he	PP	he
told	VVD	tell
a	DT	a
reception	NN	reception
at	IN	at
Westminster	NP	Westminster
that	IN/that	that
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
had	VHD	have
to	TO	to
be	VB	be
given	VVN	give
a	DT	a
political	JJ	political
Horizon	NN	horizon
to	TO	to
encourage	VV	encourage
peace	NN	peace
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
well	RB	well
let's	NNS	let's
get	VVP	get
more	JJR	more
on	IN	on
this	DT	this
James	NP	James
landel	NN	landel
our	PP$	our
diplomatic	JJ	diplomatic
correspondent	NN	correspondent
is	VBZ	be
here	RB	here
with	IN	with
me	PP	me
really	RB	really
interesting	JJ	interesting
these	DT	these
comments	NNS	comment
James	NP	James
and	CC	and
and	CC	and
you	PP	you
were	VBD	be
there	RB	there
listening	VVG	listen
to	TO	to
David	NP	David
