hello	NN	hello
I	NP	I
'	POS	'
m	NN	m
G	NN	G
guruthi	NNS	guruthi
we	PP	we
begin	VVP	begin
in	IN	in
the	DT	the
hag	NN	hag
where	WRB	where
judges	NNS	judge
at	IN	at
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
that	RB	that
'	POS	'
s	NN	S
the	DT	the
United	NP	United
Nations	NPS	Nations
Top	NP	Top
Court	NP	Court
have	VHP	have
just	RB	just
ruled	VVN	rule
that	IN/that	that
Israel	NP	Israel
must	MD	must
immediately	RB	immediately
halt	VV	halt
its	PP$	its
military	JJ	military
offensive	NN	offensive
and	CC	and
other	JJ	other
actions	NNS	action
in	IN	in
Rafa	NP	Rafa
citing	VVG	cite
the	DT	the
immediate	JJ	immediate
risk	NN	risk
to	TO	to
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
it	PP	it
also	RB	also
ruled	VVD	rule
that	IN/that	that
Hamas	NP	Hamas
must	MD	must
immediately	RB	immediately
and	CC	and
unconditionally	RB	unconditionally
release	VV	release
its	PP$	its
hostages	NNS	hostage
let	VV	let
'	''	'
s	NNS	s
listen	VVP	listen
to	TO	to
what	WP	what
the	DT	the
judge	NN	judge
who	WP	who
was	VBD	be
speaking	VVG	speak
in	IN	in
the	DT	the
past	JJ	past
half	NN	half
an	DT	an
hour	NN	hour
had	VHD	have
to	TO	to
say	VV	say
the	DT	the
court	NN	court
recalls	VVZ	recall
that	IN/that	that
in	IN	in
ordance	NN	ordance
with	IN	with
article	NN	article
75	CD	@card@
paragraph	NN	paragraph
2	CD	@card@
of	IN	of
its	PP$	its
rules	NNS	rule
when	WRB	when
a	DT	a
request	NN	request
for	IN	for
the	DT	the
indication	NN	indication
of	IN	of
provisional	JJ	provisional
measures	NNS	measure
has	VHZ	have
been	VBN	be
made	VVN	make
it	PP	it
has	VHZ	have
the	DT	the
power	NN	power
under	IN	under
its	PP$	its
statute	NN	statute
to	TO	to
indicate	VV	indicate
measures	NNS	measure
that	WDT	that
are	VBP	be
not	RB	not
in	IN	in
whole	NN	whole
or	CC	or
in	IN	in
part	NN	part
other	JJ	other
than	IN	than
those	DT	those
requested	VVN	request
in	IN	in
the	DT	the
present	JJ	present
case	NN	case
having	VHG	have
considered	VVN	consider
the	DT	the
terms	NNS	term
of	IN	of
the	DT	the
provisional	JJ	provisional
measures	NNS	measure
requested	VVN	request
by	IN	by
South	NP	South
Africa	NP	Africa
and	CC	and
the	DT	the
circumstances	NNS	circumstance
of	IN	of
the	DT	the
case	NN	case
the	DT	the
court	NN	court
found	VVD	find
that	IN/that	that
the	DT	the
measures	NNS	measure
to	TO	to
be	VB	be
indicated	VVN	indicate
need	MD	need
not	RB	not
be	VB	be
identical	JJ	identical
to	TO	to
those	DT	those
requested	VVD	request
the	DT	the
court	NN	court
considered	VVD	consider
that	IN/that	that
in	IN	in
Conformity	NN	conformity
with	IN	with
obligations	NNS	obligation
under	IN	under
the	DT	the
genocide	NN	genocide
convention	NN	convention
Israel	NP	Israel
must	MD	must
immediately	RB	immediately
hold	VV	hold
its	PP$	its
military	JJ	military
offensive	NN	offensive
and	CC	and
any	DT	any
other	JJ	other
action	NN	action
in	IN	in
the	DT	the
Rafa	NP	Rafa
Governor	NP	Governor
which	WDT	which
may	MD	may
inflict	VV	inflict
on	IN	on
the	DT	the
Palestinian	JJ	Palestinian
group	NN	group
in	IN	in
Gaza	NP	Gaza
conditions	NNS	condition
of	IN	of
life	NN	life
that	WDT	that
could	MD	could
bring	VV	bring
about	IN	about
its	PP$	its
physical	JJ	physical
destruction	NN	destruction
in	IN	in
