<	SYM	<
doc	NN	doc
>	SYM	>
the	DT	the
UK	NP	UK
foreign	JJ	foreign
secretary	NN	secretary
Lord	NP	Lord
Cameron	NP	Cameron
has	VHZ	have
arrived	VVN	arrive
in	IN	in
Jerusalem	NP	Jerusalem
for	IN	for
talks	NNS	talk
with	IN	with
Israel	NP	Israel
'	POS	'
s	JJ	s
leaders	NNS	leader
about	IN	about
their	PP$	their
response	NN	response
to	TO	to
Iran	NP	Iran
'	POS	'
s	NN	S
drone	NN	drone
and	CC	and
missile	NN	missile
attack	NN	attack
over	IN	over
the	DT	the
weekend	NN	weekend
he	PP	he
'	POS	'
s	NN	S
also	RB	also
expected	VVN	expect
to	TO	to
discuss	VV	discuss
the	DT	the
continuing	JJ	continuing
humanitarian	JJ	humanitarian
crisis	NN	crisis
in	IN	in
Gaza	NP	Gaza
the	DT	the
United	NP	United
Nations	NPS	Nations
is	VBZ	be
launching	VVG	launch
a	DT	a
2	CD	@card@
.	SENT	.
8	CD	@card@
billion	NNS	billion
appeal	VVP	appeal
to	TO	to
provide	VV	provide
Aid	NN	aid
to	TO	to
the	DT	the
Palestinian	JJ	Palestinian
population	NN	population
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
occupied	VVD	occupy
West	NP	West
Bank	NP	Bank
with	IN	with
90	CD	@card@
%	NN	%
of	IN	of
the	DT	the
money	NN	money
going	VVG	go
towards	IN	towards
Gaza	NP	Gaza
meanwhile	RB	meanwhile
as	IN	as
Israel	NP	Israel
continues	VVZ	continue
to	TO	to
meet	VV	meet
to	TO	to
decide	VV	decide
how	WRB	how
and	CC	and
when	WRB	when
might	MD	might
respond	VV	respond
to	TO	to
Iran	NP	Iran
'	POS	'
s	NN	S
missile	NN	missile
and	CC	and
drone	NN	drone
attack	NN	attack
the	DT	the
US	NP	US
and	CC	and
EU	NP	EU
look	VVP	look
to	TO	to
impose	VV	impose
new	JJ	new
sanctions	NNS	sanction
on	IN	on
Iran	NP	Iran
the	DT	the
White	NP	White
House	NP	House
has	VHZ	have
said	VVN	say
they	PP	they
will	MD	will
Target	NP	Target
Iran	NP	Iran
'	POS	'
s	NN	S
missile	NN	missile
and	CC	and
drone	NN	drone
program	NN	program
and	CC	and
EU	NP	EU
foreign	JJ	foreign
policy	NN	policy
Chief	NP	Chief
Joseph	NP	Joseph
barell	NP	Barell
said	VVD	say
the	DT	the
block	NN	block
was	VBD	be
working	VVG	work
on	IN	on
a	DT	a
sanctions	NNS	sanction
plan	VVP	plan
after	IN	after
a	DT	a
number	NN	number
of	IN	of
EU	NP	EU
Nations	NPS	Nations
requested	VVD	request
a	DT	a
tough	JJ	tough
response	NN	response
let	NN	let
'	POS	'
s	NNS	s
get	VVP	get
the	DT	the
latest	JJS	late
with	IN	with
our	PP$	our
diplomatic	JJ	diplomatic
correspondent	NN	correspondent
James	NP	James
landel	NN	landel
who	WP	who
'	POS	'
s	NN	S
in	IN	in
Jerusalem	NP	Jerusalem
James	NP	James
welcome	VV	welcome
to	TO	to
you	PP	you
what	WP	what
can	MD	can
we	PP	we
expect	VV	expect
from	IN	from
David	NP	David
Cameron	NP	Cameron
'	POS	'
s	NNS	s
visit	VVP	visit
there	RB	there
well	RB	well
I	PP	I
expect	VVP	expect
him	PP	him
to	TO	to
continue	VV	continue
the	DT	the
message	NN	message
uh	UH	uh
of	IN	of
restraint	NN	restraint
that	IN/that	that
Western	JJ	Western
leaders	NNS	leader
have	VHP	have
been	VBN	be
uh	UH	uh
calling	NN	calling
for	IN	for
uh	UH	uh
ever	RB	ever
since	IN	since
Iran	NP	Iran
attacked	VVD	attack
this	DT	this
country	NN	country
with	IN	with
missiles	NNS	missile
and	CC	and
drones	NNS	drone
over	IN	over
the	DT	the
weekend	VV	weekend
uh	UH	uh
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
uh	UH	uh
had	VHD	have
a	DT	a
call	NN	call
with	IN	with
the	DT	the
uh	UH	uh
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
last	JJ	last
night	NN	night
in	IN	in
which	WDT	which
he	PP	he
said	VVD	say
escalation	NN	escalation
was	VBD	be
in	IN	in
no	DT	no
one	CD	one
'	POS	'
s	JJ	s
interests	NNS	interest
it	PP	it
would	MD	would
only	RB	only
deepen	VV	deepen
the	DT	the
insecurity	NN	insecurity
of	IN	of
the	DT	the
region	NN	region
it	PP	it
was	VBD	be
time	NN	time
for	IN	for
calm	JJ	calm
heads	NNS	head
to	TO	to
Prevail	VV	prevail
as	RB	as
well	RB	well
as	IN	as
that	DT	that
message	NN	message
though	IN	though
I	PP	I
think	VVP	think
the	DT	the
Prime	NP	Prime
Minister	NP	Minister
the	DT	the
foreign	JJ	foreign
secretary	NN	secretary
will	MD	will
also	RB	also
be	VB	be
talking	VVG	talk
to	TO	to
the	DT	the
Israeli	NP	Israeli
is	VBZ	be
about	RB	about
what	WP	what
more	RBR	more
they	PP	they
can	MD	can
do	VV	do
to	TO	to
get	VV	get
Aid	NN	aid
in	IN	in
to	TO	to
Gaza	NP	Gaza
that	WDT	that
'	POS	'
s	NN	S
something	NN	something
that	WDT	that
has	VHZ	have
been	VBN	be
I	PP	I
think	VVP	think
the	DT	the
focus	NN	focus
has	VHZ	have
moved	VVN	move
away	RB	away
from	IN	from
that	IN/that	that
because	IN	because
of	IN	of
the	DT	the
attention	NN	attention
on	IN	on
Iran	NP	Iran
and	CC	and
I	PP	I
think	VVP	think
also	RB	also
the	DT	the
foreign	JJ	foreign
secretary	NN	secretary
is	VBZ	be
going	VVG	go
to	TO	to
try	VV	try
and	CC	and
return	VV	return
some	DT	some
of	IN	of
the	DT	the
pressure	NN	pressure
back	RB	back
onto	IN	onto
those	DT	those
talks	NNS	talk
to	TO	to
try	VV	try
and	CC	and
get	VV	get
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
saying	VVG	say
look	VV	look
you	PP	you
know	VV	know
it	PP	it
'	POS	'
s	NNS	s
up	RP	up
to	TO	to
um	NNS	um
you	PP	you
know	VVP	know
Hamas	VVG	Hamas
uh	UH	uh
to	TO	to
accept	VV	accept
a	DT	a
deal	NN	deal
so	IN	so
I	PP	I
think	VVP	think
those	DT	those
are	VBP	be
the	DT	the
areas	NNS	area
that	IN/that	that
he	PP	he
'	POS	'
s	NN	S
likely	JJ	likely
to	TO	to
discuss	VV	discuss
when	WRB	when
he	PP	he
meets	VVZ	meet
Israeli	JJ	Israeli
leaders	NNS	leader
and	CC	and
also	RB	also
um	JJ	um
those	DT	those
Palestinian	JJ	Palestinian
leaders	NNS	leader
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
James	NP	James
what	WP	what
more	RBR	more
do	VV	do
we	PP	we
know	VV	know
about	IN	about
possible	JJ	possible
sanctions	NNS	sanction
the	DT	the
US	NP	US
and	CC	and
EU	NP	EU
are	VBP	be
discussing	VVG	discuss
over	IN	over
Iran	NP	Iran
well	RB	well
the	DT	the
Americans	NPS	Americans
said	VVD	say
yesterday	NN	yesterday
that	IN/that	that
they	PP	they
are	VBP	be
going	VVG	go
to	TO	to
introduce	VV	introduce
new	JJ	new
sanctions	NNS	sanction
on	IN	on
Iran	NP	Iran
specifically	RB	specifically
over	IN	over
attacking	VVG	attack
the	DT	the
supply	NN	supply
chains	NNS	chain
that	WDT	that
allow	VVP	allow
Iran	NP	Iran
to	TO	to
build	VV	build
drones	NNS	drone
and	CC	and
build	VV	build
their	PP$	their
missiles	NNS	missile
the	DT	the
EU	NP	EU
also	RB	also
talking	VVG	talk
about	RB	about
that	IN/that	that
there	EX	there
'	''	'
s	VVG	s
a	DT	a
meeting	NN	meeting
of	IN	of
G7	JJ	G7
foreign	JJ	foreign
ministers	NNS	minister
in	IN	in
Italy	NP	Italy
later	RBR	later
on	IN	on
today	NN	today
that	IN/that	that
um	JJ	um
David	NP	David
Cameron	NP	Cameron
Lord	NP	Lord
Cameron	NP	Cameron
will	MD	will
also	RB	also
be	VB	be
at	IN	at
they	PP	they
'	POS	'
re	NN	re
also	RB	also
going	VVG	go
to	TO	to
be	VB	be
talking	VVG	talk
um	NNS	um
about	RB	about
as	RB	as
well	RB	well
so	IN	so
I	PP	I
think	VVP	think
there	EX	there
'	''	'
s	VVG	s
an	DT	an
attempt	NN	attempt
to	TO	to
try	VV	try
and	CC	and
keep	VV	keep
this	DT	this
Coalition	NP	Coalition
of	IN	of
support	NN	support
for	IN	for
Israel	NP	Israel
that	WDT	that
has	VHZ	have
grown	VVN	grow
as	IN	as
a	DT	a
result	NN	result
of	IN	of
Iran	NP	Iran
'	POS	'
s	VVZ	s
uh	UH	uh
attack	NN	attack
at	IN	at
the	DT	the
weekend	NN	weekend
and	CC	and
try	VV	try
to	TO	to
