hello	NN	hello
I	NP	I
'	POS	'
m	NN	m
Katherine	NP	Katherine
BYU	NP	BYU
hanga	NN	hanga
we	PP	we
start	VVP	start
with	IN	with
the	DT	the
conflict	NN	conflict
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
President	NP	President
Biden	NP	Biden
has	VHZ	have
welcomed	VVN	welcome
Israel	NP	Israel
'	POS	'
s	JJ	s
decision	NN	decision
to	TO	to
formalize	VV	formalize
brief	JJ	brief
humanitarian	JJ	humanitarian
pauses	NNS	pause
in	IN	in
the	DT	the
fighting	NN	fighting
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
calling	VVG	call
it	PP	it
a	DT	a
step	NN	step
in	IN	in
the	DT	the
right	JJ	right
direction	NN	direction
the	DT	the
agreement	NN	agreement
came	VVD	come
after	IN	after
weeks	NNS	week
of	IN	of
us	PP	us
pressure	VVP	pressure
the	DT	the
Israeli	JJ	Israeli
defense	NN	defense
minister	NN	minister
said	VVD	say
the	DT	the
poses	NNS	pose
would	MD	would
not	RB	not
interfere	VV	interfere
with	IN	with
with	IN	with
the	DT	the
with	IN	with
Israel	NP	Israel
'	POS	'
s	JJ	s
military	JJ	military
objectives	NNS	objective
meanwhile	RB	meanwhile
Health	NP	Health
officials	NNS	official
in	IN	in
Gaza	NP	Gaza
say	VVP	say
they	PP	they
have	VHP	have
been	VBN	be
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
on	IN	on
or	CC	or
close	VV	close
to	TO	to
hospitals	NNS	hospital
including	VVG	include
the	DT	the
biggest	JJS	big
in	IN	in
the	DT	the
territory	NN	territory
alifa	NN	alifa
the	DT	the
BBC	NP	BBC
has	VHZ	have
not	RB	not
been	VBN	be
able	JJ	able
to	TO	to
verify	VV	verify
the	DT	the
reports	NNS	report
from	IN	from
the	DT	the
Hamas	JJ	Hamas
run	NN	run
authorities	NNS	authority
but	CC	but
Israel	NP	Israel
'	POS	'
s	NN	S
military	NN	military
said	VVD	say
earlier	RBR	earlier
that	IN/that	that
its	PP$	its
forces	NNS	force
were	VBD	be
operating	VVG	operate
close	NN	close
to	TO	to
the	DT	the
shifa	NN	shifa
hospital	NN	hospital
well	RB	well
let	VVD	let
'	''	'
s	NNS	s
speak	VVP	speak
to	TO	to
our	PP$	our
Middle	NP	Middle
East	NP	East
correspondent	NN	correspondent
yolan	NP	yolan
Nell	NP	Nell
who	WP	who
'	POS	'
s	NN	S
in	IN	in
Jerusalem	NP	Jerusalem
yoland	NN	yoland
what	WP	what
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
about	IN	about
these	DT	these
air	NN	air
strikes	VVZ	strike
that	IN/that	that
Hamas	NNS	Hamas
run	VVP	run
authorities	NNS	authority
say	VVP	say
happened	VVN	happen
close	NN	close
to	TO	to
to	TO	to
hospitals	NNS	hospital
in	IN	in
Gaza	NP	Gaza
well	RB	well
there	RB	there
'	''	'
s	NN	S
three	CD	three
hospitals	NNS	hospital
in	IN	in
Gaza	NP	Gaza
City	NP	City
that	WDT	that
are	VBP	be
included	VVN	include
in	IN	in
this	DT	this
statement	NN	statement
we	PP	we
also	RB	also
know	VVP	know
that	IN/that	that
there	EX	there
has	VHZ	have
been	VBN	be
um	JJ	um
other	JJ	other
military	JJ	military
action	NN	action
close	NN	close
to	TO	to
the	DT	the
Indonesian	JJ	Indonesian
Hospital	NN	hospital
which	WDT	which
is	VBZ	be
further	RBR	further
north	JJ	north
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
um	NNS	um
but	CC	but
in	IN	in
particular	JJ	particular
if	IN	if
