<video_id>Nh74H8Pyb8A</video_id>	JJ	<video_id>Nh74H8Pyb8A</video_id>
<video_title>Your	NN	<video_title>Your
Questions	NNS	question
Answered:	NP	Answered:
Why	NP	Why
are	VBP	be
Israel	NP	Israel
and	CC	and
Gaza	NP	Gaza
at	IN	at
war?	NN	war?
–	:	-
BBC	NP	BBC
News</video_title>	NP	News</video_title>
<thumbnail_path>data/en_BBCNews\Your	NN	<thumbnail_path>data/en_BBCNews\Your
Questions	NNS	question
Answered	VVD	answer
Why	WRB	why
are	VBP	be
Israel	NP	Israel
and	CC	and
Gaza	NP	Gaza
at	IN	at
war	NN	war
–	:	-
BBC	NP	BBC
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231016</publish_date>	NN	<publish_date>20231016</publish_date>
<doc>	NN	<doc>
well	RB	well
the	DT	the
conflict	NN	conflict
in	IN	in
Israel	NP	Israel
and	CC	and
Gaza	NP	Gaza
is	VBZ	be
far	RB	far
from	IN	from
simple	JJ	simple
and	CC	and
many	JJ	many
people	NNS	people
are	VBP	be
searching	VVG	search
the	DT	the
internet	NN	Internet
with	IN	with
their	PP$	their
questions	NNS	question
here	RB	here
with	IN	with
me	PP	me
to	TO	to
help	VV	help
answer	VV	answer
some	DT	some
of	IN	of
them	PP	them
the	DT	the
most	RBS	most
trending	VVG	trend
questions	NNS	question
at	IN	at
least	JJS	least
that	IN/that	that
people	NNS	people
are	VBP	be
asking	VVG	ask
online	JJ	online
search	NN	search
engines	NNS	engine
is	VBZ	be
our	PP$	our
Middle	NP	Middle
East	NP	East
analyst	NN	analyst
Sebastian	NP	Sebastian
Asher	NP	Asher
Sebastian	NP	Sebastian
welcome	VV	welcome
to	TO	to
you	PP	you
thanks	VVZ	thank
very	RB	very
much	RB	much
for	IN	for
being	VBG	be
with	IN	with
us	PP	us
um	NNS	um
for	IN	for
your	PP$	your
expertise	NN	expertise
before	IN	before
we	PP	we
go	VVP	go
to	TO	to
those	DT	those
questions	NNS	question
yes	NN	yes
let's	NNS	let's
get	VVP	get
some	DT	some
analysis	NN	analysis
on	IN	on
where	WRB	where
we're	NN	we're
at	IN	at
at	IN	at
this	DT	this
situation	NN	situation
we've	NN	we've
be	VB	be
talking	VVG	talk
a	DT	a
lot	NN	lot
about	IN	about
the	DT	the
Raffa	NP	Raffa
Crossing	VVG	cross
if	IN	if
you	PP	you
can	MD	can
explain	VV	explain
what	WP	what
that	DT	that
is	VBZ	be
why	WRB	why
it's	NNS	it's
so	IN	so
important	JJ	important
and	CC	and
if	IN	if
it	PP	it
is	VBZ	be
likely	JJ	likely
that	IN/that	that
Israel	NP	Israel
will	MD	will
allow	VV	allow
people	NNS	people
out	IN	out
yeah	RB	yeah
I	PP	I
I	PP	I
mean	VVP	mean
to	TO	to
a	DT	a
degree	NN	degree
we're	NN	we're
in	IN	in
