Israelis	NPS	Israelis
are	VBP	be
on	IN	on
the	DT	the
streets	NNS	street
protesting	VVG	protest
,	,	,
demanding	VVG	demand
a	DT	a
cease	VV	cease
fire	NN	fire
agreement	NN	agreement
after	IN	after
defense	NN	defense
officials	NNS	official
said	VVD	say
they	PP	they
recovered	VVD	recover
the	DT	the
bodies	NNS	body
of	IN	of
six	CD	six
Israeli	JJ	Israeli
hostages	NNS	hostage
murdered	VVN	murder
by	IN	by
Hamas	NP	Hamas
,	,	,
including	VVG	include
Israeli	JJ	Israeli
-	NN	-
American	NP	American
Hirsh	NP	Hirsh
Goldberg	NP	Goldberg
,	,	,
Poland	NP	Poland
,	,	,
who	WP	who
was	VBD	be
23	CD	@card@
years	NNS	year
old	JJ	old
.	SENT	.
An	DT	an
IDF	NP	IDF
spokesman	NN	spokesman
said	VVD	say
Hamas	NNS	Hamas
brutally	RB	brutally
killed	VVD	kill
the	DT	the
six	CD	six
young	JJ	young
adults	NNS	adult
in	IN	in
an	DT	an
underground	JJ	underground
tunnel	NN	tunnel
near	IN	near
Rafah	NP	Rafah
,	,	,
a	DT	a
short	JJ	short
time	NN	time
before	IN	before
Israeli	JJ	Israeli
forces	NNS	force
arrived	VVD	arrive
.	SENT	.
Three	CD	three
of	IN	of
them	PP	them
would	MD	would
have	VH	have
been	VBN	be
released	VVN	release
in	IN	in
the	DT	the
early	JJ	early
stages	NNS	stage
of	IN	of
a	DT	a
ceasefire	NN	ceasefire
agreement	NN	agreement
,	,	,
two	CD	two
Israeli	JJ	Israeli
officials	NNS	official
told	VVD	tell
CNN	NP	CNN
.	SENT	.
An	DT	an
agreement	NN	agreement
,	,	,
President	NP	President
Biden	NP	Biden
said	VVD	say
last	JJ	last
night	NN	night
was	VBD	be
on	IN	on
the	DT	the
verge	NN	verge
of	IN	of
happening	VVG	happen
,	,	,
while	IN	while
Vice	NP	Vice
President	NP	President
Harris	NP	Harris
released	VVD	release
a	DT	a
statement	NN	statement
that	WDT	that
reads	VVZ	read
,	,	,
in	IN	in
part	NN	part
,	,	,
the	DT	the
threat	NN	threat
Hamas	NN	Hamas
poses	VVZ	pose
to	TO	to
the	DT	the
people	NNS	people
of	IN	of
Israel	NP	Israel
and	CC	and
American	JJ	American
citizens	NNS	citizen
in	IN	in
