<video_id>FD28jY6vkhs</video_id>	NP	<video_id>FD28jY6vkhs</video_id>
<video_title>Israel	NP	<video_title>Israel
forms	VVZ	form
emergency	NN	emergency
war	NN	war
cabinet</video_title>	JJ	cabinet</video_title>
<thumbnail_path>data/en_CNN\Israel	NP	<thumbnail_path>data/en_CNN\Israel
forms	NNS	form
emergency	NN	emergency
war	NN	war
cabinet.jpg</thumbnail_path>	NN	cabinet.jpg</thumbnail_path>
<publish_date>20231011</publish_date>	NN	<publish_date>20231011</publish_date>
<doc>	NN	<doc>
&gt;&gt;&gt;	NN	&gt;&gt;&gt;
Top	JJ	top
of	IN	of
the	DT	the
hour.	NP	hour.
I'm	NP	I'm
John	NP	John
Berman	NP	Berman
with	IN	with
Kate	NP	Kate
Bolduan	NP	Bolduan
and	CC	and
Sara	NP	Sara
Sidner.	NP	Sidner.
We	PP	we
just	RB	just
learned	VVD	learn
Israel	NP	Israel
has	VHZ	have
a	DT	a
government	NN	government
in	IN	in
the	DT	the
war	NN	war
cabinet,	VVG	cabinet,
this	DT	this
is	VBZ	be
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
who	WP	who
made	VVD	make
the	DT	the
announcement	NN	announcement
moments	NNS	moment
ago	RB	ago
all	RB	all
of	IN	of
this	DT	this
as	IN	as
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
Israeli	JJ	Israeli
reservists	NNS	reservist
are	VBP	be
staged	VVN	stage
outside	IN	outside
Gaza.	NP	Gaza.
Let's	NP	Let's
get	VVP	get
right	RB	right
to	TO	to
become	VV	become
Anderson	NP	Anderson
who	WP	who
is	VBZ	be
in	IN	in
tel	NP	Tel
aviv	NP	Aviv
who	WP	who
can	MD	can
explain	VV	explain
this	DT	this
shift	NN	shift
inside	IN	inside
the	DT	the
government	NN	government
and	CC	and
what	WP	what
it	PP	it
means.	VVZ	means.
Becky?	NP	Becky?
&gt;&gt;	NP	&gt;&gt;
This	NP	This
is	VBZ	be
really	RB	really
important.	JJ	important.
What	WP	what
we	PP	we
understand	VVP	understand
is	VBZ	be
that	IN/that	that
these	DT	these
discussions	NNS	discussion
have	VHP	have
now	RB	now
being	VBG	be
on	IN	on
for	IN	for
some	DT	some
days,	NP	days,
and	CC	and
I	PP	I
have	VHP	have
to	TO	to
say	VV	say
there	EX	there
was	VBD	be
some	DT	some
speculation.	NN	speculation.
We	PP	we
got	VVD	get
this	DT	this
news	NN	news
yesterday,	NP	yesterday,
but	CC	but
clearly,	NP	clearly,
these	DT	these
negotiations	NNS	negotiation
on	IN	on
who	WP	who
is	VBZ	be
in	IN	in
this	DT	this
unity	NN	unity
government	NN	government
and	CC	and
particularly	RB	particularly
in	IN	in
what	WP	what
will	MD	will
be	VB	be
this	DT	this
war	NN	war
cabinet	NN	cabinet
have	VHP	have
