Breaking	VVG	break
news	NN	news
to	TO	to
CNN	NP	CNN
.	SENT	.
The	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
just	RB	just
announced	VVN	announce
a	DT	a
hostage	NN	hostage
has	VHZ	have
been	VBN	be
rescued	VVN	rescue
from	IN	from
Gaza	NP	Gaza
.	SENT	.
Jeremy	NP	Jeremy
Diamond	NP	Diamond
is	VBZ	be
following	VVG	follow
this	DT	this
story	NN	story
.	SENT	.
Jeremy	NP	Jeremy
,	,	,
what	WP	what
do	VVP	do
we	PP	we
know	VVP	know
?	SENT	?
yeah	RB	yeah
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
just	RB	just
learned	VVD	learn
that	IN/that	that
,	,	,
a	DT	a
hostage	NN	hostage
who	WP	who
is	VBZ	be
being	VBG	be
held	VVN	hold
by	IN	by
Hamas	NP	Hamas
since	IN	since
October	NP	October
7th	JJ	7th
has	VHZ	have
been	VBN	be
rescued	VVN	rescue
in	IN	in
an	DT	an
Israeli	JJ	Israeli
military	JJ	military
operation	NN	operation
.	SENT	.
Israeli	JJ	Israeli
military	NN	military
just	RB	just
releasing	VVG	release
the	DT	the
details	NNS	detail
that	WDT	that
killed	VVD	kill
Farhan	NP	Farhan
al	NP	al
-	NP	-
Saadi	NP	Saadi
,	,	,
a	DT	a
52	CD	@card@
year	NN	year
old	JJ	old
,	,	,
Bedouin	NN	Bedouin
man	NN	man
from	IN	from
Israel	NP	Israel
was	VBD	be
,	,	,
rescued	VVN	rescue
in	IN	in
an	DT	an
operation	NN	operation
,	,	,
a	DT	a
joint	JJ	joint
operation	NN	operation
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
and	CC	and
the	DT	the
Israeli	NP	Israeli
,	,	,
intelligence	NN	intelligence
service	NN	service
,	,	,
the	DT	the
Shin	NP	Shin
Bet	NP	Bet
.	SENT	.
they	PP	they
say	VVP	say
that	IN/that	that
he	PP	he
was	VBD	be
rescued	VVN	rescue
by	IN	by
Shalit	NP	Shalit
at	IN	at
13	CD	@card@
.	SENT	.
