<video_id>3PntaOSdyto</video_id>	JJ	<video_id>3PntaOSdyto</video_id>
<video_title>Israeli	NN	<video_title>Israeli
troops	NNS	troop
have	VHP	have
carried	VVN	carry
out	RP	out
local	JJ	local
raids	NNS	raid
in	IN	in
Gaza,	NP	Gaza,
IDF	NP	IDF
says</video_title>	NN	says</video_title>
<thumbnail_path>data/en_CNN\Israeli	NN	<thumbnail_path>data/en_CNN\Israeli
troops	NNS	troop
have	VHP	have
carried	VVN	carry
out	RP	out
local	JJ	local
raids	NNS	raid
in	IN	in
Gaza,	NP	Gaza,
IDF	NP	IDF
says.jpg</thumbnail_path>	NN	says.jpg</thumbnail_path>
<publish_date>20231013</publish_date>	NN	<publish_date>20231013</publish_date>
<doc>	NN	<doc>
I	PP	I
want	VVP	want
to	TO	to
go	VV	go
back	RB	back
to	TO	to
Israel.	NP	Israel.
CNN's	NP	CNN's
Nic	NP	Nic
Robertson	NP	Robertson
is	VBZ	be
live	JJ	live
there.	NP	there.
Nic,	NP	Nic,
what	WP	what
are	VBP	be
you	PP	you
learning	VVG	learn
Well,	NP	Well,
we've	NP	we've
just	RB	just
learned	VVD	learn
from	IN	from
the	DT	the
Israeli	NP	Israeli
Defense	NP	Defense
Force	NP	Force
that	IN/that	that
they	PP	they
have	VHP	have
put	VVN	put
some	DT	some
troops	NNS	troop
across	IN	across
the	DT	the
border	NN	border
into	IN	into
Gaza	NP	Gaza
in	IN	in
the	DT	the
past	JJ	past
24	CD	@card@
hours.	NN	hours.
They	PP	they
call	VVP	call
it	PP	it
a.	JJ	a.
A	DT	a
local.	NN	local.
Looking	VVG	look
for	IN	for
the	DT	the
language	NN	language
here.	NP	here.
Exactly.	NP	Exactly.
A	DT	a
local	JJ	local
raid.	NN	raid.
And	CC	and
so	RB	so
a	DT	a
limited	JJ	limited
incursion.	NN	incursion.
A	DT	a
local	JJ	local
raid	NN	raid
is	VBZ	be
a	DT	a
language	NN	language
they	PP	they
use	VVP	use
to	TO	to
describe	VV	describe
the	DT	the
troops	NNS	troop
that	IN/that	that
they've	NN	they've
sent	VVD	send
across	RP	across
into	IN	into
Gaza.	NP	Gaza.
It's	NP	It's
not	RB	not
clear	JJ	clear
how	WRB	how
many	JJ	many
they've	NN	they've
sent	VVD	send
across.	NP	across.
It's	NP	It's
not	RB	not
clear	VV	clear
yet	RB	yet
what	WP	what
their	PP$	their
mission	NN	mission
was.	NN	was.
if	IN	if
that	DT	that
mission	NN	mission
was	VBD	be
successful.	JJ	successful.
if	IN	if
they	PP	they
had	VHD	have
any	DT	any
casualties.	NN	casualties.
But	CC	but
this	DT	this
is	VBZ	be
the	DT	the
first	JJ	first
time	NN	time
since	IN	since
the	DT	the
weekend,	NP	weekend,
since	IN	since
this	DT	this
big	JJ	big
buildup	NN	buildup
of	IN	of
forces	NNS	force
that	IN/that	that
we've	NN	we've
heard	VVN	hear
from	IN	from
the	DT	the
IDF,	NP	IDF,
that	IN/that	that
they	PP	they
have	VHP	have
in	IN	in
fact,	NP	fact,
sent	VVD	send
troops	NNS	troop
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip.	NP	Strip.
This,	NP	This,
they	PP	they
say,	NP	say,
was	VBD	be
over	IN	over
the	DT	the
past	JJ	past
24	CD	@card@
hours.	NNS	hours.
The	DT	the
indication	NN	indication
seems	VVZ	seem
to	TO	to
be	VB	be
that	IN/that	that
this	DT	this
was	VBD	be
limited.	JJ	limited.
And	CC	and
the	DT	the
indication	NN	indication
seems	VVZ	seem
to	TO	to
be	VB	be
that	IN/that	that
it	PP	it
is	VBZ	be
over	RB	over
now	RB	now
that	IN/that	that
those	DT	those
troops	NNS	troop
are	VBP	be
out.	JJ	out.
And	CC	and
that	WDT	that
would	MD	would
perhaps	RB	perhaps
be	VB	be
within	IN	within
the	DT	the
sort	NN	sort
of	IN	of
expected	VVN	expect
operation	NN	operation
or	CC	or
parameters	NNS	parameter
for	IN	for
something	NN	something
like	IN	like
this,	NP	this,
that	IN/that	that
the	DT	the
IDF	NP	IDF
would	MD	would
not	RB	not
announce	VV	announce
something	NN	something
like	IN	like
this	DT	this
while	IN	while
they	PP	they
had	VHD	have
forces	NNS	force
over	IN	over
the	DT	the
border	NN	border
inside	NN	inside
of	IN	of
Gaza	NP	Gaza
itself.	NP	itself.
It	PP	it
really	RB	really
is	VBZ	be
interesting	JJ	interesting
that	IN/that	that
they	PP	they
did	VVD	do
make	VV	make
this	DT	this
public.	NN	public.
And	CC	and
you	PP	you
said	VVD	say
very	RB	very
clearly	RB	clearly
that	IN/that	that
we	PP	we
don't	VVD	don't
know	VV	know
what	WP	what
the	DT	the
mission	NN	mission
is	VBZ	be
right	RB	right
now.	JJ	now.
I	PP	I
mean,	VVP	mean,
you	PP	you
would	MD	would
think	VV	think
it	PP	it
might	MD	might
be	VB	be
twofold.	JJ	twofold.
One	CD	one
is	VBZ	be
to	TO	to
try	VV	try
to	TO	to
get	VV	get
hostages.	NP	hostages.
Another	DT	another
is	VBZ	be
that	IN/that	that
they	PP	they
located	VVD	locate
some	DT	some
of	IN	of
the	DT	the
of	IN	of
the	DT	the
terrorists	NNS	terrorist
or	CC	or
some	DT	some
of	IN	of
the	DT	the
higher	JJR	high
ranking	JJ	ranking
officials	NNS	official
in	IN	in
Hamas	NN	Hamas
they	PP	they
are	VBP	be
looking	VVG	look
for.	JJ	for.
But	CC	but
what	WP	what
does	VVZ	do
it	PP	it
tell	VV	tell
you	PP	you
that	IN/that	that
we	PP	we
know	VVP	know
this	DT	this
information	NN	information
right	RB	right
now	RB	now
There's	JJ	There's
a	DT	a
there's	NNS	there's
another	DT	another
thing	NN	thing
to	TO	to
add	VV	add
to	TO	to
that	DT	that
mix	NN	mix
of	IN	of
what	WP	what
it	PP	it
might	MD	might
be	VB	be
as	RB	as
well.	JJ	well.
It	PP	it
might	MD	might
be	VB	be
going	VVG	go
into	IN	into
recover	VV	recover
bodies.	JJ	bodies.
It	PP	it
might	MD	might
be	VB	be
going	VVG	go
in	IN	in
to	TO	to
recover	VV	recover
soldiers	NNS	soldier
who	WP	who
are	VBP	be
who	WP	who
who	WP	who
died	VVD	die
over	IN	over
the	DT	the
weekend	NN	weekend
and	CC	and
have	VHP	have
been	VBN	be
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
of	IN	of
the	DT	the
fence	NN	fence
It	PP	it
could	MD	could
be	VB	be
as	RB	as
simple	JJ	simple
as	IN	as
that.	NP	that.
But	CC	but
what	WP	what
it	PP	it
speaks	VVZ	speak
to	TO	to
what	WP	what
it	PP	it
speaks	VVZ	speak
to	TO	to
is	VBZ	be
that	IN/that	that
Israel	NP	Israel
is	VBZ	be
more	JJR	more
and	CC	and
more	JJR	more
on	IN	on
a	DT	a
footing	NN	footing
where	WRB	where
it	PP	it
can	MD	can
go	VV	go
into	IN	into
this	DT	this
very	RB	very
dangerous	JJ	dangerous
area	NN	area
for	IN	for
troops	NNS	troop
and	CC	and
be	VB	be
ready	JJ	ready
to	TO	to
protect	VV	protect
itself	PP	itself
and	CC	and
carry	VV	carry
out	RP	out
a	DT	a
mission	NN	mission
that	IN/that	that
it's	NN	it's
indicative	JJ	indicative
that	IN/that	that
there	EX	there
will	MD	will
be	VB	be
more	JJR	more
missions	NNS	mission
like	IN	like
this	DT	this
to	TO	to
come.	NN	come.
I	PP	I
think	VVP	think
until	IN	until
we	PP	we
get	VVP	get
the	DT	the
details	NNS	detail
of	IN	of
precisely	RB	precisely
what	WP	what
it	PP	it
was,	VVZ	was,
if	IN	if
it	PP	it
was	VBD	be
more	RBR	more
than	IN	than
just,	NP	just,
let's	NNS	let's
say,	VVD	say,
a	DT	a
body	NN	body
recovery,	VVZ	recovery,
then	RB	then
then	RB	then
then	RB	then
that	IN/that	that
that	WDT	that
will	MD	will
tell	VV	tell
us	PP	us
that	IN/that	that
there	EX	there
that	DT	that
they're	NN	they're
really	RB	really
on	IN	on
a	DT	a
forward	JJ	forward
footing	NN	footing
at	IN	at
the	DT	the
moment.	NN	moment.
Thank	VV	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
that,	NP	that,
Nic.	NP	Nic.
I	PP	I
want	VVP	want
to	TO	to
bring	VV	bring
back	RB	back
Colonel	NP	Colonel
Cedric	NP	Cedric
Leighton,	NP	Leighton,
who	WP	who
will	MD	will
hopefully	RB	hopefully
continue	VV	continue
to	TO	to
give	VV	give
us	PP	us
a	DT	a
bit	NN	bit
bit	NN	bit
of	IN	of
perspective	NN	perspective
on	IN	on
what	WDT	what
Nic	NP	Nic
just	RB	just
reported.	JJ	reported.
What	WP	what
are	VBP	be
your	PP$	your
thoughts?	NN	thoughts?
So,	NP	So,
Dana,	NP	Dana,
the	DT	the
the	DT	the
key	JJ	key
indicator	NN	indicator
here	RB	here
is	VBZ	be
that	IN/that	that
this	DT	this
was	VBD	be
a	DT	a
series	NN	series
of	IN	of
small	JJ	small
raids	NNS	raid
and	CC	and
every	DT	every
single	JJ	single
one	CD	one
of	IN	of
the	DT	the
options	NNS	option
you	PP	you
talked	VVD	talk
about	IN	about
a,	NP	a,
you	PP	you
know,	VVZ	know,
possibly	RB	possibly
a	DT	a
hostage	NN	hostage
recovery	NN	recovery
mission,	NP	mission,
possibly	RB	possibly
the	DT	the
business	NN	business
about	IN	about
going	VVG	go
after	IN	after
the	DT	the
senior	JJ	senior
leadership	NN	leadership
of	IN	of
Hamas	NP	Hamas
and	CC	and
or	CC	or
the	DT	the
recovery	NN	recovery
of	IN	of
the	DT	the
remains	VVZ	remain
of	IN	of
dead	JJ	dead
Israeli	JJ	Israeli
soldiers.	NN	soldiers.
All	DT	all
of	IN	of
those	DT	those
are	VBP	be
possibilities.	JJ	possibilities.
I	PP	I
am	VBP	be
thinking	VVG	think
it's	NNS	it's
either	CC	either
number	NN	number
one	CD	one
or	CC	or
two	CD	two
at	IN	at
this	DT	this
point.	NN	point.
In	IN	in
essence,	NP	essence,
what	WP	what
they're	NN	they're
looking	VVG	look
for	IN	for
is	VBZ	be
it	PP	it
would	MD	would
be	VB	be
a	DT	a
perfect	JJ	perfect
thing	NN	thing
for	IN	for
Israeli	JJ	Israeli
intelligence	NN	intelligence
to	TO	to
recover	VV	recover
its	PP$	its
lost	VVD	lose
luster	VV	luster
in	IN	in
the	DT	the
wake	NN	wake
of	IN	of
the	DT	the
debacle.	NN	debacle.
On	IN	on
the	DT	the
strategic	JJ	strategic
front,	NN	front,
if	IN	if
they	PP	they
have	VHP	have
a	DT	a
good	JJ	good
tactical	JJ	tactical
intelligence	NN	intelligence
success	NN	success
where	WRB	where
