We	PP	we
are	VBP	be
now	RB	now
just	RB	just
hours	NNS	hour
away	RB	away
from	IN	from
what	WP	what
is	VBZ	be
supposed	VVN	suppose
to	TO	to
be	VB	be
the	DT	the
start	NN	start
of	IN	of
this	DT	this
temporary	JJ	temporary
truce	NN	truce
in	IN	in
this	DT	this
war	NN	war
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
.	SENT	.
This	DT	this
deal	NN	deal
does	VVZ	do
not	RB	not
come	VV	come
without	IN	without
criticism	NN	criticism
even	RB	even
here	RB	here
in	IN	in
Israel	NP	Israel
.	SENT	.
There	EX	there
have	VHP	have
been	VBN	be
questions	NNS	question
about	IN	about
making	VVG	make
this	DT	this
deal	NN	deal
.	SENT	.
The	DT	the
former	JJ	former
Trump	NP	Trump
national	JJ	national
security	NN	security
adviser	NN	adviser
,	,	,
John	NP	John
Bolton	NP	Bolton
says	VVZ	say
is	VBZ	be
that	IN/that	that
it	PP	it
is	VBZ	be
a	DT	a
badly	RB	badly
flawed	JJ	flawed
agreement	NN	agreement
and	CC	and
he	PP	he
joins	VVZ	join
us	PP	us
now	RB	now
.	SENT	.
Thank	VV	thank
you	PP	you
so	RB	so
much	RB	much
,	,	,
Ambassador	NP	Ambassador
,	,	,
for	IN	for
being	VBG	be
here	RB	here
.	SENT	.
You	PP	you
have	VHP	have
been	VBN	be
critical	JJ	critical
because	IN	because
essentially	RB	essentially
,	,	,
if	IN	if
I	PP	I
believe	VVP	believe
this	DT	this
right	NN	right
,	,	,
and	CC	and
tell	VV	tell
me	PP	me
if	IN	if
I	PP	I
'	POS	'
m	NN	m
wrong	JJ	wrong
,	,	,
you	PP	you
think	VVP	think
that	IN/that	that
Hamas	JJ	Hamas
gains	NNS	gain
more	RBR	more
from	IN	from
this	DT	this
than	IN	than
Israel	NP	Israel
does	VVZ	do
.	SENT	.
What	WP	what
exactly	RB	exactly
about	IN	about
this	DT	this
deal	NN	deal
do	VVP	do
you	PP	you
think	VVP	think
is	VBZ	be
so	RB	so
bad	JJ	bad
Well	RB	well
,	,	,
there	EX	there
are	VBP	be
many	JJ	many
specific	JJ	specific
provisions	NNS	provision
that	IN/that	that
I	PP	I
think	VVP	think
are	VBP	be
badly	RB	badly
misguided	VVN	misguide
.	SENT	.
But	CC	but
but	CC	but
fundamentally	RB	fundamentally
,	,	,
what	WP	what
'	POS	'
s	NNS	s
going	VVG	go
on	IN	on
here	RB	here
is	VBZ	be
that	IN/that	that
Hamas	NP	Hamas
is	VBZ	be
playing	VVG	play
a	DT	a
game	NN	game
of	IN	of
psychological	JJ	psychological
warfare	NN	warfare
against	IN	against
the	DT	the
people	NNS	people
of	IN	of
Israel	NP	Israel
and	CC	and
the	DT	the
people	NNS	people
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
as	IN	as
well	RB	well
,	,	,
trying	VVG	try
to	TO	to
distract	VV	distract
Israel	NP	Israel
from	IN	from
its	PP$	its
