also	RB	also
one	CD	one
of	IN	of
the	DT	the
worst	JJS	bad
terrorist	JJ	terrorist
attacks	NNS	attack
on	IN	on
the	DT	the
American	JJ	American
people	NNS	people
in	IN	in
recent	JJ	recent
times	NNS	time
as	IN	as
well	RB	well
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Joining	VVG	join
me	PP	me
now	RB	now
is	VBZ	be
CNN	NP	CNN
military	JJ	military
analyst	NN	analyst
general	JJ	general
Wesley	NP	Wesley
Clark	NP	Clark
.	SENT	.
So	RB	so
general	JJ	general
,	,	,
first	JJ	first
I	NP	I
'	POS	'
m	NN	m
gonna	VVG	gonna
talk	NN	talk
to	TO	to
you	PP	you
about	IN	about
what	WP	what
'	POS	'
s	NNS	s
going	VVG	go
on	IN	on
at	IN	at
the	DT	the
border	NN	border
,	,	,
but	CC	but
before	IN	before
that	DT	that
,	,	,
can	MD	can
you	PP	you
just	RB	just
talk	VVP	talk
about	IN	about
the	DT	the
significance	NN	significance
of	IN	of
these	DT	these
two	CD	two
very	RB	very
important	JJ	important
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
Naval	JJ	naval
carriers	NNS	carrier
,	,	,
going	VVG	go
into	IN	into
the	DT	the
region	NN	region
,	,	,
and	CC	and
what	WP	what
is	VBZ	be
it	PP	it
'	POS	'
s	NN	S
meant	VVD	mean
to	TO	to
do	VV	do
?	SENT	?
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
Those	DT	those
two	CD	two
aaft	NN	aaft
carriers	NNS	carrier
and	CC	and
the	DT	the
flotilla	NN	flotilla
that	WDT	that
goes	VVZ	go
with	IN	with
him	PP	him
,	,	,
you	PP	you
have	VHP	have
about	RB	about
20	CD	@card@
ships	NNS	ship
,	,	,
you	PP	you
have	VHP	have
a	DT	a
tremendous	JJ	tremendous
capacity	NN	capacity
for	IN	for
not	RB	not
only	JJ	only
aircraft	NN	aircraft
on	IN	on
each	DT	each
acre	NN	acre
craft	NN	craft
carrier	NN	carrier
,	,	,
but	CC	but
the	DT	the
escorts	NNS	escort
,	,	,
and	CC	and
what	WP	what
they	PP	they
can	MD	can
do	VV	do
in	IN	in
the	DT	the
way	NN	way
of	IN	of
tomahawk	NN	tomahawk
missiles	NNS	missile
,	,	,
and	CC	and
other	JJ	other
things	NNS	thing
.	SENT	.
And	CC	and
so	RB	so
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
warning	NN	warning
,	,	,
they	PP	they
'	POS	'
re	NN	re
there	EX	there
is	VBZ	be
a	DT	a
deterrent	NN	deterrent
to	TO	to
Iran	NP	Iran
.	SENT	.
Keep	VV	keep
your	PP$	your
hands	NNS	hand
off	RP	off
,	,	,
stay	VV	stay
out	RP	out
of	IN	of
it	PP	it
,	,	,
or	CC	or
else	RB	else
.	SENT	.
Because	IN	because
the	DT	the
general	JJ	general
thinking	NN	thinking
is	VBZ	be
that	IN/that	that
,	,	,
Hezbollah	NP	Hezbollah
is	VBZ	be
not	RB	not
going	VVG	go
to	TO	to
go	VV	go
-	NN	-
-	NN	-
without	IN	without
Iran	NP	Iran
saying	VVG	say
go	VV	go
ahead	RB	ahead
.	SENT	.
This	DT	this
ties	NNS	tie
Iran	NP	Iran
in	IN	in
directly	RB	directly
into	IN	into
the	DT	the
assault	NN	assault
.	SENT	.
On	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
,	,	,
you	PP	you
can	MD	can
be	VB	be
sure	JJ	sure
that	IN/that	that
Iran	NP	Iran
is	VBZ	be
watching	VVG	watch
this	DT	this
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
calculating	VVG	calculate
,	,	,
they	PP	they
'	POS	'
re	NN	re
wondering	VVG	wonder
whether	IN	whether
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
going	VVG	go
to	TO	to
get	VV	get
so	RB	so
bogged	VVD	bog
down	RP	down
in	IN	in
gaza	NN	gaza
,	,	,
be	VB	be
so	RB	so
-	JJ	-
-	NN	-
tarnished	VVN	tarnish
in	IN	in
world	NN	world
opinion	NN	opinion
,	,	,
that	WDT	that
they	PP	they
could	MD	could
justify	VV	justify
releasing	VVG	release
Hezbollah	NP	Hezbollah
,	,	,
and	CC	and
go	VV	go
for	IN	for
the	DT	the
finish	NN	finish
of	IN	of
Israel	NP	Israel
.	SENT	.
There	EX	there
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
that	DT	that
kind	NN	kind
of	IN	of
thinking	VVG	think
going	VVG	go
on	IN	on
,	,	,
in	IN	in
Tehran	NP	Tehran
.	SENT	.
Those	DT	those
two	CD	two
aircraft	NN	aircraft
carriers	NNS	carrier
are	VBP	be
really	RB	really
important	JJ	important
to	TO	to
stop	VV	stop
that	DT	that
kind	NN	kind
of	IN	of
thought	NN	thought
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
You	PP	you
want	VVP	want
-	NN	-
-	NN	-
it	PP	it
is	VBZ	be
a	DT	a
deterrence	NN	deterrence
.	SENT	.
We	PP	we
have	VHP	have
definitely	RB	definitely
heard	VVN	hear
some	DT	some
this	DT	this
morning	NN	morning
,	,	,
in	IN	in
interviews	NNS	interview
,	,	,
not	RB	not
ruling	VVG	rule
out	RP	out
the	DT	the
notion	NN	notion
of	IN	of
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
Troops	NNS	troop
being	VBG	be
involved	VVN	involve
.	SENT	.
I	PP	I
think	VVP	think
it	PP	it
'	''	'
s	NNS	s
important	JJ	important
to	TO	to
put	VV	put
that	IN/that	that
into	IN	into
context	NN	context
.	SENT	.
Certainly	RB	certainly
does	VVZ	do
not	RB	not
seem	VV	seem
as	RB	as
though	IN	though
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
Is	VBZ	be
going	VVG	go
to	TO	to
get	VV	get
involved	VVN	involve
in	IN	in
a	DT	a
very	RB	very
active	JJ	active
way	NN	way
with	IN	with
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
Troops	NNS	troop
in	IN	in
this	DT	this
conflicts	NNS	conflict
.	SENT	.
The	DT	the
discuss	VVP	discuss
it	PP	it
is	VBZ	be
-	NN	-
-	NN	-
about	IN	about
how	WRB	how
to	TO	to
get	VV	get
American	JJ	American
hostages	NNS	hostage
out	RB	out
.	SENT	.
&	CC	&
gt	NN	gt
;	:	;
&	CC	&
gt	NN	gt
;	:	;
That	DT	that
'	''	'
s	NN	S
right	NN	right
,	,	,
