<	SYM	<
doc	NN	doc
>	SYM	>
Tonight	NP	Tonight
'	POS	'
s	JJ	s
hostage	NN	hostage
deal	NN	deal
,	,	,
which	WDT	which
Israel	NP	Israel
'	POS	'
s	NN	S
cabinet	NN	cabinet
just	RB	just
approved	VVD	approve
a	DT	a
few	JJ	few
minutes	NNS	minute
ago	RB	ago
,	,	,
calls	NNS	call
for	IN	for
a	DT	a
four	CD	four
day	NN	day
pause	NN	pause
in	IN	in
Israeli	JJ	Israeli
military	JJ	military
operations	NNS	operation
in	IN	in
Gaza	NP	Gaza
.	SENT	.
Now	RB	now
,	,	,
before	IN	before
the	DT	the
break	NN	break
,	,	,
Barack	NP	Barack
Ravid	NP	Ravid
told	VVD	tell
us	PP	us
that	IN/that	that
his	PP$	his
sources	NNS	source
say	VVP	say
that	IN/that	that
military	JJ	military
engagement	NN	engagement
will	MD	will
not	RB	not
stop	VV	stop
until	IN	until
the	DT	the
first	JJ	first
child	NN	child
hostage	NN	hostage
crosses	VVZ	cross
the	DT	the
border	NN	border
from	IN	from
Gaza	NP	Gaza
into	IN	into
Israel	NP	Israel
.	SENT	.
CNN	NP	CNN
'	POS	'
s	NN	S
Jeremy	NP	Jeremy
Diamond	NP	Diamond
is	VBZ	be
in	IN	in
southern	JJ	southern
Israel	NP	Israel
at	IN	at
a	DT	a
vantage	NN	vantage
point	NN	point
right	NN	right
near	IN	near
the	DT	the
Gaza	NP	Gaza
border	NN	border
and	CC	and
can	MD	can
see	VV	see
into	IN	into
Gaza	NP	Gaza
and	CC	and
has	VHZ	have
been	VBN	be
watching	VVG	watch
much	RB	much
of	IN	of
the	DT	the
fighting	NN	fighting
over	IN	over
the	DT	the
last	JJ	last
several	JJ	several
days	NNS	day
and	CC	and
weeks	NNS	week
.	SENT	.
Jeremy	NP	Jeremy
,	,	,
what	WP	what
are	VBP	be
you	PP	you
hearing	VVG	hear
tonight	NN	tonight
?	SENT	?
Well	RB	well
,	,	,
just	RB	just
as	IN	as
you	PP	you
were	VBD	be
coming	VVG	come
to	TO	to
me	PP	me
,	,	,
John	NP	John
,	,	,
we	PP	we
heard	VVD	hear
the	DT	the
sound	NN	sound
of	IN	of
outgoing	JJ	outgoing
artillery	NN	artillery
and	CC	and
moments	NNS	moment
after	IN	after
this	DT	this
deal	NN	deal
was	VBD	be
approved	VVN	approve
by	IN	by
the	DT	the
Israeli	JJ	Israeli
government	NN	government
.	SENT	.
We	PP	we
heard	VVD	hear
several	JJ	several
barrages	NNS	barrage
of	IN	of
outgoing	JJ	outgoing
artillery	NN	artillery
in	IN	in
the	DT	the
direction	NN	direction
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
an	DT	an
indication	NN	indication
that	IN/that	that
the	DT	the
military	JJ	military
activity	NN	activity
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
will	MD	will
indeed	RB	indeed
continue	VV	continue
until	IN	until
this	DT	this
pause	NN	pause
goes	VVZ	go
into	IN	into
effect	NN	effect
until	IN	until
those	DT	those
hostages	NNS	hostage
are	VBP	be
released	VVN	release
from	IN	from
Gaza	NP	Gaza
.	SENT	.
So	RB	so
and	CC	and
also	RB	also
one	CD	one
clear	JJ	clear
point	NN	point
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
prime	JJ	prime
minister	NN	minister
made	VVD	make
this	DT	this
evening	NN	evening
was	VBD	be
that	IN/that	that
even	RB	even
as	IN	as
he	PP	he
was	VBD	be
urging	VVG	urge
his	PP$	his
cabinet	NN	cabinet
to	TO	to
approve	VV	approve
this	DT	this
deal	NN	deal
,	,	,
he	PP	he
was	VBD	be
also	RB	also
making	VVG	make
clear	JJ	clear
that	IN/that	that
the	DT	the
war	NN	war
will	MD	will
continue	VV	continue
after	IN	after
this	DT	this
pause	NN	pause
ends	VVZ	end
.	SENT	.
We	PP	we
also	RB	also
need	VVP	need
to	TO	to
be	VB	be
clear	JJ	clear
that	IN/that	that
if	IN	if
you	PP	you
look	VVP	look
at	IN	at
the	DT	the
past	NN	past
of	IN	of
this	DT	this
Israeli	JJ	Israeli
-	NN	-
Palestinian	JJ	Palestinian
conflict	NN	conflict
,	,	,
typically	RB	typically
before	IN	before
there	EX	there
is	VBZ	be
a	DT	a
cease	VVP	cease
fire	NN	fire
,	,	,
before	IN	before
there	EX	there
is	VBZ	be
any	DT	any
kind	NN	kind
of	IN	of
pause	NN	pause
in	IN	in
fighting	VVG	fight
,	,	,
there	EX	there
is	VBZ	be
an	DT	an
uptick	NN	uptick
in	IN	in
military	JJ	military
activity	NN	activity
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
re	NN	re
very	RB	very
much	RB	much
here	RB	here
waiting	VVG	wait
and	CC	and
watching	VVG	watch
for	IN	for
that	DT	that
possibility	NN	possibility
.	SENT	.
But	CC	but
,	,	,
John	NP	John
,	,	,
I	PP	I
do	VVP	do
also	RB	also
want	VV	want
to	TO	to
tell	VV	tell
you	PP	you
about	IN	about
a	DT	a
conversation	NN	conversation
I	PP	I
just	RB	just
had	VHD	have
with	IN	with
Gal	NP	Gal
Hirsch	NP	Hirsch
,	,	,
who	WP	who
is	VBZ	be
the	DT	the
Israeli	JJ	Israeli
prime	JJ	prime
minister	NN	minister
'	POS	'
s	JJ	s
special	JJ	special
coordinator	NN	coordinator
for	IN	for
hostages	NNS	hostage
.	SENT	.
You	PP	you
just	RB	just
told	VVD	tell
me	PP	me
moments	NNS	moment
ago	RB	ago
about	IN	about
this	DT	this
deal	NN	deal
,	,	,
about	IN	about
the	DT	the
discussions	NNS	discussion
in	IN	in
the	DT	the
cabinet	NN	cabinet
meeting	NN	meeting
where	WRB	where
he	PP	he
said	VVD	say
that	IN/that	that
only	RB	only
one	CD	one
,	,	,
only	RB	only
two	CD	two
ministers	NNS	minister
voted	VVN	vote
against	IN	against
this	DT	this
proposed	VVN	propose
deal	NN	deal
.	SENT	.
He	PP	he
said	VVD	say
that	IN/that	that
the	DT	the
finance	NN	finance
minister	NN	minister
,	,	,
Smotrich	NP	Smotrich
,	,	,
who	WP	who
appeared	VVD	appear
to	TO	to
be	VB	be
indicating	VVG	indicate
his	PP$	his
objections	NNS	objection
to	TO	to
this	DT	this
deal	NN	deal
,	,	,
actually	RB	actually
ended	VVD	end
up	RP	up
voting	VVG	vote
in	IN	in
favor	NN	favor
of	IN	of
it	PP	it
.	SENT	.
And	CC	and
he	PP	he
also	RB	also
told	VVD	tell
me	PP	me
that	IN/that	that
he	PP	he
delivered	VVD	deliver
a	DT	a
message	NN	message
just	RB	just
about	IN	about
a	DT	a
half	NN	half
hour	NN	hour
ago	RB	ago
to	TO	to
the	DT	the
families	NNS	family
of	IN	of
some	DT	some
of	IN	of
these	DT	these
hostages	NNS	hostage
,	,	,
telling	VVG	tell
them	PP	them
that	IN/that	that
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
will	MD	will
do	VV	do
everything	NN	everything
to	TO	to
bring	VV	bring
all	DT	all
of	IN	of
the	DT	the
hostages	NNS	hostage
back	RB	back
home	RB	home
.	SENT	.
And	CC	and
he	PP	he
really	RB	really
did	VVD	do
want	VV	want
to	TO	to
emphasize	VV	emphasize
that	IN/that	that
this	DT	this
deal	NN	deal
for	IN	for
50	CD	@card@
hostages	NNS	hostage
in	IN	in
exchange	NN	exchange
in	IN	in
fighting	VVG	fight
,	,	,
as	RB	as
well	RB	well
as	IN	as
three	CD	three
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
for	IN	for
every	DT	every
civilian	JJ	civilian
hostage	NN	hostage
release	NN	release
from	IN	from
Gaza	NP	Gaza
,	,	,
that	IN/that	that
this	DT	this
deal	NN	deal
is	VBZ	be
only	RB	only
the	DT	the
first	JJ	first
phase	NN	phase
of	IN	of
these	DT	these
negotiations	NNS	negotiation
.	SENT	.
He	PP	he
really	RB	really
wanted	VVD	want
to	TO	to
emphasize	VV	emphasize
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
government	NN	government
'	POS	'
s	NN	S
position	NN	position
is	VBZ	be
that	IN/that	that
they	PP	they
want	VVP	want
to	TO	to
get	VV	get
all	DT	all
of	IN	of
the	DT	the
hostages	NNS	hostage
back	RB	back
and	CC	and
that	IN/that	that
this	DT	this
military	JJ	military
campaign	NN	campaign
,	,	,
that	IN/that	that
these	DT	these
negotiations	NNS	negotiation
will	MD	will
not	RB	not
end	VV	end
until	IN	until
that	DT	that
happens	VVZ	happen
.	SENT	.
Jeremy	NP	Jeremy
,	,	,
I	PP	I
am	VBP	be
curious	JJ	curious
,	,	,
you	PP	you
said	VVD	say
the	DT	the
the	DT	the
official	NN	official
with	IN	with
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
said	VVD	say
that	IN/that	that
they	PP	they
had	VHD	have
he	PP	he
had	VHD	have
