<video_id>2S1Jq58-Krs</video_id>	JJ	<video_id>2S1Jq58-Krs</video_id>
<video_title>After	NN	<video_title>After
six	CD	six
months	NNS	month
of	IN	of
war,	NP	war,
are	VBP	be
hostages	NNS	hostage
in	IN	in
Gaza	NP	Gaza
being	JJ	being
forgotten?	NN	forgotten?
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\After	NN	<thumbnail_path>en_DW\After
six	CD	six
months	NNS	month
of	IN	of
war,	NP	war,
are	VBP	be
hostages	NNS	hostage
in	IN	in
Gaza	NP	Gaza
being	VBG	be
forgotten	VVN	forget
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240407</publish_date>	NN	<publish_date>20240407</publish_date>
<doc>	NN	<doc>
6	CD	@card@
months	NNS	month
to	TO	to
the	DT	the
day	NN	day
since	IN	since
the	DT	the
Hamas	JJ	Hamas
Terror	NN	terror
attacks	NNS	attack
on	IN	on
Israel	NP	Israel
vigils	NNS	vigil
are	VBP	be
taking	VVG	take
place	NN	place
around	IN	around
the	DT	the
world	NN	world
to	TO	to
commemorate	VV	commemorate
the	DT	the
victims	NNS	victim
in	IN	in
Jerusalem	NP	Jerusalem
thousands	NNS	thousand
have	VHP	have
gathered	VVN	gather
to	TO	to
remember	VV	remember
the	DT	the
1,400	CD	@card@
killed	VVN	kill
and	CC	and
the	DT	the
more	JJR	more
than	IN	than
200	CD	@card@
kidnapped	VVN	kidnap
they're	NNS	they're
also	RB	also
calling	VVG	call
on	IN	on
the	DT	the
government	NN	government
to	TO	to
bring	VV	bring
home	NN	home
around	IN	around
130	CD	@card@
people	NNS	people
still	RB	still
being	VBG	be
held	VVN	hold
hostage	NN	hostage
in	IN	in
Gaza	NP	Gaza
our	PP$	our
correspondent	NN	correspondent
Aman	NP	Aman
essv	NP	essv
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
a	DT	a
vigil	NN	vigil
taking	VVG	take
place	NN	place
in	IN	in
jus	NN	jus
Jerusalem	NP	Jerusalem
Aman	NP	Aman
it	PP	it
must	MD	must
be	VB	be
quite	PDT	quite
an	DT	an
emotional	JJ	emotional
Gathering	NN	gathering
what	WP	what
have	VHP	have
you	PP	you
been	VBN	be
hearing	VVG	hear
this	DT	this
is	VBZ	be
a	DT	a
very	RB	very
somber	JJ	somber
Affair	NP	Affair
uh	UH	uh
the	DT	the
people	NNS	people
gathered	VVD	gather
here	RB	here
well	RB	well
over	IN	over
a	DT	a
thousand	CD	thousand
in	IN	in
Jerusalem	NP	Jerusalem
but	CC	but
also	RB	also
a	DT	a
thousand	CD	thousand
more	JJR	more
in	IN	in
tviv	NN	tviv
and	CC	and
other	JJ	other
cities	NNS	city
around	IN	around
Israel	NP	Israel
they've	NN	they've
gathered	VVD	gather
to	TO	to
commemorate	VV	commemorate
to	TO	to
honor	VV	honor
uh	UH	uh
the	DT	the
hostages	NNS	hostage
uh	UH	uh
those	DT	those
still	RB	still
held	VVN	hold
captive	NN	captive
by	IN	by
Hamas	NNS	Hamas
over	IN	over
130	CD	@card@
still	RB	still
held	VVN	hold
captive	JJ	captive
uh	UH	uh
we	PP	we
are	VBP	be
hearing	VVG	hear
testimony	NN	testimony
from	IN	from
families	NNS	family
right	RB	right
now	RB	now
and	CC	and
you	PP	you
can	MD	can
see	VV	see
the	DT	the
crowd	NN	crowd
behind	IN	behind
me	PP	me
um	VVZ	um
it	PP	it
goes	VVZ	go
on	IN	on
about	RB	about
500	CD	@card@
met	VVN	meet
behind	IN	behind
me	PP	me
and	CC	and
another	DT	another
few	JJ	few
hundred	CD	hundred
meters	NNS	meter
in	IN	in
front	NN	front
of	IN	of
me	PP	me
um	JJ	um
we're	NN	we're
hearing	NN	hearing
testimony	NN	testimony
from	IN	from
families	NNS	family
of	IN	of
those	DT	those
hostages	NNS	hostage
still	RB	still
held	VVN	hold
captive	NN	captive
now	RB	now
they	PP	they
give	VVP	give
often	RB	often
a	DT	a
very	RB	very
somber	JJ	somber
account	NN	account
of	IN	of
what	WP	what
they've	NN	they've
gone	VVN	go
through	IN	through
what	WP	what
their	PP$	their
loved	VVN	love
ones	NNS	one
are	VBP	be
going	VVG	go
through	IN	through
now	RB	now
but	CC	but
a	DT	a
lot	NN	lot
of	IN	of
times	NNS	time
these	DT	these
accounts	VVZ	account
these	DT	these
testimonies	NNS	testimony
end	NN	end
with	IN	with
the	DT	the
chant	NN	chant
bring	VV	bring
them	PP	them
home	RB	home
now	RB	now
and	CC	and
when	WRB	when
they	PP	they
chant	VVP	chant
this	DT	this
there's	JJ	there's
anger	NN	anger
in	IN	in
their	PP$	their
voice	NN	voice
because	IN	because
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
here	RB	here
in	IN	in
Israel	NP	Israel
uh	UH	uh
cannot	MD	can
believe	VV	believe
that	IN/that	that
after	IN	after
six	CD	six
months	NNS	month
of	IN	of
War	NP	War
a	DT	a
very	RB	very
bloody	JJ	bloody
war	NN	war
in	IN	in
Gaza	NP	Gaza
uh	UH	uh
that	IN/that	that
these	DT	these
hostages	NNS	hostage
have	VHP	have
still	RB	still
not	RB	not
been	VBN	be
uh	UH	uh
brought	VVD	bring
back	RB	back
safely	RB	safely
well	RB	well
Aman	NP	Aman
of	IN	of
course	NN	course
also	RB	also
taking	VVG	take
place	NN	place
this	DT	this
weekend	NN	weekend
are	VBP	be
negotiations	NNS	negotiation
between	IN	between
Israeli	JJ	Israeli
delegation	NN	delegation
and	CC	and
also	RB	also
Hamas	VVD	Hamas
uh	UH	uh
in	IN	in
Cairo	NN	Cairo
um	NNS	um
the	DT	the
aim	NN	aim
is	VBZ	be
to	TO	to
negotiate	VV	negotiate
some	DT	some
sort	NN	sort
of	IN	of
uh	UH	uh
hostage	NN	hostage
release	NN	release
deal	NN	deal
temporary	JJ	temporary
ceasefire	NN	ceasefire
what	WP	what
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
about	IN	about
what's	NNS	what's
happening	VVG	happen
this	DT	this
[Music]	JJ	[Music]
weekend	NN	weekend
well	RB	well
the	DT	the
hostage	NN	hostage
negotiations	NNS	negotiation
are	VBP	be
um	RB	um
going	VVG	go
to	TO	to
uh	UH	uh
take	VV	take
place	NN	place
Israel	NP	Israel
is	VBZ	be
actually	RB	actually
going	VVG	go
to	TO	to
send	VV	send
a	DT	a
delegation	NN	delegation
which	WDT	which
is	VBZ	be
not	RB	not
a	DT	a
given	VVN	give
there	EX	there
have	VHP	have
been	VBN	be
several	JJ	several
occasions	NNS	occasion
where	WRB	where
Israel	NP	Israel
did	VVD	do
not	RB	not
send	VV	send
a	DT	a
delegation	NN	delegation
to	TO	to
these	DT	these
talks	NNS	talk
in	IN	in
Cairo	NP	Cairo
but	CC	but
some	DT	some
Israeli	JJ	Israeli
officials	NNS	official
have	VHP	have
warned	VVN	warn
that	DT	that
uh	UH	uh
by	IN	by
sending	VVG	send
a	DT	a
delegation	NN	delegation
they	PP	they
might	MD	might
get	VV	get
up	RP	up
the	DT	the
hopes	NNS	hope
to	TO	to
to	RB	to
to	TO	to
raise	VV	raise
the	DT	the
hopes	NNS	hope
of	IN	of
hostages	NNS	hostage
families	NNS	family
without	IN	without
returning	VVG	return
anything	NN	anything
that's	NNS	that's
because	IN	because
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
a	DT	a
lot	NN	lot
of	IN	of
officials	NNS	official
in	IN	in
Israel	NP	Israel
don't	NP	don't
believe	VVP	believe
that	IN/that	that
if	IN	if
hamas's	NN	hamas's
demands	NNS	demand
remain	VVP	remain
the	DT	the
same	JJ	same
uh	UH	uh
that	IN/that	that
there's	RB	there's
any	DT	any
chance	NN	chance
of	IN	of
a	DT	a
deal	NN	deal
Netanyahu	NP	Netanyahu
has	VHZ	have
been	VBN	be
very	RB	very
clear	JJ	clear
that	IN/that	that
if	IN	if
Hamas	NP	Hamas
continues	VVZ	continue
to	TO	to
demand	VV	demand
that	IN/that	that
troops	NNS	troop
are	VBP	be
withdrawn	VVN	withdraw
completely	RB	completely
from	IN	from
Gaza	NP	Gaza
before	IN	before
any	DT	any
hostage	NN	hostage
deal	NN	deal
goes	VVZ	go
through	IN	through
before	IN	before
any	DT	any
release	NN	release
of	IN	of
Israeli	JJ	Israeli
hostages	NNS	hostage
uh	UH	uh
that	IN/that	that
he	PP	he
would	MD	would
not	RB	not
agree	VV	agree
to	TO	to
that	DT	that
so	JJ	so
uh	UH	uh
there's	RB	there's
some	DT	some
hope	NN	hope
now	RB	now
that	IN/that	that
Israeli	JJ	Israeli
delegation	NN	delegation
is	VBZ	be
going	VVG	go
to	TO	to
Cairo	NP	Cairo
that	IN/that	that
some	DT	some
breakthrough	NN	breakthrough
might	MD	might
happen	VV	happen
but	CC	but
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
still	RB	still
don't	JJ	don't
have	VHP	have
hope	NN	hope
that	IN/that	that
anything	NN	anything
um	NNS	um
will	MD	will
happen	VV	happen
in	IN	in
the	DT	the
near	JJ	near
future	NN	future
as	IN	as
long	JJ	long
as	IN	as
netanyahu's	NN	netanyahu's
government	NN	government
is	VBZ	be
in	IN	in
power	NN	power
and	CC	and
as	RB	as
long	RB	long
as	IN	as
uh	UH	uh
they're	JJ	they're
uh	UH	uh
um	NNS	um
basically	RB	basically
taking	VVG	take
a	DT	a
hard	JJ	hard
line	NN	line
against	IN	against
tamas	NNS	tamas
that	WDT	that
was	VBD	be
our	PP$	our
correspondent	JJ	correspondent
amian	JJ	amian
essf	NN	essf
in	IN	in
Jerusalem	NP	Jerusalem
Aman	NP	Aman
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
for	IN	for
your	PP$	your
reporting	NN	reporting
joining	VVG	join
us	PP	us
now	RB	now
is	VBZ	be
Alon	NP	Alon
G	NP	G
his	PP$	his
mother	NN	mother
kerit	NN	kerit
was	VBD	be
killed	VVN	kill
during	IN	during
the	DT	the
October	NP	October
7th	JJ	7th
attacks	NNS	attack
his	PP$	his
wife	NN	wife
yardan	NN	yardan
was	VBD	be
kidnapped	VVN	kidnap
and	CC	and
spent	VVN	spend
54	CD	@card@
days	NNS	day
in	IN	in
captivity	NN	captivity
in	IN	in
Gaza	NP	Gaza
before	IN	before
being	VBG	be
released	VVN	release
but	CC	but
his	PP$	his
sister	NN	sister
Carmel	NP	Carmel
is	VBZ	be
still	RB	still
being	VBG	be
held	VVN	hold
hostage	NN	hostage
welcome	JJ	welcome
to	TO	to
DW	NN	DW
and	CC	and
thank	VV	thank
you	PP	you
for	IN	for
taking	VVG	take
the	DT	the
time	NN	time
to	TO	to
speak	VV	speak
to	TO	to
us	PP	us
what	WP	what
are	VBP	be
your	PP$	your
feelings	NNS	feeling
today	NN	today
on	IN	on
this	DT	this
six-month	JJ	six-month
anniversary	NN	anniversary
of	IN	of
the	DT	the
Hamas	JJ	Hamas
Terror	NN	terror
attacks	NNS	attack
and	CC	and
the	DT	the
kidnapping	NN	kidnapping
of	IN	of
your	PP$	your
family	NN	family
members	NNS	member
so	IN	so
hello	NN	hello
uh	UH	uh
um	NNS	um
we	PP	we
just	RB	just
saw	VVD	see
a	DT	a
video	NN	video
that	WDT	that
shows	VVZ	show
you	PP	you
things	NNS	thing
that	WDT	that
happened	VVD	happen
on	IN	on
October	NP	October
7th	JJ	7th
and	CC	and
after	IN	after
that	IN/that	that
and	CC	and
I	PP	I
just	RB	just
want	VVP	want
to	TO	to
tell	VV	tell
you	PP	you
uh	UH	uh
for	IN	for
you	PP	you
to	TO	to
understand	VV	understand
that	DT	that
uh	UH	uh
those	DT	those
people	NNS	people
at	IN	at
the	DT	the
party	NN	party
you	PP	you
saw	VVD	see
them	PP	them
running	VVG	run
and	CC	and
some	DT	some
of	IN	of
them	PP	them
were	VBD	be
murdered	VVN	murder
some	DT	some
of	IN	of
them	PP	them
are	VBP	be
my	PP$	my
friends	NNS	friend
the	DT	the
uh	UH	uh
uh	UH	uh
the	DT	the
misses	VVZ	miss
that	DT	that
been	VBN	be
shot	VVN	shoot
at	IN	at
Israel	NP	Israel
in	IN	in
the	DT	the
last	JJ	last
10	CD	@card@
years	NNS	year
this	DT	this
is	VBZ	be
Miss	NN	Miss
that	WDT	that
were	VBD	be
appointed	VVN	appoint
at	IN	at
my	PP$	my
family	NN	family
at	IN	at
at	IN	at
me	PP	me
and	CC	and
at	IN	at
me	PP	me
um	NNS	um
for	IN	for
many	JJ	many
years	NNS	year
when	WRB	when
I	PP	I
lived	VVD	live
in	IN	in
kibuts	NP	kibuts
Berry	NP	Berry
until	IN	until
October	NP	October
7th	JJ	7th
and	CC	and
the	DT	the
people	NNS	people
that	WDT	that
were	VBD	be
kidnapped	VVN	kidnap
this	DT	this
is	VBZ	be
my	PP$	my
myself	PP	myself
as	RB	as
well	RB	well
with	IN	with
my	PP$	my
daughter	NN	daughter
three	CD	three
years	NNS	year
old	JJ	old
geffin	NN	geffin
that	WDT	that
was	VBD	be
kidnapped	VVN	kidnap
uh	UH	uh
with	IN	with
me	PP	me
and	CC	and
with	IN	with
my	PP$	my
wife	NN	wife
yardan	NN	yardan
and	CC	and
with	IN	with
my	PP$	my
sister	JJ	sister
carel	NN	carel
and	CC	and
with	IN	with
my	PP$	my
mother	NN	mother
K	NN	K
that	IN/that	that
my	PP$	my
mother	NN	mother
K	NN	K
was	VBD	be
murdered	VVN	murder
in	IN	in
the	DT	the
kibo	NN	kibo
and	CC	and
my	PP$	my
sister	NN	sister
Kam	NP	Kam
was	VBD	be
kidnapped	VVN	kidnap
two	CD	two
guys	NNS	guy
and	CC	and
your	PP$	your
then	RB	then
that	WDT	that
was	VBD	be
kidnapped	VVN	kidnap
and	CC	and
was	VBD	be
released	VVN	release
in	IN	in
the	DT	the
first	JJ	first
humanitarian	JJ	humanitarian
deal	NN	deal
so	IN	so
those	DT	those
those	DT	those
