Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
have	VHP	have
hit	VVN	hit
gaza	NP	Gaza
'	POS	'
s	JJ	s
biggest	JJS	big
refugee	NN	refugee
camp	VV	camp
uh	UH	uh
for	IN	for
the	DT	the
second	JJ	second
day	NN	day
in	IN	in
a	DT	a
row	NN	row
according	VVG	accord
to	TO	to
the	DT	the
territory	NN	territory
'	POS	'
s	NN	S
Hamas	NNS	Hamas
run	VVP	run
government	NN	government
this	DT	this
news	NN	news
agency	NN	agency
footage	NN	footage
shows	VVZ	show
the	DT	the
aftermath	NN	aftermath
of	IN	of
a	DT	a
new	JJ	new
strike	NN	strike
Israel	NP	Israel
has	VHZ	have
not	RB	not
said	VVN	say
whether	IN	whether
it	PP	it
did	VVD	do
carry	VV	carry
out	RP	out
this	DT	this
attack	NN	attack
but	CC	but
has	VHZ	have
admitted	VVN	admit
to	TO	to
bombing	VVG	bomb
the	DT	the
camp	NN	camp
a	DT	a
day	NN	day
earlier	RBR	earlier
claiming	VVG	claim
that	IN/that	that
a	DT	a
senior	JJ	senior
Hamas	NP	Hamas
Commander	NP	Commander
was	VBD	be
targeted	VVN	target
and	CC	and
killed	VVN	kill
Palestinian	JJ	Palestinian
officials	NNS	official
say	VVP	say
50	CD	@card@
people	NNS	people
were	VBD	be
killed	VVN	kill
and	CC	and
more	JJR	more
than	IN	than
a	DT	a
100	CD	@card@
wounded	VVN	wound
in	IN	in
that	DT	that
strike	NN	strike
Peter	NP	Peter
Lerner	NP	Lerner
speaks	VVZ	speak
for	IN	for
the	DT	the
Israel	NP	Israel
Defense	NP	Defense
Forces	NPS	Forces
I	NP	I
asked	VVD	ask
him	PP	him
about	IN	about
this	DT	this
latest	JJS	late
strike	NN	strike
on	IN	on
the	DT	the
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
did	VVD	do
Israel	NP	Israel
strike	VV	strike
the	DT	the
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
again	RB	again
today	RB	today
we	PP	we
are	VBP	be
striking	VVG	strike
Hamas	NNS	Hamas
wherever	WRB	wherever
they	PP	they
hiding	VVG	hide
Hamas	NNS	Hamas
have	VHP	have
effectively	RB	effectively
turned	VVN	turn
jabalia	NN	jabalia
into	IN	into
a	DT	a
fortified	VVN	fortify
position	NN	position
and	CC	and
we	PP	we
conducted	VVD	conduct
strikes	NNS	strike
against	IN	against
it	PP	it
yesterday	NN	yesterday
in	IN	in
two	CD	two
different	JJ	different
locations	NNS	location
and	CC	and
indeed	RB	indeed
there	EX	there
is	VBZ	be
a	DT	a
possibility	NN	possibility
that	IN/that	that
we	PP	we
are	VBP	be
continuing	VVG	continue
to	TO	to
strike	VV	strike
against	IN	against
Hamas	NP	Hamas
wherever	WRB	wherever
there	RB	there
hiding	VVG	hide
you	PP	you
'	POS	'
ve	NN	ve
confirmed	VVD	confirm
yesterday	NN	yesterday
'	POS	'
s	NN	S
attack	NN	attack
but	CC	but
you	PP	you
won	VVD	win
'	''	'
t	NN	t
say	VVP	say
that	IN/that	that
you	PP	you
uh	UH	uh
that	IN/that	that
Israel	NP	Israel
um	NNS	um
carried	VVD	carry
out	IN	out
today	NN	today
'	POS	'
s	NN	S
attack	NN	attack
why	WRB	why
is	VBZ	be
that	IN/that	that
Phil	NP	Phil
we	PP	we
have	VHP	have
to	TO	to
be	VB	be
certain	JJ	certain
what	WP	what
types	NNS	type
of	IN	of
activities	NNS	activity
we	PP	we
are	VBP	be
conducting	VVG	conduct
we	PP	we
'	POS	'
ve	NN	ve
already	RB	already
seen	VVN	see
um	NNS	um
at	IN	at
least	JJS	least
one	CD	one
instance	NN	instance
where	WRB	where
Palestinian	NP	Palestinian
Islamic	NP	Islamic
