<video_id>-nH9LYNAnKQ</video_id>	JJ	<video_id>-nH9LYNAnKQ</video_id>
<video_title>Can	NN	<video_title>Can
the	DT	the
ICJ	NP	ICJ
stop	NN	stop
Israel's	NP	Israel's
blockade	NN	blockade
of	IN	of
food	NN	food
deliveries	NNS	delivery
into	IN	into
Gaza?	NP	Gaza?
|	SYM	|
DW	JJ	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Can	NN	<thumbnail_path>en_DW\Can
the	DT	the
ICJ	NP	ICJ
stop	NN	stop
Israel's	NP	Israel's
blockade	NN	blockade
of	IN	of
food	NN	food
deliveries	NNS	delivery
into	IN	into
Gaza	NP	Gaza
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240307</publish_date>	NN	<publish_date>20240307</publish_date>
<doc>	NN	<doc>
South	NP	South
Africa	NP	Africa
has	VHZ	have
made	VVN	make
a	DT	a
new	JJ	new
application	NN	application
to	TO	to
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
or	CC	or
the	DT	the
icj	NN	icj
asking	VVG	ask
it	PP	it
to	TO	to
prevent	VV	prevent
famine	NN	famine
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
South	NP	South
Africa	NP	Africa
is	VBZ	be
seeking	VVG	seek
an	DT	an
emergency	NN	emergency
order	NN	order
to	TO	to
compel	VV	compel
Israel	NP	Israel
to	TO	to
allow	VV	allow
more	JJR	more
Aid	NN	aid
into	IN	into
the	DT	the
territory	NN	territory
warning	VVG	warn
that	IN/that	that
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
are	VBP	be
facing	VVG	face
starvation	NN	starvation
Israel	NP	Israel
has	VHZ	have
launched	VVN	launch
an	DT	an
offensive	NN	offensive
in	IN	in
Gaza	NP	Gaza
to	TO	to
root	VV	root
out	RP	out
Hamas	JJ	Hamas
militants	NNS	militant
following	VVG	follow
the	DT	the
terror	NN	terror
attacks	NNS	attack
of	IN	of
October	NP	October
the	DT	the
7th	JJ	7th
South	NP	South
Africa	NP	Africa
has	VHZ	have
urged	VVN	urge
the	DT	the
court	NN	court
to	TO	to
order	VV	order
all	DT	all
parties	NNS	party
to	TO	to
seize	VV	seize
hostilities	NNS	hostility
and	CC	and
releasee	NN	releasee
all	DT	all
hostages	NNS	hostage
and	CC	and
detainees	NNS	detainee
for	IN	for
more	JJR	more
on	IN	on
that	IN/that	that
our	PP$	our
correspondent	NN	correspondent
Diane	NP	Diane
Haw	NP	Haw
joins	VVZ	join
us	PP	us
from	IN	from
Johannesburg	NP	Johannesburg
Diane	NP	Diane
good	JJ	good
morning	NN	morning
this	DT	this
is	VBZ	be
the	DT	the
second	JJ	second
time	NN	time
South	NP	South
Africa	NP	Africa
has	VHZ	have
asked	VVN	ask
for	IN	for
the	DT	the
court	NN	court
to	TO	to
take	VV	take
measures	NNS	measure
on	IN	on
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
they	PP	they
got	VVD	get
turned	VVN	turn
down	RP	down
last	JJ	last
time	NN	time
do	VVP	do
they	PP	they
have	VHP	have
a	DT	a
better	JJR	good
chance	NN	chance
of	IN	of
success	NN	success
this	DT	this
time	NN	time
well	RB	well
this	DT	this
time	NN	time
around	IN	around
the	DT	the
the	DT	the
focus	NN	focus
of	IN	of
the	DT	the
application	NN	application
ation	NN	ation
is	VBZ	be
