<video_id>rMiO3DoaudU</video_id>	NP	<video_id>rMiO3DoaudU</video_id>
<video_title>Could	NP	<video_title>Could
Hezbollah	NP	Hezbollah
drag	NN	drag
Lebanon	NP	Lebanon
into	IN	into
a	DT	a
war	NN	war
with	IN	with
Israel?	NP	Israel?
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Could	NP	<thumbnail_path>en_DW\Could
Hezbollah	NP	Hezbollah
drag	NN	drag
Lebanon	NP	Lebanon
into	IN	into
a	DT	a
war	NN	war
with	IN	with
Israel	NP	Israel
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231023</publish_date>	JJ	<publish_date>20231023</publish_date>
<doc>	NN	<doc>
let's	NNS	let's
look	VVP	look
northward	RB	northward
now	RB	now
from	IN	from
Israel	NP	Israel
to	TO	to
Lebanon	NP	Lebanon
a	DT	a
region	NN	region
that	WDT	that
has	VHZ	have
historically	RB	historically
been	VBN	be
a	DT	a
flasho	NN	flasho
we	PP	we
can	MD	can
now	RB	now
talk	VV	talk
to	TO	to
Andrea	NP	Andrea
tenente	NN	tenente
he's	NNS	he's
a	DT	a
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
United	NP	United
Nations	NPS	Nations
interim	JJ	interim
force	NN	force
in	IN	in
Lebanon	NP	Lebanon
better	RBR	well
known	VVN	know
as	IN	as
unifil	NN	unifil
he	PP	he
joins	VVZ	join
us	PP	us
from	IN	from
their	PP$	their
headquarters	NN	headquarters
in	IN	in
nakura	NN	nakura
in	IN	in
South	NP	South
Lebanon	NP	Lebanon
thanks	NNS	thanks
for	IN	for
being	VBG	be
with	IN	with
us	PP	us
Andrea	NP	Andrea
describe	VV	describe
for	IN	for
us	PP	us
the	DT	the
current	JJ	current
situation	NN	situation
at	IN	at
the	DT	the
border	NN	border
between	IN	between
Israel	NP	Israel
and	CC	and
Lebanon	NP	Lebanon
at	IN	at
the	DT	the
moment	NN	moment
and	CC	and
I	PP	I
would	MD	would
say	VV	say
maybe	RB	maybe
even	RB	even
for	IN	for
the	DT	the
last	JJ	last
couple	NN	couple
of	IN	of
weeks	NNS	week
even	RB	even
a	DT	a
little	JJ	little
bit	NN	bit
longer	RBR	longer
the	DT	the
situation	NN	situation
has	VHZ	have
been	VBN	be
tense	JJ	tense
and	CC	and
uh	UH	uh
and	CC	and
highly	RB	highly
volatile	JJ	volatile
uh	UH	uh
we	PP	we
have	VHP	have
been	VBN	be
having	VHG	have
exchange	NN	exchange
of	IN	of
fire	NN	fire
between	IN	between
along	IN	along
the	DT	the
Blue	NP	Blue
Line	NP	Line
in	IN	in
this	DT	this
area	NN	area
between	IN	between
Lebanon	NP	Lebanon
and	CC	and
Israel	NP	Israel
there	RB	there
is	VBZ	be
no	DT	no
border	NN	border
between	IN	between
the	DT	the
two	CD	two
countries	NNS	country
uh	UH	uh
for	IN	for
the	DT	the
last	JJ	last
two	CD	two
weeks	NNS	week
and	CC	and
uh	UH	uh
and	CC	and
sometimes	RB	sometimes
very	RB	very
intense	JJ	intense
exchange	NN	exchange
of	IN	of
fires	NNS	fire
but	CC	but
I	PP	I
would	MD	would
say	VV	say
always	RB	always
very	RB	very
localized	VVD	localize
uh	UH	uh
and	CC	and
between	IN	between
Lebanon	NP	Lebanon
Israel	NP	Israel
along	IN	along
the	DT	the
blue	JJ	blue
line	NN	line
no	RB	no
more	JJR	more
than	IN	than
5	CD	@card@
to	TO	to
10	CD	@card@
kilomet	NN	kilomet
so	IN	so
uh	UH	uh
we	PP	we
have	VHP	have
been	VBN	be
monitoring	VVG	monitor
at	IN	at
and	CC	and
we	PP	we
are	VBP	be
present	JJ	present
on	IN	on
the	DT	the
ground	NN	ground
at	IN	at
the	DT	the
moment	NN	moment
with	IN	with
our	PP$	our
over	RB	over
10,000	CD	@card@
troops	NNS	troop
Israel	NP	Israel
has	VHZ	have
suggested	VVN	suggest
that	IN/that	that
Hezbollah	NP	Hezbollah
is	VBZ	be
dragging	VVG	drag
Lebanon	NP	Lebanon
into	IN	into
war	NN	war
do	VVP	do
you	PP	you
see	VVP	see
any	DT	any
evidence	NN	evidence
of	IN	of
that	DT	that
as	IN	as
I	PP	I
said	VVD	say
the	DT	the
situation	NN	situation
has	VHZ	have
been	VBN	be
tense	JJ	tense
and	CC	and
very	RB	very
concerning	VVG	concern
because	IN	because
of	IN	of
this	DT	this
uh	UH	uh
uh	UH	uh
two	CD	two
weeks	NNS	week
of	IN	of
exchange	NN	exchange
of	IN	of
fires	NNS	fire
but	CC	but
it's	NNS	it's
also	RB	also
important	JJ	important
to	TO	to
um	RB	um
emphasize	VV	emphasize
that	DT	that
uh	UH	uh
that	IN/that	that
when	WRB	when
we	PP	we
have	VH	have
our	PP$	our
discussion	NN	discussion
with	IN	with
the	DT	the
parties	VVZ	party
uh	UH	uh
with	IN	with
the	DT	the
Lebanese	JJ	Lebanese
authorities	NNS	authority
with	IN	with
the	DT	the
Lebanese	JJ	Lebanese
Army	NN	army
with	IN	with
the	DT	the
IDF	NP	IDF
that's	NNS	that's
one	CD	one
important	JJ	important
role	NN	role
that	IN/that	that
the	DT	the
mission	NN	mission
has	VHZ	have
to	TO	to
keep	VV	keep
the	DT	the
dialogue	NN	dialogue
ongoing	JJ	ongoing
to	TO	to
to	TO	to
send	VV	send
messages	NNS	message
uh	UH	uh
I	PP	I
don't	VVD	don't
feel	VV	feel
that	IN/that	that
there	EX	there
