military	JJ	military
analyst	NN	analyst
Michael	NP	Michael
Clark	NP	Clark
from	IN	from
King	NP	King
'	POS	'
s	NN	S
College	NP	College
London	NP	London
welcome	VVP	welcome
back	RB	back
to	TO	to
DW	VV	DW
uh	UH	uh
let	VV	let
'	''	'
s	JJ	s
start	NN	start
in	IN	in
Al	NP	Al
maazi	NP	maazi
where	WRB	where
Israel	NP	Israel
'	POS	'
s	NN	S
Army	NN	army
tried	VVD	try
to	TO	to
kill	VV	kill
a	DT	a
Hamas	JJ	Hamas
top	JJ	top
Commander	NP	Commander
but	CC	but
ended	VVD	end
up	RP	up
causing	VVG	cause
dozens	NNS	dozen
of	IN	of
Civilian	JJ	civilian
casualties	NNS	casualty
instead	RB	instead
how	WRB	how
do	VVP	do
things	NNS	thing
like	IN	like
that	WDT	that
happen	VVP	happen
with	IN	with
an	DT	an
army	NN	army
that	WDT	that
is	VBZ	be
so	RB	so
well	RB	well
equipped	VVN	equip
because	IN	because
it	PP	it
'	POS	'
s	NN	S
not	RB	not
the	DT	the
army	NN	army
that	WDT	that
is	VBZ	be
doing	VVG	do
it	PP	it
it	PP	it
'	POS	'
s	NN	S
the	DT	the
Israeli	JJ	Israeli
Air	NP	Air
Force	NP	Force
and	CC	and
the	DT	the
it	PP	it
can	MD	can
happen	VV	happen
because	IN	because
it	PP	it
'	POS	'
s	VVG	s
what	WP	what
the	DT	the
Israelis	NPS	Israelis
intend	VVP	intend
if	IN	if
they	PP	they
are	VBP	be
going	VVG	go
after	IN	after
people	NNS	people
like	IN	like
Muhammad	NP	Muhammad
di	NP	di
they	PP	they
they	PP	they
thought	VVD	think
that	IN/that	that
he	PP	he
was	VBD	be
that	IN/that	that
they	PP	they
had	VHD	have
him	PP	him
that	IN/that	that
they	PP	they
knew	VVD	know
exactly	RB	exactly
where	WRB	where
he	PP	he
was	VBD	be
and	CC	and
they	PP	they
still	RB	still
think	VVP	think
that	IN/that	that
they	PP	they
probably	RB	probably
got	VVD	get
him	PP	him
but	CC	but
they	PP	they
can	MD	can
'	''	'
t	NN	t
confirm	VV	confirm
it	PP	it
and	CC	and
if	IN	if
you	PP	you
look	VVP	look
at	IN	at
the	DT	the
way	NN	way
the	DT	the
Israelis	NPS	Israelis
approach	VVP	approach
these	DT	these
operations	NNS	operation
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
the	DT	the
top	JJ	top
commanders	NNS	commander
like	IN	like
Muhammad	NP	Muhammad
de	NP	de
like	IN	like
Issa	NP	Issa
who	WP	who
you	PP	you
mentioned	VVD	mention
in	IN	in
the	DT	the
in	IN	in
the	DT	the
report	NN	report
like	IN	like
Yaya	NP	Yaya
Sina	NP	Sina
who	WP	who
is	VBZ	be
the	DT	the
the	DT	the
the	DT	the
man	NN	man
above	IN	above
di	NP	di
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
people	NNS	people
like	IN	like
that	WDT	that
they	PP	they
will	MD	will
take	VV	take
they	PP	they
will	MD	will
accept	VV	accept
any	DT	any
number	NN	number
any	DT	any
number	NN	number
of	IN	of
Palestinian	JJ	Palestinian
casualties	NNS	casualty
if	IN	if
they	PP	they
can	MD	can
get	VV	get
those	DT	those
particular	JJ	particular
top	JJ	top
commanders	NNS	commander
so	IN	so
they	PP	they
sent	VVD	send
five	CD	five
missiles	NNS	missile
onto	IN	onto
the	DT	the
area	NN	area
where	WRB	where
they	PP	they
thought	VVD	think
they	PP	they
had	VHD	have
good	JJ	good
information	NN	information
that	IN/that	that
DF	NP	DF
was	VBD	be
maybe	RB	maybe
they	PP	they
got	VVD	get
in	IN	in
maybe	RB	maybe
they	PP	they
didn	NP	didn
'	POS	'
t	NN	t
but	CC	but
from	IN	from
their	PP$	their
point	NN	point
of	IN	of
view	NN	view
when	WRB	when
they	PP	they
go	VVP	go
for	IN	for
a	DT	a
really	RB	really
top	JJ	top
Commander	NP	Commander
the	DT	the
number	NN	number
of	IN	of
of	IN	of
Civilian	JJ	civilian
casualties	NNS	casualty
is	VBZ	be
simply	RB	simply
irrelevant	JJ	irrelevant
when	WRB	when
they	PP	they
go	VVP	go
for	IN	for
people	NNS	people
who	WP	who
are	VBP	be
not	RB	not
top	JJ	top
commanders	NNS	commander
they	PP	they
do	VVP	do
consider	VV	consider
how	WRB	how
many	JJ	many
deaths	NNS	death
are	VBP	be
regarded	VVN	regard
as	IN	as
reasonable	JJ	reasonable
and	CC	and
you	PP	you
and	CC	and
I	PP	I
would	MD	would
still	RB	still
say	VV	say
that	RB	that
'	''	'
s	VVG	s
a	DT	a
very	RB	very
high	JJ	high
number	NN	number
but	CC	but
the	DT	the
the	DT	the
number	NN	number
that	IN/that	that
they	PP	they
consider	VVP	consider
reasonable	JJ	reasonable
is	VBZ	be
unlimited	JJ	unlimited
going	VVG	go
after	IN	after
somebody	NN	somebody
like	IN	like
di	NP	di
right	NN	right
Israel	NP	Israel
has	VHZ	have
said	VVN	say
repeatedly	RB	repeatedly
that	IN/that	that
its	PP$	its
endgame	NN	endgame
is	VBZ	be
to	TO	to
eradicate	VV	eradicate
Hamas	NN	Hamas
and	CC	and
that	IN/that	that
it	PP	it
won	VVD	win
'	''	'
t	NN	t
end	NN	end
the	DT	the
war	NN	war
until	IN	until
it	PP	it
'	POS	'
s	NNS	s
achieve	VVP	achieve
that	DT	that
aim	NN	aim
yeah	RB	yeah
is	VBZ	be
that	IN/that	that
possible	JJ	possible
to	TO	to
eliminate	VV	eliminate
Hamas	NNS	Hamas
completely	RB	completely
no	RB	no
and	CC	and
they	PP	they
in	IN	in
fact	NN	fact
they	PP	they
they	PP	they
don	VVP	don
'	''	'
t	NN	t
now	RB	now
say	VVP	say
they	PP	they
'	''	'
re	IN	re
trying	VVG	try
to	TO	to
eliminate	VV	eliminate
Hamas	NNS	Hamas
you	PP	you
look	VVP	look
carefully	RB	carefully
at	IN	at
what	WP	what
Netanyahu	NP	Netanyahu
said	VVD	say
began	VVD	begin
by	IN	by
saying	VVG	say
we	PP	we
have	VHP	have
to	TO	to
eliminate	VV	eliminate
Hamas	JJ	Hamas
full	JJ	full
stop	NN	stop
take	VV	take
them	PP	them
off	RP	off
the	DT	the
map	NN	map
Al	NP	Al
together	RB	together
then	RB	then
he	PP	he
said	VVD	say
we	PP	we
have	VHP	have
to	TO	to
eliminate	VV	eliminate
Hamas	JJ	Hamas
um	NNS	um
as	IN	as
an	DT	an
organization	NN	organization
which	WDT	which
is	VBZ	be
not	RB	not
quite	RB	quite
the	DT	the
same	JJ	same
as	IN	as
eliminating	VVG	eliminate
Hamas	NNS	Hamas
and	CC	and
then	RB	then
he	PP	he
said	VVD	say
now	RB	now
he	PP	he
says	VVZ	say
we	PP	we
must	MD	must
eliminate	VV	eliminate
Hamas	NNS	Hamas
as	IN	as
a	DT	a
military	JJ	military
threat	NN	threat
to	TO	to
Israel	NP	Israel
that	WDT	that
'	POS	'
s	NNS	s
a	DT	a
bit	NN	bit
different	JJ	different
again	RB	again
so	IN	so
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
already	RB	already
three	CD	three
steps	NNS	step
down	RB	down
from	IN	from
the	DT	the
place	NN	place
they	PP	they
started	VVD	start
at	IN	at
and	CC	and
they	PP	they
'	POS	'
re	NN	re
not	RB	not
going	VVG	go
to	TO	to
achieve	VV	achieve
even	RB	even
that	IN/that	that
because	IN	because
although	IN	although
they	PP	they
talk	VVP	talk
about	IN	about
the	DT	the
number	NN	number
of	IN	of
Hamas	JJ	Hamas
terrorists	NNS	terrorist
they	PP	they
'	POS	'
ve	NN	ve
killed	VVD	kill
they	PP	they
they	PP	they
thought	VVD	think
were	VBD	be
25	CD	@card@
,	,	,
000	CD	@card@
there	RB	there
at	IN	at
the	DT	the
beginning	NN	beginning
of	IN	of
this	DT	this
operation	NN	operation
they	PP	they
think	VVP	think
that	IN/that	that
they	PP	they
have	VHP	have
killed	VVN	kill
at	IN	at
least	JJS	least
15	CD	@card@
,	,	,
000	CD	@card@
but	CC	but
nobody	NN	nobody
can	MD	can
give	VV	give
you	PP	you
a	DT	a
figure	VVP	figure
as	IN	as
to	TO	to
how	WRB	how
many	JJ	many
more	JJR	more
terrorists	NNS	terrorist
they	PP	they
have	VHP	have
created	VVN	create
for	IN	for
every	DT	every
22y	JJ	22y
old	JJ	old
Hamas	JJ	Hamas
terrorist	NN	terrorist
they	PP	they
kill	VVP	kill
you	PP	you
can	MD	can
guarantee	VV	guarantee
there	RB	there
'	''	'
s	VVG	s
a	DT	a
15y	JJ	15y
old	JJ	old
brother	NN	brother
and	CC	and
three	CD	three
or	CC	or
four	CD	four
12y	JJ	12y
old	JJ	old
cousins	NNS	cousin
who	WP	who
have	VHP	have
have	VHP	have
sworn	VVN	swear
Vengeance	NN	vengeance
against	IN	against
Israel	NP	Israel
for	IN	for
the	DT	the
rest	NN	rest
of	IN	of
their	PP$	their
lives	NNS	life
so	IN	so
the	DT	the
idea	NN	idea
that	IN/that	that
the	DT	the
israelies	NNS	israelies
can	MD	can
eliminate	VV	eliminate
Hamas	NNS	Hamas
as	IN	as
a	DT	a
military	JJ	military
organization	NN	organization
um	NN	um
is	VBZ	be
plausible	JJ	plausible
but	CC	but
they	PP	they
can	MD	can
'	''	'
t	NN	t
eliminate	VV	eliminate
it	PP	it
as	IN	as
a	DT	a
military	JJ	military
threat	NN	threat
as	IN	as
long	JJ	long
as	IN	as
they	PP	they
are	VBP	be
creating	VVG	create
at	IN	at
least	JJS	least
as	IN	as
many	JJ	many
terrorists	NNS	terrorist
as	IN	as
they	PP	they
