<video_id>cBSUICMFDiE</video_id>	JJ	<video_id>cBSUICMFDiE</video_id>
<video_title>Dozens	NNS	<video_title>Dozens
dead	JJ	dead
in	IN	in
blast	NN	blast
at	IN	at
Gaza	NP	Gaza
refugee	NN	refugee
camp	NN	camp
|	SYM	|
DW	JJ	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Dozens	NNS	<thumbnail_path>en_DW\Dozens
dead	JJ	dead
in	IN	in
blast	NN	blast
at	IN	at
Gaza	NP	Gaza
refugee	NN	refugee
camp	NN	camp
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231031</publish_date>	NP	<publish_date>20231031</publish_date>
<doc>	NP	<doc>
Israel	NP	Israel
is	VBZ	be
stepping	VVG	step
up	RP	up
its	PP$	its
ground	NN	ground
and	CC	and
air	NN	air
offensive	NN	offensive
against	IN	against
Gaza	NP	Gaza
the	DT	the
Israel	NP	Israel
Defense	NP	Defense
Forces	NPS	Forces
released	VVD	release
video	NN	video
showing	VVG	show
what	WP	what
they	PP	they
say	VVP	say
are	VBP	be
tanks	NNS	tank
and	CC	and
ground	NN	ground
troops	NNS	troop
operating	VVG	operate
at	IN	at
unspecified	JJ	unspecified
locations	NNS	location
inside	IN	inside
Gaza	NP	Gaza
the	DT	the
military	NN	military
says	VVZ	say
it	PP	it
has	VHZ	have
struck	VVN	strike
hundreds	NNS	hundred
of	IN	of
militant	JJ	militant
Targets	NNS	target
in	IN	in
the	DT	the
recent	JJ	recent
days	NNS	day
its	PP$	its
soldiers	NNS	soldier
are	VBP	be
engaged	VVN	engage
in	IN	in
Fierce	JJ	fierce
hand-to-hand	JJ	hand-to-hand
combat	NN	combat
including	VVG	include
attacking	VVG	attack
Hamas	JJ	Hamas
gunmen	NNS	gunman
in	IN	in
the	DT	the
network	NN	network
of	IN	of
underground	JJ	underground
tunnels	NNS	tunnel
beneath	IN	beneath
Gaza	NP	Gaza
the	DT	the
IDF	NP	IDF
also	RB	also
claims	VVZ	claim
it	PP	it
has	VHZ	have
killed	VVN	kill
the	DT	the
senior	JJ	senior
Hamas	NP	Hamas
Commander	NP	Commander
involved	VVD	involve
in	IN	in
directing	VVG	direct
the	DT	the
October	NP	October
7th	JJ	7th
terrorist	NN	terrorist
attacks	VVZ	attack
our	PP$	our
correspondent	JJ	correspondent
Tanya	NP	Tanya
ker	NN	ker
is	VBZ	be
in	IN	in
stot	VV	stot
in	IN	in
southern	JJ	southern
Israel	NP	Israel
that's	NNS	that's
close	JJ	close
to	TO	to
the	DT	the
G	NP	G
Gaza	NP	Gaza
Strip	NP	Strip
border	NN	border
we	PP	we
asked	VVD	ask
her	PP	her
about	RB	about
reports	VVZ	report
of	IN	of
that	DT	that
Fierce	JJ	fierce
fighting	NN	fighting
deep	JJ	deep
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
well	RB	well
I	PP	I
can	MD	can
tell	VV	tell
you	PP	you
what	WP	what
we	PP	we
are	VBP	be
seeing	VVG	see
and	CC	and
hearing	VVG	hear
from	IN	from
here	RB	here
um	NN	um
we've	NN	we've
been	VBN	be
here	RB	here
for	IN	for
the	DT	the
course	NN	course
of	IN	of
the	DT	the
day	NN	day
there	EX	there
has	VHZ	have
been	VBN	be
heavy	JJ	heavy
bombardment	NN	bombardment
air	NN	air
strikes	VVZ	strike
also	RB	also
toly	JJ	toly
tanks	NNS	tank
and	CC	and
we	PP	we
also	RB	also
uh	UH	uh
have	VHP	have
seen	VVN	see
rocket	NN	rocket
Fire	NN	fire
coming	VVG	come
out	RP	out
uh	UH	uh
some	DT	some
of	IN	of
it	PP	it
went	VVD	go
towards	IN	towards
Central	NP	Central
Israel	NP	Israel
towards	IN	towards
uh	UH	uh
the	DT	the
Tel	NP	Tel
Aviv	NP	Aviv
area	NN	area
but	CC	but
also	RB	also
