<video_id>RaI0NwxzDWw</video_id>	JJ	<video_id>RaI0NwxzDWw</video_id>
<video_title>Drone	NN	<video_title>Drone
strike	NN	strike
in	IN	in
Beirut	NP	Beirut
kills	VVZ	kill
Hamas	JJ	Hamas
deputy	JJ	deputy
leader	NN	leader
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Drone	NN	<thumbnail_path>en_DW\Drone
strike	NN	strike
in	IN	in
Beirut	NP	Beirut
kills	VVZ	kill
Hamas	JJ	Hamas
deputy	JJ	deputy
leader	NN	leader
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240102</publish_date>	NN	<publish_date>20240102</publish_date>
<doc>	NN	<doc>
an	DT	an
explosion	NN	explosion
in	IN	in
Beirut	NP	Beirut
has	VHZ	have
killed	VVN	kill
s	JJ	s
aruri	NN	aruri
a	DT	a
top	JJ	top
official	NN	official
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
militant	JJ	militant
group	NN	group
Hamas	NN	Hamas
which	WDT	which
is	VBZ	be
considered	VVN	consider
a	DT	a
terror	NN	terror
organization	NN	organization
by	IN	by
the	DT	the
US	NP	US
the	DT	the
EU	NP	EU
and	CC	and
many	JJ	many
other	JJ	other
countries	NNS	country
Lebanon	NP	Lebanon
state	NN	state
run	NN	run
news	NN	news
agency	NN	agency
said	VVD	say
the	DT	the
blast	NN	blast
killed	VVD	kill
four	CD	four
people	NNS	people
in	IN	in
a	DT	a
Southern	JJ	Southern
suburb	NN	suburb
of	IN	of
Beirut	NP	Beirut
and	CC	and
was	VBD	be
carried	VVN	carry
out	RP	out
by	IN	by
an	DT	an
Israeli	JJ	Israeli
drone	NN	drone
the	DT	the
suburb	NN	suburb
is	VBZ	be
considered	VVN	consider
a	DT	a
stronghold	NN	stronghold
of	IN	of
lebanon's	NP	lebanon's
Hezbollah	NP	Hezbollah
militant	JJ	militant
group	NN	group
Israeli	JJ	Israeli
officials	NNS	official
declined	VVD	decline
to	TO	to
comment	VV	comment
but	CC	but
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
had	VHD	have
threatened	VVN	threaten
to	TO	to
kill	VV	kill
eror	NN	eror
even	RB	even
before	IN	before
the	DT	the
October	NP	October
7th	JJ	7th
Hamas	JJ	Hamas
Terror	NN	terror
attacks	NNS	attack
let's	NNS	let's
get	VVP	get
more	JJR	more
on	IN	on
this	DT	this
from	IN	from
our	PP$	our
correspondent	NN	correspondent
abas	NNS	aba
alash	NN	alash
in	IN	in
Beirut	NP	Beirut
abas	NNS	aba
what	WDT	what
more	JJR	more
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
about	IN	about
this	DT	this
strike	NN	strike
right	RB	right
now	RB	now
you	PP	you
could	MD	could
as	RB	as
you	PP	you
say	VVP	say
it's	NNS	it's
six	CD	six
person	NN	person
six	CD	six
people	NNS	people
were	VBD	be
killed	VVN	kill
in	IN	in
an	DT	an
drawn	VVN	draw
strike	NN	strike
today	NN	today
what	WP	what
two	CD	two
hours	NNS	hour
ago	RB	ago
uh	UH	uh
it	PP	it
was	VBD	be
targeting	VVG	target
um	NNS	um
Al	NP	Al
is	VBZ	be
in	IN	in
beirut's	NNS	beirut's
southern	JJ	southern
uh	UH	uh
suburbs	NNS	suburb
it's	NNS	it's
called	VVD	call
Alia	NP	Alia
in	IN	in
Beirut	NP	Beirut
and	CC	and
we	PP	we
could	MD	could
hear	VV	hear
the	DT	the
the	DT	the
explosion	NN	explosion
