sources	NNS	source
in	IN	in
Egypt	NP	Egypt
say	VVP	say
construction	NN	construction
work	NN	work
to	TO	to
create	VV	create
spaces	NNS	space
to	TO	to
accommodate	VV	accommodate
Palestinian	JJ	Palestinian
refugees	NNS	refugee
has	VHZ	have
begun	VVN	begin
on	IN	on
the	DT	the
border	NN	border
with	IN	with
Gaza	NP	Gaza
they	PP	they
say	VVP	say
the	DT	the
area	NN	area
is	VBZ	be
being	VBG	be
prepared	VVN	prepare
in	IN	in
case	NN	case
of	IN	of
an	DT	an
Israeli	JJ	Israeli
offensive	NN	offensive
in	IN	in
the	DT	the
city	NN	city
of	IN	of
Rafa	NP	Rafa
as	IN	as
part	NN	part
of	IN	of
its	PP$	its
campaign	NN	campaign
against	IN	against
Hamas	NNS	Hamas
who	WP	who
launched	VVD	launch
the	DT	the
October	NP	October
7	CD	@card@
Terror	NN	terror
attacks	NNS	attack
such	PDT	such
a	DT	a
move	NN	move
could	MD	could
cause	VV	cause
an	DT	an
exodus	NN	exodus
of	IN	of
Palestinians	NPS	Palestinians
across	IN	across
the	DT	the
Egyptian	JJ	Egyptian
border	NN	border
video	NN	video
released	VVN	release
by	IN	by
Egyptian	JJ	Egyptian
NGO	NN	Ngo
the	DT	the
Sinai	NP	Sinai
foundation	NN	foundation
for	IN	for
human	JJ	human
rights	NNS	right
shows	VVZ	show
work	NN	work
verified	VVN	verify
by	IN	by
the	DT	the
royal	JJ	royal
news	NN	news
agency	NN	agency
has	VHZ	have
being	VBG	be
along	IN	along
the	DT	the
gazan	JJ	gazan
border	NN	border
Egypt	NP	Egypt
has	VHZ	have
repeatedly	RB	repeatedly
said	VVN	say
an	DT	an
Israeli	JJ	Israeli
offensive	NN	offensive
in	IN	in
Rafa	NP	Rafa
would	MD	would
be	VB	be
unacceptable	JJ	unacceptable
more	JJR	more
than	IN	than
a	DT	a
million	CD	million
Palestinians	NPS	Palestinians
are	VBP	be
currently	RB	currently
Sheltering	VVG	shelter
there	RB	there
well	RB	well
our	PP$	our
correspondent	NN	correspondent
in	IN	in
Jerusalem	NP	Jerusalem
Rebecca	NP	Rebecca
ritters	NNS	ritters
told	VVD	tell
me	PP	me
more	JJR	more
about	IN	about
Egypt	NP	Egypt
'	POS	'
s	NN	S
plans	VVZ	plan
in	IN	in
the	DT	the
area	NN	area
well	RB	well
just	RB	just
as	IN	as
you	PP	you
say	VVP	say
there	RB	there
Phil	NP	Phil
we	PP	we
'	''	'
re	IN	re
getting	VVG	get
reports	NNS	report
credible	JJ	credible
reports	NNS	report
that	WDT	that
are	VBP	be
being	VBG	be
verified	VVN	verify
uh	UH	uh
to	TO	to
show	VV	show
that	IN/that	that
this	DT	this
is	VBZ	be
actually	RB	actually
underway	JJ	underway
this	DT	this
construction	NN	construction
is	VBZ	be
underway	JJ	underway
we	PP	we
'	''	'
re	IN	re
seeing	VVG	see
satellite	NN	satellite
imagery	NN	imagery
that	WDT	that
shows	VVZ	show
this	DT	this
these	DT	these
eyewitness	NN	eyewitness
videos	NNS	video
that	WDT	that
have	VHP	have
been	VBN	be
confirmed	VVN	confirm
and	CC	and
also	RB	also
from	IN	from
speaking	VVG	speak
to	TO	to
contractors	NNS	contractor
on	IN	on
the	DT	the
ground	NN	ground
you	PP	you
