days	NNS	day
after	IN	after
deadly	JJ	deadly
attacks	NNS	attack
by	IN	by
Hamas	JJ	Hamas
many	JJ	many
Israelis	NNS	Israeli
are	VBP	be
still	RB	still
left	VVN	leave
wondering	VVG	wonder
about	IN	about
the	DT	the
whereabouts	NN	whereabouts
and	CC	and
well	RB	well
-	NN	-
being	VBG	be
of	IN	of
their	PP$	their
relatives	NNS	relative
I	NP	I
'	POS	'
m	NN	m
joined	VVD	join
Now	RB	now
by	IN	by
Shir	NP	Shir
havron	NN	havron
who	WP	who
has	VHZ	have
a	DT	a
dozen	NN	dozen
family	NN	family
members	NNS	member
who	WP	who
you	PP	you
believe	VVP	believe
to	TO	to
have	VH	have
been	VBN	be
kidnapped	VVN	kidnap
and	CC	and
being	VBG	be
held	VVN	hold
hostage	NN	hostage
she	PP	she
wrote	VVD	write
welcome	JJ	welcome
to	TO	to
DW	NN	DW
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
what	WP	what
you	PP	you
know	VVP	know
about	IN	about
your	PP$	your
relatives	NNS	relative
so	RB	so
far	RB	far
yeah	RB	yeah
um	JJ	um
so	RB	so
basically	RB	basically
on	IN	on
Saturday	NP	Saturday
morning	NN	morning
we	PP	we
got	VVD	get
the	DT	the
news	NN	news
that	IN/that	that
the	DT	the
kibuts	NNS	kibuts
was	VBD	be
raided	VVN	raid
byas	NNS	byas
and	CC	and
we	PP	we
lost	VVD	lose
contact	NN	contact
with	IN	with
11	CD	@card@
of	IN	of
our	PP$	our
family	NN	family
members	NNS	member
that	WDT	that
hid	VVD	hide
in	IN	in
their	PP$	their
shelters	NNS	shelter
um	NNS	um
and	CC	and
since	IN	since
then	RB	then
haven	NN	haven
'	POS	'
t	NN	t
heard	VVD	hear
anything	NN	anything
maybe	RB	maybe
seen	VVN	see
just	RB	just
a	DT	a
bit	NN	bit
someone	NN	someone
of	IN	of
the	DT	the
family	NN	family
members	NNS	member
in	IN	in
a	DT	a
video	NN	video
but	CC	but
lost	VVD	lose
contact	NN	contact
and	CC	and
we	PP	we
got	VVD	get
two	CD	two
pieces	NNS	piece
of	IN	of
information	NN	information
that	WDT	that
led	VVD	lead
us	PP	us
to	TO	to
believe	VV	believe
that	IN/that	that
their	PP$	their
houses	NNS	house
were	VBD	be
burned	VVN	burn
down	RB	down
and	CC	and
were	VBD	be
empty	JJ	empty
so	RB	so
now	RB	now
we	PP	we
believe	VVP	believe
that	IN/that	that
they	PP	they
'	POS	'
re	NN	re
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
hopefully	RB	hopefully
alive	JJ	alive
how	WRB	how
do	VVP	do
you	PP	you
feel	VVP	feel
so	RB	so
many	JJ	many
family	NN	family
members	NNS	member
so	IN	so
little	JJ	little
information	NN	information
I	PP	I
never	RB	never
thought	VVD	think
I	PP	I
would	MD	would
be	VB	be
in	IN	in
this	DT	this
situation	NN	situation
it	PP	it
feels	VVZ	feel
very	RB	very
surreal	JJ	surreal
and	CC	and
really	RB	really
hard	JJ	hard
to	TO	to
grasp	VV	grasp
this	DT	this
new	JJ	new
reality	NN	reality
it	PP	it
'	POS	'
s	NN	S
probably	RB	probably
half	JJ	half
of	IN	of
my	PP$	my
family	NN	family
from	IN	from
My	NP	My
Father	NP	Father
'	POS	'
s	JJ	s
Side	NN	side
people	NNS	people
who	WP	who
are	VBP	be
I	PP	I
grow	VVP	grow
grew	VVD	grow
up	RP	up
in	IN	in
their	PP$	their
houses	NNS	house
with	IN	with
their	PP$	their
kids	NNS	kid
um	VVG	um
it	PP	it
'	POS	'
s	NN	S
hard	JJ	hard
to	TO	to
communicate	VV	communicate
this	DT	this
and	CC	and
be	VB	be
in	IN	in
touch	NN	touch
with	IN	with
my	PP$	my
feelings	NNS	feeling
because	IN	because
