my	PP$	my
first	JJ	first
guest	NN	guest
tonight	NN	tonight
can	MD	can
speak	VV	speak
with	IN	with
authority	NN	authority
about	IN	about
the	DT	the
presidency	NN	presidency
of	IN	of
Donald	NP	Donald
Trump	NP	Trump
in	IN	in
his	PP$	his
book	NN	book
the	DT	the
room	NN	room
where	WRB	where
it	PP	it
happened	VVD	happen
John	NP	John
Bolton	NP	Bolton
offers	VVZ	offer
a	DT	a
detailed	JJ	detailed
account	NN	account
of	IN	of
his	PP$	his
17	CD	@card@
months	NNS	month
as	IN	as
president	NN	president
Trump	NP	Trump
'	POS	'
s	NN	S
National	NP	National
Security	NP	Security
advisor	NN	advisor
in	IN	in
2018	CD	@card@
and	CC	and
19	CD	@card@
before	IN	before
that	WDT	that
he	PP	he
was	VBD	be
US	NP	US
ambassador	NN	ambassador
to	TO	to
the	DT	the
United	NP	United
Nations	NPS	Nations
under	IN	under
George	NP	George
W	NP	W
book	NN	book
Bush	NP	Bush
John	NP	John
Bolton	NP	Bolton
welcome	NN	welcome
to	TO	to
the	DT	the
day	NN	day
now	RB	now
we	PP	we
appear	VVP	appear
to	TO	to
be	VB	be
heading	VVG	head
towards	IN	towards
a	DT	a
presidential	JJ	presidential
election	NN	election
rematch	NN	rematch
between	IN	between
uh	UH	uh
Trump	NP	Trump
and	CC	and
Joe	NP	Joe
Biden	NP	Biden
in	IN	in
the	DT	the
forwards	NNS	forward
of	IN	of
the	DT	the
new	JJ	new
paperback	NN	paperback
edition	NN	edition
of	IN	of
your	PP$	your
book	NN	book
the	DT	the
room	NN	room
where	WRB	where
it	PP	it
happened	VVD	happen
you	PP	you
say	VVP	say
Donald	NP	Donald
Trump	NP	Trump
is	VBZ	be
unfit	JJ	unfit
to	TO	to
be	VB	be
president	NN	president
why	WRB	why
well	RB	well
he	PP	he
'	POS	'
s	NN	S
not	RB	not
competent	JJ	competent
to	TO	to
handle	VV	handle
the	DT	the
job	NN	job
he	PP	he
didn	NP	didn
'	POS	'
t	NN	t
know	VVP	know
much	RB	much
about	RB	about
it	PP	it
when	WRB	when
he	PP	he
came	VVD	come
into	IN	into
office	NN	office
in	IN	in
2017	CD	@card@
and	CC	and
he	PP	he
didn	NP	didn
'	POS	'
t	NN	t
know	VVP	know
very	RB	very
much	RB	much
more	JJR	more
when	WRB	when
he	PP	he
left	VVD	leave
in	IN	in
2021	CD	@card@
certainly	RB	certainly
in	IN	in
the	DT	the
National	NP	National
Security	NP	Security
space	NN	space
he	PP	he
didn	NP	didn
'	POS	'
t	NN	t
have	VHP	have
a	DT	a
guiding	JJ	guiding
philosophy	NN	philosophy
he	PP	he
didn	NP	didn
'	POS	'
t	NN	t
do	VVP	do
policy	NN	policy
making	VVG	make
as	IN	as
we	PP	we
normally	RB	normally
understand	VVP	understand
that	DT	that
term	NN	term
he	PP	he
didn	NP	didn
'	POS	'
t	NN	t
appreciate	VV	appreciate
the	DT	the
gravity	NN	gravity
of	IN	of
the	DT	the
issues	NNS	issue
that	IN/that	that
confronted	VVN	confront
him	PP	him
uh	UH	uh
and	CC	and
he	PP	he
doesn	NN	doesn
'	''	'
t	NN	t
have	VHP	have
any	DT	any
really	RB	really
better	JJR	good
idea	NN	idea
today	NN	today
so	RB	so
at	IN	at
a	DT	a
time	NN	time
of	IN	of
increasing	VVG	increase
International	NP	International
difficulties	NNS	difficulty
to	TO	to
say	VV	say
the	DT	the
least	JJS	least
uh	UH	uh
he	PP	he
he	PP	he
is	VBZ	be
exactly	RB	exactly
the	DT	the
wrong	JJ	wrong
person	NN	person
to	TO	to
uh	UH	uh
become	VV	become
president	NN	president
of	IN	of
the	DT	the
United	NP	United
States	NP	States
so	RB	so
is	VBZ	be
that	IN/that	that
an	DT	an
argument	NN	argument
for	IN	for
another	DT	another
Biden	NP	Biden
presidency	NN	presidency
no	RB	no
not	RB	not
at	IN	at
all	DT	all
I	NP	I
don	NN	don
'	POS	'
t	NN	t
think	VVP	think
Biden	NP	Biden
is	VBZ	be
fit	VVN	fit
to	TO	to
be	VB	be
president	NN	president
either	CC	either
although	IN	although
for	IN	for
somewhat	RB	somewhat
different	JJ	different
reasons	VVZ	reason
uh	UH	uh
and	CC	and
it	PP	it
'	POS	'
s	NN	S
very	RB	very
unfortunate	JJ	unfortunate
that	IN/that	that
the	DT	the
country	NN	country
uh	UH	uh
is	VBZ	be
facing	VVG	face
this	DT	this
choice	NN	choice
you	PP	you
know	VVP	know
we	PP	we
have	VHP	have
polls	NNS	poll
that	WDT	that
now	RB	now
show	VV	show
uh	UH	uh
up	RB	up
to	TO	to
80	CD	@card@
%	NN	%
or	CC	or
more	JJR	more
of	IN	of
Americans	NPS	Americans
do	VVP	do
not	RB	not
want	VV	want
to	TO	to
see	VV	see
a	DT	a
Biden	NP	Biden
Trump	NP	Trump
rematch	NN	rematch
and	CC	and
that	IN/that	that
as	RB	as
of	IN	of
now	RB	now
is	VBZ	be
looks	NNS	look
exactly	RB	exactly
like	VVP	like
what	WP	what
we	PP	we
'	POS	'
re	NN	re
going	VVG	go
to	TO	to
get	VV	get
so	IN	so
Trump	NP	Trump
unfit	NN	unfit
because	IN	because
of	IN	of
incompetence	NN	incompetence
Biden	NP	Biden
unfit	NN	unfit
because	IN	because
well	RB	well
I	PP	I
don	VV	don
'	''	'
t	NN	t
think	VVP	think
his	PP$	his
policies	NNS	policy
are	VBP	be
are	VBP	be
the	DT	the
right	JJ	right
policies	NNS	policy
and	CC	and
I	PP	I
think	VVP	think
the	DT	the
Democrats	NPS	Democrats
are	VBP	be
whistling	VVG	whistle
past	IN	past
the	DT	the
graveyard	NN	graveyard
quite	RB	quite
literally	RB	literally
to	TO	to
nominate	VV	nominate
uh	UH	uh
to	TO	to
nominate	VV	nominate
him	PP	him
if	IN	if
he	PP	he
had	VHD	have
stepped	VVN	step
aside	RB	aside
I	PP	I
think	VVP	think
the	DT	the
Democrats	NPS	Democrats
would	MD	would
have	VH	have
had	VHN	have
a	DT	a
very	RB	very
active	JJ	active
primary	JJ	primary
race	NN	race
for	IN	for
their	PP$	their
nomination	NN	nomination
and	CC	and
that	IN/that	that
actually	RB	actually
might	MD	might
have	VH	have
helped	VVN	help
us	PP	us
on	IN	on
the	DT	the
Republican	JJ	Republican
side	NN	side
dislodge	VV	dislodge
Donald	NP	Donald
Trump	NP	Trump
of	IN	of
a	DT	a
second	JJ	second
Trump	NP	Trump
presidency	NN	presidency
you	PP	you
'	POS	'
ve	NNS	ve
written	VVN	write
if	IN	if
his	PP$	his
first	JJ	first
four	CD	four
years	NNS	year
were	VBD	be
bad	JJ	bad
the	DT	the
second	NN	second
for	IN	for
will	MD	will
be	VB	be
worse	JJR	bad
Trump	NP	Trump
really	RB	really
cares	VVZ	care
only	RB	only
