Jordan	NP	Jordan
'	POS	'
s	NN	S
King	NP	King
Abdullah	NP	Abdullah
has	VHZ	have
called	VVN	call
on	IN	on
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
Anthony	NP	Anthony
blinkin	NN	blinkin
to	TO	to
put	VV	put
pressure	NN	pressure
on	IN	on
Israel	NP	Israel
for	IN	for
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
the	DT	the
two	CD	two
held	JJ	held
talks	NNS	talk
in	IN	in
the	DT	the
Jordanian	JJ	Jordanian
Capital	NP	Capital
Aman	NP	Aman
on	IN	on
Sunday	NP	Sunday
the	DT	the
meeting	NN	meeting
is	VBZ	be
part	NN	part
of	IN	of
a	DT	a
US	NP	US
initiated	VVD	initiate
diplomatic	JJ	diplomatic
tour	NN	tour
aimed	VVN	aim
at	IN	at
calming	JJ	calming
tensions	NNS	tension
caused	VVN	cause
by	IN	by
the	DT	the
conflict	NN	conflict
blinkin	NN	blinkin
also	RB	also
toured	VVD	tour
a	DT	a
food	NN	food
distribution	NN	distribution
center	NN	center
in	IN	in
Aman	NP	Aman
before	IN	before
traveling	VVG	travel
on	IN	on
to	TO	to
qat	NN	qat
he	PP	he
'	POS	'
ll	NN	ll
visit	NN	visit
Israel	NP	Israel
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
as	RB	as
well	RB	well
as	IN	as
Egypt	NP	Egypt
and	CC	and
Saudi	NP	Saudi
Arabia	NP	Arabia
before	IN	before
wrapping	VVG	wrap
up	RP	up
his	PP$	his
week	NN	week
-	NN	-
long	RB	long
diplomatic	JJ	diplomatic
push	NN	push
the	DT	the
UN	NP	UN
is	VBZ	be
warning	VVG	warn
of	IN	of
a	DT	a
public	JJ	public
health	NN	health
disaster	NN	disaster
with	IN	with
the	DT	the
delivery	NN	delivery
of	IN	of
vital	JJ	vital
supplies	NNS	supply
at	IN	at
only	RB	only
a	DT	a
trickle	NN	trickle
blinken	NP	blinken
has	VHZ	have
called	VVN	call
for	IN	for
Aid	NP	Aid
to	TO	to
be	VB	be
scaled	VVN	scale
up	RP	up
let	NN	let
'	POS	'
s	NNS	s
bring	VVP	bring
in	IN	in
Tess	NP	Tess
Ingram	NP	Ingram
from	IN	from
UNICEF	NP	UNICEF
the	DT	the
UN	NP	UN
Children	NP	Children
'	POS	'
s	JJ	s
Fund	NN	fund
what	WP	what
'	POS	'
s	NNS	s
the	DT	the
use	NN	use
of	IN	of
scaling	VVG	scale
up	RP	up
Aid	NN	aid
when	WRB	when
it	PP	it
can	MD	can
'	''	'
t	NN	t
get	VV	get
into	IN	into
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
well	RB	well
there	RB	there
'	''	'
s	VVG	s
a	DT	a
double	JJ	double
challenge	NN	challenge
Ben	NP	Ben
it	PP	it
'	POS	'
s	NN	S
a	DT	a
a	DT	a
matter	NN	matter
of	IN	of
getting	VVG	get
the	DT	the
aid	NN	aid
in	IN	in
and	CC	and
then	RB	then
and	CC	and
then	RB	then
getting	VVG	get
it	PP	it
across	IN	across
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
so	IN	so
we	PP	we
need	VVP	need
to	TO	to
scale	VV	scale
up	RP	up
Aid	NN	aid
we	PP	we
need	VVP	need
to	TO	to
get	VV	get
it	PP	it
in	IN	in
as	RB	as
as	RB	as
quickly	RB	quickly
as	IN	as
possible	JJ	possible
and	CC	and
then	RB	then
we	PP	we
need	VVP	need
to	TO	to
tackle	VV	tackle
some	DT	some
of	IN	of
the	DT	the
challenges	NNS	challenge
that	WDT	that
we	PP	we
face	VVP	face
in	IN	in
getting	VVG	get
it	PP	it
to	TO	to
the	DT	the
children	NNS	child
and	CC	and
families	NNS	family
who	WP	who
need	VVP	need
it	PP	it
the	DT	the
most	JJS	most
but	CC	but
that	IN/that	that
Aid	NP	Aid
is	VBZ	be
absolutely	RB	absolutely
critical	JJ	critical
so	IN	so
the	DT	the
um	NNS	um
call	VVP	call
to	TO	to
scale	VV	scale
it	PP	it
up	RB	up
is	VBZ	be
is	VBZ	be
both	DT	both
very	RB	very
well	RB	well
welcomed	VVN	welcome
Tess	NP	Tess
this	DT	this
one	CD	one
spot	NN	spot
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
in	IN	in
the	DT	the
very	RB	very
south	JJ	south
um	NN	um
is	VBZ	be
the	DT	the
only	JJ	only
spot	NN	spot
where	WRB	where
AID	NN	aid
is	VBZ	be
getting	VVG	get
in	IN	in
the	DT	the
