<video_id>fcaIVECkzo4</video_id>	JJ	<video_id>fcaIVECkzo4</video_id>
<video_title>Gaza	NN	<video_title>Gaza
update:	NN	update:
Video	NP	Video
of	IN	of
alleged	JJ	alleged
tunnel	NN	tunnel
under	IN	under
al-Shifa,	NP	al-Shifa,
hostage	NN	hostage
deal	NN	deal
in	IN	in
the	DT	the
works	NNS	work
|	SYM	|
DW	JJ	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Gaza	NN	<thumbnail_path>en_DW\Gaza
update	NN	update
Video	NP	Video
of	IN	of
alleged	JJ	alleged
tunnel	NN	tunnel
under	IN	under
al-Shifa,	NP	al-Shifa,
hostage	NN	hostage
deal	NN	deal
in	IN	in
the	DT	the
works	VVZ	work
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231120</publish_date>	NN	<publish_date>20231120</publish_date>
<doc>	NN	<doc>
the	DT	the
Hamas	NN	Hamas
ran	VVD	run
Health	NP	Health
Ministry	NP	Ministry
in	IN	in
Gaza	NP	Gaza
says	VVZ	say
at	IN	at
least	JJS	least
12	CD	@card@
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
an	DT	an
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
in	IN	in
the	DT	the
Palestinian	JJ	Palestinian
territory	NN	territory
a	DT	a
spokesman	NN	spokesman
for	IN	for
the	DT	the
ministry	NN	ministry
said	VVD	say
the	DT	the
strike	NN	strike
hit	VVD	hit
the	DT	the
Indonesian	JJ	Indonesian
Hospital	NN	hospital
in	IN	in
the	DT	the
north	NN	north
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
the	DT	the
report	NN	report
comes	VVZ	come
after	IN	after
Israel's	NP	Israel's
military	NN	military
carried	VVD	carry
out	RP	out
another	DT	another
night	NN	night
of	IN	of
operations	NNS	operation
inside	IN	inside
Gaza	NP	Gaza
explosions	NNS	explosion
and	CC	and
flares	NNS	flare
were	VBD	be
seen	VVN	see
in	IN	in
the	DT	the
south	NN	south
of	IN	of
the	DT	the
region	NN	region
Israel's	NP	Israel's
Army	NP	Army
says	VVZ	say
its	PP$	its
missile	NN	missile
defenses	NNS	defense
system	NN	system
also	RB	also
shot	VVD	shoot
down	RP	down
a	DT	a
number	NN	number
of	IN	of
Rock	NP	Rock
it's	NNS	it's
coming	VVG	come
from	IN	from
Gaza	NP	Gaza
the	DT	the
Army	NP	Army
says	VVZ	say
it's	NNS	it's
stepping	VVG	step
up	RP	up
its	PP$	its
operations	NNS	operation
by	IN	by
targeting	VVG	target
additional	JJ	additional
neighborhoods	NNS	neighborhood
now	IN	now
let's	NNS	let's
get	VVP	get
more	JJR	more
on	IN	on
this	DT	this
with	IN	with
DW	NP	DW
correspondent	NN	correspondent
Tanya	NP	Tanya
kma	NN	kma
joining	VVG	join
us	PP	us
from	IN	from
Jerusalem	NP	Jerusalem
Tanya	NP	Tanya
has	VHZ	have
Israel	NP	Israel
reacted	VVD	react
to	TO	to
reports	NNS	report
of	IN	of
the	DT	the
strike	NN	strike
on	IN	on
the	DT	the
hospital	NN	hospital
today	NN	today
we	PP	we
have	VHP	have
not	RB	not
seen	VVN	see
a	DT	a
statement	NN	statement
yet	RB	yet
on	IN	on
the	DT	the
strike	NN	strike
of	IN	of
the	DT	the
hospital	NN	hospital
where	WRB	where
uh	UH	uh
we	PP	we
we've	VVP	we've
seen	VVN	see
some	DT	some
footage	NN	footage
that	WDT	that
reportedly	RB	reportedly
shows	VVZ	show
heavy	JJ	heavy
fighting	NN	fighting
around	IN	around
uh	UH	uh
the	DT	the
Indonesian	JJ	Indonesian
hospital	NN	hospital
that	WDT	that
is	VBZ	be
in	IN	in
the	DT	the
north	JJ	north
heavy	JJ	heavy
fighting	NN	fighting
has	VHZ	have
also	RB	also
been	VBN	be
reported	VVN	report
uh	UH	uh
from	IN	from
other	JJ	other
areas	NNS	area
as	IN	as
Israel's	NP	Israel's
Army	NP	Army
is	VBZ	be
uh	UH	uh
reportedly	RB	reportedly
moving	VVG	move
uh	UH	uh
you	PP	you
know	VVP	know
even	RB	even
deeper	JJR	deep
inside	IN	inside
some	DT	some
of	IN	of
the	DT	the
neighborhoods	NNS	neighborhood
uh	UH	uh
broadening	VVG	broaden
uh	UH	uh
the	DT	the
uh	UH	uh
also	RB	also
the	DT	the
operation	NN	operation
uh	UH	uh
of	IN	of
the	DT	the
ground	NN	ground
forces	NNS	force
but	CC	but
of	IN	of
course	NN	course
air	NN	air
strikes	NNS	strike
are	VBP	be
also	RB	also
uh	UH	uh
continuing	VVG	continue
they	PP	they
also	RB	also
have	VHP	have
been	VBN	be
reported	VVN	report
air	NN	air
strikes	NNS	strike
in	IN	in
the	DT	the
south	NN	south
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
uh	UH	uh
namely	RB	namely
in	IN	in
Rafa	NP	Rafa
this	DT	this
is	VBZ	be
the	DT	the
city	NN	city
on	IN	on
the	DT	the
southern	JJ	southern
end	NN	end
of	IN	of
uh	UH	uh
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
we	PP	we
are	VBP	be
also	RB	also
hearing	VVG	hear
you	PP	you
know	VVP	know
about	IN	about
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
by	IN	by
United	NP	United
Nations	NPS	Nations
agencies	NNS	agency
they're	NN	they're
saying	VVG	say
that	IN/that	that
about	RB	about
1.7	CD	@card@
million	CD	million
people	NNS	people
out	RB	out
of	IN	of
the	DT	the
2.2	CD	@card@
million	CD	million
residents	NNS	resident
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
are	VBP	be
now	RB	now
on	IN	on
the	DT	the
Move	VVP	move
have	VH	have
been	VBN	be
displaced	VVN	displace
uh	UH	uh
most	JJS	most
of	IN	of
them	PP	them
many	JJ	many
of	IN	of
them	PP	them
I	PP	I
have	VHP	have
to	TO	to
say	NN	say
went	VVD	go
to	TO	to
the	DT	the
South	NP	South
for	IN	for
safer	JJR	safe
areas	NNS	area
but	CC	but
air	NN	air
bombardment	NN	bombardment
of	IN	of
course	NN	course
there	EX	there
is	VBZ	be
also	RB	also
uh	UH	uh
ongoing	JJ	ongoing
and	CC	and
there's	RB	there's
also	RB	also
concern	VV	concern
now	RB	now
for	IN	for
another	DT	another
matter	NN	matter
because	IN	because
you	PP	you
know	VVP	know
there's	RB	there's
colder	JJR	cold
weather	NN	weather
now	RB	now
we've	NN	we've
seen	VVN	see
also	RB	also
pictures	NNS	picture
coming	VVG	come
out	RP	out
of	IN	of
Gaza	NP	Gaza
pouring	VVG	pour
rain	NN	rain
and	CC	and
many	JJ	many
people	NNS	people
are	VBP	be
there	RB	there
in	IN	in
shelters	NNS	shelter
that	WDT	that
are	VBP	be
overcrowded	VVN	overcrowd
so	IN	so
this	DT	this
is	VBZ	be
of	IN	of
course	NN	course
also	RB	also
a	DT	a
concern	NN	concern
for	IN	for
the	DT	the
humanitarian	JJ	humanitarian
uh	UH	uh
stakeholders	NNS	stakeholder
there	RB	there
um	NN	um
which	WDT	which
is	VBZ	be
already	RB	already
very	RB	very
dire	JJ	dire
um	NNS	um
until	IN	until
now	RB	now
now	RB	now
uh	UH	uh
the	DT	the
hostage	NN	hostage
negotiations	NNS	negotiation
seem	VVP	seem
to	TO	to
be	VB	be
underway	JJ	underway
have	VHP	have
you	PP	you
heard	VVN	hear
anything	NN	anything
about	IN	about
any	DT	any
progress	NN	progress
on	IN	on
these	DT	these
negotiations	NNS	negotiation
well	RB	well
there	EX	there
have	VHP	have
been	VBN	be
a	DT	a
lot	NN	lot
of	IN	of
reports	NNS	report
in	IN	in
the	DT	the
past	JJ	past
days	NNS	day
uh	UH	uh
also	RB	also
we've	NNS	we've
been	VBN	be
hearing	VVG	hear
uh	UH	uh
from	IN	from
Qatar	NP	Qatar
from	IN	from
officials	NNS	official
there	RB	there
saying	VVG	say
uh	UH	uh
that	IN/that	that
there	EX	there
are	VBP	be
ups	NNS	up
and	CC	and
downs	VVZ	down
uh	UH	uh
in	IN	in
the	DT	the
negotiations	NNS	negotiation
but	CC	but
that	IN/that	that
the	DT	the
sides	NNS	side
are	VBP	be
edging	VVG	edge
closer	RBR	closer
to	TO	to
a	DT	a
potential	JJ	potential
deal	NN	deal
but	CC	but
nothing	NN	nothing
seems	VVZ	seem
to	TO	to
be	VB	be
really	RB	really
tangible	JJ	tangible
right	RB	right
now	RB	now
so	IN	so
it's	NNS	it's
only	RB	only
a	DT	a
speculation	NN	speculation
how	WRB	how
such	JJ	such
a	DT	a
deal	NN	deal
are	NN	are
could	MD	could
look	VV	look
like	IN	like
qat	NN	qat
is	VBZ	be
the	DT	the
main	JJ	main
mediator	NN	mediator
between	IN	between
uh	UH	uh
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
and	CC	and
also	RB	also
United	NP	United
States	NPS	States
and	CC	and
Egypt	NP	Egypt
are	VBP	be
a	DT	a
stakeholders	NNS	stakeholder
as	IN	as
we	PP	we
understand	VVP	understand
in	IN	in
these	DT	these
negotiations	NNS	negotiation
so	IN	so
we	PP	we
understand	VVP	understand
from	IN	from
some	DT	some
reports	NNS	report
there	EX	there
could	MD	could
be	VB	be
up	RB	up
to	TO	to
50	CD	@card@
hostages	NNS	hostage
mainly	RB	mainly
women	NNS	woman
elderly	JJ	elderly
and	CC	and
children	NNS	child
that	WDT	that
could	MD	could
be	VB	be
released	VVN	release
uh	UH	uh
they	PP	they
should	MD	should
also	RB	also
be	VB	be
uh	UH	uh
uh	UH	uh
that's	NNS	that's
a	DT	a
demand	NN	demand
we	PP	we
understand	VVP	understand
by	IN	by
Hamas	VVG	Hamas
a	DT	a
a	DT	a
pause	NN	pause
in	IN	in
hostilities	NNS	hostility
because	IN	because
they	PP	they
also	RB	also
have	VH	have
to	TO	to
get	VV	get
all	PDT	all
the	DT	the
hostages	NNS	hostage
safe	JJ	safe
uh	UH	uh
uh	UH	uh
out	RP	out
and	CC	and
we	PP	we
also	RB	also
understand	VVP	understand
that	IN/that	that
Hamas	NP	Hamas
is	VBZ	be
asking	VVG	ask
but	CC	but
these	DT	these
are	VBP	be
all	DT	all
unconfirmed	JJ	unconfirmed
reports	NNS	report
I	PP	I
have	VHP	have
to	TO	to
stress	VV	stress
uh	UH	uh
that	WDT	that
uh	UH	uh
all	DT	all
female	JJ	female
prisoners	NNS	prisoner
and	CC	and
children	NNS	child
currently	RB	currently
being	VBG	be
held	VVN	hold
in	IN	in
Israeli	JJ	Israeli
prisons	NNS	prison
uh	UH	uh
should	MD	should
be	VB	be
released	VVN	release
but	CC	but
again	RB	again
you	PP	you
know	VVP	know
for	IN	for
the	DT	the
moment	NN	moment
uh	UH	uh
we	PP	we
know	VVP	know
that	IN/that	that
negotiations	NNS	negotiation
are	VBP	be
ongoing	JJ	ongoing
but	CC	but
it's	JJ	it's
unclear	JJ	unclear
uh	UH	uh
when	WRB	when
they	PP	they
will	MD	will
materialize	VV	materialize
into	IN	into
a	DT	a
deal	NN	deal
DS	NP	DS
Tanya	NP	Tanya
K	NP	K
there	RB	there
reporting	VVG	report
from	IN	from
Jerusalem	NP	Jerusalem
thank	VV	thank
you	PP	you
Tanya	NP	Tanya
Israel	NP	Israel
has	VHZ	have
released	VVN	release
video	NN	video
it	PP	it
says	VVZ	say
proofs	NNS	proof
that	IN/that	that
Hamas	JJ	Hamas
militants	NNS	militant
used	VVD	use
gaza's	NP	gaza's
alifa	NP	alifa
Hospital	NP	Hospital
in	IN	in
connection	NN	connection
with	IN	with
the	DT	the
October	NP	October
7th	JJ	7th
Terror	NN	terror
attacks	NNS	attack
it	PP	it
says	VVZ	say
the	DT	the
footage	NN	footage
shows	VVZ	show
hostages	NNS	hostage
being	VBG	be
brought	VVN	bring
into	IN	into
the	DT	the
hospital	NN	hospital
Israel's	NP	Israel's
Defense	NP	Defense
Forces	NPS	Forces
have	VHP	have
also	RB	also
released	VVN	release
a	DT	a
video	NN	video
of	IN	of
a	DT	a
tunnel	NN	tunnel
running	VVG	run
under	IN	under
the	DT	the
hospital	NN	hospital
officials	NNS	official
from	IN	from
the	DT	the
Hamas	NN	Hamas
ran	VVD	run
health	NN	health
authority	NN	authority
deny	VVP	deny
that	IN/that	that
alifa	NN	alifa
sits	VVZ	sit
at	IN	at
top	NN	top
a	DT	a
Hamas	JJ	Hamas
command	NN	command
and	CC	and
control	NN	control
center	NN	center
the	DT	the
Israel	NP	Israel
Defense	NP	Defense
Forces	NPS	Forces
have	VHP	have
released	VVN	release
this	DT	this
footage	NN	footage
they	PP	they
say	VVP	say
shows	VVZ	show
a	DT	a
tunnel	NN	tunnel
under	IN	under
Gaza	NP	Gaza
alifa	NP	alifa
Hospital	NP	Hospital
the	DT	the
IDF	NP	IDF
says	VVZ	say
the	DT	the
55	CD	@card@
M	NP	M
long	JJ	long
shaft	NN	shaft
ends	VVZ	end
with	IN	with
a	DT	a
blast	NN	blast
prooof	JJ	prooof
door	NN	door
but	CC	but
did	VVD	do
not	RB	not
say	VV	say
what	WP	what
is	VBZ	be
behind	IN	behind
it	PP	it
this	DT	this
footage	NN	footage
has	VHZ	have
not	RB	not
been	VBN	be
independently	RB	independently
verified	VVN	verify
the	DT	the
IDF	NP	IDF
also	RB	also
released	VVD	release
video	NN	video
of	IN	of
what	WP	what
it	PP	it
says	VVZ	say
are	VBP	be
hostages	NNS	hostage
taken	VVN	take
from	IN	from
Israel	NP	Israel
entering	VVG	enter
the	DT	the
hospital	NN	hospital
the	DT	the
footage	NN	footage
appears	VVZ	appear
to	TO	to
to	TO	to
be	VB	be
date	NN	date
stamped	VVN	stamp
October	NP	October
the	DT	the
7th	JJ	7th
the	DT	the
day	NN	day
of	IN	of
the	DT	the
Hamas	NN	Hamas
attacks	VVZ	attack
the	DT	the
Israel	NP	Israel
Defense	NP	Defense
Forces	NP	Forces
has	VHZ	have
a	DT	a
moral	JJ	moral
obligation	NN	obligation
to	TO	to
bring	VV	bring
everyone	NN	everyone
everyone	NN	everyone
of	IN	of
our	PP$	our
hostages	NNS	hostage
home	NN	home
we	PP	we
will	MD	will
not	RB	not
rest	VV	rest
until	IN	until
we	PP	we
do	VVP	do
Hamas	NP	Hamas
was	VBD	be
hiding	VVG	hide
and	CC	and
murdering	VVG	murder
our	PP$	our
hostages	NNS	hostage
in	IN	in
chifa	NN	chifa
hospital	NN	hospital
Hamas	NNS	Hamas
was	VBD	be
building	VVG	build
Terror	NN	terror
tunnels	NNS	tunnel
underneath	IN	underneath
shifa	NP	Shifa
Hospital	NP	Hospital
ham	NN	ham
is	VBZ	be
designated	VVN	designate
as	IN	as
a	DT	a
terrorist	JJ	terrorist
group	NN	group
by	IN	by
the	DT	the
US	NP	US
and	CC	and
EU	NP	EU
among	IN	among
others	NNS	other
military	JJ	military
experts	NNS	expert
say	VVP	say
the	DT	the
way	NN	way
Hamas	NN	Hamas
operates	VVZ	operate
makes	VVZ	make
it	PP	it
difficult	JJ	difficult
for	IN	for
the	DT	the
IDF	NP	IDF
to	TO	to
provide	VV	provide
proof	NN	proof
of	IN	of
their	PP$	their
operations	NNS	operation
Hamas	NN	Hamas
denies	VVZ	deny
Israel's	NNS	Israel's
claim	VVP	claim
that	IN/that	that
they	PP	they
have	VHP	have
used	VVN	use
the	DT	the
hospital	NN	hospital
as	IN	as
cover	NN	cover
for	IN	for
a	DT	a
military	JJ	military
command	NN	command
center	NN	center
a	DT	a
claim	NN	claim
that	IN/that	that
the	DT	the
hospital	NN	hospital
staff	NN	staff
also	RB	also
deny	VVP	deny
this	DT	this
footage	NN	footage
was	VBD	be
released	VVN	release
by	IN	by
the	DT	the
Hamas	NNS	Hamas
run	VVP	run
Gaza	NP	Gaza
Health	NP	Health
Ministry	NP	Ministry
after	IN	after
the	DT	the
raid	NN	raid
on	IN	on
shifa	NN	shifa
since	IN	since
October	NP	October
7th	JJ	7th
thousands	NNS	thousand
of	IN	of
gazin	NN	gazin
have	VHP	have
fled	VVN	flee
to	TO	to
hospitals	NNS	hospital
in	IN	in
the	DT	the
hope	NN	hope
of	IN	of
finding	VVG	find
protection	NN	protection
from	IN	from
Israel's	NP	Israel's
bombardment	NN	bombardment
Israel's	NP	Israel's
attacks	NNS	attack
on	IN	on
alifa	NN	alifa
have	VHP	have
drawn	VVN	draw
Global	JJ	global
condemnation	NN	condemnation
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
has	VHZ	have
called	VVN	call
it	PP	it
a	DT	a
death	NN	death
zone	NN	zone
doctors	NNS	doctor
say	VVP	say
Israeli	JJ	Israeli
troops	NNS	troop
smashed	VVD	smash
medical	JJ	medical
equipment	NN	equipment
and	CC	and
are	VBP	be
restricting	VVG	restrict
their	PP$	their
access	NN	access
to	TO	to
water	VV	water
unfortunately	RB	unfortunately
we	PP	we
lost	VVD	lose
two	CD	two
patients	NNS	patient
overnight	RB	overnight
this	DT	this
night	NN	night
uh	UH	uh
so	RB	so
it's	NNS	it's
to	TO	to
like	VV	like
you	PP	you
know	VV	know
nonhuman	NN	nonhuman
place	NN	place
to	TO	to
live	VV	live
in	IN	in
it's	NNS	it's
totally	RB	totally
full	JJ	full
of	IN	of
rubbish	JJ	rubbish
waste	NN	waste
everywhere	RB	everywhere
we	PP	we
are	VBP	be
not	RB	not
allowed	VVN	allow
to	TO	to
get	VV	get
out	RP	out
of	IN	of
the	DT	the
buildings	NNS	building
the	DT	the
Israelis	NNS	Israeli
keep	VV	keep
uh	UH	uh
you	PP	you
know	VVP	know
just	RB	just
promising	JJ	promising
that	IN/that	that
they	PP	they
will	MD	will
provide	VV	provide
us	PP	us
with	IN	with
more	RBR	more
and	CC	and
more	RBR	more
but	CC	but
it's	NNS	it's
not	RB	not
happening	VVG	happen
International	NP	International
groups	NNS	group
including	VVG	include
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
say	VVP	say
Israel's	NP	Israel's
order	NN	order
to	TO	to
evacuate	VV	evacuate
patients	NNS	patient
is	VBZ	be
a	DT	a
