<video_id>keANY7X6oKI</video_id>	JJ	<video_id>keANY7X6oKI</video_id>
<video_title>German-Israeli	NNS	<video_title>German-Israeli
among	IN	among
hostage	NN	hostage
bodies	NNS	body
recovered	VVN	recover
in	IN	in
Gaza	NP	Gaza
|	SYM	|
DW	JJ	DW
News</video_title>	JJ	News</video_title>
<thumbnail_path>en_DW\German-Israeli	NNS	<thumbnail_path>en_DW\German-Israeli
among	IN	among
hostage	NN	hostage
bodies	NNS	body
recovered	VVN	recover
in	IN	in
Gaza	NP	Gaza
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20240517</publish_date>	NP	<publish_date>20240517</publish_date>
<doc>	NP	<doc>
Israel's	NP	Israel's
military	NN	military
says	VVZ	say
that	IN/that	that
it	PP	it
has	VHZ	have
found	VVN	find
the	DT	the
bodies	NNS	body
of	IN	of
three	CD	three
Israeli	JJ	Israeli
hostages	NNS	hostage
in	IN	in
Gaza	NP	Gaza
among	IN	among
them	PP	them
are	VBP	be
German	JJ	German
Israeli	NP	Israeli
Shaunie	NP	Shaunie
L	NP	L
who	WP	who
was	VBD	be
presumed	VVN	presume
to	TO	to
be	VB	be
dead	JJ	dead
after	IN	after
images	NNS	image
of	IN	of
her	PP$	her
Twisted	JJ	twisted
body	NN	body
in	IN	in
the	DT	the
back	NN	back
of	IN	of
a	DT	a
pickup	NN	pickup
truck	NN	truck
were	VBD	be
seen	VVN	see
during	IN	during
the	DT	the
October	NP	October
7th	JJ	7th
terrorist	JJ	terrorist
attack	NN	attack
a	DT	a
military	JJ	military
spokesman	NN	spokesman
said	VVD	say
that	IN/that	that
the	DT	the
three	CD	three
were	VBD	be
killed	VVN	kill
by	IN	by
Hamas	NNS	Hamas
at	IN	at
the	DT	the
Nova	NP	Nova
music	NN	music
festival	NN	festival
and	CC	and
then	RB	then
their	PP$	their
bodies	NNS	body
were	VBD	be
taken	VVN	take
into	IN	into
Gaza	NP	Gaza
here	RB	here
is	VBZ	be
more	JJR	more
from	IN	from
the	DT	the
Israeli	JJ	Israeli
spokesman	NN	spokesman
they	PP	they
were	VBD	be
celebrating	VVG	celebrate
life	NN	life
in	IN	in
the	DT	the
Nova	NP	Nova
music	NN	music
festival	NN	festival
and	CC	and
they	PP	they
were	VBD	be
murdered	VVN	murder
by	IN	by
Hamas	VVG	Hamas
their	PP$	their
bodies	NNS	body
were	VBD	be
transferred	VVN	transfer
to	TO	to
Medical	NP	Medical
Professional	NP	Professional
for	IN	for
forensic	JJ	forensic
examination	NN	examination
and	CC	and
identification	NN	identification
after	IN	after
the	DT	the
procedure	NN	procedure
was	VBD	be
completed	VVN	complete
we	PP	we
notified	VVD	notify
their	PP$	their
families	NNS	family
our	PP$	our
hearts	NNS	heart
go	VVP	go
out	RP	out
to	TO	to
them	PP	them
all	DT	all
right	NN	right
I	PP	I
want	VVP	want
to	TO	to
go	VV	go
now	RB	now
to	TO	to
our	PP$	our
special	JJ	special
correspondent	NN	correspondent
a	DT	a
