<video_id>9uLG_9kDAQs</video_id>	JJ	<video_id>9uLG_9kDAQs</video_id>
<video_title>Germany	NN	<video_title>Germany
'supports	NNS	'supports
Israel's	NP	Israel's
right	NN	right
to	TO	to
defend	VV	defend
itself,'	NP	itself,'
says	VVZ	say
vice	JJ	vice
chancellor	NN	chancellor
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Germany	NP	<thumbnail_path>en_DW\Germany
'supports	VVZ	'supports
Israel's	NP	Israel's
right	NN	right
to	TO	to
defend	VV	defend
itself,'	NP	itself,'
says	VVZ	say
vice	JJ	vice
chancellor	NN	chancellor
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231015</publish_date>	NN	<publish_date>20231015</publish_date>
<doc>	NN	<doc>
Germany's	NP	Germany's
Vice	NP	Vice
Chancellor	NP	Chancellor
Robert	NP	Robert
haboc	NN	haboc
has	VHZ	have
condemned	VVN	condemn
the	DT	the
attacks	NNS	attack
by	IN	by
the	DT	the
Hamas	JJ	Hamas
terrorist	JJ	terrorist
group	NN	group
and	CC	and
expressed	VVD	express
his	PP$	his
country's	JJ	country's
steadfast	JJ	steadfast
support	NN	support
for	IN	for
Israel	NP	Israel
he	PP	he
said	VVD	say
Israel	NP	Israel
has	VHZ	have
every	DT	every
right	NN	right
to	TO	to
defend	VV	defend
itself	PP	itself
here's	NNS	here's
what	WP	what
he	PP	he
had	VHD	have
to	TO	to
for	IN	for
build	VVN	build
bu	NN	bu
by	IN	by
and	CC	and
for	IN	for
more	JJR	more
on	IN	on
this	DT	this
and	CC	and
what	WP	what
I	PP	I
think	VVP	think
were	VBD	be
really	RB	really
heartfelt	JJ	heartfelt
words	NNS	word
from	IN	from
Robert	NP	Robert
H	NP	H
I'm	NP	I'm
joined	VVD	join
in	IN	in
our	PP$	our
studio	NN	studio
by	IN	by
DW	NP	DW
correspondent	NN	correspondent
Hance	NP	Hance
Brandt	NP	Brandt
uh	UH	uh
what	WP	what
kind	NN	kind
of	IN	of
reactions	NNS	reaction
have	VHP	have
there	RB	there
been	VBN	be
to	TO	to
this	DT	this
statement	NN	statement
so	RB	so
far	RB	far
it's	NNS	it's
been	VBN	be
very	RB	very
positive	JJ	positive
in	IN	in
in	IN	in
German	JJ	German
political	JJ	political
circles	NNS	circle
the	DT	the
reaction	NN	reaction
there	EX	there
have	VHP	have
even	RB	even
been	VBN	be
very	RB	very
positive	JJ	positive
reactions	NNS	reaction
from	IN	from
opposition	NN	opposition
politicians	NNS	politician
that's	NNS	that's
an	DT	an
unusual	JJ	unusual
thing	NN	thing
for	IN	for
a	DT	a
green	JJ	green
politician	NN	politician
at	IN	at
the	DT	the
moment	NN	moment
because	IN	because
the	DT	the
greens	NNS	green
are	VBP	be
being	VBG	be
very	RB	very
harshly	RB	harshly
attacked	VVN	attack
by	IN	by
politically	RB	politically
on	IN	on
all	DT	all
sorts	NNS	sort
of	IN	of
issues	NNS	issue
by	IN	by
the	DT	the
opposition	NN	opposition
at	IN	at
the	DT	the
moment	NN	moment
so	IN	so
it's	NNS	it's
been	VBN	be
remarkable	JJ	remarkable
the	DT	the
the	DT	the
positive	JJ	positive
uh	UH	uh
reactions	NNS	reaction
to	TO	to
this	DT	this
um	NNS	um
I	PP	I
think	VVP	think
what	WP	what
has	VHZ	have
to	TO	to
say	VV	say
is	VBZ	be
that	IN/that	that
we	PP	we
are	VBP	be
talking	VVG	talk
here	RB	here
about	RB	about
in	IN	in
some	DT	some
sense	NN	sense
a	DT	a
very	RB	very
German	JJ	German
discussion	NN	discussion
the	DT	the
last	JJ	last
two	CD	two
words	NNS	word
that	DT	that
uh	UH	uh
harck	NN	harck
uses	VVZ	use
there	RB	there
KN	NP	KN
VA	NP	VA
never	RB	never
again	RB	again
that's	JJ	that's
kind	NN	kind
of	IN	of
the	DT	the
headline	NN	headline
under	IN	under
which	WDT	which
German	JJ	German
