<video_id>QSkmMuDOlvE</video_id>	JJ	<video_id>QSkmMuDOlvE</video_id>
<video_title>How	NN	<video_title>How
Asian	JJ	Asian
countries	NNS	country
are	VBP	be
reacting	VVG	react
to	TO	to
the	DT	the
Israel-Hamas	JJ	Israel-Hamas
conflict	NN	conflict
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\How	NN	<thumbnail_path>en_DW\How
Asian	JJ	Asian
countries	NNS	country
are	VBP	be
reacting	VVG	react
to	TO	to
the	DT	the
Israel-Hamas	JJ	Israel-Hamas
conflict	NN	conflict
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231012</publish_date>	NN	<publish_date>20231012</publish_date>
<doc>	NN	<doc>
beish	NP	Beish
how	WRB	how
would	MD	would
you	PP	you
describe	VV	describe
the	DT	the
reactions	NNS	reaction
to	TO	to
this	DT	this
conflict	NN	conflict
across	IN	across
Asia	NP	Asia
I	PP	I
think	VVP	think
overall	RB	overall
there	EX	there
is	VBZ	be
a	DT	a
lot	NN	lot
of	IN	of
concern	NN	concern
in	IN	in
the	DT	the
region	NN	region
amongst	IN	amongst
capitals	NNS	capital
in	IN	in
the	DT	the
region	NN	region
as	IN	as
to	TO	to
how	WRB	how
this	DT	this
conflict	NN	conflict
started	VVD	start
and	CC	and
where	WRB	where
it	PP	it
is	VBZ	be
headed	VVN	head
uh	UH	uh
but	CC	but
a	DT	a
lot	NN	lot
of	IN	of
this	DT	this
concern	NN	concern
is	VBZ	be
also	RB	also
being	VBG	be
manifested	VVN	manifest
in	IN	in
the	DT	the
form	NN	form
of	IN	of
support	NN	support
for	IN	for
one	CD	one
side	NN	side
of	IN	of
the	DT	the
other	JJ	other
so	RB	so
for	IN	for
example	NN	example
you	PP	you
look	VVP	look
at	IN	at
countries	NNS	country
like	IN	like
India	NP	India
Singapore	NP	Singapore
and	CC	and
the	DT	the
Philippines	NPS	Philippine
who	WP	who
seem	VVP	seem
to	TO	to
be	VB	be
firmly	RB	firmly
on	IN	on
the	DT	the
side	NN	side
of	IN	of
Israel	NP	Israel
particularly	RB	particularly
for	IN	for
India	NP	India
it's	NNS	it's
a	DT	a
matter	NN	matter
of	IN	of
uh	UH	uh
count	VV	count
ing	JJ	ing
terrorism	NN	terrorism
and	CC	and
being	VBG	be
against	IN	against
terrorism	NN	terrorism
and	CC	and
you	PP	you
also	RB	also
see	VVP	see
that	IN/that	that
these	DT	these
three	CD	three
countries	NNS	country
in	IN	in
particular	JJ	particular
are	VBP	be
also	RB	also
aligned	VVN	align
to	TO	to
the	DT	the
United	NP	United
States	NPS	States
so	IN	so
that	WDT	that
is	VBZ	be
another	DT	another
threat	NN	threat
there	EX	there
that	RB	that
is	VBZ	be
interesting	JJ	interesting
and	CC	and
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
you	PP	you
have	VHP	have
countries	NNS	country
like	IN	like
we	PP	we
saw	VVD	see
in	IN	in
the	DT	the
report	NN	report
we	PP	we
have	VH	have
Indonesia	NP	Indonesia
Bangladesh	NP	Bangladesh
and	CC	and
Pakistan	NP	Pakistan
where	WRB	where
the	DT	the
pro	JJ	pro
Palestine	NP	Palestine
sentiment	NN	sentiment
amongst	IN	amongst
the	DT	the
people	NNS	people
is	VBZ	be
so	RB	so
high	JJ	high
and	CC	and
has	VHZ	have
always	RB	always
been	VBN	be
so	RB	so
that	IN/that	that
they	PP	they
appear	VVP	appear
to	TO	to
be	VB	be
firmly	RB	firmly
on	IN	on
the	DT	the
side	NN	side
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
and	CC	and
Palestinian	JJ	Palestinian
rights	NNS	right
and	CC	and
then	RB	then
you	PP	you
have	VHP	have
certain	JJ	certain
countries	NNS	country
like	IN	like
Thailand	NP	Thailand
for	IN	for
instance	NN	instance
which	WDT	which
appear	VVP	appear
neutral	JJ	neutral
and	CC	and
remain	VV	remain
neutral	JJ	neutral
now	RB	now
which	WDT	which
citizens	NNS	citizen
of	IN	of
which	WDT	which
countries	NNS	country
do	VVP	do
we	PP	we
know	VVP	know
have	VH	have
been	VBN	be
caught	VVN	catch
up	RP	up
in	IN	in
this	DT	this
conflict	NN	conflict
Thailand	NP	Thailand
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
worst	JJS	bad
affected	VVN	affect
because	IN	because
Thailand	NP	Thailand
has	VHZ	have
lost	VVN	lose
some	DT	some
21	CD	@card@
Nationals	NNS	national
so	RB	so
far	RB	far
based	VVN	base
on	IN	on
latest	JJS	late
reports	NNS	report
and	CC	and
there	EX	there
is	VBZ	be
11	CD	@card@
Nationals	NNS	national
who	WP	who
appear	VVP	appear
to	TO	to
be	VB	be
in	IN	in
the	DT	the
custody	NN	custody
of	IN	of
Hamas	NP	Hamas
and	CC	and
I	PP	I
know	VVP	know
I	PP	I
don't	VVD	don't
know	VV	know
if	IN	if
many	JJ	many
people	NNS	people
know	VVP	know
this	DT	this
but	CC	but
there's	RB	there's
roughly	RB	roughly
between	IN	between
4,500	CD	@card@
to	TO	to
30,000	CD	@card@
Tha	NP	tha
Nationals	NNS	national
who	WP	who
work	VVP	work
in	IN	in
Israel	NP	Israel
so	IN	so
it	PP	it
is	VBZ	be
so	RB	so
the	DT	the
the	DT	the
hostage	NN	hostage
issue	NN	issue
particularly	RB	particularly
is	VBZ	be
a	DT	a
big	JJ	big
problem	NN	problem
for	IN	for
the	DT	the
Tyre	NP	Tyre
government	NN	government
trying	VVG	try
to	TO	to
bring	VV	bring
its	PP$	its
citizens	NNS	citizen
back	RB	back
from	IN	from
Gaza	NP	Gaza
and	CC	and
what	WP	what
the	DT	the
Tha	NP	tha
government	NN	government
has	VHZ	have
already	RB	already
done	VVN	do
is	VBZ	be
trying	VVG	try
to	TO	to
bring	VV	bring
back	JJ	back
citizens	NNS	citizen
from	IN	from
Israel	NP	Israel
who	WP	who
would	MD	would
like	VV	like
to	TO	to
come	VV	come
back	NN	back
to	TO	to
uh	UH	uh
Thailand	NP	Thailand
and	CC	and
then	RB	then
you	PP	you
also	RB	also
have	VHP	have
in	IN	in
the	DT	the
same	JJ	same
way	NN	way
citizens	NNS	citizen
of	IN	of
countries	NNS	country
like	IN	like
the	DT	the
Philippines	NPS	Philippine
and	CC	and
India	NP	India
there's	NPS	there's
something	NN	something
like	IN	like
30,000	CD	@card@
Filipinos	NPS	Filipinos
who	WP	who
work	VVP	work
in	IN	in
Israel	NP	Israel
and	CC	and
the	DT	the
Filipino	NP	Filipino
government	NN	government
has	VHZ	have
set	VVN	set
up	RP	up
a	DT	a
task	NN	task
force	NN	force
to	TO	to
coordinate	VV	coordinate
with	IN	with
Filipinos	NPS	Filipinos
the	DT	the
the	DT	the
Indian	JJ	Indian
government	NN	government
has	VHZ	have
uh	UH	uh
set	NN	set
up	IN	up
uh	UH	uh
has	VHZ	have
started	VVN	start
an	DT	an
operation	NN	operation
and	CC	and
started	VVD	start
efforts	NNS	effort
to	TO	to
bring	VV	bring
back	RB	back
any	DT	any
of	IN	of
the	DT	the
18,000	CD	@card@
th	NN	th
Indians	NPS	Indians
who	WP	who
would	MD	would
like	VV	like
to	TO	to
come	VV	come
back	VV	back
uh	UH	uh
to	TO	to
India	NP	India
and	CC	and
then	RB	then
you	PP	you
also	RB	also
have	VHP	have
China	NP	China
which	WDT	which
is	VBZ	be
reporting	VVG	report
that	IN/that	that
three	CD	three
of	IN	of
its	PP$	its
Nationals	NNS	national
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
these	DT	these
attacks	NNS	attack
in	IN	in
Israel	NP	Israel
you	PP	you
talk	VVP	talk
you	PP	you
just	RB	just
mentioned	VVD	mention
China	NP	China
What's	NP	What's
China's	NPS	China's
uh	UH	uh
uh	UH	uh
reaction	NN	reaction
in	IN	in
general	NN	general
I	PP	I
mean	VVP	mean
the	DT	the
Chinese	JJ	Chinese
reaction	NN	reaction
is	VBZ	be
very	RB	very
interesting	JJ	interesting
because	IN	because
just	RB	just
a	DT	a
few	JJ	few
days	NNS	day
back	RB	back
they	PP	they
urged	VVD	urge
calm	NN	calm
and	CC	and
restrained	VVD	restrain
it	PP	it
was	VBD	be
a	DT	a
rather	RB	rather
muted	JJ	muted
statement	NN	statement
and	CC	and
then	RB	then
today	NN	today
a	DT	a
new	JJ	new
statement	NN	statement
appeared	VVD	appear
in	IN	in
which	WDT	which
it	PP	it
appeared	VVD	appear
that	IN/that	that
China	NP	China
was	VBD	be
offering	VVG	offer
itself	PP	itself
as	IN	as
a	DT	a
mediator	NN	mediator
and	CC	and
it's	NNS	it's
really	RB	really
not	RB	not
a	DT	a
surprise	NN	surprise
because	IN	because
China	NP	China
has	VHZ	have
been	VBN	be
aiming	VVG	aim
for	IN	for
that	DT	that
position	NN	position
of	IN	of
a	DT	a
mediator	NN	mediator
an	DT	an
honest	JJ	honest
broker	NN	broker
of	IN	of
sorts	NNS	sort
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
to	TO	to
try	VV	try
and	CC	and
mediate	VV	mediate
Not	RB	not
Just	RB	just
Between	IN	between
the	DT	the
Israelis	NPS	Israelis
and	CC	and
the	DT	the
Palestinians	NNS	Palestinian
with	IN	with
whom	WP	whom
China	NP	China
does	VVZ	do
have	VH	have
good	JJ	good
relations	NNS	relation
in	IN	in
fact	NN	fact
in	IN	in
June	NP	June
itself	PP	itself
China	NP	China
signed	VVD	sign
a	DT	a
strategic	JJ	strategic
partnership	NN	partnership
with	IN	with
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
and	CC	and
you	PP	you
also	RB	also
have	VHP	have
good	JJ	good
Chinese	JJ	Chinese
relations	NNS	relation
with	IN	with
the	DT	the
Israelis	NPS	Israelis
as	RB	as
well	RB	well
China	NP	China
Investing	NN	investing
billions	NNS	billion
of	IN	of
dollars	NNS	dollar
over	IN	over
more	JJR	more
than	IN	than
a	DT	a
decade	NN	decade
in	IN	in
infrastructure	NN	infrastructure
particularly	RB	particularly
in	IN	in
Israel	NP	Israel
so	IN	so
you	PP	you
have	VHP	have
China	NP	China
trying	VVG	try
to	TO	to
take	VV	take
the	DT	the
position	NN	position
of	IN	of
an	DT	an
honest	JJ	honest
broker	NN	broker
and	CC	and
try	VV	try
and	CC	and
uh	UH	uh
move	VV	move
the	DT	the
us	PP	us
out	RB	out
of	IN	of
its	PP$	its
dominant	JJ	dominant
position	NN	position
as	IN	as
a	DT	a
mediator	NN	mediator
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
and	CC	and
that	DT	that
is	VBZ	be
what	WP	what
how	WRB	how
the	DT	the
Chinese	JJ	Chinese
statement	NN	statement
should	MD	should
be	VB	be
viewed	VVN	view
y	NP	y
beny	NN	beny
there	RB	there
from	IN	from
DW	NN	DW
news	NN	news
Asia	NP	Asia
thank	VVP	thank
you	PP	you
very	RB	very
much	JJ	much
</doc>	NN	</doc>
