seated	VVN	seat
the	DT	the
sitting	VVG	sit
is	VBZ	be
open	RB	open
the	DT	the
court	NN	court
meets	VVZ	meet
this	DT	this
morning	NN	morning
to	TO	to
hear	VV	hear
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
present	VVP	present
its	PP$	its
single	JJ	single
round	NN	round
of	IN	of
oral	JJ	oral
argument	NN	argument
on	IN	on
the	DT	the
request	NN	request
for	IN	for
the	DT	the
indication	NN	indication
of	IN	of
provisional	JJ	provisional
measures	NNS	measure
submitted	VVN	submit
by	IN	by
the	DT	the
Republic	NP	Republic
of	IN	of
South	NP	South
afca	NP	afca
Africa	NP	Africa
on	IN	on
29	CD	@card@
December	NP	December
2023	CD	@card@
in	IN	in
the	DT	the
case	NN	case
concerning	VVG	concern
application	NN	application
of	IN	of
the	DT	the
convention	NN	convention
on	IN	on
the	DT	the
prevention	NN	prevention
and	CC	and
Punishment	NN	punishment
of	IN	of
the	DT	the
crime	NN	crime
of	IN	of
genocide	NN	genocide
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
South	NP	South
Africa	NP	Africa
versus	CC	versus
Israel	NP	Israel
I	PP	I
shall	MD	shall
now	RB	now
give	VV	give
the	DT	the
floor	NN	floor
to	TO	to
the	DT	the
co	NN	Co
-	NN	-
agent	NN	agent
of	IN	of
Israel	NP	Israel
Mr	NP	Mr
T	NN	T
Becker	NP	Becker
you	PP	you
have	VHP	have
the	DT	the
floor	NN	floor
exy	NN	exy
Madame	NN	Madame
President	NP	President
distinguished	VVD	distinguish
members	NNS	member
of	IN	of
the	DT	the
Court	NP	Court
it	PP	it
is	VBZ	be
an	DT	an
honor	NN	honor
to	TO	to
appear	VV	appear
before	IN	before
you	PP	you
again	RB	again
on	IN	on
behalf	NN	behalf
of	IN	of
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
is	VBZ	be
singularly	RB	singularly
aware	JJ	aware
of	IN	of
why	WRB	why
the	DT	the
genocide	NN	genocide
convention	NN	convention
which	WDT	which
has	VHZ	have
been	VBN	be
invoked	VVN	invoke
in	IN	in
these	DT	these
procceedings	NNS	procceedings
was	VBD	be
adopted	VVN	adopt
seared	VVN	sear
in	IN	in
our	PP$	our
Collective	JJ	collective
memory	NN	memory
is	VBZ	be
the	DT	the
systematic	JJ	systematic
murder	NN	murder
of	IN	of
6	CD	@card@
million	CD	million
Jews	NNS	jew
as	IN	as
part	NN	part
of	IN	of
a	DT	a
premeditated	VVN	premeditate
and	CC	and
heinous	JJ	heinous
program	NN	program
for	IN	for
their	PP$	their
total	JJ	total
Annihilation	NN	annihilation
given	VVN	give
the	DT	the
Jewish	JJ	Jewish
people	NNS	people
'	POS	'
s	NN	S
history	NN	history
and	CC	and
its	PP$	its
foundational	JJ	foundational
texts	NNS	text
it	PP	it
is	VBZ	be
not	RB	not
surprising	JJ	surprising
that	IN/that	that
Israel	NP	Israel
was	VBD	be
among	IN	among
the	DT	the
first	JJ	first
states	NNS	state
to	TO	to
ratify	VV	ratify
the	DT	the
genocide	NN	genocide
convention	NN	convention
without	IN	without
reservation	NN	reservation
and	CC	and
to	TO	to
incorporate	VV	incorporate
its	PP$	its
Provisions	NNS	provision
in	IN	in
its	PP$	its
domestic	JJ	domestic
legislation	NN	legislation
for	IN	for
some	DT	some
the	DT	the
promise	NN	promise
of	IN	of
never	RB	never
again	RB	again
for	IN	for
all	DT	all
peoples	NNS	people
is	VBZ	be
a	DT	a
slogan	NN	slogan
for	IN	for
Israel	NP	Israel
it	PP	it
is	VBZ	be
the	DT	the
highest	JJS	high
moral	JJ	moral
obligation	NN	obligation
ation	NN	ation
rapael	NP	rapael
Lin	NP	Lin
a	DT	a
polish	NN	polish
jew	NN	jew
who	WP	who
witnessed	VVD	witness
the	DT	the
Unspeakable	JJ	unspeakable
horrors	NNS	horror
of	IN	of
the	DT	the
Holocaust	NN	holocaust
is	VBZ	be
credited	VVN	credit
with	IN	with
coining	VVG	coin
the	DT	the
term	NN	term
genocide	NN	genocide
he	PP	he
helped	VVD	help
the	DT	the
world	NN	world
recognize	VVP	recognize
that	IN/that	that
the	DT	the
existing	JJ	existing
legal	JJ	legal
lexicon	NN	lexicon
was	VBD	be
simply	RB	simply
inadequate	JJ	inadequate
to	TO	to
capture	VV	capture
the	DT	the
devastating	JJ	devastating
evil	NN	evil
that	IN/that	that
the	DT	the
Nazi	JJ	Nazi
Holocaust	NN	holocaust
unleashed	VVD	unleash
the	DT	the
applicant	NN	applicant
