<video_id>QoRa4xRxC1U</video_id>	NP	<video_id>QoRa4xRxC1U</video_id>
<video_title>Israel	NP	<video_title>Israel
denies	VVZ	deny
reports	NNS	report
of	IN	of
ceasefire	NN	ceasefire
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
|	SYM	|
DW	NP	DW
News</video_title>	NP	News</video_title>
<thumbnail_path>en_DW\Israel	NP	<thumbnail_path>en_DW\Israel
denies	VVZ	deny
reports	NNS	report
of	IN	of
ceasefire	NN	ceasefire
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
DW	NP	DW
News.jpg</thumbnail_path>	NP	News.jpg</thumbnail_path>
<publish_date>20231016</publish_date>	NP	<publish_date>20231016</publish_date>
<doc>	NP	<doc>
Israel	NP	Israel
is	VBZ	be
denying	VVG	deny
reports	NNS	report
of	IN	of
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
to	TO	to
allow	VV	allow
foreign	JJ	foreign
Nationals	NNS	national
to	TO	to
flee	VV	flee
for	IN	for
Egypt	NP	Egypt
some	DT	some
media	NNS	medium
Outlets	NNS	outlet
had	VHD	have
said	VVN	say
the	DT	the
ruer	NN	ruer
border	NN	border
crossing	NN	crossing
was	VBD	be
about	RB	about
to	TO	to
be	VB	be
opened	VVN	open
to	TO	to
allow	VV	allow
people	NNS	people
to	TO	to
leave	VV	leave
and	CC	and
Aid	NP	Aid
to	TO	to
enter	VV	enter
the	DT	the
besieged	JJ	besieged
territory	NN	territory
un	NN	un
fuel	NN	fuel
trucks	NNS	truck
have	VHP	have
been	VBN	be
seen	VVN	see
in	IN	in
the	DT	the
area	NN	area
but	CC	but
their	PP$	their
destination	NN	destination
is	VBZ	be
still	RB	still
unclear	JJ	unclear
reports	NNS	report
had	VHD	have
said	VVN	say
the	DT	the
truce	NN	truce
at	IN	at
the	DT	the
border	NN	border
would	MD	would
take	VV	take
hold	VV	hold
for	IN	for
several	JJ	several
hours	NNS	hour
for	IN	for
the	DT	the
office	NN	office
of	IN	of
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benyamin	NP	Benyamin
Netanyahu	NP	Netanyahu
says	VVZ	say
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
case	NN	case
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
gathering	VVG	gather
at	IN	at
the	DT	the
Crossing	NN	crossing
in	IN	in
the	DT	the
hope	NN	hope
of	IN	of
escaping	VVG	escape
Israel's	NP	Israel's
bombardment	NN	bombardment
our	PP$	our
correspondent	JJ	correspondent
Tanya	NP	Tanya
kma	NN	kma
is	VBZ	be
in	IN	in
southern	JJ	southern
Israel	NP	Israel
and	CC	and
she	PP	she
told	VVD	tell
me	PP	me
more	JJR	more
about	IN	about
the	DT	the
possible	JJ	possible
opening	NN	opening
of	IN	of
the	DT	the
Rafa	NP	Rafa
border	NN	border
crossing	VVG	cross
well	RB	well
at	IN	at
the	DT	the
moment	NN	moment
it's	NNS	it's
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
confusion	NN	confusion
whether	IN	whether
it	PP	it
will	MD	will
open	VV	open
or	CC	or
how	WRB	how
it	PP	it
will	MD	will
open	VV	open
because	IN	because
in	IN	in
the	DT	the
early	JJ	early
morning	NN	morning
there	EX	there
were	VBD	be
first	JJ	first
reports	NNS	report
that	IN/that	that
there	EX	there
would	MD	would
be	VB	be
a	DT	a
pause	NN	pause
in	IN	in
the	DT	the
hostilities	NNS	hostility
or	CC	or
a	DT	a
kind	NN	kind
of	IN	of
temporary	JJ	temporary
ceasefire	NN	ceasefire
for	IN	for
the	DT	the
cross	NN	cross
Crossing	VVG	cross
to	TO	to
be	VB	be
open	JJ	open
that	IN/that	that
people	NNS	people
can	MD	can
pass	VV	pass
mainly	RB	mainly
this	DT	this
would	MD	would
be	VB	be
opening	VVG	open
for	IN	for
dual	JJ	dual
Nationals	NNS	national
as	RB	as
far	RB	far
as	IN	as
we	PP	we
understand	VVP	understand
for	IN	for
foreign	JJ	foreign
Nationals	NNS	national
to	TO	to
foreign	JJ	foreign
n	NN	n
Palestinians	NNS	Palestinian
with	IN	with
foreign	JJ	foreign
nationality	NN	nationality
to	TO	to
uh	UH	uh
pass	VV	pass
through	IN	through
the	DT	the
crossing	VVG	cross
but	CC	but
um	VVG	um
this	DT	this
was	VBD	be
based	VVN	base
on	IN	on
reports	NNS	report
in	IN	in
a	DT	a
a	DT	a
news	NN	news
agency	NN	agency
uh	UH	uh
but	CC	but
uh	UH	uh
we	PP	we
have	VHP	have
now	RB	now
the	DT	the
uh	UH	uh
Israeli	NP	Israeli
Prime	NP	Prime
Minister's	NP	Minister's
office	NN	office
had	VHD	have
put	VVN	put
out	RP	out
a	DT	a
statement	NN	statement
and	CC	and
denying	VVG	deny
that	DT	that
uh	UH	uh
this	DT	this
will	NN	will
happening	VVG	happen
uh	UH	uh
there	EX	there
was	VBD	be
also	RB	also
reports	VVZ	report
here	RB	here
when	WRB	when
Hamas	JJ	Hamas
official	NN	official
reported	VVD	report
saying	VVG	say
that	DT	that
they're	NN	they're
not	RB	not
aware	JJ	aware
of	IN	of
such	PDT	such
an	DT	an
opening	NN	opening
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
we	PP	we
are	VBP	be
getting	VVG	get
reports	NNS	report
that	IN/that	that
some	DT	some
of	IN	of
the	DT	the
trucks	NNS	truck
are	VBP	be
uh	UH	uh
leaving	VVG	leave
from	IN	from
Gaza	NP	Gaza
to	TO	to
Egypt	NP	Egypt
so	IN	so
we	PP	we
need	VVP	need
to	TO	to
get	VV	get
you	PP	you
some	DT	some
information	NN	information
uh	UH	uh
uh	UH	uh
and	CC	and
confirmation	NN	confirmation
on	IN	on
that	DT	that
um	NN	um
in	IN	in
the	DT	the
coming	VVG	come
uh	UH	uh
hours	NNS	hour
or	CC	or
so	RB	so
there	EX	there
is	VBZ	be
uh	UH	uh
of	IN	of
course	NN	course
you	PP	you
have	VHP	have
to	TO	to
understand	VV	understand
what's	NNS	what's
happening	VVG	happen
here	RB	here
in	IN	in
the	DT	the
past	JJ	past
24	CD	@card@
hours	NNS	hour
as	RB	as
well	RB	well
there	EX	there
have	VHP	have
been	VBN	be
despite	IN	despite
the	DT	the
movement	NN	movement
of	IN	of
people	NNS	people
from	IN	from
the	DT	the
north	JJ	north
uh	UH	uh
the	DT	the
evacuation	NN	evacuation
order	NN	order
by	IN	by
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
going	VVG	go
to	TO	to
the	DT	the
South	JJ	South
uh	UH	uh
they	PP	they
have	VHP	have
been	VBN	be
still	RB	still
air	NN	air
strikes	NNS	strike
in	IN	in
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
course	NN	course
of	IN	of
Gaza	NP	Gaza
and	CC	and
people	NNS	people
it's	NNS	it's
a	DT	a
very	RB	very
complicated	VVN	complicate
Crossing	VVG	cross
so	IN	so
opening	VVG	open
a	DT	a
crossing	NN	crossing
under	IN	under
the	DT	the
circumstances	NNS	circumstance
there	RB	there
need	VVP	need
to	TO	to
be	VB	be
all	DT	all
parties	NNS	party
involved	VVD	involve
so	RB	so
that	IN/that	that
people	NNS	people
can	MD	can
move	VV	move
from	IN	from
place	NN	place
to	TO	to
place	VV	place
it	PP	it
it	PP	it
takes	VVZ	take
a	DT	a
bit	NN	bit
of	IN	of
time	NN	time
to	TO	to
get	VV	get
people	NNS	people
through	IN	through
the	DT	the
crossing	VVG	cross
and	CC	and
also	RB	also
we	PP	we
have	VHP	have
to	TO	to
say	VV	say
Egypt	NP	Egypt
is	VBZ	be
also	RB	also
very	RB	very
worried	VVN	worry
about	IN	about
opening	VVG	open
this	DT	this
Crossing	NN	crossing
because	IN	because
they	PP	they
don't	VVD	don't
want	VV	want
to	TO	to
see	VV	see
masses	NN	masses
of	IN	of
uh	UH	uh
Palestinians	NPS	Palestinians
then	RB	then
being	VBG	be
refugees	NNS	refugee
on	IN	on
their	PP$	their
territory	NN	territory
so	RB	so
at	IN	at
the	DT	the
moment	NN	moment
um	NN	um
you	PP	you
know	VVP	know
it's	NNS	it's
not	RB	not
entirely	RB	entirely
confirmed	VVN	confirm
when	WRB	when
the	DT	the
Crossing	NN	crossing
will	MD	will
actually	RB	actually
be	VB	be
open	JJ	open
for	IN	for
the	DT	the
people	NNS	people
to	TO	to
move	VV	move
uh	UH	uh
in	IN	in
that	DT	that
direction	NN	direction
what	WP	what
about	IN	about
the	DT	the
situation	NN	situation
on	IN	on
Israel's	NPS	Israel's
uh	UH	uh
Northern	JJ	northern
froner	NN	froner
with	IN	with
Lebanon	NP	Lebanon
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
more	JJR	more
about	IN	about
that	DT	that
well	NN	well
we've	NN	we've
seen	VVN	see
in	IN	in
the	DT	the
past	JJ	past
days	NNS	day
ever	RB	ever
since	IN	since
uh	UH	uh
um	VVG	um
uh	UH	uh
the	DT	the
War	NP	War
uh	UH	uh
started	VVN	start
uh	UH	uh
more	JJR	more
and	CC	and
more	JJR	more
incidents	NNS	incident
in	IN	in
on	IN	on
the	DT	the
northern	JJ	northern
border	NN	border
between	IN	between
Israel	NP	Israel
and	CC	and
Lebanon	NP	Lebanon
between	IN	between
uh	UH	uh
some	DT	some
of	IN	of
the	DT	the
um	JJ	um
Palestinian	JJ	Palestinian
factions	NNS	faction
there	RB	there
but	CC	but
also	RB	also
Hezbollah	NP	Hezbollah
and	CC	and
Israel	NP	Israel
like	IN	like
anti	JJ	anti
tank	NN	tank
fire	NN	fire
missile	NN	missile
fire	NN	fire
and	CC	and
uh	UH	uh
this	DT	this
morning	NN	morning
uh	UH	uh
the	DT	the
Israeli	JJ	Israeli
defense	NN	defense
Ministry	NP	Ministry
and	CC	and
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
put	VVD	put
out	RP	out
a	DT	a
joint	JJ	joint
statement	NN	statement
saying	VVG	say
that	IN/that	that
they	PP	they
intend	VVP	intend
to	TO	to
evacuate	VV	evacuate
the	DT	the
residents	NNS	resident
of	IN	of
the	DT	the
northern	JJ	northern
border	NN	border
towns	NNS	town
and	CC	and
Villages	NNS	village
uh	UH	uh
that	WDT	that
are	VBP	be
in	IN	in
the	DT	the
area	NN	area
up	RB	up
to	TO	to
2	CD	@card@
kilometers	NNS	kilometer
next	JJ	next
to	TO	to
the	DT	the
libanese	NP	libanese
Border	NP	Border
there	RB	there
will	MD	will
be	VB	be
people	NNS	people
there	EX	there
will	MD	will
be	VB	be
hosted	VVN	host
in	IN	in
state	NN	state
sponsored	VVN	sponsor
guest	JJ	guest
houses	NNS	house
for	IN	for
the	DT	the
time	NN	time
being	VBG	be
so	RB	so
meaning	VVG	mean
this	DT	this
could	MD	could
be	VB	be
an	DT	an
indication	NN	indication
that	IN/that	that
you	PP	you
know	VVP	know
there's	RB	there's
also	RB	also
the	DT	the
expectation	NN	expectation
that	WDT	that
uh	UH	uh
there	RB	there
the	DT	the
situation	NN	situation
might	MD	might
get	VV	get
worse	JJR	bad
so	IN	so
far	RB	far
it	PP	it
seemed	VVD	seem
to	TO	to
be	VB	be
somehow	RB	somehow
contained	VVN	contain
as	RB	as
far	RB	far
as	IN	as
you	PP	you
can	MD	can
say	VV	say
that	RB	that
but	CC	but
there's	RB	there's
of	IN	of
course	NN	course
a	DT	a
lot	NN	lot
of	IN	of
worry	NN	worry
and	CC	and
concern	NN	concern
that	IN/that	that
there	EX	there
might	MD	might
be	VB	be
a	DT	a
second	JJ	second
front	NN	front
being	VBG	be
opening	NN	opening
especially	RB	especially
if	IN	if
such	PDT	such
a	DT	a
ground	NN	ground
invasion	NN	invasion
in	IN	in
Gaza	NP	Gaza
might	MD	might
start	VV	start
and	CC	and
that	IN/that	that
Hezbollah	NP	Hezbollah
might	MD	might
enter	VV	enter
the	DT	the
war	NN	war
or	CC	or
hisbah	NP	hisbah
Iran	NP	Iran
back	RB	back
so	RB	so
that	IN/that	that
there	EX	there
might	MD	might
be	VB	be
another	DT	another
front	JJ	front
uh	UH	uh
opening	NN	opening
up	IN	up
uh	UH	uh
in	IN	in
the	DT	the
north	JJ	north
